action_value_5,target_number,action_value_6,target_count,action_detail_2,action_value_7,action_detail_3,action_id,target_type,target_area,description,level_up_disp,action_detail_1,action_value_2,action_value_3,target_range,action_value_1,target_assignment,action_value_4,class_id,action_type
0.0,0,0.0,99,0,0.0,0,100201103,3,3,"{0} 데미지만큼의 물리 무효 배리어를 전개한다","무효 데미지량 +{0}",1,45.0,18.0,2160,45.0,2,0.0,1,6
0.0,0,0.0,99,0,1.0,0,100201104,3,3,"아군 전체의 행동 속도 증가","",2,0.0,18.0,2160,2.0,2,0.0,1,8
0.0,0,0.0,1,0,0.0,0,100201201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100201202,3,1,"적 1명의 물리 공격력 {0} 감소","물리 공격력 감소 +{0}",11,7.5,7.5,-1,1.0,1,12.0,1,10
0.0,0,0.0,0,0,0.0,0,100250101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100251101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100251102,0,0,"자신의 마법 방어력 {0} 증가","",5,30.0,0.0,0,1.0,0,1.0,1,90
0.0,0,0.0,1,0,0.0,0,100300101,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,60.0,4.8,-1,60.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100300201,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,100300303,0.0,100300302,100300301,7,1,"","",677,0.0,0.0,0,0.0,2,0.0,1,28
0.0,0,0.0,1,100300305,0.0,0,100300302,3,1,"","",1,0.0,1.8,4320,0.5,1,0.0,1,18
0.0,0,0.0,1,100300306,0.0,0,100300303,3,1,"","",1,0.0,1.8,4320,1.0,1,0.0,1,18
0.0,0,0.0,1,100300306,0.0,100300305,100300304,7,1,"","",677,0.0,0.0,0,0.0,2,0.0,1,28
0.0,0,0.0,1,0,0.0,0,100300305,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100300306,3,1,"","",1,40.0,3.2,-1,40.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100301101,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,120.0,9.6,-1,120.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100301102,7,1,"일정 시간 동안 바람의 칼날을 두른다","",0,77.0,18.0,0,1.0,2,1.0,1,35
0.0,0,0.0,1,100301203,0.0,100301202,100301201,7,1,"","",677,2.0,1.0,0,1.0,2,0.0,1,28
0.0,0,0.0,1,0,0.0,0,100301202,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100301203,3,1,"","",1,40.0,3.2,-1,40.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100301204,3,1,"적 1명의 물리 방어력 {0} 감소","물리 방어력 감소 +{0}",21,0.6,0.6,-1,1.0,1,12.0,1,10
0.0,0,0.0,1,1,1.0,0,100301205,3,1,"","",21,1.2,1.2,-1,1.0,1,24.0,1,10
0.0,0,0.0,0,0,0.0,0,100350101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100351101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100351102,0,0,"자신의 최대 HP {0} 증가","",1,1125.0,0.0,0,1.0,0,1.0,1,90
0.0,1,0.0,1,0,0.0,0,100400101,3,2,"","",1,0.0,0.0,2160,0.0,1,0.0,1,7
0.0,0,0.0,99,0,0.0,0,100400102,1,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.4,1.62,300,20.4,1,0.0,1,1
0.0,1,0.0,1,0,0.0,0,100400201,3,3,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,8.0,0.6,2160,8.0,1,0.0,1,1
0.0,1,0.0,1,0,0.0,0,100400202,3,3,"암흑 상태로 만든다","암흑 확정 성공 Lv +1",70,0.0,100.0,2160,8.0,1,0.0,1,12
0.0,0,0.0,1,0,0.0,0,100400301,14,2,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,10.0,0.8,2160,10.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100400302,1,2,"적 1명의 물리 공격력 {0} 감소","물리 공격력 감소 +{0}",11,3.75,3.75,2160,1.0,1,99.0,1,10
0.0,0,0.0,1,1,1.0,0,100400303,7,1,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",10,5.5,5.5,0,1.0,2,99.0,1,10
0.0,0,0.0,99,0,0.0,0,100401101,3,3,"적 전체에 {0} 물리 데미지","물리 데미지 +{0}",1,27.0,2.16,2160,27.0,1,0.0,1,1
0.0,0,0.0,99,1,0.0,0,100401102,3,3,"적 전체의 물리 공격력 {0} 감소","물리 공격력 감소 +{0}",11,30.0,30.0,2160,1.0,1,18.0,1,10
0.0,0,0.0,99,0,0.0,0,100401103,3,3,"적 전체의 물리 크리티컬 {0} 감소","물리 크리티컬 감소 +{0}",61,100.0,1.25,2160,1.0,1,18.0,1,10
0.0,0,0.0,99,0,0.0,0,100401104,3,3,"적 전체의 물리 공격 크리티컬 시 데미지 {0}% 감소","",111,25.0,0.0,2160,2.0,1,18.0,1,10
0.0,1,0.0,1,0,0.0,0,100401201,3,3,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,20.0,1.6,2160,20.0,1,0.0,1,1
0.0,1,0.0,1,0,0.0,0,100401202,3,3,"적 1명을 암흑 상태로 만든다","암흑 확정 성공 Lv+1",80,0.0,100.0,2160,10.0,1,0.0,1,12
0.0,1,0.0,1,0,0.0,0,100401203,3,3,"","",1,0.0,0.0,2160,0.0,1,0.0,1,7
0.0,0,0.0,99,1,0.0,0,100401204,1,2,"범위 내 적의 물리 공격력 {0} 감소","물리 공격력 감소 +{0}",11,5.0,5.0,200,1.0,1,180.0,1,10
0.0,0,0.0,0,0,0.0,0,100450101,0,0,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",3,2.0,2.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100451101,0,0,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",3,2.0,2.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100451102,0,0,"자신의 물리 공격력 {0} 증가","",2,225.0,0.0,0,1.0,0,1.0,1,90
0.0,2,0.0,1,0,0.0,0,100500101,3,1,"","",3,0.0,0.0,2160,100.0,1,0.0,1,2
0.0,2,0.0,1,0,0.0,0,100500102,3,1,"","",1,0.0,0.0,2160,100.0,1,0.0,1,7
0.0,0,0.0,99,0,0.0,0,100500103,3,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,30.0,2.4,300,30.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100500201,3,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,3.4,0.27,300,3.4,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100500202,3,2,"범위 내 적을 일정 시간 동안 행동 불능으로 만든다","스턴 확정 성공 Lv +1",7,0.0,2.0,300,0.0,1,0.0,1,8
0.0,0,0.0,99,0,0.0,0,100500301,3,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,10.0,0.8,300,10.0,1,0.0,1,1
0.0,2,0.0,1,0,0.0,0,100501101,3,1,"","",3,0.0,0.0,2160,100.0,1,0.0,1,2
0.0,2,0.0,1,0,0.0,0,100501102,3,1,"","",1,0.0,0.0,2160,100.0,1,0.0,1,7
0.0,0,0.0,99,0,0.0,0,100501103,3,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,30.0,2.4,450,30.0,1,0.0,1,1
0.0,0,0.0,1,3,0.0,0,100501104,7,1,"","",100501103,5.0e-05,0.0,0,1.0,2,0.0,1,26
0.0,0,0.0,1,1,0.0,0,100501105,7,1,"","",100501106,1.0,0.0,0,1.0,2,0.0,1,26
0.0,0,0.0,1,0,0.0,0,100501106,7,1,"{0} 데미지만큼의 물리 / 마법 무효 배리어를 전개","무효 데미지량 +{0}",5,45.0,18.0,0,45.0,2,0.0,1,6
0.0,0,0.0,99,0,0.0,0,100501201,3,2,"범위 내 적에게 {0}의 물리 데미지","물리 데미지 +{0}",1,3.4,0.54,300,3.4,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100501202,3,2,"범위 내 적을 일정 시간 동안 행동 불능으로 만든다","스턴 확정 성공 Lv +1",7,0.0,2.0,300,0.0,1,0.0,1,8
0.0,0,0.0,1,1,0.0,0,100501203,7,1,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,2.24,2.24,0,1.0,2,12.0,1,10
0.0,0,0.0,1,1,0.0,0,100501204,7,1,"자신의 마법 방어력 {0} 증가","마법 방어력 증가 +{0}",40,2.24,2.24,0,1.0,2,12.0,1,10
0.0,0,0.0,0,0,0.0,0,100550101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100551101,0,0,"자신의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",2,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100551102,0,0,"자신의 물리 방어력 {0} 증가","",3,30.0,0.0,0,1.0,0,1.0,1,90
0.0,0,0.0,99,0,0.0,0,100600101,3,3,"","",0,4.0,1.0,2160,4.0,2,0.0,1,32
0.0,0,0.0,99,1,0.0,0,100600102,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,4.5,4.5,2160,1.0,2,18.0,1,10
0.0,0,0.0,1,0,0.0,0,100600201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100600301,3,1,"적 1명의 마법 방어력 {0} 감소","마법 방어력 감소 +{0}",41,1.0,1.0,-1,1.0,1,12.0,1,10
0.0,0,0.0,99,0,0.0,0,100601101,3,3,"","",0,4.0,1.0,2160,4.0,2,0.0,1,32
0.0,0,0.0,99,1,0.0,0,100601102,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,24.0,24.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,100601103,3,3,"아군 전체의 마법 크리티컬 {0} 증가","",70,100.0,0.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,100601104,3,3,"적 전체의 마법 방어력 {0} 감소","마법 방어력 감소 +{0}",41,0.66,0.66,2160,1.0,1,18.0,1,10
0.0,0,0.0,1,0,0.0,0,100601201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,25.0,2.0,-1,25.0,1,0.0,1,1
0.0,0,0.0,1,1,1.0,0,100601202,3,1,"적 1명의 마법 방어력 {0} 감소","마법 방어력 감소 +{0}",41,0.2,0.2,-1,1.0,1,12.0,1,10
0.0,0,0.0,1,0,0.0,0,100610101,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,25.0,2.0,-1,25.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100610201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,15.0,1.25,550,15.0,1,0.0,1,1
0.0,0,0.0,99,0,0.0,0,100620101,3,3,"","",0,0.0,1.0,2160,1204.0,2,0.0,1,32
0.0,0,0.0,99,1,0.0,0,100620102,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,-1195.5,8.5,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,0,0.0,0,100621101,3,3,"","",0,0.0,1.0,2160,1204.0,2,0.0,1,32
0.0,0,0.0,99,1,0.0,0,100621102,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,-1172.0,28.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,100621103,3,3,"아군 전체의 마법 크리티컬 {0} 증가","",70,100.0,0.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,100621104,3,3,"적 전체의 마법 방어력 {0} 감소","마법 방어력 감소 +{0}",41,0.66,0.66,2160,1.0,1,18.0,1,10
0.0,0,0.0,0,0,0.0,0,100650101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100651101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,240.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,1,0,0.0,0,100700101,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,45.0,3.6,-1,45.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100700102,7,3,"자신의 HP {0} 회복","HP 회복량 +{0}",1,12.0,12.0,0,1.0,2,1.0,1,4
0.0,0,0.0,1,0,0.0,0,100700201,7,1,"일정 시간 동안 무적 상태가 된다","무적 시간 +0.01초",1,0.01,0.0,0,3.0,2,0.0,1,21
0.0,0,0.0,1,100700203,0.0,0,100700202,7,0,"","",1,0.0,2.4,0,0.0,0,0.0,1,18
0.0,0,0.0,1,0,0.0,0,100700203,7,1,"","",1,0.0,0.0,0,0.0,2,0.0,1,21
0.0,0,0.0,1,0,0.0,0,100700301,7,1,"자신의 HP {0} 회복","HP 회복량 +{0}",1,7.5,7.5,0,1.0,2,1.0,1,4
0.0,0,0.0,1,0,0.0,0,100701101,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,60.0,4.8,-1,60.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100701102,7,3,"자신의 HP {0} 회복","HP 회복량 +{0}",1,12.0,12.0,0,1.0,2,1.0,1,4
0.0,0,0.0,1,1,1.0,0,100701103,7,2,"자신의 회피 {0} 증가","회피 증가 +{0}",50,0.1,0.1,0,1.0,2,180.0,1,10
0.0,0,0.0,1,0,0.0,0,100701201,7,1,"일정 시간 동안 무적 상태가 된다","무적 시간 +0.01초",1,0.01,0.0,0,3.0,2,0.0,1,21
0.0,0,0.0,1,100701203,0.0,0,100701202,7,0,"","",1,0.0,2.4,0,0.0,0,0.0,1,18
0.0,0,0.0,1,0,0.0,0,100701203,7,1,"","",1,0.0,0.0,0,0.0,2,0.0,1,21
0.0,0,0.0,1,1,1.0,0,100701204,7,2,"자신의 회피 {0} 증가","회피 증가 +{0}",50,0.1,0.1,0,1.0,2,12.0,1,10
0.0,0,0.0,1,1,1.0,0,100701205,7,2,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,1.2,1.2,0,1.0,2,12.0,1,10
0.0,0,0.0,1,0,0.0,0,100720201,7,1,"일정 시간 동안 무적 상태가 된다","",1,0.0,0.0,0,6.0,2,0.0,1,21
0.0,0,0.0,1,100720203,0.0,0,100720202,7,0,"","",1,0.0,2.4,0,0.0,0,0.0,1,18
0.0,0,0.0,1,0,0.0,0,100720203,7,1,"","",1,0.0,0.0,0,0.0,2,0.0,1,21
0.0,0,0.0,1,1,1.0,0,100720204,7,2,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,-60.0,0.2,0,1.0,2,12.0,1,10
0.0,0,0.0,1,0,0.0,0,100721101,3,1,"적 1명에게 {0}의 물리 데미지","물리 데미지 +{0}",1,60.0,5.2,-1,60.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100721102,7,3,"자신의 HP {0} 회복","HP 회복량 +{0}",1,12.0,12.0,0,1.0,2,1.0,1,4
0.0,0,0.0,1,1,1.0,0,100721103,7,2,"자신의 회피 {0} 증가","",50,30.1,0.0,0,1.0,2,180.0,1,10
0.0,0,0.0,1,0,0.0,0,100721201,7,1,"일정 시간 동안 무적 상태가 된다","",1,0.0,0.0,0,6.0,2,0.0,1,21
0.0,0,0.0,1,100721203,0.0,0,100721202,7,0,"","",1,0.0,2.4,0,0.0,0,0.0,1,18
0.0,0,0.0,1,0,0.0,0,100721203,7,1,"","",1,0.0,0.0,0,0.0,2,0.0,1,21
0.0,0,0.0,1,1,1.0,0,100721204,7,2,"자신의 회피 {0} 증가","",50,30.1,0.0,0,1.0,2,12.0,1,10
0.0,0,0.0,1,1,1.0,0,100721205,7,2,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,-58.8,1.4,0,1.0,2,12.0,1,10
0.0,0,0.0,0,0,0.0,0,100750101,0,0,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",3,2.0,2.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100751101,0,0,"자신의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",3,32.0,2.0,0,1.0,0,1.0,1,90
0.0,0,0.0,99,0,0.0,0,100800101,3,3,"적 전체에 {0} 마법 데미지","마법 데미지 +{0}",2,4.5,0.405,2160,4.5,1,0.0,1,1
0.0,0,0.0,99,1,1.0,0,100800102,3,3,"적 전체의 물리 방어력 {0} 감소","물리 방어력 감소 +{0}",21,0.345,0.345,2160,1.0,1,18.0,1,10
0.0,1,0.0,1,0,0.0,0,100800201,3,3,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,15.0,1.2,2160,15.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100800202,1,3,"암흑 상태로 만든다","암흑 확정 성공 Lv +1",40,0.0,100.0,2160,8.0,1,0.0,1,12
0.0,0,0.0,1,0,0.0,0,100800301,12,3,"아군 하나의 TP {0} 회복","TP 회복량 +{0}",1,2.5,0.0,2160,75.0,2,0.0,1,16
0.0,0,0.0,99,1,0.0,0,100801101,3,3,"적 전체에 {0}의 낮은 쪽 방어력으로 방어하는 마법 데미지","마법 데미지 +{0}",2,20.25,1.62,2160,20.25,1,0.0,1,1
0.0,0,0.0,99,1,1.0,0,100801102,3,3,"적 전체의 물리 방어력 {0} 감소","물리 방어력 감소 +{0}",21,0.7,0.7,2160,1.0,1,18.0,1,10
0.0,0,0.0,99,0,0.0,0,100801103,3,3,"적 전체를 유혹한다","유혹 확정 성공 Lv+1",0,0.0,100.0,2160,4.0,1,0.0,1,11
0.0,1,0.0,1,0,0.0,0,100801201,3,3,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,15.0,1.2,2160,15.0,1,0.0,1,1
0.0,1,0.0,1,0,0.0,0,100801202,3,3,"적 1명을 암흑 상태로 만든다","암흑 확정 성공 Lv+1",40,0.0,100.0,2160,8.0,1,0.0,1,12
0.0,1,0.0,1,0,0.0,0,100801203,3,3,"적 1명을 유혹한다","유혹 확정 성공 Lv+1",0,0.0,100.0,2160,8.0,1,0.0,1,11
0.0,0,0.0,1,0,0.0,0,100820301,12,3,"아군 하나의 TP {0} 회복","",1,0.0,0.0,2160,725.0,2,0.0,1,16
0.0,0,0.0,0,1,0.0,0,100820302,1,3,"아군 하나의 물리 공격력 {0} 증가","물리 공격력 증가 +{0}",10,-2080.0,8.0,2160,1.0,2,12.0,1,10
0.0,0,0.0,0,0,0.0,0,100850101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100851101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100851102,0,0,"자신의 물리 방어력 {0} 증가","",3,30.0,0.0,0,1.0,0,1.0,1,90
0.0,0,0.0,99,0,0.0,0,100900101,3,3,"적 전체에 {0} 마법 데미지","마법 데미지 +{0}",2,18.0,1.44,2160,18.0,1,0.0,1,1
0.0,0,0.0,1,1,2.0,0,100900102,7,1,"자신의 물리 방어력을 0으로 만든다","",21,100.0,0.0,0,2.0,2,99.0,1,10
0.0,0,0.0,1,1,2.0,0,100900103,7,1,"자신의 마법 방어력을 0으로 만든다","",41,100.0,0.0,0,2.0,2,99.0,1,10
0.0,0,0.0,1,0,0.0,0,100900201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,20.0,1.2,-1,20.0,1,0.0,1,1
1.0,0,0.0,1,0,0.0,0,100900301,7,3,"","",3,0.0,10.0,0,100.0,2,0.0,1,17
0.0,0,0.0,99,0,0.0,0,100900302,3,2,"범위 내 적에게 {0}의 마법 데미지","마법 데미지 +{0}",2,25.0,2.0,600,25.0,1,0.0,1,1
0.0,0,0.0,1,0,0.0,0,100900303,7,3,"","",0,0.0,0.0,0,0.0,2,0.0,1,30
0.0,0,0.0,1,0,0.0,0,100900304,7,3,"","",1,0.0,0.0,0,1.9,2,0.0,1,21
0.0,0,0.0,1,1,1.0,0,100901101,7,1,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,50.0,50.0,0,1.0,2,8.0,1,10
0.0,0,0.0,99,0,0.0,0,100901102,3,3,"적 전체에 {0} 마법 데미지","마법 데미지 +{0}",2,81.25,6.5,2160,81.25,1,0.0,1,1
0.0,0,0.0,1,1,2.0,0,100901103,7,1,"자신의 물리 방어력을 초기값의 100%만큼 감소","",21,100.0,0.0,0,2.0,2,99.0,1,10
0.0,0,0.0,1,1,2.0,0,100901104,7,1,"자신의 마법 방어력을 초기값의 100%만큼 감소","",41,100.0,0.0,0,2.0,2,99.0,1,10
0.0,0,0.0,1,0,0.0,0,100901201,3,1,"적 1명에게 {0}의 마법 데미지","마법 데미지 +{0}",2,20.0,1.6,-1,20.0,1,0.0,1,1
0.0,0,0.0,99,1,1.0,0,100901202,3,3,"적 1명의 마법 방어력 {0} 감소","마법 방어력 감소 +{0}",41,0.6,0.6,2160,1.0,2,12.0,1,10
0.0,0,0.0,1,0,0.0,0,100950101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,15.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,0,0,0.0,0,100951101,0,0,"자신의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",4,240.0,15.0,0,1.0,0,1.0,1,90
0.0,0,0.0,99,1,0.0,0,101000101,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,15.0,15.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101000102,3,3,"아군 전체의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,0.6,0.6,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101000103,3,3,"아군 전체의 TP {0} 회복","",4,0.0,0.0,2160,50.0,2,18.0,1,16
0.0,0,0.0,1,0,0.0,0,101000201,5,2,"아군 하나의 HP {0} 회복","HP 회복량 +{0}",2,7.5,7.5,2160,1.0,2,1.0,1,4
0.0,1,0.0,1,0,0.0,0,101000301,3,1,"암흑 상태로 만든다","암흑 확정 성공 Lv +1",40,0.0,100.0,2160,8.0,1,0.0,1,12
0.0,0,0.0,99,1,0.0,0,101001101,3,3,"아군 전체의 마법 공격력 {0} 증가","마법 공격력 증가 +{0}",30,30.0,30.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101001102,3,3,"아군 전체의 마법 크리티컬 {0} 증가","",70,100.0,0.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101001103,3,3,"아군 전체의 마법 공격 크리티컬 시 데미지 5％ 증가","",120,5.0,0.0,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101001104,3,3,"아군 전체의 물리 방어력 {0} 증가","물리 방어력 증가 +{0}",20,1.1,1.1,2160,1.0,2,18.0,1,10
0.0,0,0.0,99,1,0.0,0,101001105,3,3,"아군 전체의 TP를 고정량으로 {0} 회복","",4,0.0,0.0,2160,120.0,2,0.0,1,16
