end_time,voice_id,change_face_type,start_time,character_id,where_type,character_name,description,pos_x,comment_id,season_id,pos_y,change_face_time,face_type
"2025/10/21 14:59:59",3,4,"2025/07/15 15:00:00",130503,2002,"봉황","으에에에엥! 또 이 모습으로\n변해 버려써어어!\n기부 부탁드림미다~앗!",-470.0,10019,5,0.0,0.0,4
"2025/10/21 14:59:59",1,1,"2025/07/15 15:00:00",123301,2002,"네아","하욤~♪\n뭐든지 교환해 가~\n카리자 큔 빼고",-470.0,10020,5,0.0,4.9,2
"2025/10/21 14:59:59",2,1,"2025/07/15 15:00:00",123301,2002,"네아","근데 말야, 기사 큔은\n몇만 루피?\n장난 아니고 진・지・하・게♡",-470.0,10021,5,0.0,4.8,2
"2026/01/22 14:59:59",1,3,"2025/10/14 15:00:00",133301,2002,"카리자","켁, 왜 내가 가게를 봐야\n하는 건데… 아니, 오지 마, 노랑\n난 파는 게 아냐~!",-470.0,10022,6,0.0,4.922,1
"2026/01/22 14:59:59",2,3,"2025/10/14 15:00:00",133301,2002,"카리자","꼬, 꼭 말해야 되냐?\n「…어서 오세요…」\n젠장, 웃지 말라고~!",-470.0,10023,6,0.0,9.638,5
"2026/01/22 14:59:59",1,1,"2025/10/14 15:00:00",133401,2002,"미아","상점에 어서 오세요~\n네라 님의 심복…과도 같은 제가\n가게를 보도록 하겠습니다~아",-470.0,10024,6,0.0,2.88,2
"2026/01/22 14:59:59",2,5,"2025/10/14 15:00:00",133401,2002,"미아","제 허물 같은 것도\n수요가 있을까요~…\n아니 농담이에요, 농담!",-470.0,10025,6,0.0,4.818,1
"2026/04/20 14:59:59",1,2,"2026/01/15 15:00:00",133002,2002,"그레이스","오, 어서 와요.\n자, 기사 씨. 저승의 기념품은\n뭐로 하시겠어요?",-470.0,10026,7,0.0,1.78,1
"2026/04/20 14:59:59",2,1,"2026/01/15 15:00:00",133002,2002,"그레이스","상품을 구매하실 때마다\n그레이스 포인트를\n드릴게요. 거짓말이지만",-470.0,10027,7,0.0,6.15,7
"2026/04/20 14:59:59",1,6,"2026/01/15 15:00:00",133102,2002,"바이올렛","어서 오십시오\n…접객은 이런\n느낌으로 괜찮으실까요?",-470.0,10028,7,0.0,4.28,2
"2026/04/20 14:59:59",2,1,"2026/01/15 15:00:00",133102,2002,"바이올렛","눅눅한 상품은\n없사오니\n안심하고 구매해 주세요",-470.0,10029,7,0.0,0.0,1
