reward_num_1,reward_type_4,reward_id_1,reward_type_1,reward_type_2,reward_type_5,reward_num_5,reward_num_3,reward_type_3,reward_id_3,reward_num_4,reward_num_2,quest_id,reward_id_5,reward_id_2,reward_id_4
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1005010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1005015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1005016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1005017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1005018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1006010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1006015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1006016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1006017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1006018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1007010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1007015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1007016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1007017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1007018,0,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008001,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008002,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008003,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008004,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008005,25015,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008006,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008007,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008008,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008009,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,10,500000,1008010,25015,94002,25001
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008011,25011,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008012,25012,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008013,25013,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008014,25014,94002,25021
10,2,91002,8,12,2,400,200,2,90008,50,500000,1008015,25015,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1008016,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1008017,0,94002,25021
10,2,91002,8,12,0,0,200,2,90008,50,500000,1008018,0,94002,25021
