face_type,unit_id,bg_id,position,bg_name,unit_name
4,103401,500070,0.0,"메르쿠리우스 재단 거점","아야세 유카리"
1,103601,500140,0.0,"프라노 평원","히카와 쿄우카"
2,103701,500090,0.0,"랜드솔 성 입구","미쿠마 토모"
2,103801,500150,0.0,"목장 거점","카시와자키 시오리"
2,104001,500180,0.0,"엘프의 숲","후타바 아오이"
4,104201,500010,0.0,"랜드솔 시가지","미스미 치카"
2,104301,500060,0.0,"자경단 거점","아키 마코토"
4,104401,500260,0.0,"고성","이리야 온스타인"
4,104501,500140,0.0,"프라노 평원","토미 쿠우카"
3,104601,500070,0.0,"메르쿠리우스 재단 거점","미야사카 타마키"
1,104701,500090,0.0,"랜드솔 성 입구","시로가네 쥰"
2,104801,500070,0.0,"메르쿠리우스 재단 거점","오오가미 미후유"
4,104901,500030,0.0,"랜드솔 번화가","호시노 시즈루"
2,105001,500080,0.0,"루센트 학원","타마이즈미 미사키"
6,105101,500050,0.0,"랜드솔 식당 내부","요이가하마 미츠키"
9,105201,500150,0.0,"목장 거점","리마"
2,105301,500140,0.0,"프라노 평원","모니카 바이스빈트"
9,105401,500010,0.0,"랜드솔 시가지","마유미야 츠무기"
15,105501,500140,0.0,"프라노 평원","이시바시 아유미"
3,105601,500050,0.0,"랜드솔 식당 내부","타치아라이 루카"
4,105701,500200,0.0,"브리자 계곡","지타"
3,105801,500130,0.0,"에스트렐라 가도","페코린느"
2,105901,500130,0.0,"에스트렐라 가도","콧코로"
3,106001,500130,0.0,"에스트렐라 가도","캬루"
20,106101,500341,0.0,"라비린스 길드 거점","무이미"
3,106301,500170,0.0,"미스테리온 삼림","아리사"
2,106401,500361,0.0,"미식전 길드 하우스","셰피"
4,106501,500833,0.0,"밀림_텐트","카야"
4,106601,500833,0.0,"밀림_텐트","이노리"
2,106701,501320,0.0,"호마레의 방","호마레"
18,106801,500030,0.0,"랜드솔 번화가","모사쿠지 아키라"
2,106901,500100,0.0,"랜드솔 왕성_알현실","카이저 인사이트"
2,107001,500341,0.0,"라비린스 길드 거점","네네카"
2,107101,500090,0.0,"랜드솔 성 입구","크리스티나 모건"
4,107501,500164,0.0,"마르젠 해안","페코린느(여름)"
4,107601,500164,0.0,"마르젠 해안","콧코로(여름)"
4,107701,500164,0.0,"마르젠 해안","스즈메(여름)"
6,107801,500164,0.0,"마르젠 해안","캬루(여름)"
2,107901,500284,0.0,"무인도","타마키(여름)"
2,108001,500284,0.0,"무인도","미후유(여름)"
4,108101,500264,0.0,"고성 할로윈","시노부(할로윈)"
4,108201,500264,0.0,"고성 할로윈","미야코(할로윈)"
2,108301,505030,0.0,"랜드솔 번화가 할로윈","미사키(할로윈)"
2,108401,500114,0.0,"사렌디아 구호원_응접실_크리스마스","치카(크리스마스)"
4,108501,500114,0.0,"사렌디아 구호원_응접실_크리스마스","쿠루미(크리스마스)"
4,108601,500114,0.0,"사렌디아 구호원_응접실_크리스마스","아야네(크리스마스)"
4,108701,500553,0.0,"새해 신전","히요리(새해)"
4,108801,500553,0.0,"새해 신전","유이(새해)"
2,108901,500553,0.0,"새해 신전","레이(새해)"
4,109001,500600,0.0,"키친 스타디움","에리코(발렌타인)"
4,109101,500600,0.0,"키친 스타디움","시즈루(발렌타인)"
2,109201,500133,0.0,"에스트렐라 가도","앤"
4,109301,500133,0.0,"에스트렐라 가도","루"
4,109401,500133,0.0,"에스트렐라 가도","글레어"
4,109501,500650,0.0,"오에도의 골목길","쿠우카(오에도)"
2,109601,500650,0.0,"오에도의 골목길","니논(오에도)"
2,109701,500175,0.0,"미스테리온 삼림","렘"
12,109801,500175,0.0,"미스테리온 삼림","람"
2,109901,500175,0.0,"미스테리온 삼림","에밀리아"
4,110001,500683,0.0,"바다_스테이지","스즈나(여름)"
2,110101,500683,0.0,"바다_스테이지","이오(여름)"
2,110301,500164,0.0,"마르젠 해안","사렌(여름)"
6,110401,500710,0.0,"류큐 분위기의 해안","마코토(여름)"
4,110501,500710,0.0,"류큐 분위기의 해안","카오리(여름)"
4,110601,500710,0.0,"류큐 분위기의 해안","마호(여름)"
2,110701,500730,0.0,"성 테레사 여학원_정문","아오이(편입생)"
2,110801,500730,0.0,"성 테레사 여학원_정문","클로에"
2,110901,500730,0.0,"성 테레사 여학원_정문","치에루"
4,111001,500730,0.0,"성 테레사 여학원_정문","유니"
2,111101,500811,0.0,"저택_메인 홀","쿄우카(할로윈)"
4,111201,500811,0.0,"저택_메인 홀","미소기(할로윈)"
4,111301,500811,0.0,"저택_메인 홀","미미(할로윈)"
4,111401,500175,0.0,"미스테리온 삼림","루나"
4,111501,500038,0.0,"랜드솔_번화가_크리스마스_밤","크리스티나(크리스마스)"
4,111601,500038,0.0,"랜드솔_번화가_크리스마스_밤","노조미(크리스마스)"
4,111701,500038,0.0,"랜드솔_번화가_크리스마스_밤","이리야(크리스마스)"
2,111801,500910,0.0,"랜드솔_번화가_역전","페코린느(새해)"
2,111901,500910,0.0,"랜드솔_번화가_역전","콧코로(새해)"
6,112001,500910,0.0,"랜드솔_번화가_역전","캬루(새해)"
2,112101,500910,0.0,"랜드솔_번화가_역전","스즈메(새해)"
2,112201,500010,0.0,"랜드솔_시가지_낮","카스미(매지컬)"
2,112301,500010,0.0,"랜드솔_시가지_낮","시오리(매지컬)"
4,112401,500920,0.0,"무사 마을_낮","우즈키(데레마스)"
2,112501,500920,0.0,"무사 마을_낮","린(데레마스)"
4,112601,500920,0.0,"무사 마을_낮","미오(데레마스)"
2,112701,500995,0.0,"목장 낮","린(레인저)"
2,112801,500995,0.0,"목장 낮","마히루(레인저)"
4,112901,501000,0.0,"책의 세계_평원","리노(원더)"
2,113001,501000,0.0,"책의 세계_평원","아유미(원더)"
6,113101,501030,0.0,"위시 비치","루카(여름)"
4,113201,501030,0.0,"위시 비치","안나(여름)"
4,113301,501030,0.0,"위시 비치","나나카(여름)"
4,113401,501100,0.0,"비치 그라운드","하츠네(여름)"
4,113501,501100,0.0,"비치 그라운드","미사토(여름)"
2,113601,500164,0.0,"마르젠 해안","쥰(여름)"
4,113701,500010,0.0,"랜드솔_시가지_낮","아카리(엔젤)"
2,113801,500010,0.0,"랜드솔_시가지_낮","요리(엔젤)"
4,113901,501130,0.0,"할로윈 파크_낮","츠무기(할로윈)"
3,114001,501130,0.0,"할로윈 파크_낮","레이(할로윈)"
4,114101,501130,0.0,"할로윈 파크_낮","마츠리(할로윈)"
4,114201,500010,0.0,"랜드솔_시가지_낮","모니카(매지컬)"
2,114301,500010,0.0,"랜드솔_시가지_낮","토모(매지컬)"
4,114401,500874,0.0,"무대_크리스마스_낮","아키노(크리스마스)"
2,114501,500874,0.0,"무대_크리스마스_낮","사렌(크리스마스)"
2,114601,500874,0.0,"무대_크리스마스_낮","유카리(크리스마스)"
4,114701,501162,0.0,"오마 마을_낮","무이미(새해)"
2,115001,501162,0.0,"오마 마을_낮","네네카(새해)"
4,115501,500140,0.0,"프라노 평원","콧코로(의장복)"
17,115601,500140,0.0,"프라노 평원","유이(의장복)"
4,115701,500160,0.0,"마르젠 해안","카스미(여름)"
4,115801,500130,0.0,"에스트렐라 가도","리마(신데렐라)"
4,115901,500130,0.0,"에스트렐라 가도","마코토(신데렐라)"
4,116001,500060,0.0,"자경단 거점","마호(신데렐라)"
2,116201,500732,0.0,"성 테레사 여학원_정문_성학제","클로에(성학제)"
2,116301,500732,0.0,"성 테레사 여학원_정문_성학제","치에루(성학제)"
4,116401,500732,0.0,"성 테레사 여학원_정문_성학제","유니(성학제)"
18,116501,500010,0.0,"랜드솔_시가지_낮","이노리(시간 여행)"
4,116601,500010,0.0,"랜드솔_시가지_낮","카야(시간 여행)"
4,116701,501340,0.0,"장난감 공장","아오이(작업복)"
4,116801,501340,0.0,"장난감 공장","타마키(작업복)"
2,116901,501340,0.0,"장난감 공장","미후유(작업복)"
4,117001,500160,0.0,"마르젠 해안","에리코(여름)"
4,117101,500160,0.0,"마르젠 해안","시즈루(여름)"
4,117201,501363,0.0,"서머 페스 회장","노조미(여름)"
2,117301,501363,0.0,"서머 페스 회장","치카(여름)"
4,117401,501363,0.0,"서머 페스 회장","츠무기(여름)"
6,117501,501380,0.0,"오에도_진찰실_낮","미츠키(오에도)"
4,117601,501380,0.0,"오에도_진찰실_낮","유키(오에도)"
4,117701,505035,0.0,"랜드솔_번화가_할로윈_밤","카오리(할로윈)"
4,117801,505035,0.0,"랜드솔_번화가_할로윈_밤","니논(할로윈)"
4,117901,505035,0.0,"랜드솔_번화가_할로윈_밤","스즈나(할로윈)"
4,118001,501070,0.0,"랜드솔_왕성 주변_집무실","크레짓타"
4,118101,501040,0.0,"레이지ㆍ레기온 거점","란파"
4,118201,501040,0.0,"레이지ㆍ레기온 거점","미소라"
4,118501,500371,0.0,"랜드솔_관청","카린"
4,118601,500360,0.0,"미식전_길드 하우스","네비아"
4,119001,501450,0.0,"느와르 아지트","이오(느와르)"
4,119101,501450,0.0,"느와르 아지트","쿠우카(느와르)"
4,119201,500863,0.0,"목장_눈_낮","마히루(크리스마스)"
4,119301,500036,0.0,"랜드솔_번화가_크리스마스_낮","리노(크리스마스)"
4,119901,500038,0.0,"랜드솔_번화가_크리스마스_밤","미야코(크리스마스)"
2,120001,501450,0.0,"느와르 아지트","시즈루(느와르)"
2,120701,501480,0.0,"미식전_길드 하우스_외관_설날","셰피(새해)"
3,120801,500560,0.0,"참배길_낮","루카(새해)"
4,120901,500260,0.0,"고성","이리야(새해)"
3,121001,500361,0.0,"미식전 길드 하우스","페코린느(오버로드)"
2,121101,500361,0.0,"미식전 길드 하우스","캬루(오버로드)"
3,121201,500341,0.0,"라비린스 길드 거점","라비리스타(오버로드)"
2,121301,501510,0.0,"목장_온천 시설_무대","쿠루미(무대)"
2,121401,500354,0.0,"사렌디아 구호원_발표회","미사키(무대)"
18,121501,500012,0.0,"랜드솔_시가지_밤","아유미(괴도)"
20,121601,500892,0.0,"골목길_밤","이노리(괴도)"
2,121901,500843,0.0,"배의 갑판","안나(해적)"
20,122001,500843,0.0,"배의 갑판","시노부(해적)"
20,122101,501590,0.0,"캠프장_낮","아오이(캠프)"
2,122201,501590,0.0,"캠프장_낮","유카리(캠프)"
4,122301,500140,0.0,"프라노 평원","밤피"
4,122401,501610,0.0,"리조트 비치_낮","히요리(여름)"
2,122501,501610,0.0,"리조트 비치_낮","레이(여름)"
6,122601,501610,0.0,"리조트 비치_낮","유이(여름)"
2,122701,500285,0.0,"무인도","쿄우카(여름)"
4,122801,500160,0.0,"마르젠 해안","미소기(여름)"
4,122901,500160,0.0,"마르젠 해안","미미(여름)"
4,123001,500270,0.0,"솔의 탑_정원","아메스"
4,123101,500833,0.0,"밀림_텐트","마호(탐험가)"
4,123201,501850,0.0,"밀림","아야네(탐험가)"
4,123301,501040,0.0,"레이지ㆍ레기온 거점","네아"
2,123501,501870,0.0,"무대_콘텐츠 페스티벌_낮","린(할로윈)"
2,123601,501860,0.0,"랜드솔_번화가_할로윈_페스티벌","토모(할로윈)"
4,123701,501870,0.0,"무대_콘텐츠 페스티벌_낮","나나카(할로윈)"
2,123801,500170,0.0,"미스테리온 삼림","크리스티나(와일드)"
2,123901,500090,0.0,"랜드솔 성 입구","마츠리(와일드)"
2,124001,500036,0.0,"랜드솔_번화가_크리스마스_낮","아카리(크리스마스)"
2,124101,500036,0.0,"랜드솔_번화가_크리스마스_낮","요리(크리스마스)"
2,124201,500036,0.0,"랜드솔_번화가_크리스마스_낮","쥰(크리스마스)"
2,124501,501890,0.0,"오에도_온천 여관_객실_낮","호마레(새해)"
4,124601,500553,0.0,"새해 신전","미사토(새해)"
2,124701,501890,0.0,"오에도_온천 여관_객실_낮","미츠키(새해)"
2,124801,500033,0.0,"랜드솔_번화가_축제_낮","노조미(리버레이터)"
4,124901,500033,0.0,"랜드솔_번화가_축제_낮","카야(리버레이터)"
2,125001,500033,0.0,"랜드솔_번화가_축제_낮","무이미(리버레이터)"
4,125101,501950,0.0,"랜드솔_음식점 내_고양이 카페_낮","타마키(카페)"
2,125201,501950,0.0,"랜드솔_음식점 내_고양이 카페_낮","모니카(카페)"
2,125301,501690,0.0,"평원_경기장_낮","콧코로(레인저)"
20,125401,501690,0.0,"평원_경기장_낮","시오리(레인저)"
4,125501,500033,0.0,"랜드솔_번화가_축제_낮","지타(워록)"
4,125601,500033,0.0,"랜드솔_번화가_축제_낮","비카라"
2,125701,500371,0.0,"랜드솔_관청","카린(알케미스트)"
2,125801,501670,0.0,"지오 테오고니아_가도_낮","리리(폴른)"
2,126001,501670,0.0,"지오 테오고니아_가도_낮","크리아(폴른)"
2,126101,501670,0.0,"지오 테오고니아_가도_낮","프레시아(폴른)"
20,126201,501372,0.0,"용소_밤","이리야(의장복)"
4,126301,500040,0.0,"랜드솔 길드 하우스","유키(의장복)"
4,126401,501660,0.0,"지오 테오고니아_평원_낮","클로체"
4,126501,501720,0.0,"지오 테오고니아_캐슬 오브 파르페_알현실_낮","라이라엘"
2,126601,500692,0.0,"해변의 가게_밤","네네카(여름)"
4,126701,501030,0.0,"위시 비치","아키노(여름)"
4,126801,500280,0.0,"무인도","유카리(여름)"
2,126901,501030,0.0,"위시 비치","란파(여름)"
4,127001,500160,0.0,"마르젠 해안","쿠우카(여름)"
4,127101,500162,0.0,"마르젠 해안_밤","시노부(여름)"
2,127201,502030,0.0,"앰브로즈 마법 학원_옥상_낮","캬루(편입생)"
4,127301,502030,0.0,"앰브로즈 마법 학원_옥상_낮","스즈나(편입생)"
2,127501,502060,0.0,"사막 나라의 대로_낮","사렌(사라사리아)"
3,127601,501370,0.0,"용소_낮","루카(사라사리아)"
20,127701,501730,0.0,"지오 테오고니아_캐슬 오브 파르페_큰 방","린드"
4,127801,501730,0.0,"지오 테오고니아_캐슬 오브 파르페_큰 방","블룸"
2,127901,500036,0.0,"랜드솔_번화가_크리스마스_낮","페코린느(크리스마스)"
2,128001,500036,0.0,"랜드솔_번화가_크리스마스_낮","크레짓타(크리스마스)"
4,128301,500893,0.0,"뒷골목_눈_낮","이노리(새해)"
4,128401,501470,0.0,"랜드솔_번화가_설날_낮","하츠네(새해)"
18,128501,501470,0.0,"랜드솔_번화가_설날_낮","카스미(새해)"
2,128701,500140,0.0,"프라노 평원","히요리(아스트랄)"
3,128801,500140,0.0,"프라노 평원","레이(아스트랄)"
2,128901,500140,0.0,"프라노 평원","유이(아스트랄)"
2,129001,500510,0.0,"꽃밭","에리스"
2,129301,502220,0.0,"메르쿠리조트_수영장 구역_낮","유니(겨울)"
2,129401,502220,0.0,"메르쿠리조트_수영장 구역_낮","클로에(겨울)"
2,129501,502220,0.0,"메르쿠리조트_수영장 구역_낮","치에루(겨울)"
2,129601,502071,0.0,"지오 게헤나_정글_밤","아네모네"
2,129701,502170,0.0,"지오 게헤나_귀암성채_알현실_낮","네피＝네라"
2,129801,501680,0.0,"평원_낮","마코토(커맨더)"
4,129901,500030,0.0,"랜드솔 번화가","에리코(커맨더)"
3,130001,501760,0.0,"밴디 샤크호_실내_거주하는 방","야마토"
4,130101,501760,0.0,"밴디 샤크호_실내_거주하는 방","와카나"
4,130201,501760,0.0,"밴디 샤크호_실내_거주하는 방","후부키"
20,130701,500020,0.0,"랜드솔_교외","쿄우카(봄)"
2,130801,500351,0.0,"사렌디아 구호원_정원","스즈메(봄)"
4,130901,502270,0.0,"그랜드림 파크_입구_낮","쿠루루"
2,131001,502280,0.0,"그랜드림 파크_원내_낮","마호(드림파크)"
3,131101,501030,0.0,"위시 비치","네아(여름)"
4,131201,500690,0.0,"해변의 가게_낮","미소라(여름)"
2,131601,500163,0.0,"바다_파라솔_낮","리리(여름)"
4,131701,500160,0.0,"마르젠 해안","아메스(여름)"
2,131801,500285,0.0,"무인도","호마레(여름)"
4,132201,502360,0.0,"알케스 연금당_공방_낮","노조미(알케미스트)"
4,132801,500038,0.0,"랜드솔_번화가_크리스마스_밤","라이라엘(크리스마스)"
2,132901,500038,0.0,"랜드솔_번화가_크리스마스_밤","이오(크리스마스)"
4,133001,502290,0.0,"지오 니블헬_유골 사막","그레이스"
4,133201,501470,0.0,"랜드솔_번화가_설날_낮","모니카(새해)"
2,133501,501470,0.0,"랜드솔_번화가_설날_낮","사렌(새해)"
2,133601,500110,0.0,"사렌디아 구호원_응접실_낮","메두사"
2,133701,500341,0.0,"라비린스 길드 거점","라비리스타(알파)"
4,133901,500780,0.0,"랜드솔_번화가_축제_박살_낮","크리스티나(알파)"
2,180101,500130,0.0,"에스트렐라 가도","히요리(프린세스)"
4,180201,500130,0.0,"에스트렐라 가도","유이(프린세스)"
3,180301,500130,0.0,"에스트렐라 가도","레이(프린세스)"
4,180401,500130,0.0,"에스트렐라 가도","페코린느(프린세스)"
2,180501,500130,0.0,"에스트렐라 가도","콧코로(프린세스)"
18,180601,500130,0.0,"에스트렐라 가도","캬루(프린세스)"
2,180701,501370,0.0,"용소_낮","하츠네＆시오리"
2,180801,500194,0.0,"엘프의 숲_비밀 기지","미소기＆미미＆쿄우카"
2,180901,500140,0.0,"프라노 평원","아키노＆사렌"
2,181001,500213,0.0,"중복_낮","앤＆글레어"
2,181101,500010,0.0,"랜드솔_시가지_낮","시즈루＆리노"
2,181201,500130,0.0,"에스트렐라 가도","셰피(프린세스)"
