condition_id,area_id,bg_after_change_id,id,target_type,condition_type
5085005,10113,501501,109,2,3
1011001,10110101,0,110,1,2
20037112,20037101,0,111,1,1
5066005,20037,501291,112,2,3
5088005,10115,501810,113,2,3
5114000,10114,500016,114,2,3
5114003,10114,501952,115,2,3
5068001,20038,501341,116,2,3
5090002,10117,501541,117,2,3
5070004,20039,501353,121,2,3
5070005,20039,500016,122,2,3
5116004,10116,500837,123,2,3
5092001,10119,501031,124,2,3
5092004,10119,501551,125,2,3
5118002,10118,500133,126,2,3
5118003,10118,500810,127,2,3
5118007,10118,500133,128,2,3
5072004,20040,501364,129,2,3
5072006,20040,501365,130,2,3
5124003,10124,501614,132,2,3
5074001,20041,501383,133,2,3
5094001,10121,501593,135,2,3
5122000,10122,502003,136,2,3
5122002,10122,502015,137,2,3
5096002,10123,501613,138,2,3
5076005,20042,505036,139,2,3
5078004,20043,501451,140,2,3
5098000,10125,501031,141,2,3
5100003,10127,500837,143,2,3
5080005,20044,501463,144,2,3
5128001,10128,502063,145,2,3
5102002,10129,501873,146,2,3
20045105,20045101,0,147,1,1
20045108,20045102,0,148,1,1
20045111,20045103,0,149,1,1
5082002,20045,501160,150,2,3
5082004,20045,501031,151,2,3
5082005,20045,501483,152,2,3
5084001,20046,500368,153,2,3
5084002,20046,510306,154,2,3
5084003,20046,500039,155,2,3
5085002,20047,500368,156,2,3
5085003,20047,510203,157,2,3
5085004,20047,500272,158,2,3
5085005,20047,501501,159,2,3
5130001,10130,500016,160,2,3
5130007,10130,500133,161,2,3
5104003,10131,500133,162,2,3
5136002,10136,500143,163,2,3
5136004,10136,500175,164,2,3
5137002,10137,501622,165,2,3
5137005,10137,500133,166,2,3
5088005,20048,501810,167,2,3
5134007,10134,500553,168,2,3
5108002,10135,501911,169,2,3
5110005,10138,501931,170,2,3
5111005,10139,500013,171,2,3
5090002,20049,501541,172,2,3
1013801,10138101,0,173,1,2
5114000,10141,500016,174,2,3
5114003,10141,501952,175,2,3
5140002,10140,502224,180,2,3
5092001,20050,501031,181,2,3
5092004,20050,501551,182,2,3
5142001,10142,501683,183,2,3
5116004,10143,500837,184,2,3
5118002,10145,500133,185,2,3
5118003,10145,500810,186,2,3
5118007,10145,500133,187,2,3
5094001,20051,501593,188,2,3
5096002,20052,501613,189,2,3
5146001,10146,502283,1014601,2,3
5122000,10149,502003,1014901,2,3
5122002,10149,502015,1014902,2,3
5124003,10151,501614,1015101,2,3
5154007,10154,502373,1015401,2,3
5156001,10156,502074,1015601,2,3
5156002,10156,502394,1015602,2,3
5128001,10157,502063,1015701,2,3
5158003,10158,500880,1015801,2,3
5130001,10159,500016,1015901,2,3
5130007,10159,500133,1015902,2,3
5134007,10163,500553,1016301,2,3
5136002,10164,500143,1016401,2,3
5136004,10164,500175,1016402,2,3
5137002,10165,501622,1016501,2,3
5137005,10165,500133,1016502,2,3
5098000,20053,501031,2005301,2,3
5100003,20054,500837,2005401,2,3
5102002,20055,501873,2005501,2,3
5104003,20056,500133,2005601,2,3
5108002,20058,501911,2005801,2,3
5110005,20059,501931,2005901,2,3
5111005,20060,500013,2006001,2,3
