param_04,param_01,drama_id,command_id,param_02,param_07,param_03,param_06,command_type,param_05,param_08
"",105811,112,112057,0,"","","",4,"",""
"",105911,112,112058,0,"","","",4,"",""
"",105811,112,112059,wac_215_idle_joy1,"",1,0.2,3,"",""
"",105911,112,112060,wac_215_idle_normal,"",1,0.2,3,"",""
"",106431,112,112061,wac_215_idle_surprise1,"",1,0.2,3,"",""
wac_215_talk_anger2,106011,112,112062,wac_215_kyaru_anger,0.2,1,0.2,3,1,""
0,vo_wac_220215,112,112063,vo_wac_220215_011,"",0,"",21,"",""
1,106011,112,112064,"잠깐 잠깐 잠깐!!\n기다리라니까!?\n너희, 랜드솔 벽 한 바퀴가\n얼마나 긴 줄 알아?",0,10,0,11,1,0.5
"",112064,112,112065,"","","","",91,"",""
"",106011,112,112066,wac_215_idle_anger2,"",1,0.2,3,"",""
"",106011,112,112067,wac_215_talk_sad,"",1,0.2,3,"",""
0,vo_wac_220215,112,112068,vo_wac_220215_012,"",0,"",21,"",""
1,106011,112,112069,"그냥 걷기만 해도 넌더리가 날\n정도의 거리라니까?\n우리들끼리는 아무리 그래도……",0,10,0,11,1,0.5
"",112069,112,112070,"","","","",91,"",""
"",106011,112,112071,wac_215_idle_sad,"",1,0.2,3,"",""
"",105911,112,112072,wac_215_coccoro_talk_wish2,"",1,0.2,3,"",""
0,vo_wac_220215,112,112073,vo_wac_220215_013,"",0,"",21,"",""
1,105911,112,112074,"캬루 님, 그럼, 다른 길드에도\n도움을 받는 건 어떨까요.\n여러분과 힘을 합치면……",0,10,0,11,1,0.5
"",112074,112,112075,"","","","",91,"",""
"",105911,112,112076,wac_215_coccoro_idle_wish2,"",1,0.2,3,"",""
wac_215_kyaru_talk_doya_loop,106011,112,112077,wac_215_kyaru_talk_doya,0,0,0.2,3,1,""
0,vo_wac_220215,112,112078,vo_wac_220215_014,"",0,"",21,"",""
1,106011,112,112079,"완전 의욕이 넘치네, 코로스케……\n아아 정말, 하는 수 없네.\n카린, 너 그런 거 특기지?\n콜 오브 어쩌고 하는 거.",0,10,0,11,1,0.5
"",112079,112,112080,"","","","",91,"",""
"",106011,112,112081,wac_215_idle_arm_crossed,"",1,0.2,3,"",""
"",105811,112,112082,1,"","","",4,"",""
"",105911,112,112083,1,"","","",4,"",""
"",105911,112,112084,wac_215_idle_normal_joy,"",1,0.2,3,"",""
"",106431,112,112085,wac_215_idle_normal2_joy,"",1,0.2,3,"",""
"",118511,112,112086,wac_215_karin_talk_wish,"",1,0.2,3,"",""
0,vo_wac_220215,112,112087,vo_wac_220215_015,"",0,"",21,"",""
1,118511,112,112088,"알겠습니다,\n각 길드로 보낼 의뢰서를 정리할게요.\n콜 오브 길드……!",0,10,0,11,1,0.5
"",112088,112,112089,"","","","",91,"",""
"",118511,112,112090,wac_215_karin_idle_normal,"",1,0.2,3,"",""
"",118511,112,112091,wac_215_karin_talk_normal,"",1,0.2,3,"",""
0,vo_wac_220215,112,112092,vo_wac_220215_016,"",0,"",21,"",""
1,118511,112,112093,"그럼, 여러분이 그리고 계신 동안\n다른 길드에 이야기하러 갈게요.\n벽을 멋진 그림으로 가득 채워서\n랜드솔의 상징을 만들어요!",0,10,0,11,1,0.5
"",112093,112,112094,"","","","",91,"",""
"",118511,112,112095,wac_215_karin_idle_normal,"",1,0.2,3,"",""
wac_215_peko_talk_wish_loop,105811,112,112096,wac_215_peko_talk_wish,0.2,0,0.2,3,1,""
0,vo_wac_220215,112,112097,vo_wac_220215_017,"",0,"",21,"",""
1,105811,112,112098,"알겠어요!\n그럼 저는 마물 요리 그림을……",0,10,0,11,1,0.5
"",112098,112,112099,"","","","",91,"",""
"",105811,112,112100,wac_215_peko_idle_wish,"",1,0.2,3,"",""
wac_215_talk_arm_crossed_loop,106011,112,112101,wac_215_kyaru_talk_anger,0.2,0,0.2,3,1,""
0,vo_wac_220215,112,112102,vo_wac_220215_018,"",0,"",21,"",""
1,106011,112,112103,"기분 나쁜 거 그리려 들지 마!\n뭐, 계획 자체는 괜찮지 않아?\n재밌을 것 같고…… 그럼,\n어디 한번 해보자고!",0,10,0,11,1,0.5
"",112103,112,112104,"","","","",91,"",""
"",106011,112,112105,wac_215_idle_arm_crossed,"",1,0.2,3,"",""
wac_215_cmn_eieio_loop,105811,112,112106,wac_215_cmn_eieio,0,0,0.2,3,1,""
wac_215_cmn_eieio_loop,106431,112,112107,wac_215_cmn_eieio,0,0,0.2,3,1,""
"",0.1,112,112108,"","","","",93,"",""
wac_215_cmn_eieio_loop,105911,112,112109,wac_215_cmn_eieio,0,0,0.2,3,1,""
wac_215_cmn_eieio_loop,106011,112,112110,wac_215_cmn_eieio,0.2,0,0.2,3,1,""
"",0.9,112,112111,"","","","",93,"",""
wac_215_karin_idle_normal,118511,112,112112,wac_215_handclap,0.2,0,0.2,3,1,""
"",2,112,112113,0,"","","",93,"",""
"",0,112,112114,"","","","",91,"",""
"",118511,113,113001,wac_215_karin_idle_normal,"",1,0.2,3,"",""
"",105811,113,113002,wac_215_idle_joy1,"",1,0.2,3,"",""
"",0.1,113,113003,"","","","",93,"",""
"",105911,113,113004,wac_215_coccoro_idle_wish,"",1,0.2,3,"",""
"",106011,113,113005,wac_215_idle_arm_crossed,"",1,0.2,3,"",""
"",0.1,113,113006,"","","","",93,"",""
"",106431,113,113007,wac_215_idle_normal2_joy,"",1,0.2,3,"",""
"",0,113,113008,"","","","",91,"",""
-108,1,211,211001,105811,0,202,2,1,-212.75,wac_default_11
-108,1,211,211002,111,0,201,2,5,-212.75,wac_default_11
0,1,211,211003,1,"",0,1,31,1,""
0,2,211,211004,2,"",0,0,31,1,""
0,11,211,211005,11,"",0,0,31,1,""
"",105811,211,211006,wac_paint_11,"",0,0.2,3,0,""
"",111,211,211007,wac_paint_11,"",0,0.2,3,0,""
"",0.3,211,211008,0,"","","",93,"",""
"",11,211,211009,1,"","","",32,"",wac_default_11
"",se_10035700,211,211010,se_10035700_roller,"",0,"",23,"",""
"",1,211,211011,"","","","",131,"",""
wac_talk_kyapi_loop,105811,212,212001,wac_talk_kyapi_in,"",0,0.2,3,1,""
"",111,212,212002,wac_no_items,"",1,0.2,3,"",""
0,105811,212,212003,200,"",-340,"",2,"",""
0,111,212,212004,200,"",-340,"",2,"",""
"",1,212,212005,0,"","","",32,"",""
"",2,212,212006,1,"","","",32,"",""
"",11,212,212007,0,"","","",32,"",""
0,vo_wac_220216,212,212008,vo_wac_220216_000,"",0,"",21,"",""
1,105811,212,212009,"엣헤헤~♪ 그림 그리기, 그림 그리기~!\n이렇게 큰 그림을 그리는 건\n태어나서 처음일지도 몰라요!",0,10,0,11,1,0.5
"",0,212,212010,"","","","",91,"",""
0,vo_wac_220216,212,212011,vo_wac_220216_001,"",0,"",21,"",""
1,105811,212,212012,"다 함께 식탁에 둘러앉는 건\n물론 행복하지만\n다 함께 하나의 것을 만드는 건……\n장난 아니네요☆",0,10,0,11,1,0.5
"",0,212,212013,"","","","",91,"",""
"",0,212,212014,0,"","","",22,"",""
"",105811,213,213001,wac_idle_kyapi,"",1,0.2,3,"",""
"",111,213,213002,wac_no_items,"",1,0.2,3,"",""
0,105811,213,213003,200,"",-340,"",2,"",""
0,111,213,213004,200,"",-340,"",2,"",""
"",1,213,213005,0,"","","",32,"",""
"",2,213,213006,1,"","","",32,"",""
"",11,213,213007,0,"","","",32,"",""
"",0,213,213008,"","","","",91,"",""
-108,1,311,311001,105911,0,202,2,1,-212.75,wac_default_01
-108,1,311,311002,111,0,201,2,5,-212.75,wac_default_03
0,1,311,311003,1,"",0,1,31,1,""
0,2,311,311004,2,"",0,0,31,1,""
0,11,311,311005,11,"",0,0,31,1,""
"",105911,311,311006,wac_paint_01,"",0,0.2,3,"",""
"",111,311,311007,wac_paint_03,"",0,0.2,3,"",""
"",11,311,311008,1,"","","",32,"",wac_default_11
"",se_10035700,311,311009,se_10035700_brush,"",0,"",23,"",""
"",1,311,311010,"","","","",131,"",""
wac_talk_wish_loop,105911,312,312001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,312,312002,wac_no_items,"",1,0.2,3,"",""
0,105911,312,312003,200,"",-340,"",2,"",""
0,111,312,312004,200,"",-340,"",2,"",""
"",1,312,312005,0,"","","",32,"",""
"",2,312,312006,1,"","","",32,"",""
"",11,312,312007,0,"","","",32,"",""
0,vo_wac_220217,312,312008,vo_wac_220217_000,"",0,"",21,"",""
1,105911,312,312009,"후우……\n시중을 드는 것은 특기입니다만\n그림의 재능에는 그다지 자신이 없습니다.\n하지만……",0,10,0,11,1,0.5
"",0,312,312010,"","","","",91,"",""
0,vo_wac_220217,312,312011,vo_wac_220217_001,"",0,"",21,"",""
1,105911,312,312012,"언젠가 이 랜드솔 벽에\n늠름한 주인님의 모습을 그리고 싶어……\n저, 열심히 하겠습니다.\n지켜봐 주세요, 주인님……♪",0,10,0,11,1,0.5
"",0,312,312013,"","","","",91,"",""
"",0,312,312014,0,"","","",22,"",""
"",105911,313,313001,wac_idle_wish,"",1,0.2,3,"",""
"",111,313,313002,wac_no_items,"",1,0.2,3,"",""
0,105911,313,313003,200,"",-340,"",2,"",""
0,111,313,313004,200,"",-340,"",2,"",""
"",1,313,313005,0,"","","",32,"",""
"",2,313,313006,1,"","","",32,"",""
"",11,313,313007,0,"","","",32,"",""
"",0,313,313008,"","","","",91,"",""
-108,1,411,411001,106011,0,202,2,1,-212.75,wac_default_01
-108,1,411,411002,111,0,201,2,5,-212.75,wac_default_02
0,1,411,411003,1,"",0,1,31,1,""
0,2,411,411004,2,"",0,0,31,1,""
0,11,411,411005,11,"",0,0,31,1,""
"",106011,411,411006,wac_paint_01,"",0,0.2,3,"",""
"",111,411,411007,wac_paint_02,"",0,0.2,3,"",""
"",11,411,411008,1,"","","",32,"",wac_default_11
"",se_10035700,411,411009,se_10035700_brush,"",0,0.2,23,0,""
"",1,411,411010,"","","","",131,"",""
wac_talk_doya_loop,106011,412,412001,wac_talk_doya_in,"",0,0.2,3,1,""
"",111,412,412002,wac_no_items,"",1,0.2,3,"",""
0,106011,412,412003,200,"",-340,"",2,"",""
0,111,412,412004,200,"",-340,"",2,"",""
"",1,412,412005,0,"","","",32,"",""
"",2,412,412006,1,"","","",32,"",""
"",11,412,412007,0,"","","",32,"",""
0,vo_wac_220218,412,412008,vo_wac_220218_000,"",0,"",21,"",""
1,106011,412,412009,"훙훙후~웅♪\n좋았어, 느낌이 좋네!\n오늘 할당량, 완성!",0,10,0,11,1,0.5
"",0,412,412010,"","","","",91,"",""
0,vo_wac_220218,412,412011,vo_wac_220218_001,"",0,"",21,"",""
1,106011,412,412012,"어쩐지 즐거워지기 시작했어.\n……나 어쩌면\n그림에 재능이 있는 게 아닐까♪\n좋~았어, 척척 그려보자고!",0,10,0,11,1,0.5
"",0,412,412013,"","","","",91,"",""
"",0,412,412014,0,"","","",22,"",""
"",106011,413,413001,wac_idle_doya,"",1,0.2,3,"",""
"",111,413,413002,wac_no_items,"",1,0.2,3,"",""
0,106011,413,413003,200,"",-340,"",2,"",""
0,111,413,413004,200,"",-340,"",2,"",""
"",1,413,413005,0,"","","",32,"",""
"",2,413,413006,1,"","","",32,"",""
"",11,413,413007,0,"","","",32,"",""
"",0,413,413008,"","","","",91,"",""
-108,1,511,511001,106431,0,202,2,1,-212.75,wac_default_11
-108,1,511,511002,111,0,201,2,5,-212.75,wac_default_12
0,1,511,511003,1,"",0,1,31,1,""
0,2,511,511004,2,"",0,0,31,1,""
0,11,511,511005,11,"",0,0,31,1,""
"",106431,511,511006,wac_paint_11,"",0,0.2,3,"",""
"",111,511,511007,wac_paint_12,"",0,0.2,3,"",""
"",0.3,511,511008,0,"","","",93,"",""
"",11,511,511009,1,"","","",32,"",wac_default_11
"",se_10035700,511,511010,se_10035700_roller,"",0,0.2,23,0,""
"",1,511,511011,"","","","",131,"",""
wac_talk_smile_loop,106431,512,512001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,512,512002,wac_no_items,"",1,0.2,3,"",""
0,106431,512,512003,200,"",-340,"",2,"",""
0,111,512,512004,200,"",-340,"",2,"",""
"",1,512,512005,0,"","","",32,"",""
"",2,512,512006,1,"","","",32,"",""
"",11,512,512007,0,"","","",32,"",""
0,vo_wac_220219,512,512008,vo_wac_220219_000,"",0,"",21,"",""
1,106431,512,512009,"그림 공부 같은 건\n한 적 없었는데……\n힘껏 손을 움직여서 그림을 그리는 건\n신선해서 재밌네.",0,10,0,11,1,0.5
"",0,512,512010,"","","","",91,"",""
0,vo_wac_220219,512,512011,vo_wac_220219_001,"",0,"",21,"",""
1,106431,512,512012,"우리가 그린 그림이\n랜드솔 풍경의 일부가 되다니\n어쩐지 꿈만 같아……!",0,10,0,11,1,0.5
"",0,512,512013,"","","","",91,"",""
"",0,512,512014,0,"","","",22,"",""
"",106431,513,513001,wac_idle_smile,"",1,0.2,3,"",""
"",111,513,513002,wac_no_items,"",1,0.2,3,"",""
0,106431,513,513003,200,"",-340,"",2,"",""
0,111,513,513004,200,"",-340,"",2,"",""
"",1,513,513005,0,"","","",32,"",""
"",2,513,513006,1,"","","",32,"",""
"",11,513,513007,0,"","","",32,"",""
"",0,513,513008,"","","","",91,"",""
-108,1,611,611001,104411,0,202,2,1,-212.75,wac_default_01
-108,1,611,611002,111,0,201,2,5,-212.75,wac_default_01
0,1,611,611003,1,"",0,1,31,1,""
0,2,611,611004,2,"",0,0,31,1,""
0,11,611,611005,11,"",0,0,31,1,""
"",104411,611,611006,wac_paint_01,"",0,0.2,3,"",""
"",111,611,611007,wac_paint_01,"",0,0.2,3,"",""
"",11,611,611008,1,"","","",32,"",wac_default_11
"",se_10035700,611,611009,se_10035700_brush,"",0,0.2,23,0,""
"",1,611,611010,"","","","",131,"",""
wac_talk_doya_loop,104411,612,612001,wac_talk_doya_in,"",0,0.2,3,1,""
"",111,612,612002,wac_no_items,"",1,0.2,3,"",""
0,104411,612,612003,200,"",-340,"",2,"",""
0,111,612,612004,200,"",-340,"",2,"",""
"",1,612,612005,0,"","","",32,"",""
"",2,612,612006,1,"","","",32,"",""
"",11,612,612007,0,"","","",32,"",""
0,vo_wac_220220,612,612008,vo_wac_220220_000,"",0,"",21,"",""
1,104411,612,612009,"랜드솔에 이 몸의 위광을\n남김없이 그린다……\n상당히 세련된 일이구나!",0,10,0,11,1,0.5
"",0,612,612010,"","","","",91,"",""
0,vo_wac_220220,612,612011,vo_wac_220220_001,"",0,"",21,"",""
1,104411,612,612012,"흠. 그나저나 과연 이 몸이군.\n타의 추종을 불허하는 훌륭한 붓놀림.\n이로써 세계정복도 목전이구나!\n훗…… 후하하하하, 하~핫핫하!",0,10,0,11,1,0.5
"",0,612,612013,"","","","",91,"",""
"",0,612,612014,0,"","","",22,"",""
"",104411,613,613001,wac_idle_doya,"",1,0.2,3,"",""
"",111,613,613002,wac_no_items,"",1,0.2,3,"",""
0,104411,613,613003,200,"",-340,"",2,"",""
0,111,613,613004,200,"",-340,"",2,"",""
"",1,613,613005,0,"","","",32,"",""
"",2,613,613006,1,"","","",32,"",""
"",11,613,613007,0,"","","",32,"",""
"",0,613,613008,"","","","",91,"",""
-108,1,711,711001,102211,0,202,2,1,-325,wac_default_bot_01
-108,1,711,711002,111,0,201,2,5,-325,wac_default_02
0,3,711,711003,3,"",0,1,31,1,""
0,2,711,711004,2,"",0,0,31,1,""
0,13,711,711005,13,"",0,0,31,1,""
"",102211,711,711006,wac_paint_bot_01,"",0,0.2,3,"",""
"",111,711,711007,wac_paint_02,"",0,0.2,3,"",""
"",13,711,711008,1,"","","",32,"",wac_default_11
"",se_10035700,711,711009,se_10035700_brush,"",0,0.2,23,0,""
"",1,711,711010,"","","","",131,"",""
wac_talk_sad_loop,102211,712,712001,wac_talk_sad_in,"",0,0.2,3,1,""
"",111,712,712002,wac_no_items,"",1,0.2,3,"",""
0,102211,712,712003,200,"",-340,"",2,"",""
0,111,712,712004,200,"",-340,"",2,"",""
"",3,712,712005,0,"","","",32,"",""
"",2,712,712006,1,"","","",32,"",""
"",13,712,712007,0,"","","",32,"",""
0,vo_wac_220221,712,712008,vo_wac_220221_000,"",0,"",21,"",""
1,102211,712,712009,"이, 이런 느낌으로 하면 돼……?\n갑자기 그림을 그려달라니\n정말 억지스러운 말을 한다니까.",0,10,0,11,1,0.5
"",0,712,712010,"","","","",91,"",""
0,vo_wac_220221,712,712011,vo_wac_220221_001,"",0,"",21,"",""
1,102211,712,712012,"긴장해서 손이 떨렸는데……\n내가 했지만 잘 완성됐네.\n아카리는 어떤 걸 그렸을까?\n보러 가야지.",0,10,0,11,1,0.5
"",0,712,712013,"","","","",91,"",""
"",0,712,712014,0,"","","",22,"",""
"",102211,713,713001,wac_idle_sad,"",1,0.2,3,"",""
"",111,713,713002,wac_no_items,"",1,0.2,3,"",""
0,102211,713,713003,200,"",-340,"",2,"",""
0,111,713,713004,200,"",-340,"",2,"",""
"",3,713,713005,0,"","","",32,"",""
"",2,713,713006,1,"","","",32,"",""
"",13,713,713007,0,"","","",32,"",""
"",0,713,713008,"","","","",91,"",""
-108,1,811,811001,100611,0,202,2,1,-325,wac_default_bot_11
-108,1,811,811002,111,0,201,2,5,-325,wac_default_12
0,3,811,811003,3,"",0,1,31,1,""
0,2,811,811004,2,"",0,0,31,1,""
0,13,811,811005,13,"",0,0,31,1,""
"",100611,811,811006,wac_paint_bot_11,"",0,0.2,3,"",""
"",111,811,811007,wac_paint_12,"",0,0.2,3,"",""
"",0.3,811,811008,0,"","","",93,"",""
"",13,811,811009,1,"","","",32,"",wac_default_11
"",se_10035700,811,811010,se_10035700_roller,"",0,0.2,23,0,""
"",1,811,811011,"","","","",131,"",""
wac_talk_smile_loop,100611,812,812001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,812,812002,wac_no_items,"",1,0.2,3,"",""
0,100611,812,812003,200,"",-340,"",2,"",""
0,111,812,812004,200,"",-340,"",2,"",""
"",3,812,812005,0,"","","",32,"",""
"",2,812,812006,1,"","","",32,"",""
"",13,812,812007,0,"","","",32,"",""
0,vo_wac_220222,812,812008,vo_wac_220222_000,"",0,"",21,"",""
1,100611,812,812009,"에헤헤♪\n아카리, 완성했어요~♪\n정말 귀여워~♪",0,10,0,11,1,0.5
"",0,812,812010,"","","","",91,"",""
0,vo_wac_220222,812,812011,vo_wac_220222_001,"",0,"",21,"",""
1,100611,812,812012,"하지만, 좀 더 하트를 흩뿌리는 편이\n좋았으려나? 언니 쪽에\n덧그릴……\n아! 언니♪",0,10,0,11,1,0.5
"",0,812,812013,"","","","",91,"",""
"",0,812,812014,0,"","","",22,"",""
"",100611,813,813001,wac_idle_smile,"",1,0.2,3,"",""
"",111,813,813002,wac_no_items,"",1,0.2,3,"",""
0,100611,813,813003,200,"",-340,"",2,"",""
0,111,813,813004,200,"",-340,"",2,"",""
"",3,813,813005,0,"","","",32,"",""
"",2,813,813006,1,"","","",32,"",""
"",13,813,813007,0,"","","",32,"",""
"",0,813,813008,"","","","",91,"",""
-108,1,911,911001,103111,0,202,2,1,-212.75,wac_default_01
-108,1,911,911002,111,0,201,2,5,-212.75,wac_default_03
0,1,911,911003,1,"",0,1,31,1,""
0,2,911,911004,2,"",0,0,31,1,""
0,11,911,911005,11,"",0,0,31,1,""
"",103111,911,911006,wac_paint_01,"",0,0.2,3,"",""
"",111,911,911007,wac_paint_03,"",0,0.2,3,"",""
"",11,911,911008,1,"","","",32,"",wac_default_11
"",se_10035700,911,911009,se_10035700_brush,"",0,0.2,23,0,""
"",1,911,911010,"","","","",131,"",""
wac_talk_wish_loop,103111,912,912001,wac_talk_wish_in,"",0,0.2,3,1,""
"",111,912,912002,wac_no_items,"",1,0.2,3,"",""
0,103111,912,912003,200,"",-340,"",2,"",""
0,111,912,912004,200,"",-340,"",2,"",""
"",1,912,912005,0,"","","",32,"",""
"",2,912,912006,1,"","","",32,"",""
"",11,912,912007,0,"","","",32,"",""
0,vo_wac_220223,912,912008,vo_wac_220223_000,"",0,"",21,"",""
1,103111,912,912009,"랜드솔 벽에 그림을 그린다……\n제가 그런 걸 할 수 있을까\n불안했지만,\n잘 되어서 한숨 돌렸어요.",0,10,0,11,1,0.5
"",0,912,912010,"","","","",91,"",""
0,vo_wac_220223,912,912011,vo_wac_220223_001,"",0,"",21,"",""
1,103111,912,912012,"이걸 다른 사람이 본다고 생각하면,\n조금 부끄럽기도 하지만……\n즐거운 기분이 들면\n좋겠네요.",0,10,0,11,1,0.5
"",0,912,912013,"","","","",91,"",""
"",0,912,912014,0,"","","",22,"",""
"",103111,913,913001,wac_idle_wish,"",1,0.2,3,"",""
"",111,913,913002,wac_no_items,"",1,0.2,3,"",""
0,103111,913,913003,200,"",-340,"",2,"",""
0,111,913,913004,200,"",-340,"",2,"",""
"",1,913,913005,0,"","","",32,"",""
"",2,913,913006,1,"","","",32,"",""
"",11,913,913007,0,"","","",32,"",""
"",0,913,913008,"","","","",91,"",""
-108,1,1011,1011001,100711,0,202,2,1,-212.75,wac_default_01
-108,1,1011,1011002,111,0,201,2,5,-212.75,wac_default_01
0,1,1011,1011003,1,"",0,1,31,1,""
0,2,1011,1011004,2,"",0,0,31,1,""
0,11,1011,1011005,11,"",0,0,31,1,""
"",100711,1011,1011006,wac_paint_01,"",0,0.2,3,"",""
"",111,1011,1011007,wac_paint_01,"",0,0.2,3,"",""
"",11,1011,1011008,1,"","","",32,"",wac_default_11
"",se_10035700,1011,1011009,se_10035700_brush,"",0,0.2,23,0,""
"",1,1011,1011010,"","","","",131,"",""
wac_talk_smile_loop,100711,1012,1012001,wac_talk_smile_in,"",0,0.2,3,1,""
"",111,1012,1012002,wac_no_items,"",1,0.2,3,"",""
0,100711,1012,1012003,200,"",-340,"",2,"",""
0,111,1012,1012004,200,"",-340,"",2,"",""
"",1,1012,1012005,0,"","","",32,"",""
"",2,1012,1012006,1,"","","",32,"",""
"",11,1012,1012007,0,"","","",32,"",""
0,vo_wac_220224,1012,1012008,vo_wac_220224_000,"",0,"",21,"",""
1,100711,1012,1012009,"푸딩인 거야, 여기에도 푸딩인 거야,\n저쪽에도 그쪽에도 푸딩인 거야는\n농담, 거짓말인 거야.\n제대로 배운 대로 그리는 거야.",0,10,0,11,1,0.5
"",0,1012,1012010,"","","","",91,"",""
0,vo_wac_220224,1012,1012011,vo_wac_220224_001,"",0,"",21,"",""
1,100711,1012,1012012,"……으~ 하지만 푸딩을\n생각했더니 배가 고파진 거야.\n그래서 푸딩을 그리고 벽을 먹어본 거야.\n전혀 맛있지 않은 거야!",0,10,0,11,1,0.5
"",0,1012,1012013,"","","","",91,"",""
