effect_times,dish_id,category,sub_effect_value,effect_turn,effect_description,effect_type,description,sold_price,disable_category,sub_effect_description,recipe_id,sub_effect_type,effect_value,new_line_name,name,prefab_id
0,52021,2,7,3,"트레저 칸을 스킵하고 이동할 수 있다. 효과는 3턴 간 지속된다.",9,"예쁘게 장식된 상자에 담긴 봉봉 쇼콜라. 그 쌉쌀함을 숨긴 농후한 단맛이 회색 뇌세포를 일깨울 때, 명탐정의 날카로운 추리로 숨겨진 수수께끼가 모두 만천하에 밝혀지고, 사건을 해결로 이끈다.",500,0,"평범한 미감정 트레저를 2개 획득한다.",51021,10,2,"카스미의 진실을 꿰뚫는\n봉봉 쇼콜라","카스미의 진실을 꿰뚫는 봉봉 쇼콜라",3
0,52022,1,0,3,"주사위를 3번 던지는 동안, 「5와 6」이 나올 확률이 3배가 된다.",2,"아키노가 지오 게헤나에서 조달해 온 향신료를 사용한 트렌디하고 화려한 치킨 플레이트. 목장 특제 요구르트 소스와 어우러지는 자극적인 맛은 그야말로 두 세계 사이에서 일어난 기적의 마리아주라고 할 수 있다.",500,0,"없음",51022,0,20008,"아키노의 게헤니안\n치킨 플레이트","아키노의 게헤니안 치킨 플레이트",1
0,52023,1,1,2,"[FF7C4E,D62146]【덮어쓰기 불가】[-]다음에 던지는 주사위 숫자가 반드시 「6」, 그다음에 던지는 주사위 숫자는 반드시 「3」이 나온다.",7,"미미가 지오 게헤나에서 자신을 구해 준 언니들을\n생각해 만든 주먹밥. 각각 다른\n맛으로 구성되어 있지만, 미미의 소원대로 서로\n싸우지 않고 사이좋게 하모니를 이루고 있다.",500,1,"평범한 미감정 트레저를 1개 획득한다.",51023,10,1,"미미의 데굴데굴\n주먹밥","미미의 데굴데굴 주먹밥",1
0,52024,3,3,0,"RANK 2 마일 상점을 연다.",8,"정신 차려 보니 리리 곁에 있었던 신기한 디저트.\n얼핏 보면 평범한 케이크지만, 내부에 여러 재료가\n숨은 듯 들어 있다. 복잡하고 겹겹이 쌓인\n맛을 선보이는 모습은 마치 누군가를 떠오르게 한다.",500,0,"다음에 주사위를 던졌을 때, 3칸 더 나아간다.",51024,11,2,"아유미의 은밀\n가토 인비저블","아유미의 은밀 가토 인비저블",3
0,52025,2,0,1,"「마일 칸」, 「트레저 칸」을 스킵하고 이동할 수 있다. 효과는 1턴 간 지속된다.",9,"아네모네가 돌보는 비밀 농원의 야채를 사용한 샐러드. 영양을 중시하는 아네모네는 초식 동물 고기를 야채로 해석, 처음엔 야채 위에 고기를 올렸을 뿐이었지만, 네라의 지도로 만듦새를 고쳤다.",500,0,"없음",51025,0,3,"아네모네의\n꽃 만발 스테이크 샐러드","아네모네의 꽃 만발 스테이크 샐러드",3
0,52026,3,8,0,"랜덤 이벤트가 발생한다.",4,"지오 게헤나를 탐색하던 명희 일행이 현지에서 채집한 향신료로 맛을 낸 요리. 빨갛게 끓어 졸여진 소스는 자극적이고 굉장히 뒷맛이 깊어, 미지의 대지와 같이 모험가들을 그 심연으로 유혹한다.",500,0,"추첨권 2장을 획득한다.",51026,10,1,"안나의\n연옥 토마토 조림과 혼돈의 알","안나의 연옥 토마토 조림과 혼돈의 알",1
0,52027,1,0,2,"주사위를 2회 던질 동안, 주사위 숫자가 반드시 「5」가 나온다.",2,"유이가 먹는 사람을 생각하며, 마음을 담아 만든 도시락. 적당한 사이즈의 도시락통에 애정과 손재주를 가득 담은 극상의 요리로 차 있으며, 먹는 사람의 마음과 위를 상냥하게 채워 준다.",500,0,"없음",51027,0,20004,"유이의 영양 만점 정성 가득 도시락","유이의 영양 만점 정성 가득 도시락",3
0,52028,1,9,1,"다음에 던지는 주사위 숫자가 「1・2」만 나오는 대신, 바로 추첨권 3장을 획득한다.",2,"린에게 받은 비상식량용 단팥빵. 견과류가 들어가 크런치한 식감으로 아무리 먹어도 질리지 않는다. 게임을 위해 방에 틀어박힐 때의 동반자이며, 필요한 영양소를 모두 갖추고 있는 완전 영양식, 이라는 듯하다.",500,0,"없음",51028,10,30003,"린의\n게으름 견과류 단팥빵","린의 게으름 견과류 단팥빵",3
0,52029,1,0,1,"다음에 던지는 주사위 숫자가 반드시 「2」가 나온다. 또한 다음 턴 수 카운트를 스킵한다.",3,"셰피가 자신의 마력 얼음을 사용해 만든 아이스크림. 페코린느가 조르는 바람에 만들었지만 캬루 등에게도 호평이다. 콧코로 왈 시원하지만 먹으면 마음이 따뜻해집니다, 라고 한다.",500,0,"없음",51029,0,30004,"셰피의\n빛나는 얼음 결정 수제 아이스크림","셰피의 빛나는 얼음 결정 수제 아이스크림",2
0,52030,3,0,3,"3턴 동안 모든 「마일 칸」을 랭크 3인 「트레저 칸」으로 바꾼다. ",12,"미소라가 끓인 라면. 대충 말한 좋아하는 것을 란파가 기억해 재료를 준비해 준 바람에 하는 수 없이 만든 것이지만 맛은 고급스러운 일품. 맛있게 먹는 모습을 보는 것이 싫지는 않은 모양.",500,0,"없음",51030,0,1,"미소라의\n변덕스러운 된장 라면★","미소라의 변덕스러운 된장 라면★",1
0,52031,1,0,1,"이번 턴에 던지는 주사위 숫자가 「1・6・6・6・8・8」이 된다.",2,"이로하가 항상 가지고 다니는 컬러풀한 젤리\n…하지만 알케스 연금당에서 만든 사슴벌레용\n먹이 젤리와 꼭 닮은 모습이다. 달고\n맛있으나 인간용이냐고 물으면 눈을 피한다.",500,0,"없음",51031,0,20009,"이로하의\n최강 사슴벌레 젤리(인간용)","이로하의 최강 사슴벌레 젤리(인간용)",3
0,52032,2,3,2,"요리 칸을 스킵하고 이동할 수 있다. 효과는 2턴 동안 계속된다.",9,"그레이스가 직접 만든 컵케이크. 충격적인 외견에 집중…한 듯 보이지만 눈알도 먹을 수 있으며 아주 맛있…다고 생각할 즈음 넋을 잃을 정도로 단 부분이 있다. 원재료는 극비다. ",500,0,"다음에 주사위를 던졌을 때, 3칸 더 나아간다.",51032,11,4,"그레이스의\n눈알이 튀어나오는 컵케이크","그레이스의 눈알이 튀어나오는 컵케이크",3
0,52033,3,0,0,"RANK3 마일 상점을 연다.",8,"소노가 만든 오므라이스. 이로하가 아주 좋아하는 음식이며 집밥 느낌. 평소에는 귀찮아서 안 하지만 이로하가 착하게 굴 때는 케첩으로 사슴벌레를 그려주기도 한다. 그럴 때는 평소보다 맛있다고 한다.",500,0,"없음",51033,0,3,"소노의 오늘은 특별 보상 오므라이스","소노의 오늘은 특별 보상 오므라이스",1
