child_enemy_parameter_1,name,child_enemy_parameter_5,child_enemy_parameter_4,child_enemy_parameter_2,child_enemy_parameter_3,enemy_id
401408205,"소드 코브라 2단계",0,0,401408206,401408207,401408204
401408305,"소드 코브라 3단계",0,0,401408306,401408307,401408304
401408405,"소드 코브라 4단계",0,0,401408406,401408407,401408404
401408505,"소드 코브라 5단계",0,0,401408506,401408507,401408504
401408605,"소드 코브라 1단계 싱글 모드",0,0,401408606,401408607,401408604
401408705,"소드 코브라 2단계 싱글 모드",0,0,401408706,401408707,401408704
401408805,"소드 코브라 3단계 싱글 모드",0,0,401408806,401408807,401408804
401409106,"글러튼 1단계",0,0,401409107,401409108,401409105
401409206,"글러튼 2단계",0,0,401409207,401409208,401409205
401409306,"글러튼 3단계",0,0,401409307,401409308,401409305
401409406,"글러튼 4단계",0,0,401409407,401409408,401409405
401409506,"글러튼 5단계",0,0,401409507,401409508,401409505
401409606,"글러튼 1단계 싱글 모드",0,0,401409607,401409608,401409605
401409706,"글러튼 2단계 싱글 모드",0,0,401409707,401409708,401409705
401409806,"글러튼 3단계 싱글 모드",0,0,401409807,401409808,401409805
401411106,"사지타리우스 1단계",0,0,401411107,0,401411105
401411206,"사지타리우스 2단계",0,0,401411207,0,401411205
401411306,"사지타리우스 3단계",0,0,401411307,0,401411305
401411406,"사지타리우스 4단계",0,0,401411407,0,401411405
401411506,"사지타리우스 5단계",0,0,401411507,0,401411505
401411606,"사지타리우스 1단계 싱글 모드",0,0,401411607,0,401411605
401411706,"사지타리우스 2단계 싱글 모드",0,0,401411707,0,401411705
401411806,"사지타리우스 3단계 싱글 모드",0,0,401411807,0,401411805
401412105,"옵시디언 와이번 1단계",0,0,401412106,401412107,401412104
401412205,"옵시디언 와이번 2단계",0,0,401412206,401412207,401412204
401412305,"옵시디언 와이번 3단계",0,0,401412306,401412307,401412304
401412405,"옵시디언 와이번 4단계",0,0,401412406,401412407,401412404
401412505,"옵시디언 와이번 5단계",0,0,401412506,401412507,401412504
401412605,"옵시디언 와이번 1단계 싱글 모드",0,0,401412606,401412607,401412604
401412705,"옵시디언 와이번 2단계 싱글 모드",0,0,401412706,401412707,401412704
401412805,"옵시디언 와이번 3단계 싱글 모드",0,0,401412806,401412807,401412804
401501106,"아쿠아 리오스 1단계",0,0,401501107,0,401501105
401501206,"아쿠아 리오스 2단계",0,0,401501207,0,401501205
401501306,"아쿠아 리오스 3단계",0,0,401501307,0,401501305
401501406,"아쿠아 리오스 4단계",0,0,401501407,0,401501405
401501506,"아쿠아 리오스 5단계",0,0,401501507,0,401501505
401501606,"아쿠아 리오스 1단계 싱글 모드",0,0,401501607,0,401501605
401501706,"아쿠아 리오스 2단계 싱글 모드",0,0,401501707,0,401501705
401501806,"아쿠아 리오스 3단계 싱글 모드",0,0,401501807,0,401501805
401503105,"트라이 로커 1단계",0,0,401503106,401503107,401503104
401503205,"트라이 로커 2단계",0,0,401503206,401503207,401503204
401503305,"트라이 로커 3단계",0,0,401503306,401503307,401503304
401503405,"트라이 로커 4단계",0,0,401503406,401503407,401503404
401503505,"트라이 로커 5단계",0,0,401503506,401503507,401503504
401503605,"트라이 로커 1단계 싱글 모드",0,0,401503606,401503607,401503604
401503705,"트라이 로커 2단계 싱글 모드",0,0,401503706,401503707,401503704
401503805,"트라이 로커 3단계 싱글 모드",0,0,401503806,401503807,401503804
401504105,"소드 코브라 1단계",0,0,401504106,401504107,401504104
401504205,"소드 코브라 2단계",0,0,401504206,401504207,401504204
401504305,"소드 코브라 3단계",0,0,401504306,401504307,401504304
401504405,"소드 코브라 4단계",0,0,401504406,401504407,401504404
401504505,"소드 코브라 5단계",0,0,401504506,401504507,401504504
401504605,"소드 코브라 1단계 싱글 모드",0,0,401504606,401504607,401504604
401504705,"소드 코브라 2단계 싱글 모드",0,0,401504706,401504707,401504704
401504805,"소드 코브라 3단계 싱글 모드",0,0,401504806,401504807,401504804
401505106,"트윈 피그즈 1단계",0,401505109,401505107,401505108,401505105
401505206,"트윈 피그즈 2단계",0,401505209,401505207,401505208,401505205
401505306,"트윈 피그즈 3단계",0,401505309,401505307,401505308,401505305
401505406,"트윈 피그즈 4단계",0,401505409,401505407,401505408,401505405
401505506,"트윈 피그즈 5단계",0,401505509,401505507,401505508,401505505
401505606,"트윈 피그즈 1단계 싱글 모드",0,401505609,401505607,401505608,401505605
401505706,"트윈 피그즈 2단계 싱글 모드",0,401505709,401505707,401505708,401505705
401505806,"트윈 피그즈 3단계 싱글 모드",0,401505809,401505807,401505808,401505805
401506105,"옵시디언 와이번 1단계",0,0,401506106,401506107,401506104
401506205,"옵시디언 와이번 2단계",0,0,401506206,401506207,401506204
401506305,"옵시디언 와이번 3단계",0,0,401506306,401506307,401506304
401506405,"옵시디언 와이번 4단계",0,0,401506406,401506407,401506404
401506505,"옵시디언 와이번 5단계",0,0,401506506,401506507,401506504
401506605,"옵시디언 와이번 1단계 싱글 모드",0,0,401506606,401506607,401506604
401506705,"옵시디언 와이번 2단계 싱글 모드",0,0,401506706,401506707,401506704
401506805,"옵시디언 와이번 3단계 싱글 모드",0,0,401506806,401506807,401506804
401507106,"오를레온 1단계",0,0,401507107,401507108,401507105
401507206,"오를레온 2단계",0,0,401507207,401507208,401507205
401507306,"오를레온 3단계",0,0,401507307,401507308,401507305
401507406,"오를레온 4단계",0,0,401507407,401507408,401507405
401507506,"오를레온 5단계",0,0,401507507,401507508,401507505
401507606,"오를레온 1단계 싱글 모드",0,0,401507607,401507608,401507605
401507706,"오를레온 2단계 싱글 모드",0,0,401507707,401507708,401507705
401507806,"오를레온 3단계 싱글 모드",0,0,401507807,401507808,401507805
401508105,"타이탄 터틀 1단계",0,0,401508106,401508107,401508104
401508205,"타이탄 터틀 2단계",0,0,401508206,401508207,401508204
401508305,"타이탄 터틀 3단계",0,0,401508306,401508307,401508304
401508405,"타이탄 터틀 4단계",0,0,401508406,401508407,401508404
401508505,"타이탄 터틀 5단계",0,0,401508506,401508507,401508504
401508605,"타이탄 터틀 1단계 싱글 모드",0,0,401508606,401508607,401508604
401508705,"타이탄 터틀 2단계 싱글 모드",0,0,401508706,401508707,401508704
401508805,"타이탄 터틀 3단계 싱글 모드",0,0,401508806,401508807,401508804
401509103,"고블린 라이더 1단계",0,0,401509104,0,401509102
401509108,"글러튼 1단계",0,0,401509109,401509110,401509107
401509203,"고블린 라이더 2단계",0,0,401509204,0,401509202
401509208,"글러튼 2단계",0,0,401509209,401509210,401509207
401509303,"고블린 라이더 3단계",0,0,401509304,0,401509302
401509308,"글러튼 3단계",0,0,401509309,401509310,401509307
401509403,"고블린 라이더 4단계",0,0,401509404,0,401509402
401509408,"글러튼 4단계",0,0,401509409,401509410,401509407
401509503,"고블린 라이더 5단계",0,0,401509504,0,401509502
401509508,"글러튼 5단계",0,0,401509509,401509510,401509507
401509603,"고블린 라이더 1단계 싱글 모드",0,0,401509604,0,401509602
401509608,"글러튼 1단계 싱글 모드",0,0,401509609,401509610,401509607
401509703,"고블린 라이더 2단계 싱글 모드",0,0,401509704,0,401509702
401509708,"글러튼 2단계 싱글 모드",0,0,401509709,401509710,401509707
401509803,"고블린 라이더 3단계 싱글 모드",0,0,401509804,0,401509802
401509808,"글러튼 3단계 싱글 모드",0,0,401509809,401509810,401509807
401510105,"트라이 로커 1단계",0,0,401510106,401510107,401510104
401510205,"트라이 로커 2단계",0,0,401510206,401510207,401510204
401510305,"트라이 로커 3단계",0,0,401510306,401510307,401510304
401510405,"트라이 로커 4단계",0,0,401510406,401510407,401510404
401510505,"트라이 로커 5단계",0,0,401510506,401510507,401510504
401510605,"트라이 로커 1단계 싱글 모드",0,0,401510606,401510607,401510604
401510705,"트라이 로커 2단계 싱글 모드",0,0,401510706,401510707,401510704
401510805,"트라이 로커 3단계 싱글 모드",0,0,401510806,401510807,401510804
401511106,"사지타리우스 1단계",0,0,401511107,0,401511105
401511206,"사지타리우스 2단계",0,0,401511207,0,401511205
401511306,"사지타리우스 3단계",0,0,401511307,0,401511305
401511406,"사지타리우스 4단계",0,0,401511407,0,401511405
401511506,"사지타리우스 5단계",0,0,401511507,0,401511505
401511606,"사지타리우스 1단계 싱글 모드",0,0,401511607,0,401511605
401511706,"사지타리우스 2단계 싱글 모드",0,0,401511707,0,401511705
401511806,"사지타리우스 3단계 싱글 모드",0,0,401511807,0,401511805
401512103,"고블린 라이더 1단계",0,0,401512104,0,401512102
401512203,"고블린 라이더 2단계",0,0,401512204,0,401512202
401512303,"고블린 라이더 3단계",0,0,401512304,0,401512302
401512403,"고블린 라이더 4단계",0,0,401512404,0,401512402
401512503,"고블린 라이더 5단계",0,0,401512504,0,401512502
401512603,"고블린 라이더 1단계 싱글 모드",0,0,401512604,0,401512602
401512703,"고블린 라이더 2단계 싱글 모드",0,0,401512704,0,401512702
401512803,"고블린 라이더 3단계 싱글 모드",0,0,401512804,0,401512802
401601106,"아쿠아 리오스 1단계",0,0,401601107,0,401601105
401601206,"아쿠아 리오스 2단계",0,0,401601207,0,401601205
401601306,"아쿠아 리오스 3단계",0,0,401601307,0,401601305
401601406,"아쿠아 리오스 4단계",0,0,401601407,0,401601405
401601506,"아쿠아 리오스 5단계",0,0,401601507,0,401601505
401601606,"아쿠아 리오스 1단계 싱글 모드",0,0,401601607,0,401601605
401601706,"아쿠아 리오스 2단계 싱글 모드",0,0,401601707,0,401601705
401601806,"아쿠아 리오스 3단계 싱글 모드",0,0,401601807,0,401601805
401602105,"소드 코브라 1단계",0,0,401602106,401602107,401602104
401602205,"소드 코브라 2단계",0,0,401602206,401602207,401602204
401602305,"소드 코브라 3단계",0,0,401602306,401602307,401602304
401602405,"소드 코브라 4단계",0,0,401602406,401602407,401602404
401602505,"소드 코브라 5단계",0,0,401602506,401602507,401602504
401602605,"소드 코브라 1단계 싱글 모드",0,0,401602606,401602607,401602604
401602705,"소드 코브라 2단계 싱글 모드",0,0,401602706,401602707,401602704
401602805,"소드 코브라 3단계 싱글 모드",0,0,401602806,401602807,401602804
401603104,"라이덴 1단계",0,0,401603105,401603106,401603103
401603204,"라이덴 2단계",0,0,401603205,401603206,401603203
401603304,"라이덴 3단계",0,0,401603305,401603306,401603303
401603404,"라이덴 4단계",0,0,401603405,401603406,401603403
401603504,"라이덴 5단계",0,0,401603505,401603506,401603503
401603604,"라이덴 1단계 싱글 모드",0,0,401603605,401603606,401603603
401603704,"라이덴 2단계 싱글 모드",0,0,401603705,401603706,401603703
401603804,"라이덴 3단계 싱글 모드",0,0,401603805,401603806,401603803
401604103,"고블린 라이더 1단계",0,0,401604104,0,401604102
401604107,"옵시디언 와이번 1단계",0,0,401604108,401604109,401604106
401604203,"고블린 라이더 2단계",0,0,401604204,0,401604202
401604207,"옵시디언 와이번 2단계",0,0,401604208,401604209,401604206
401604303,"고블린 라이더 3단계",0,0,401604304,0,401604302
401604307,"옵시디언 와이번 3단계",0,0,401604308,401604309,401604306
401604403,"고블린 라이더 4단계",0,0,401604404,0,401604402
401604407,"옵시디언 와이번 4단계",0,0,401604408,401604409,401604406
401604503,"고블린 라이더 1단계 싱글 모드",0,0,401604504,0,401604502
401604507,"옵시디언 와이번 1단계 싱글 모드",0,0,401604508,401604509,401604506
401604603,"고블린 라이더 2단계 싱글 모드",0,0,401604604,0,401604602
401604607,"옵시디언 와이번 2단계 싱글 모드",0,0,401604608,401604609,401604606
401604703,"고블린 라이더 3단계 싱글 모드",0,0,401604704,0,401604702
401604707,"옵시디언 와이번 3단계 싱글 모드",0,0,401604708,401604709,401604706
401605106,"트윈 피그즈 1단계",0,401605109,401605107,401605108,401605105
401605206,"트윈 피그즈 2단계",0,401605209,401605207,401605208,401605205
401605306,"트윈 피그즈 3단계",0,401605309,401605307,401605308,401605305
401605406,"트윈 피그즈 4단계",0,401605409,401605407,401605408,401605405
401605506,"트윈 피그즈 1단계 싱글 모드",0,401605509,401605507,401605508,401605505
401605606,"트윈 피그즈 2단계 싱글 모드",0,401605609,401605607,401605608,401605605
401605706,"트윈 피그즈 3단계 싱글 모드",0,401605709,401605707,401605708,401605705
401606105,"네프테리온 1단계",0,0,401606106,401606107,401606104
401606205,"네프테리온 2단계",0,0,401606206,401606207,401606204
401606305,"네프테리온 3단계",0,0,401606306,401606307,401606304
401606405,"네프테리온 4단계",0,0,401606406,401606407,401606404
401606505,"네프테리온 1단계 싱글 모드",0,0,401606506,401606507,401606504
401606605,"네프테리온 2단계 싱글 모드",0,0,401606606,401606607,401606604
401606705,"네프테리온 3단계 싱글 모드",0,0,401606706,401606707,401606704
401607103,"고블린 라이더 1단계",0,0,401607104,0,401607102
401607108,"오를레온 1단계",0,0,401607109,401607110,401607107
401607203,"고블린 라이더 2단계",0,0,401607204,0,401607202
401607208,"오를레온 2단계",0,0,401607209,401607210,401607207
401607303,"고블린 라이더 3단계",0,0,401607304,0,401607302
401607308,"오를레온 3단계",0,0,401607309,401607310,401607307
401607403,"고블린 라이더 4단계",0,0,401607404,0,401607402
401607408,"오를레온 4단계",0,0,401607409,401607410,401607407
401607503,"고블린 라이더 1단계 싱글 모드",0,0,401607504,0,401607502
401607508,"오를레온 1단계 싱글 모드",0,0,401607509,401607510,401607507
401607603,"고블린 라이더 2단계 싱글 모드",0,0,401607604,0,401607602
401607608,"오를레온 2단계 싱글 모드",0,0,401607609,401607610,401607607
401607703,"고블린 라이더 3단계 싱글 모드",0,0,401607704,0,401607702
401607708,"오를레온 3단계 싱글 모드",0,0,401607709,401607710,401607707
401608105,"타이탄 터틀 1단계",0,0,401608106,401608107,401608104
401608205,"타이탄 터틀 2단계",0,0,401608206,401608207,401608204
401608305,"타이탄 터틀 3단계",0,0,401608306,401608307,401608304
401608405,"타이탄 터틀 4단계",0,0,401608406,401608407,401608404
401608505,"타이탄 터틀 1단계 싱글 모드",0,0,401608506,401608507,401608504
401608605,"타이탄 터틀 2단계 싱글 모드",0,0,401608606,401608607,401608604
401608705,"타이탄 터틀 3단계 싱글 모드",0,0,401608706,401608707,401608704
401609102,"프로스트 하운드 1단계",0,0,401609103,401609104,401609101
401609109,"글러튼 1단계",0,0,401609110,401609111,401609108
401609202,"프로스트 하운드 2단계",0,0,401609203,401609204,401609201
401609209,"글러튼 2단계",0,0,401609210,401609211,401609208
401609302,"프로스트 하운드 3단계",0,0,401609303,401609304,401609301
401609309,"글러튼 3단계",0,0,401609310,401609311,401609308
401609402,"프로스트 하운드 4단계",0,0,401609403,401609404,401609401
401609409,"글러튼 4단계",0,0,401609410,401609411,401609408
401609502,"프로스트 하운드 1단계 싱글 모드",0,0,401609503,401609504,401609501
401609509,"글러튼 1단계 싱글 모드",0,0,401609510,401609511,401609508
401609602,"프로스트 하운드 2단계 싱글 모드",0,0,401609603,401609604,401609601
401609609,"글러튼 2단계 싱글 모드",0,0,401609610,401609611,401609608
401609702,"프로스트 하운드 3단계 싱글 모드",0,0,401609703,401609704,401609701
401609709,"글러튼 3단계 싱글 모드",0,0,401609710,401609711,401609708
401610105,"소드 코브라 1단계",0,0,401610106,401610107,401610104
401610205,"소드 코브라 2단계",0,0,401610206,401610207,401610204
401610305,"소드 코브라 3단계",0,0,401610306,401610307,401610304
401610405,"소드 코브라 4단계",0,0,401610406,401610407,401610404
401610505,"소드 코브라 1단계 싱글 모드",0,0,401610506,401610507,401610504
401610605,"소드 코브라 2단계 싱글 모드",0,0,401610606,401610607,401610604
401610705,"소드 코브라 3단계 싱글 모드",0,0,401610706,401610707,401610704
401611105,"트라이 로커 1단계",0,0,401611106,401611107,401611104
401611109,"사지타리우스 1단계",0,0,401611110,0,401611108
401611205,"트라이 로커 2단계",0,0,401611206,401611207,401611204
401611209,"사지타리우스 2단계",0,0,401611210,0,401611208
401611305,"트라이 로커 3단계",0,0,401611306,401611307,401611304
401611309,"사지타리우스 3단계",0,0,401611310,0,401611308
401611405,"트라이 로커 4단계",0,0,401611406,401611407,401611404
401611409,"사지타리우스 4단계",0,0,401611410,0,401611408
401611505,"트라이 로커 1단계 싱글 모드",0,0,401611506,401611507,401611504
401611509,"사지타리우스 1단계 싱글 모드",0,0,401611510,0,401611508
401611605,"트라이 로커 2단계 싱글 모드",0,0,401611606,401611607,401611604
401611609,"사지타리우스 2단계 싱글 모드",0,0,401611610,0,401611608
401611705,"트라이 로커 3단계 싱글 모드",0,0,401611706,401611707,401611704
401611709,"사지타리우스 3단계 싱글 모드",0,0,401611710,0,401611708
401612102,"프로스트 하운드 1단계",0,0,401612103,401612104,401612101
401612106,"고블린 라이더 1단계",0,0,401612107,0,401612105
401612202,"프로스트 하운드 2단계",0,0,401612203,401612204,401612201
401612206,"고블린 라이더 2단계",0,0,401612207,0,401612205
401612302,"프로스트 하운드 3단계",0,0,401612303,401612304,401612301
401612306,"고블린 라이더 3단계",0,0,401612307,0,401612305
401612402,"프로스트 하운드 4단계",0,0,401612403,401612404,401612401
401612406,"고블린 라이더 4단계",0,0,401612407,0,401612405
401612502,"프로스트 하운드 1단계 싱글 모드",0,0,401612503,401612504,401612501
401612506,"고블린 라이더 1단계 싱글 모드",0,0,401612507,0,401612505
401612602,"프로스트 하운드 2단계 싱글 모드",0,0,401612603,401612604,401612601
401612606,"고블린 라이더 2단계 싱글 모드",0,0,401612607,0,401612605
401612702,"프로스트 하운드 3단계 싱글 모드",0,0,401612703,401612704,401612701
401612706,"고블린 라이더 3단계 싱글 모드",0,0,401612707,0,401612705
401701104,"라이덴 1단계",0,0,401701105,401701106,401701103
401701109,"아쿠아 리오스 1단계",0,0,401701110,0,401701108
401701204,"라이덴 2단계",0,0,401701205,401701206,401701203
401701209,"아쿠아 리오스 2단계",0,0,401701210,0,401701208
401701304,"라이덴 3단계",0,0,401701305,401701306,401701303
401701309,"아쿠아 리오스 3단계",0,0,401701310,0,401701308
401701404,"라이덴 4단계",0,0,401701405,401701406,401701403
401701409,"아쿠아 리오스 4단계",0,0,401701410,0,401701408
401701504,"라이덴 1단계 싱글 모드",0,0,401701505,401701506,401701503
401701509,"아쿠아 리오스 1단계 싱글 모드",0,0,401701510,0,401701508
401701604,"라이덴 2단계 싱글 모드",0,0,401701605,401701606,401701603
401701609,"아쿠아 리오스 2단계 싱글 모드",0,0,401701610,0,401701608
401701704,"라이덴 3단계 싱글 모드",0,0,401701705,401701706,401701703
401701709,"아쿠아 리오스 3단계 싱글 모드",0,0,401701710,0,401701708
401703103,"터프가이스트 1단계째",0,0,401703104,401703105,401703102
401703203,"터프가이스트 2단계째",0,0,401703204,401703205,401703202
401703303,"터프가이스트 3단계째",0,0,401703304,401703305,401703302
401703403,"터프가이스트 4단계째",0,0,401703404,401703405,401703402
401703503,"터프가이스트 1단계째 싱글 모드",0,0,401703504,401703505,401703502
401703603,"터프가이스트 2단계째 싱글 모드",0,0,401703604,401703605,401703602
401703703,"터프가이스트 3단계째 싱글 모드",0,0,401703704,401703705,401703702
401704102,"프로스트 하운드 1단계",0,0,401704103,401704104,401704101
401704202,"프로스트 하운드 2단계",0,0,401704203,401704204,401704201
401704302,"프로스트 하운드 3단계",0,0,401704303,401704304,401704301
401704402,"프로스트 하운드 4단계",0,0,401704403,401704404,401704401
401704502,"프로스트 하운드 1단계 싱글 모드",0,0,401704503,401704504,401704501
401704602,"프로스트 하운드 2단계 싱글 모드",0,0,401704603,401704604,401704601
