magic_def,magic_penetrate,resist_variation_id,physical_penetrate,wave_hp_recovery,main_skill_lv_4,unit_id,dodge,magic_str,main_skill_lv_6,energy_reduce_rate,ex_skill_lv_3,energy_recovery_rate,main_skill_lv_3,physical_critical,life_steal,magic_critical,level,enemy_id,main_skill_lv_10,main_skill_lv_9,atk,ex_skill_lv_1,def,hp_recovery_rate,ex_skill_lv_4,union_burst_level,resist_status_id,wave_energy_recovery,main_skill_lv_1,rarity,accuracy,ex_skill_lv_5,main_skill_lv_8,main_skill_lv_5,main_skill_lv_7,hp,main_skill_lv_2,ex_skill_lv_2,promotion_level
55,0,0,0,0,51,200100,1,0,51,0,51,30,51,10,0,10,51,620010051,51,51,1562,51,73,0,51,51,200000006,0,51,1,0,51,51,51,51,11789,51,51,1
57,0,0,0,0,52,200100,1,0,52,0,52,30,52,10,0,10,52,620010052,52,52,1632,52,77,0,52,52,200000006,0,52,1,0,52,52,52,52,12043,52,52,1
59,0,0,0,0,53,200100,1,0,53,0,53,30,53,10,0,10,53,620010053,53,53,1701,53,81,0,53,53,200000006,0,53,1,0,53,53,53,53,12297,53,53,1
62,0,0,0,0,54,200100,1,0,54,0,54,30,54,10,0,10,54,620010054,54,54,1770,54,85,0,54,54,200000006,0,54,1,0,54,54,54,54,12552,54,54,1
64,0,0,0,0,55,200100,1,0,55,0,55,30,55,10,0,10,55,620010055,55,55,1839,55,89,0,55,55,200000006,0,55,1,0,55,55,55,55,12806,55,55,1
66,0,0,0,0,56,200100,1,0,56,0,56,30,56,10,0,10,56,620010056,56,56,1908,56,93,0,56,56,200000006,0,56,1,0,56,56,56,56,13060,56,56,1
69,0,0,0,0,57,200100,1,0,57,0,57,30,57,10,0,10,57,620010057,57,57,1977,57,97,0,57,57,200000006,0,57,1,0,57,57,57,57,13315,57,57,1
71,0,0,0,0,58,200100,1,0,58,0,58,30,58,10,0,10,58,620010058,58,58,2046,58,101,0,58,58,200000006,0,58,1,0,58,58,58,58,13569,58,58,1
73,0,0,0,0,59,200100,1,0,59,0,59,30,59,10,0,10,59,620010059,59,59,2115,59,105,0,59,59,200000006,0,59,1,0,59,59,59,59,13823,59,59,1
76,0,0,0,0,60,200100,1,0,60,0,60,30,60,10,0,10,60,620010060,60,60,2184,60,109,0,60,60,200000006,0,60,1,0,60,60,60,60,14078,60,60,1
78,0,0,0,0,61,200100,1,0,61,0,61,30,61,10,0,10,61,620010061,61,61,2253,61,113,0,61,61,200000006,0,61,1,0,61,61,61,61,14332,61,61,1
79,0,0,0,0,62,200100,1,0,62,0,62,30,62,10,0,10,62,620010062,62,62,2280,62,113,0,62,62,200000006,0,62,1,0,62,62,62,62,15514,62,62,1
79,0,0,0,0,63,200100,1,0,63,0,63,30,63,10,0,10,63,620010063,63,63,2306,63,114,0,63,63,200000006,0,63,1,0,63,63,63,63,16696,63,63,1
80,0,0,0,0,64,200100,1,0,64,0,64,30,64,10,0,10,64,620010064,64,64,2333,64,114,0,64,64,200000006,0,64,1,0,64,64,64,64,17878,64,64,1
81,0,0,0,0,65,200100,1,0,65,0,65,30,65,10,0,10,65,620010065,65,65,2359,65,114,0,65,65,200000006,0,65,1,0,65,65,65,65,19060,65,65,1
82,0,0,0,0,66,200100,1,0,66,0,66,30,66,10,0,10,66,620010066,66,66,2386,66,115,0,66,66,200000006,0,66,1,0,66,66,66,66,20242,66,66,1
82,0,0,0,0,67,200100,1,0,67,0,67,30,67,10,0,10,67,620010067,67,67,2412,67,115,0,67,67,200000006,0,67,1,0,67,67,67,67,21425,67,67,1
83,0,0,0,0,68,200100,1,0,68,0,68,30,68,10,0,10,68,620010068,68,68,2439,68,115,0,68,68,200000006,0,68,1,0,68,68,68,68,22607,68,68,1
84,0,0,0,0,69,200100,1,0,69,0,69,30,69,10,0,10,69,620010069,69,69,2466,69,116,0,69,69,200000006,0,69,1,0,69,69,69,69,23789,69,69,1
85,0,0,0,0,70,200100,1,0,70,0,70,30,70,10,0,10,70,620010070,70,70,2492,70,116,0,70,70,200000006,0,70,1,0,70,70,70,70,24971,70,70,1
85,0,0,0,0,71,200100,1,0,71,0,71,30,71,10,0,10,71,620010071,71,71,2519,71,116,0,71,71,200000006,0,71,1,0,71,71,71,71,26153,71,71,1
10,0,0,0,0,1,200200,1,0,1,0,1,30,1,10,0,10,1,620020001,1,1,108,1,8,0,1,1,200000001,0,1,1,0,1,1,1,1,924,1,1,1
10,0,0,0,0,2,200200,1,0,2,0,2,30,2,10,0,10,2,620020002,2,2,111,2,8,0,2,2,200000001,0,2,1,0,2,2,2,2,927,2,2,1
10,0,0,0,0,3,200200,1,0,3,0,3,30,3,10,0,10,3,620020003,3,3,114,3,8,0,3,3,200000001,0,3,1,0,3,3,3,3,930,3,3,1
11,0,0,0,0,4,200200,1,0,4,0,4,30,4,10,0,10,4,620020004,4,4,117,4,9,0,4,4,200000001,0,4,1,0,4,4,4,4,933,4,4,1
11,0,0,0,0,5,200200,1,0,5,0,5,30,5,10,0,10,5,620020005,5,5,120,5,9,0,5,5,200000001,0,5,1,0,5,5,5,5,936,5,5,1
11,0,0,0,0,6,200200,1,0,6,0,6,30,6,10,0,10,6,620020006,6,6,123,6,9,0,6,6,200000001,0,6,1,0,6,6,6,6,939,6,6,1
12,0,0,0,0,7,200200,1,0,7,0,7,30,7,10,0,10,7,620020007,7,7,126,7,10,0,7,7,200000001,0,7,1,0,7,7,7,7,942,7,7,1
12,0,0,0,0,8,200200,1,0,8,0,8,30,8,10,0,10,8,620020008,8,8,129,8,10,0,8,8,200000001,0,8,1,0,8,8,8,8,945,8,8,1
12,0,0,0,0,9,200200,1,0,9,0,9,30,9,10,0,10,9,620020009,9,9,132,9,10,0,9,9,200000001,0,9,1,0,9,9,9,9,948,9,9,1
13,0,0,0,0,10,200200,1,0,10,0,10,30,10,10,0,10,10,620020010,10,10,135,10,11,0,10,10,200000001,0,10,1,0,10,10,10,10,951,10,10,1
13,0,0,0,0,11,200200,1,0,11,0,11,30,11,10,0,10,11,620020011,11,11,138,11,11,0,11,11,200000001,0,11,1,0,11,11,11,11,954,11,11,1
13,0,0,0,0,12,200200,1,0,12,0,12,30,12,10,0,10,12,620020012,12,12,141,12,11,0,12,12,200000001,0,12,1,0,12,12,12,12,957,12,12,1
14,0,0,0,0,13,200200,1,0,13,0,13,30,13,10,0,10,13,620020013,13,13,144,13,12,0,13,13,200000001,0,13,1,0,13,13,13,13,960,13,13,1
14,0,0,0,0,14,200200,1,0,14,0,14,30,14,10,0,10,14,620020014,14,14,147,14,12,0,14,14,200000001,0,14,1,0,14,14,14,14,963,14,14,1
15,0,0,0,0,15,200200,1,0,15,0,15,30,15,10,0,10,15,620020015,15,15,151,15,13,0,15,15,200000001,0,15,1,0,15,15,15,15,966,15,15,1
15,0,0,0,0,16,200200,1,0,16,0,16,30,16,10,0,10,16,620020016,16,16,175,16,13,0,16,16,200000001,0,16,1,0,16,16,16,16,1322,16,16,1
15,0,0,0,0,17,200200,1,0,17,0,17,30,17,10,0,10,17,620020017,17,17,199,17,13,0,17,17,200000001,0,17,1,0,17,17,17,17,1678,17,17,1
15,0,0,0,0,18,200200,1,0,18,0,18,30,18,10,0,10,18,620020018,18,18,207,18,13,0,18,18,200000001,0,18,1,0,18,18,18,18,1884,18,18,1
16,0,0,0,0,19,200200,1,0,19,0,19,30,19,10,0,10,19,620020019,19,19,215,19,14,0,19,19,200000001,0,19,1,0,19,19,19,19,2090,19,19,1
16,0,0,0,0,20,200200,1,0,20,0,20,30,20,10,0,10,20,620020020,20,20,223,20,14,0,20,20,200000001,0,20,1,0,20,20,20,20,2296,20,20,1
17,0,0,0,0,21,200200,1,0,21,0,21,30,21,10,0,10,21,620020021,21,21,237,21,14,0,21,21,200000001,0,21,1,0,21,21,21,21,2377,21,21,1
17,0,0,0,0,22,200200,1,0,22,0,22,30,22,10,0,10,22,620020022,22,22,251,22,14,0,22,22,200000001,0,22,1,0,22,22,22,22,2458,22,22,1
17,0,0,0,0,23,200200,1,0,23,0,23,30,23,10,0,10,23,620020023,23,23,251,23,14,0,23,23,200000001,0,23,1,0,23,23,23,23,2658,23,23,1
19,0,0,0,0,24,200200,1,0,24,0,24,30,24,10,0,10,24,620020024,24,24,268,24,16,0,24,24,200000001,0,24,1,0,24,24,24,24,2829,24,24,1
21,0,0,0,0,25,200200,1,0,25,0,25,30,25,10,0,10,25,620020025,25,25,285,25,18,0,25,25,200000001,0,25,1,0,25,25,25,25,2999,25,25,1
24,0,0,0,0,26,200200,1,0,26,0,26,30,26,10,0,10,26,620020026,26,26,302,26,19,0,26,26,200000001,0,26,1,0,26,26,26,26,3170,26,26,1
26,0,0,0,0,27,200200,1,0,27,0,27,30,27,10,0,10,27,620020027,27,27,319,27,21,0,27,27,200000001,0,27,1,0,27,27,27,27,3340,27,27,1
28,0,0,0,0,28,200200,1,0,28,0,28,30,28,10,0,10,28,620020028,28,28,336,28,23,0,28,28,200000001,0,28,1,0,28,28,28,28,3511,28,28,1
29,0,0,0,0,29,200200,1,0,29,0,29,30,29,10,0,10,29,620020029,29,29,380,29,23,0,29,29,200000001,0,29,1,0,29,29,29,29,4632,29,29,1
29,0,0,0,0,30,200200,1,0,30,0,30,30,30,10,0,10,30,620020030,30,30,412,30,23,0,30,30,200000001,0,30,1,0,30,30,30,30,4717,30,30,1
28,0,0,0,0,31,200200,1,0,31,0,31,30,31,10,0,10,31,620020031,31,31,443,31,23,0,31,31,200000001,0,31,1,0,31,31,31,31,4802,31,31,1
28,0,0,0,0,32,200200,1,0,32,0,32,30,32,10,0,10,32,620020032,32,32,432,32,23,0,32,32,200000001,0,32,1,0,32,32,32,32,4887,32,32,1
28,0,0,0,0,33,200200,1,0,33,0,33,30,33,10,0,10,33,620020033,33,33,420,33,23,0,33,33,200000001,0,33,1,0,33,33,33,33,4972,33,33,1
28,0,0,0,0,34,200200,1,0,34,0,34,30,34,10,0,10,34,620020034,34,34,499,34,24,0,34,34,200000001,0,34,1,0,34,34,34,34,5985,34,34,1
32,0,0,0,0,35,200200,1,0,35,0,35,30,35,10,0,10,35,620020035,35,35,525,35,27,0,35,35,200000001,0,35,1,0,35,35,35,35,6241,35,35,1
36,0,0,0,0,36,200200,1,0,36,0,36,30,36,10,0,10,36,620020036,36,36,550,36,30,0,36,36,200000001,0,36,1,0,36,36,36,36,6497,36,36,1
39,0,0,0,0,37,200200,1,0,37,0,37,30,37,10,0,10,37,620020037,37,37,576,37,32,0,37,37,200000001,0,37,1,0,37,37,37,37,6752,37,37,1
43,0,0,0,0,38,200200,1,0,38,0,38,30,38,10,0,10,38,620020038,38,38,601,38,35,0,38,38,200000001,0,38,1,0,38,38,38,38,7008,38,38,1
42,0,0,0,0,39,200200,1,0,39,0,39,30,39,10,0,10,39,620020039,39,39,671,39,33,0,39,39,200000001,0,39,1,0,39,39,39,39,7387,39,39,1
44,0,0,0,0,40,200200,1,0,40,0,40,30,40,10,0,10,40,620020040,40,40,679,40,35,0,40,40,200000001,0,40,1,0,40,40,40,40,8119,40,40,1
46,0,0,0,0,41,200200,1,0,41,0,41,30,41,10,0,10,41,620020041,41,41,729,41,37,0,41,41,200000001,0,41,1,0,41,41,41,41,9635,41,41,1
47,0,0,0,0,42,200200,1,0,42,0,42,30,42,10,0,10,42,620020042,42,42,778,42,38,0,42,42,200000001,0,42,1,0,42,42,42,42,11151,42,42,1
47,0,0,0,0,43,200200,1,0,43,0,43,30,43,10,0,10,43,620020043,43,43,790,43,38,0,43,43,200000001,0,43,1,0,43,43,43,43,11476,43,43,1
47,0,0,0,0,44,200200,1,0,44,0,44,30,44,10,0,10,44,620020044,44,44,802,44,39,0,44,44,200000001,0,44,1,0,44,44,44,44,11802,44,44,1
47,0,0,0,0,45,200200,1,0,45,0,45,30,45,10,0,10,45,620020045,45,45,814,45,39,0,45,45,200000001,0,45,1,0,45,45,45,45,12127,45,45,1
48,0,0,0,0,46,200200,1,0,46,0,46,30,46,10,0,10,46,620020046,46,46,971,46,40,0,46,46,200000001,0,46,1,0,46,46,46,46,13833,46,46,1
49,0,0,0,0,47,200200,1,0,47,0,47,30,47,10,0,10,47,620020047,47,47,1128,47,40,0,47,47,200000001,0,47,1,0,47,47,47,47,15539,47,47,1
50,0,0,0,0,48,200200,1,0,48,0,48,30,48,10,0,10,48,620020048,48,48,1284,48,41,0,48,48,200000001,0,48,1,0,48,48,48,48,17245,48,48,1
51,0,0,0,0,49,200200,1,0,49,0,49,30,49,10,0,10,49,620020049,49,49,1441,49,41,0,49,49,200000001,0,49,1,0,49,49,49,49,18951,49,49,1
52,0,0,0,0,50,200200,1,0,50,0,50,30,50,10,0,10,50,620020050,50,50,1531,50,42,0,50,50,200000001,0,50,1,0,50,50,50,50,20657,50,50,1
53,0,0,0,0,51,200200,1,0,51,0,51,30,51,10,0,10,51,620020051,51,51,1620,51,42,0,51,51,200000001,0,51,1,0,51,51,51,51,22363,51,51,1
54,0,0,0,0,52,200200,1,0,52,0,52,30,52,10,0,10,52,620020052,52,52,1710,52,43,0,52,52,200000001,0,52,1,0,52,52,52,52,24069,52,52,1
55,0,0,0,0,53,200200,1,0,53,0,53,30,53,10,0,10,53,620020053,53,53,1800,53,43,0,53,53,200000001,0,53,1,0,53,53,53,53,25775,53,53,1
56,0,0,0,0,54,200200,1,0,54,0,54,30,54,10,0,10,54,620020054,54,54,1890,54,44,0,54,54,200000001,0,54,1,0,54,54,54,54,27481,54,54,1
57,0,0,0,0,55,200200,1,0,55,0,55,30,55,10,0,10,55,620020055,55,55,1979,55,44,0,55,55,200000001,0,55,1,0,55,55,55,55,29187,55,55,1
58,0,0,0,0,56,200200,1,0,56,0,56,30,56,10,0,10,56,620020056,56,56,2069,56,45,0,56,56,200000001,0,56,1,0,56,56,56,56,30893,56,56,1
59,0,0,0,0,57,200200,1,0,57,0,57,30,57,10,0,10,57,620020057,57,57,2159,57,45,0,57,57,200000001,0,57,1,0,57,57,57,57,32599,57,57,1
60,0,0,0,0,58,200200,1,0,58,0,58,30,58,10,0,10,58,620020058,58,58,2248,58,46,0,58,58,200000001,0,58,1,0,58,58,58,58,34305,58,58,1
61,0,0,0,0,59,200200,1,0,59,0,59,30,59,10,0,10,59,620020059,59,59,2338,59,46,0,59,59,200000001,0,59,1,0,59,59,59,59,36011,59,59,1
62,0,0,0,0,60,200200,1,0,60,0,60,30,60,10,0,10,60,620020060,60,60,2428,60,47,0,60,60,200000001,0,60,1,0,60,60,60,60,37717,60,60,1
63,0,0,0,0,61,200200,1,0,61,0,61,30,61,10,0,10,61,620020061,61,61,2518,61,47,0,61,61,200000001,0,61,1,0,61,61,61,61,39423,61,61,1
64,0,0,0,0,62,200200,1,0,62,0,62,30,62,10,0,10,62,620020062,62,62,2561,62,48,0,62,62,200000001,0,62,1,0,62,62,62,62,41129,62,62,1
66,0,0,0,0,63,200200,1,0,63,0,63,30,63,10,0,10,63,620020063,63,63,2604,63,49,0,63,63,200000001,0,63,1,0,63,63,63,63,42835,63,63,1
68,0,0,0,0,64,200200,1,0,64,0,64,30,64,10,0,10,64,620020064,64,64,2647,64,50,0,64,64,200000001,0,64,1,0,64,64,64,64,44541,64,64,1
70,0,0,0,0,65,200200,1,0,65,0,65,30,65,10,0,10,65,620020065,65,65,2690,65,51,0,65,65,200000001,0,65,1,0,65,65,65,65,46247,65,65,1
72,0,0,0,0,66,200200,1,0,66,0,66,30,66,10,0,10,66,620020066,66,66,2735,66,52,0,66,66,200000001,0,66,1,0,66,66,66,66,47953,66,66,1
74,0,0,0,0,67,200200,1,0,67,0,67,30,67,10,0,10,67,620020067,67,67,2780,67,53,0,67,67,200000001,0,67,1,0,67,67,67,67,49659,67,67,1
76,0,0,0,0,68,200200,1,0,68,0,68,30,68,10,0,10,68,620020068,68,68,2825,68,55,0,68,68,200000001,0,68,1,0,68,68,68,68,51365,68,68,1
78,0,0,0,0,69,200200,1,0,69,0,69,30,69,10,0,10,69,620020069,69,69,2870,69,57,0,69,69,200000001,0,69,1,0,69,69,69,69,53071,69,69,1
80,0,0,0,0,70,200200,1,0,70,0,70,30,70,10,0,10,70,620020070,70,70,2915,70,59,0,70,70,200000001,0,70,1,0,70,70,70,70,54777,70,70,1
82,0,0,0,0,71,200200,1,0,71,0,71,30,71,10,0,10,71,620020071,71,71,2960,71,61,0,71,71,200000001,0,71,1,0,71,71,71,71,56483,71,71,1
2,0,0,0,0,1,200300,1,15,1,0,1,30,1,10,0,10,1,620030001,1,1,0,1,5,0,1,1,200000008,0,1,1,0,1,1,1,1,382,1,1,1
4,0,0,0,0,2,200300,1,20,2,0,2,30,2,10,0,10,2,620030002,2,2,0,2,8,0,2,2,200000008,0,2,1,0,2,2,2,2,502,2,2,1
5,0,0,0,0,3,200300,1,26,3,0,3,30,3,10,0,10,3,620030003,3,3,0,3,10,0,3,3,200000008,0,3,1,0,3,3,3,3,623,3,3,1
7,0,0,0,0,4,200300,1,61,4,0,4,30,4,10,0,10,4,620030004,4,4,0,4,16,0,4,4,200000008,0,4,1,0,4,4,4,4,686,4,4,1
7,0,0,0,0,5,200300,1,61,5,0,5,30,5,10,0,10,5,620030005,5,5,0,5,16,0,5,5,200000008,0,5,1,0,5,5,5,5,686,5,5,1
8,0,0,0,0,6,200300,1,63,6,0,6,30,6,10,0,10,6,620030006,6,6,0,6,16,0,6,6,200000008,0,6,1,0,6,6,6,6,678,6,6,1
10,0,0,0,0,7,200300,1,89,7,0,7,30,7,10,0,10,7,620030007,7,7,0,7,17,0,7,7,200000008,0,7,1,0,7,7,7,7,835,7,7,1
11,0,0,0,0,8,200300,1,114,8,0,8,30,8,10,0,10,8,620030008,8,8,0,8,20,0,8,8,200000008,0,8,1,0,8,8,8,8,991,8,8,1
11,0,0,0,0,9,200300,1,117,9,0,9,30,9,10,0,10,9,620030009,9,9,0,9,20,0,9,9,200000008,0,9,1,0,9,9,9,9,1019,9,9,1
13,0,0,0,0,10,200300,1,120,10,0,10,30,10,10,0,10,10,620030010,10,10,0,10,22,0,10,10,200000008,0,10,1,0,10,10,10,10,1048,10,10,1
13,0,0,0,0,11,200300,1,123,11,0,11,30,11,10,0,10,11,620030011,11,11,0,11,22,0,11,11,200000008,0,11,1,0,11,11,11,11,1076,11,11,1
13,0,0,0,0,12,200300,1,126,12,0,12,30,12,10,0,10,12,620030012,12,12,0,12,22,0,12,12,200000008,0,12,1,0,12,12,12,12,1104,12,12,1
14,0,0,0,0,13,200300,1,133,13,0,13,30,13,10,0,10,13,620030013,13,13,0,13,24,0,13,13,200000008,0,13,1,0,13,13,13,13,1309,13,13,1
