equip_slot_5,equip_slot_6,unit_id,equip_slot_3,equip_slot_2,equip_slot_1,equip_slot_4,promotion_level
105553,105582,100401,105283,105103,105104,105431,13
105554,105583,100401,105432,105104,105105,105491,14
105555,105584,100401,105345,105105,105106,105432,15
105556,105585,100401,105346,105106,105107,105345,16
105557,105586,100401,105347,105107,106101,105346,17
106551,105587,100401,106281,106101,106102,105347,18
106552,106581,100401,106282,106102,106103,106281,19
106553,106582,100401,106491,106103,107101,106282,20
107551,106583,100401,107281,107101,107102,106491,21
107552,107581,100401,107342,107102,107103,107281,22
107553,107582,100401,107343,107103,108101,107342,23
108551,107583,100401,108281,108101,108102,107343,24
108552,108581,100401,108282,108102,108103,108281,25
108553,108582,100401,108283,108103,108104,108282,26
108554,108583,100401,108284,108104,109101,108283,27
109581,108584,100401,109401,109101,109102,108284,28
109582,109581,100401,109402,109102,109103,109401,29
109583,109582,100401,109343,109103,109104,109402,30
109584,109583,100401,109494,109104,10010032,109343,31
10058032,109584,100401,10040032,10010032,10010033,109494,32
10058033,10058032,100401,10040033,10010033,10010034,10040032,33
10058034,10058033,100401,10049034,10010034,10010035,10040033,34
999999,10058034,100401,999999,10010035,999999,10049034,35
101581,101581,100501,101281,101401,101071,101401,1
101581,101581,100501,102281,102491,102013,102431,2
102581,102581,100501,102282,102401,103071,102401,3
102582,102582,100501,103311,103431,103012,103431,4
103581,103581,100501,103282,103401,103072,103401,5
103582,103582,100501,103283,103072,104071,103401,6
103583,103582,100501,104281,104401,104072,103583,7
104581,103583,100501,104432,104072,104073,104401,8
104582,104581,100501,104402,104073,104074,104282,9
104583,104582,100501,104284,104074,105071,104402,10
105581,104583,100501,105311,105071,105072,104284,11
105582,105581,100501,105431,105072,105073,105281,12
105583,105582,100501,105283,105073,105074,105282,13
105584,105583,100501,105432,105074,105075,105283,14
105585,105584,100501,105402,105075,105076,105284,15
105586,105585,100501,105433,105076,105077,105402,16
105587,105586,100501,105403,105077,106071,105433,17
106581,105587,100501,106401,106071,106072,105403,18
106582,106581,100501,106431,106072,106073,106401,19
106583,106582,100501,106491,106073,107071,106431,20
107581,106583,100501,107281,107071,107072,106491,21
107582,107581,100501,107342,107072,107073,107281,22
107583,107582,100501,107343,107073,108071,107342,23
108581,107583,100501,108281,108071,108072,107343,24
108582,108581,100501,108282,108072,108073,108281,25
108583,108582,100501,108283,108073,108074,108282,26
108584,108583,100501,108314,108074,109071,108283,27
109581,108584,100501,109311,109071,109072,108314,28
109582,109581,100501,109312,109072,109073,109311,29
109583,109582,100501,109313,109073,109074,109312,30
109584,109583,100501,109314,109074,10007032,109313,31
10058032,109584,100501,10031032,10007032,10007033,109314,32
10058033,10058032,100501,10031033,10007033,10007034,10031032,33
10058034,10058033,100501,10031034,10007034,10007035,10031033,34
999999,10058034,100501,999999,10007035,999999,10031034,35
101611,101581,100601,101371,101251,101251,101521,1
101611,101581,100601,102371,102251,102252,102461,2
102612,102581,100601,102372,102252,103251,102521,3
102614,102582,100601,103521,103251,103252,103521,4
103612,103581,100601,103371,103252,103222,103461,5
103613,103582,100601,103372,103222,104251,103522,6
103583,103613,100601,104371,104521,104252,103614,7
104581,103614,100601,104372,104252,104253,104461,8
104612,104581,100601,104523,104253,104254,104372,9
104613,104582,100601,104373,104254,105251,104523,10
105611,104583,100601,105371,105251,105252,104463,11
105612,105581,100601,105372,105252,105253,105521,12
105613,105582,100601,105373,105253,105254,105522,13
105614,105583,100601,105374,105254,105255,105462,14
105615,105584,100601,105463,105255,105256,105374,15
105616,105585,100601,105524,105256,105257,105463,16
105617,105586,100601,105464,105257,106251,105524,17
106611,105587,100601,106461,106251,106252,105464,18
106612,106581,100601,106521,106252,106253,106461,19
106613,106582,100601,106462,106253,107251,106521,20
107611,106583,100601,107461,107251,107252,106462,21
107612,107581,100601,107462,107252,107253,107461,22
107613,107582,100601,107463,107253,108251,107462,23
108611,107583,100601,108371,108251,108252,107463,24
108612,108581,100601,108372,108252,108253,108371,25
108613,108582,100601,108373,108253,108254,108372,26
108614,108583,100601,108374,108254,109251,108373,27
109611,108584,100601,109371,109251,109252,108374,28
109612,109581,100601,109372,109252,109253,109371,29
109613,109582,100601,109373,109253,109254,109372,30
109614,109583,100601,109374,109254,10025032,109373,31
10061032,109584,100601,10037032,10025032,10025033,109374,32
10061033,10058032,100601,10037033,10025033,10025034,10037032,33
10061034,10058033,100601,10037034,10025034,10025035,10037033,34
999999,10058034,100601,999999,10025035,999999,10037034,35
101581,101581,100701,101431,101281,101161,101431,1
101581,101581,100701,102341,102162,102163,102431,2
102581,102581,100701,102342,102432,103161,102432,3
102582,102582,100701,103341,103161,103162,103431,4
103581,103581,100701,103432,103162,103343,103162,5
103582,103582,100701,103343,103583,104161,103432,6
103583,103432,100701,104341,104431,104162,103583,7
104581,103583,100701,104342,104162,104163,104431,8
104582,104581,100701,104343,104163,104164,104342,9
104583,104582,100701,104433,104164,105161,104343,10
105581,104583,100701,105341,105161,105162,104433,11
105582,105581,100701,105342,105162,105163,105341,12
105583,105582,100701,105343,105163,105164,105342,13
105584,105583,100701,105432,105164,105165,105343,14
105585,105584,100701,105345,105165,105166,105344,15
105586,105585,100701,105346,105166,105167,105345,16
105587,105586,100701,105347,105167,106161,105346,17
106581,105587,100701,106341,106161,106162,105347,18
106582,106581,100701,106342,106162,106163,106341,19
106583,106582,100701,106491,106073,107161,106342,20
107581,106583,100701,107341,107071,107162,106491,21
107582,107581,100701,107342,107162,107163,107341,22
107583,107582,100701,107343,107163,108161,107342,23
108581,107583,100701,108281,108161,108162,107343,24
108582,108581,100701,108282,108162,108163,108281,25
108583,108582,100701,108283,108163,108164,108282,26
108584,108583,100701,108314,108164,109161,108283,27
109581,108584,100701,109281,109161,109162,108314,28
109582,109581,100701,109312,109162,109163,109281,29
109583,109582,100701,109313,109163,109164,109312,30
109584,109583,100701,109314,109164,10016032,109313,31
10058032,109584,100701,10031032,10016032,10016033,109314,32
10058033,10058032,100701,10031033,10016033,10016034,10031032,33
10058034,10058033,100701,10031034,10016034,10016035,10031033,34
999999,10058034,100701,999999,10016035,999999,10031034,35
101611,101581,100801,101371,101251,101251,101521,1
101611,101581,100801,102371,102251,102252,102461,2
102612,102581,100801,102372,102252,103251,102521,3
102614,102582,100801,103521,103251,103252,103521,4
103612,103581,100801,103371,103252,103222,103461,5
103613,103582,100801,103372,103222,104251,103522,6
103614,103582,100801,104371,104251,104252,103614,7
104581,103614,100801,104372,104252,104253,104461,8
104582,104611,100801,104523,104253,104254,104522,9
104613,104612,100801,104373,104254,105251,104462,10
105611,104613,100801,105371,105251,105252,104463,11
105612,105611,100801,105372,105252,105253,105521,12
105613,105612,100801,105373,105253,105254,105522,13
105614,105613,100801,105374,105254,105255,105462,14
105615,105614,100801,105463,105255,105256,105374,15
105616,105615,100801,105524,105256,105257,105463,16
105617,105616,100801,105464,105257,106251,105524,17
106611,105617,100801,106461,106251,106252,105464,18
106612,106611,100801,106521,106252,106253,106461,19
106613,106612,100801,106462,106253,107251,106372,20
107611,106613,100801,107461,107251,107252,106462,21
107612,107611,100801,107462,107252,107253,107461,22
107613,107612,100801,107463,107253,108251,107462,23
108611,107613,100801,108371,108251,108252,107463,24
108612,108611,100801,108372,108252,108253,108371,25
108613,108612,100801,108373,108253,108254,108372,26
108614,108613,100801,108374,108254,109251,108373,27
109611,108614,100801,109371,109251,109252,108374,28
109612,109611,100801,109372,109252,109253,109371,29
109613,109612,100801,109373,109253,109254,109372,30
109614,109613,100801,109374,109254,10025032,109373,31
10061032,109614,100801,10037032,10025032,10025033,109374,32
10061033,10061032,100801,10037033,10025033,10025034,10037032,33
10061034,10061033,100801,10037034,10025034,10025035,10037033,34
999999,10061034,100801,999999,10025035,999999,10037034,35
101611,101611,100901,101371,101251,101251,101521,1
101611,101611,100901,102371,102221,102222,102461,2
102611,102611,100901,102372,102222,103221,102521,3
102613,102613,100901,103251,103521,103252,103611,4
103611,103611,100901,103371,103252,103222,103522,5
103371,103613,100901,103372,103222,104221,103522,6
103614,103613,100901,104371,104221,104222,103614,7
104611,103583,100901,104522,104222,104223,104221,8
104612,104581,100901,104462,104223,104224,104222,9
104613,104582,100901,104463,104224,105221,104223,10
105611,104613,100901,105521,105221,105222,104224,11
105612,105611,100901,105372,105222,105223,105221,12
105613,105612,100901,105373,105223,105224,105222,13
105614,105613,100901,105523,105224,105225,105223,14
105615,105614,100901,105375,105225,105226,105224,15
105616,105615,100901,105376,105226,105227,105225,16
105617,105616,100901,105377,105227,106221,105226,17
106611,105617,100901,106371,106221,106222,105227,18
106612,106611,100901,106372,106222,106223,106221,19
106613,106612,100901,106373,106223,107221,106222,20
107611,106613,100901,107371,107221,107222,106223,21
107612,107611,100901,107372,107222,107223,107221,22
107613,107612,100901,107373,107223,108221,107222,23
108611,107613,100901,108521,108221,108222,107223,24
108612,108611,100901,108462,108222,108223,108221,25
108613,108612,100901,108523,108223,108224,108222,26
108614,108613,100901,108524,108224,109221,108523,27
109611,108614,100901,109461,109221,109222,108224,28
109612,109611,100901,109522,109222,109223,109221,29
109613,109612,100901,109463,109223,109224,109222,30
109614,109613,100901,109524,109224,10022032,109223,31
10061032,109614,100901,10046032,10022032,10022033,109224,32
10061033,10061032,100901,10046033,10022033,10022034,10022032,33
10061034,10061033,100901,10052034,10022034,10022035,10022033,34
999999,10061034,100901,999999,10022035,999999,10022034,35
101611,101581,101001,101371,101251,101251,101521,1
101611,101581,101001,102371,102251,102252,102461,2
102612,102581,101001,102372,102252,103251,102521,3
102614,102582,101001,103521,103251,103252,103521,4
103612,103581,101001,103371,103252,103222,103461,5
103613,103582,101001,103372,103222,104251,103522,6
103222,103582,101001,104371,104461,104252,103614,7
104581,103614,101001,104372,104252,104253,104461,8
104582,104611,101001,104523,104253,104254,104522,9
104583,104612,101001,104373,104254,105251,104462,10
105581,104613,101001,105371,105251,105252,104463,11
105582,105611,101001,105522,105252,105253,105521,12
105583,105612,101001,105462,105253,105254,105522,13
105584,105613,101001,105374,105254,105255,105462,14
105585,105614,101001,105463,105255,105256,105374,15
105586,105615,101001,105524,105256,105257,105463,16
105587,105616,101001,105464,105257,106251,105524,17
106581,105617,101001,106461,106251,106252,105464,18
106582,106611,101001,106521,106252,106253,106461,19
106583,106612,101001,106462,106253,107251,106372,20
107581,106613,101001,107461,107251,107252,106462,21
107582,107611,101001,107462,107252,107253,107461,22
107583,107612,101001,107463,107253,108251,107462,23
108581,107613,101001,108371,108251,108252,107463,24
108582,108611,101001,108372,108252,108253,108371,25
108583,108612,101001,108373,108253,108254,108372,26
108584,108613,101001,108374,108254,109251,108373,27
109581,108614,101001,109371,109251,109252,108374,28
109582,109611,101001,109372,109252,109253,109371,29
109583,109612,101001,109373,109253,109254,109372,30
109584,109613,101001,109374,109254,10025032,109373,31
10058032,109614,101001,10037032,10025032,10025033,109374,32
10058033,10061032,101001,10037033,10025033,10025034,10037032,33
10058034,10061033,101001,10037034,10025034,10025035,10037033,34
999999,10061034,101001,999999,10025035,999999,10037034,35
101131,101551,101101,101281,101131,101131,101551,1
101131,101551,101101,102341,102071,102131,102551,2
102071,102551,101101,102342,102131,103071,102552,3
102131,102552,101101,103341,103071,103131,103431,4
103071,103551,101101,103342,103131,103132,103342,5
103131,103552,101101,103343,103132,104131,103432,6
103132,103582,101101,104341,104131,104132,103553,7
104551,103553,101101,104342,104132,104133,104431,8
104552,104551,101101,104343,104133,104134,104432,9
104553,104552,101101,104344,104134,105131,104133,10
105551,104553,101101,105341,105131,105132,104433,11
105552,105551,101101,105282,105132,105133,105131,12
105553,105552,101101,105343,105133,105134,105132,13
105554,105553,101101,105344,105134,105135,105133,14
105555,105554,101101,105345,105135,105136,105134,15
105556,105555,101101,105286,105136,105137,105135,16
105557,105556,101101,105287,105137,106131,105136,17
106551,105557,101101,106341,106131,106132,105137,18
106552,106551,101101,106282,106132,106133,106131,19
106553,106552,101101,106283,106133,107131,106132,20
107551,106553,101101,107281,107131,107132,106133,21
107552,107551,101101,107282,107132,107133,107131,22
107553,107552,101101,107283,107133,108131,107132,23
108551,107553,101101,108431,108131,108132,107133,24
108552,108551,101101,108342,108132,108133,108131,25
108553,108552,101101,108343,108133,108134,108132,26
108554,108553,101101,108434,108134,109131,108133,27
109551,108554,101101,109341,109131,109132,108134,28
109552,109551,101101,109432,109132,109133,109131,29
109553,109552,101101,109343,109133,109134,109132,30
109554,109553,101101,109434,109134,10013032,109133,31
10055032,109554,101101,10034032,10013032,10013033,109134,32
10055033,10055032,101101,10043033,10013033,10013034,10013032,33
10055034,10055033,101101,10034034,10013034,10013035,10013033,34
999999,10055034,101101,999999,10013035,999999,10013034,35
101611,101611,101201,101371,101251,101251,101521,1
101611,101611,101201,102371,102221,102222,102461,2
102611,102611,101201,102372,102222,103221,102521,3
102613,102613,101201,103521,103221,103252,103521,4
103611,103611,101201,103371,103252,103222,103522,5
103371,103613,101201,103372,103222,104221,103522,6
103614,103613,101201,104371,104221,104222,103614,7
104611,103583,101201,104522,104222,104223,104461,8
104612,104581,101201,104462,104223,104224,104522,9
104613,104612,101201,104463,104224,105221,104523,10
105611,104613,101201,105521,105221,105222,104463,11
105612,105611,101201,105372,105222,105223,105521,12
105613,105612,101201,105373,105223,105224,105522,13
105614,105613,101201,105523,105224,105225,105462,14
105615,105614,101201,105375,105225,105226,105523,15
105616,105615,101201,105376,105226,105227,105375,16
105617,105616,101201,105377,105227,106221,105376,17
106611,105617,101201,106371,106221,106222,105377,18
106612,106611,101201,106372,106222,106223,106371,19
106613,106612,101201,106373,106223,107221,106521,20
107611,106613,101201,107371,107221,107222,106373,21
107612,107611,101201,107372,107222,107223,107371,22
107613,107612,101201,107373,107223,108221,107372,23
108611,107613,101201,108521,108221,108222,107373,24
108612,108611,101201,108462,108222,108223,108521,25
108613,108612,101201,108523,108223,108224,108462,26
108614,108613,101201,108524,108224,109221,108523,27
109611,108614,101201,109461,109221,109222,108524,28
109612,109611,101201,109522,109222,109223,109461,29
109613,109612,101201,109463,109223,109224,109522,30
109614,109613,101201,109524,109224,10022032,109463,31
10061032,109614,101201,10046032,10022032,10022033,109524,32
10061033,10061032,101201,10046033,10022033,10022034,10046032,33
10061034,10061033,101201,10052034,10022034,10022035,10046033,34
999999,10061034,101201,999999,10022035,999999,10052034,35
101611,101611,101301,101371,101251,101251,101521,1
101611,101611,101301,102371,102221,102222,102461,2
102611,102611,101301,102372,102222,103221,102521,3
102613,102613,101301,103521,103221,103252,103521,4
103611,103611,101301,103371,103252,103222,103522,5
103371,103613,101301,103372,103222,104221,103522,6
103614,103613,101301,104371,104221,104222,103614,7
104611,103583,101301,104522,104222,104223,104461,8
104612,104581,101301,104462,104223,104224,104522,9
104613,104612,101301,104463,104224,105221,104523,10
105611,104613,101301,105521,105221,105222,104463,11
105612,105611,101301,105372,105222,105223,105521,12
105613,105612,101301,105373,105223,105224,105522,13
105614,105613,101301,105523,105224,105225,105462,14
105615,105614,101301,105375,105225,105226,105523,15
105616,105615,101301,105376,105226,105227,105375,16
105617,105616,101301,105377,105227,106221,105376,17
106611,105617,101301,106371,106221,106222,105377,18
106612,106611,101301,106372,106222,106223,106371,19
106613,106612,101301,106373,106223,107221,106521,20
107611,106613,101301,107371,107221,107222,106373,21
107612,107611,101301,107372,107222,107223,107371,22
107613,107612,101301,107373,107223,108221,107372,23
108611,107613,101301,108521,108221,108222,107373,24
108612,108611,101301,108462,108222,108223,108521,25
108613,108612,101301,108523,108223,108224,108462,26
108614,108613,101301,108524,108224,109221,108523,27
109611,108614,101301,109461,109221,109222,108524,28
109612,109611,101301,109522,109222,109223,109461,29
109613,109612,101301,109463,109223,109224,109522,30
109614,109613,101301,109524,109224,10022032,109463,31
10061032,109614,101301,10046032,10022032,10022033,109524,32
10061033,10061032,101301,10046033,10022033,10022034,10046032,33
10061034,10061033,101301,10052034,10022034,10022035,10046033,34
999999,10061034,101301,999999,10022035,999999,10052034,35
101611,101581,101401,101371,101251,101251,101521,1
101611,101581,101401,102371,102251,102252,102461,2
102612,102581,101401,102372,102252,103251,102521,3
102614,102582,101401,103521,103251,103252,103521,4
103612,103581,101401,103371,103252,103222,103461,5
103613,103582,101401,103372,103222,104251,103522,6
103583,103613,101401,104371,104521,104252,103614,7
104581,103614,101401,104372,104252,104253,104461,8
104612,104581,101401,104523,104253,104254,104372,9
104613,104582,101401,104373,104254,105251,104523,10
105611,104583,101401,105371,105251,105252,104463,11
105612,105581,101401,105372,105252,105253,105521,12
105613,105582,101401,105373,105253,105254,105522,13
105614,105583,101401,105374,105254,105255,105462,14
105615,105584,101401,105463,105255,105256,105374,15
105616,105585,101401,105524,105256,105257,105463,16
105617,105586,101401,105464,105257,106251,105524,17
106611,105587,101401,106461,106251,106252,105464,18
106612,106581,101401,106521,106252,106253,106461,19
106613,106582,101401,106462,106253,107251,106372,20
107611,106583,101401,107461,107251,107252,106462,21
107612,107581,101401,107462,107252,107253,107461,22
107613,107582,101401,107463,107253,108251,107462,23
108611,107583,101401,108371,108251,108252,107463,24
108612,108581,101401,108372,108252,108253,108371,25
108613,108582,101401,108373,108253,108254,108372,26
108614,108583,101401,108374,108254,109251,108373,27
109611,108584,101401,109371,109251,109252,108374,28
109612,109581,101401,109372,109252,109253,109371,29
109613,109582,101401,109373,109253,109254,109372,30
109614,109583,101401,109374,109254,10025032,109373,31
10061032,109584,101401,10037032,10025032,10025033,109374,32
10061033,10058032,101401,10037033,10025033,10025034,10037032,33
10061034,10058033,101401,10037034,10025034,10025035,10037033,34
999999,10058034,101401,999999,10025035,999999,10037034,35
101611,101581,101501,101371,101251,101251,101521,1
101611,101611,101501,102371,102251,102252,102461,2
102612,102581,101501,102372,102252,103251,102521,3
102613,102614,101501,103521,103251,103252,103521,4
103612,103581,101501,103371,103252,103222,103461,5
103613,103613,101501,103372,103222,104251,103522,6
103614,103461,101501,104371,104251,104252,103614,7
104611,103614,101501,104372,104252,104253,104461,8
104612,104611,101501,104523,104253,104254,104522,9
104613,104612,101501,104373,104254,105251,104523,10
105581,104613,101501,105371,105251,105252,104463,11
105582,105611,101501,105522,105252,105253,105521,12
105583,105612,101501,105462,105253,105254,105522,13
105584,105613,101501,105374,105254,105255,105462,14
105585,105614,101501,105375,105255,105256,105374,15
105586,105615,101501,105376,105256,105257,105375,16
105587,105616,101501,105464,105257,106251,105376,17
106581,105617,101501,106461,106251,106252,105464,18
106582,106611,101501,106521,106252,106253,106461,19
106583,106612,101501,106462,106253,107251,106372,20
107581,106613,101501,107461,107251,107252,106462,21
107582,107611,101501,107462,107252,107253,107461,22
107583,107612,101501,107463,107253,108251,107462,23
108581,107613,101501,108371,108251,108252,107463,24
108582,108611,101501,108372,108252,108253,108371,25
108583,108612,101501,108373,108253,108254,108372,26
108584,108613,101501,108374,108254,109251,108373,27
109581,108614,101501,109371,109251,109252,108374,28
109582,109611,101501,109372,109252,109253,109371,29
109583,109612,101501,109373,109253,109254,109372,30
109584,109613,101501,109374,109254,10025032,109373,31
10058032,109614,101501,10037032,10025032,10025033,109374,32
10058033,10061032,101501,10037033,10025033,10025034,10037032,33
10058034,10061033,101501,10037034,10025034,10025035,10037033,34
999999,10061034,101501,999999,10025035,999999,10037034,35
101131,101551,101601,101281,101131,101131,101551,1
101131,101551,101601,102341,102071,102131,102551,2
102071,102551,101601,102342,102131,103071,102552,3
102131,102552,101601,103341,103071,103131,103551,4
103071,103551,101601,103342,103131,103132,103552,5
103131,103552,101601,103343,103132,104131,103552,6
103553,103582,101601,104341,104131,104132,103553,7
104551,103553,101601,104342,104132,104133,104131,8
104552,104551,101601,104343,104133,104134,104132,9
104554,104552,101601,104344,104134,105131,104133,10
105551,104553,101601,105281,105131,105132,104134,11
105552,105551,101601,105282,105132,105133,105131,12
105553,105552,101601,105491,105133,105134,105132,13
105554,105553,101601,105284,105134,105135,105133,14
105555,105554,101601,105345,105135,105136,105134,15
105556,105555,101601,105286,105136,105137,105135,16
105557,105556,101601,105287,105137,106131,105136,17
106551,105557,101601,106341,106131,106132,105137,18
106552,106551,101601,106282,106132,106133,106131,19
106553,106552,101601,106283,106133,107131,106132,20
107551,106553,101601,107491,107131,107132,106133,21
107552,107551,101601,107492,107132,107133,107131,22
107553,107552,101601,107343,107133,108131,107132,23
108551,107553,101601,108431,108131,108132,107133,24
108552,108551,101601,108492,108132,108133,108131,25
108553,108552,101601,108343,108133,108134,108132,26
108554,108553,101601,108434,108134,109131,108133,27
109551,108554,101601,109341,109131,109132,108134,28
109552,109551,101601,109432,109132,109133,109131,29
109553,109552,101601,109493,109133,109134,109132,30
109554,109553,101601,109494,109134,10013032,109133,31
10055032,109554,101601,10034032,10013032,10013033,109134,32
10055033,10055032,101601,10043033,10013033,10013034,10013032,33
10055034,10055033,101601,10034034,10013034,10013035,10013033,34
999999,10055034,101601,999999,10013035,999999,10013034,35
101071,101551,101701,101281,101071,101101,101431,1
101551,101551,101701,102341,102071,102101,102431,2
102551,102551,101701,102342,102101,103071,102432,3
102552,102552,101701,103341,103071,103101,103431,4
103551,103551,101701,103342,103101,103072,103432,5
103342,103582,101701,103343,103072,104101,103432,6
103072,103552,101701,104341,104101,104102,103553,7
104551,103553,101701,104342,104102,104103,104101,8
104552,104551,101701,104343,104103,104104,104102,9
104554,104552,101701,104344,104104,105101,104103,10
105551,104553,101701,105341,105101,105102,104104,11
105552,105551,101701,105282,105102,105103,105101,12
105553,105552,101701,105343,105103,105104,105102,13
105554,105553,101701,105344,105104,105105,105103,14
105555,105554,101701,105285,105105,105106,105104,15
105556,105555,101701,105286,105106,105107,105105,16
105557,105556,101701,105287,105107,106101,105106,17
106551,105557,101701,106341,106101,106102,105107,18
106552,106551,101701,106282,106102,106103,106101,19
106553,106552,101701,106283,106103,107101,106102,20
107551,106553,101701,107341,107101,107102,106103,21
107552,107551,101701,107492,107102,107103,107101,22
107553,107552,101701,107493,107103,108101,107102,23
108551,107553,101701,108401,108101,108102,107103,24
108552,108551,101701,108342,108102,108103,108101,25
108553,108552,101701,108403,108103,108104,108102,26
108554,108553,101701,108434,108104,109101,108103,27
109551,108554,101701,109341,109101,109102,108104,28
109552,109551,101701,109432,109102,109103,109101,29
