command_type,param_02,param_07,param_08,param_06,command_id,param_05,param_03,drama_id,param_01,param_04
1,129911,0,drama_idle,1.65,3002,-224,100,3,1,-49
3,drama_idle,"","",0.2,3003,"",1,3,129811,""
3,drama_talk_thinking,"","",0.2,3004,"",1,3,129911,""
21,vo_minigame_1013_top_talk_3_000,"","","",3005,"",0,3,vo_minigame_1013,0
11,"실제로 마물과 대치하고,\n그 몸에 칼날을 꽂는\n훈련도 이 감촉이\n있기에 가능하죠",0,0.8,0,3006,0,5,3,129911,1
91,"","","","",3007,"","",3,0,""
3,drama_idle_thinking,"","",0.2,3008,"",1,3,129911,""
3,drama_talk_sad_in,"","",0.2,3009,1,0,3,129811,drama_talk_sad_loop
21,vo_minigame_1013_top_talk_3_001,"","","",3010,"",0,3,vo_minigame_1013,0
11,"여전히 위험한\n말투지만…\n뭐, 이론보다 먼저 실전이라는\n가르침도 나쁘지 않겠어",0,0.5,0,3011,0,7,3,129811,1
91,"","","","",3012,"","",3,0,""
3,drama_idle_sad,"","",0.2,3013,"",1,3,129811,""
3,drama_talk_arm_crossed_in,"","",0.2,3014,1,0,3,129911,drama_talk_arm_crossed_loop
21,vo_minigame_1013_top_talk_3_002,"","","",3015,"",0,3,vo_minigame_1013,0
11,"그럼 신병들에게도\n실전 교육의 좋은 점을\n몸소 체험하게\n해드리죠",0,0.3,0,3016,0,6,3,129911,1
91,"","","","",3017,"","",3,0,""
3,drama_idle,"","",0.2,3018,"",1,3,129811,""
3,drama_idle,"","",0.2,3019,"",1,3,129911,""
1,129811,1,drama_idle,1.65,4001,-224,100,4,1,167
1,129911,0,drama_idle,1.65,4002,-224,100,4,1,-49
3,drama_idle,"","",0.2,4003,"",1,4,129911,""
3,drama_talk_doya_in_shy,"","",0.2,4004,1,0,4,129811,drama_talk_doya_loop_shy
21,vo_minigame_1013_top_talk_4_000,"","","",4005,"",0,4,vo_minigame_1013,0
11,"나도 어느 쪽인가\n하면 감각파니까,\n다른 사람을 가르치는 건\n조금 서툴러",0,0.3,0,4006,0,7,4,129811,1
91,"","","","",4007,"","",4,0,""
3,drama_idle_doya_shy,"","",0.2,4008,"",1,4,129811,""
3,drama_talk_wish_in,"","",0.2,4009,1,0,4,129911,drama_talk_wish_loop
21,vo_minigame_1013_top_talk_4_001,"","","",4010,"",0,4,vo_minigame_1013,0
11,"서로 믿을 수 있는 사이라면\n말 같은 거 없이도\n전해지죠. 저와\n그분처럼…",0,0.5,0,4011,0,5,4,129911,1
91,"","","","",4012,"","",4,0,""
3,drama_idle_wish,"","",0.2,4013,"",1,4,129911,""
3,drama_idle_thinking_shy,"","",0.2,4014,0,1,4,129811,""
21,vo_minigame_1013_top_talk_4_002,"","","",4015,"",0,4,vo_minigame_1013,0
11,"(과연, 그거라면\n그 녀석에게도 제대로…\n읏, 무슨 생각을 하는 거야\n나는~!)",0,0,0,4016,0,8,4,129811,1
91,"","","","",4017,"","",4,0,""
3,drama_idle,"","",0.2,4018,"",1,4,129911,""
3,drama_idle,"","",0.2,4019,"",1,4,129811,""
1,129811,1,drama_idle,1.65,5001,-224,100,5,1,167
1,129911,0,drama_idle,1.65,5002,-224,100,5,1,-49
3,drama_idle,"","",0.2,5003,"",1,5,129811,""
3,drama_talk_thinking,"","",0.2,5004,"",1,5,129911,""
21,vo_minigame_1013_top_talk_5_000,"","","",5005,"",0,5,vo_minigame_1013,0
11,"훈련에서 성과를 내면\n그만큼 훈장도 더욱 빛나게\n되는 법…\n멋져요",0,0.8,0,5006,0,6,5,129911,1
91,"","","","",5007,"","",5,0,""
3,drama_idle_thinking,"","",0.2,5008,"",1,5,129911,""
3,drama_talk_wonder_in,"","",0.2,5009,1,0,5,129811,drama_talk_wonder_loop
21,vo_minigame_1013_top_talk_5_001,"","","",5010,"",0,5,vo_minigame_1013,0
11,"동기는 불순하지만,\n역시 교관으로서는\n우수하단 말이지~…\n참 희한해",0,0.3,0,5011,0,7,5,129811,1
91,"","","","",5012,"","",5,0,""
3,drama_idle_wonder,"","",0.2,5013,"",1,5,129811,""
3,drama_talk_memory,"","",0.2,5014,"",1,5,129911,""
21,vo_minigame_1013_top_talk_5_002,"","","",5015,"",0,5,vo_minigame_1013,0
11,"「역시 에리코야!\n반려자인 나도, 매우\n자랑스러워」라니…\n쿡쿡쿡…",0,0.5,0,5016,0,5,5,129911,1
91,"","","","",5017,"","",5,0,""
3,drama_idle,"","",0.2,5018,"",1,5,129811,""
3,drama_idle,"","",0.2,5019,"",1,5,129911,""
1,129811,1,drama_idle,1.65,6001,-224,100,6,1,167
1,129911,0,drama_idle,1.65,6002,-224,100,6,1,-49
3,drama_idle,"","",0.2,6003,"",1,6,129911,""
3,drama_talk_thinking_shy,"","",0.2,6004,"",1,6,129811,""
21,vo_minigame_1013_top_talk_6_000,"","","",6005,"",0,6,vo_minigame_1013,0
11,"나도 교관 일을\n열심히 하면, 그 녀석이\n기뻐해\n줄까…",0,0.3,0,6006,0,8,6,129811,1
91,"","","","",6007,"","",6,0,""
3,drama_idle_thinking_shy,"","",0.2,6008,"",1,6,129811,""
3,drama_talk_doubt_in,"","",0.2,6009,1,0,6,129911,drama_talk_doubt_loop
21,vo_minigame_1013_top_talk_6_001,"","","",6010,"",0,6,vo_minigame_1013,0
11,"마코토 씨?\n왜 그러시죠?\n무언가 불온한 기운을\n감지했습니다만",0,0.8,0,6011,0,6,6,129911,1
91,"","","","",6012,"","",6,0,""
3,drama_idle_doubt,"","",0.2,6013,"",1,6,129911,""
3,drama_talk_surprise_in_shy,"","",0.2,6014,1,0,6,129811,drama_talk_surprise_loop_shy
21,vo_minigame_1013_top_talk_6_002,"","","",6015,"",0,6,vo_minigame_1013,0
11,"아니 아니, 아무것도 아니야!\n나는 딱히 이상한 생각은\n안 했어!\n그보다 훈련이야!",0,0.3,0,6016,0,9,6,129811,1
91,"","","","",6017,"","",6,0,""
3,drama_idle,"","",0.2,6018,"",1,6,129911,""
3,drama_idle,"","",0.2,6019,"",1,6,129811,""
1,129811,1,drama_idle,1.65,7001,-224,100,7,1,167
1,129911,0,drama_idle,1.65,7002,-224,100,7,1,-49
3,drama_idle,"","",0.2,7003,"",1,7,129811,""
3,drama_talk_arm_crossed_in,"","",0.2,7004,1,0,7,129911,drama_talk_arm_crossed_loop
21,vo_minigame_1013_top_talk_7_000,"","","",7005,"",0,7,vo_minigame_1013,0
11,"제 부대의 여러분도\n여전히 훈련에 매진하고\n있는 것 같군요\n기특한 일이네요",0,0.3,0,7006,0,6,7,129911,1
91,"","","","",7007,"","",7,0,""
3,drama_idle_arm_crossed,"","",0.2,7008,"",1,7,129911,""
3,drama_talk_guts2_in,"","",0.2,7009,1,0,7,129811,drama_talk_guts2_loop
21,vo_minigame_1013_top_talk_7_001,"","","",7010,"",0,7,vo_minigame_1013,0
11,"에리코 부대의 급성장은\n기사단 내에서도 화제가\n됐으니까\n정말 대단한 녀석들이야",0,0,0,7011,0,6,7,129811,1
91,"","","","",7012,"","",7,0,""
3,drama_idle_guts2,"","",0.2,7013,"",1,7,129811,""
3,drama_talk_thinking,"","",0.2,7014,"",1,7,129911,""
21,vo_minigame_1013_top_talk_7_002,"","","",7015,"",0,7,vo_minigame_1013,0
11,"그들이 저를 거역하지 않고\n노력했기 때문에\n얻은 것도 있으니\n…고맙게 생각하겠어요",0,0.5,0,7016,0,6,7,129911,1
91,"","","","",7017,"","",7,0,""
3,drama_idle,"","",0.2,7018,"",1,7,129811,""
3,drama_idle,"","",0.2,7019,"",1,7,129911,""
1,129811,1,drama_idle,1.65,8001,-224,100,8,1,167
1,129911,0,drama_idle,1.65,8002,-224,100,8,1,-49
3,drama_idle,"","",0.2,8003,"",1,8,129911,""
3,drama_talk_doya_in_smile,"","",0.2,8004,1,0,8,129811,drama_talk_doya_loop_smile
21,vo_minigame_1013_top_talk_8_000,"","","",8005,"",0,8,vo_minigame_1013,0
11,"마코토 부대의 모두도,\n견실하게 노력해\n주는 것 같아\n교관으로서도 기뻐",0,0.3,0,8006,0,7,8,129811,1
91,"","","","",8007,"","",8,0,""
3,drama_idle_doya_smile,"","",0.2,8008,"",1,8,129811,""
3,drama_talk_arm_crossed_in,"","",0.2,8009,1,0,8,129911,drama_talk_arm_crossed_loop
21,vo_minigame_1013_top_talk_8_001,"","","",8010,"",0,8,vo_minigame_1013,0
11,"훈련도 실수 없이 해내는\n그야말로 우등생들이었어요\n뭐, 저희 부대 성적에는\n미치지 못했지만요",0,0.8,0,8011,0,5,8,129911,1
91,"","","","",8012,"","",8,0,""
3,drama_idle_arm_crossed,"","",0.2,8013,"",1,8,129911,""
3,drama_talk_anger,"","",0.2,8014,"",1,8,129811,""
21,vo_minigame_1013_top_talk_8_002,"","","",8015,"",0,8,vo_minigame_1013,0
11,"큽, 그런 말을 들으니\n분하네…! 그렇다면\n이 행군 훈련에서\n역전해 주지!",0,0.3,0,8016,0,7,8,129811,1
91,"","","","",8017,"","",8,0,""
3,drama_idle,"","",0.2,8018,"",1,8,129811,""
3,drama_idle,"","",0.2,8019,"",1,8,129911,""
1,129811,1,drama_idle,1.65,30001,-224,100,30,1,167
1,129911,0,drama_idle,1.65,30002,-224,100,30,1,-49
3,drama_idle,"","",0.2,30003,"",1,30,129811,""
3,drama_idle,"","",0.2,30004,"",1,30,129911,""
93,0,"","","",30005,"","",30,0.5,""
26,"","","","",30006,"","",30,2,""
121,10,"","",3,30007,0.9,1.2,30,-80,1.2
3,drama_joy_eriko,0.2,"",0.2,30008,"",0,30,129911,""
140,1,"","","",30009,"",0,30,1,""
1,129811,1,drama_idle,1.65,31001,-224,100,31,1,167
1,129911,0,drama_idle,1.65,31002,-224,100,31,1,-49
3,drama_idle,"","",0.2,31003,"",1,31,129811,""
3,drama_idle,"","",0.2,31004,"",1,31,129911,""
93,0,"","","",31005,"","",31,0.5,""
26,"","","","",31006,"","",31,2,""
121,10,"","",3,31007,0.9,1.2,31,-80,1.2
3,drama_joy_makoto,0.2,"",0.2,31008,"",0,31,129811,""
140,2,"","","",31009,"",0,31,1,""
5,1,1,drama_talk_1,0.28,32001,28,1,32,0,320
5,2,0,drama_talk_2,0.28,32002,28,0,32,0,228
5,3,1,drama_swing,0.26,32003,64,90,32,0,45
5,4,0,drama_streach,0.3,32004,-23,91,32,0,-187
93,0,"","","",32005,"","",32,1,""
3,drama_joy,"","",0.2,32006,"",0,32,1,""
3,drama_joy,"","",0.2,32007,"",0,32,2,""
3,drama_joy,"","",0.2,32008,"",0,32,3,""
3,drama_joy,"","",0.2,32009,"",0,32,4,""
93,0,"","","",32010,"","",32,1.5,""
5,1,1,drama_talk_1,0.28,33001,28,1,33,0,320
5,2,0,drama_talk_2,0.28,33002,28,0,33,0,228
5,3,1,drama_swing,0.26,33003,64,90,33,0,45
5,4,0,drama_streach,0.3,33004,-23,91,33,0,-187
