param_05,drama_id,param_04,param_01,param_06,command_id,command_type,param_07,param_02,param_03,param_08
"",9,"",3,"",1090005,93,"","","",""
1,9,pkb_idle_surprise1,113411,0.2,1090006,3,0.2,pkb_surprise,0,""
"",9,"",1,"",1090007,93,"","","",""
"",9,"",113411,0.2,1090008,3,"",pkb_talk_joy3,1,""
"",9,"",1090004,"",1090009,91,"","","",""
"",9,"",113411,0.2,1090010,3,"",pkb_idle_normal,1,""
-175,10,64,1,1.65,1100001,1,1,106531,100,pkb_idle_normal
1,10,pkb_idle_arm_crossed,106531,0.2,1100002,3,"",pkb_talk_arm_crossed,0,""
"",10,0,vo_minigame_1006,"",1100003,21,"",vo_minigame_1006_top_301,0,""
0,10,0,106531,0,1100004,11,0,"자, 연습 시작하자\n빨리 던지고 싶어서\n몸이 근질거려!",8,0
"",10,"",2.8,"",1100005,93,"","","",""
"",10,"",106531,0.2,1100006,3,"",pkb_talk_joy1,1,""
"",10,"",1100004,"",1100007,91,"","","",""
"",10,"",106531,0.2,1100008,3,"",pkb_idle_normal,1,""
-175,11,64,1,1.65,1110001,1,1,106531,100,pkb_idle_normal
"",11,"",106531,0.2,1110002,3,"",pkb_talk_normal,1,""
"",11,0,vo_minigame_1006,"",1110003,21,"",vo_minigame_1006_top_302,0,""
0,11,0,106531,0,1110004,11,0,"이 몸의 특훈은\n장난 아니라고\n각오해라?",8,0
"",11,"",3.2,"",1110005,93,"","","",""
1,11,pkb_idle_arm_crossed,106531,0.2,1110006,3,0.2,pkb_talk_arm_crossed,0,""
"",11,"",1110004,"",1110007,91,"","","",""
"",11,"",106531,0.2,1110008,3,"",pkb_idle_normal,1,""
-175,12,64,1,1.65,1120001,1,1,106531,100,pkb_idle_normal
1,12,pkb_idle_arm_crossed,106531,0.2,1120002,3,0.2,pkb_talk_arm_crossed,0,""
"",12,0,vo_minigame_1006,"",1120003,21,"",vo_minigame_1006_top_303,0,""
0,12,0,106531,0,1120004,11,0,"기운 넘치는 건 입만이\n아니란 걸\n보여주라고?",8,0.5
"",12,"",3.2,"",1120005,93,"","","",""
1,12,pkb_idle_doya,106531,0.2,1120006,3,"",pkb_talk_doya,0,""
"",12,"",1120004,"",1120007,91,"","","",""
"",12,"",106531,0.2,1120008,3,"",pkb_idle_normal,1,""
-175,13,64,1,1.65,1130001,1,1,102311,100,pkb_idle_normal
1,13,pkb_talk_joy1,102311,0.2,1130002,3,0.4,pkb_talk_fun,0,""
"",13,0,vo_minigame_1006,"",1130003,21,"",vo_minigame_1006_top_401,0,""
0,13,0,102311,0,1130004,11,0,"오늘도 날려버릴게!\n같이 힘내자\n푸우키치!",8,0
"",13,"",1130004,"",1130005,91,"","","",""
"",13,"",102311,0.2,1130006,3,"",pkb_idle_normal,1,""
-175,14,64,1,1.65,1140001,1,1,102311,100,pkb_idle_normal
"",14,"",102311,0.2,1140002,3,"",pkb_talk_joy1,1,""
"",14,0,vo_minigame_1006,"",1140003,21,"",vo_minigame_1006_top_402,0,""
0,14,0,102311,0,1140004,11,0,"전부 홈런을\n날리면 되는 거지?\n그 정도는 간단해!",8,0
"",14,"",3,"",1140005,93,"","","",""
1,14,pkb_idle_doya,102311,0.2,1140006,3,"",pkb_talk_doya,0,""
"",14,"",1140004,"",1140007,91,"","","",""
"",14,"",102311,0.2,1140008,3,"",pkb_idle_normal,1,""
-175,15,64,1,1.65,1150001,1,1,102311,100,pkb_idle_normal
"",15,"",102311,0.2,1150002,3,"",pkb_talk_wish,1,""
"",15,0,vo_minigame_1006,"",1150003,21,"",vo_minigame_1006_top_403,0,""
0,15,0,102311,0,1150004,11,0,"오빠랑 언니에게\n본보기가 될 수 있도록 잔뜩\n날릴 테니까!",8,-0.5
"",15,"",2.4,"",1150005,93,"","","",""
1,15,pkb_talk_joy1,102311,0.2,1150006,3,0.4,pkb_talk_fun,0,""
"",15,"",1150004,"",1150007,91,"","","",""
"",15,"",102311,0.2,1150008,3,"",pkb_idle_normal,1,""
-155,16,64,1,57,1160001,5,1,1,100,pkb_idle_normal_l
1,16,pkb_idle_arm_crossed_l,1,0.2,1160002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",16,0,vo_minigame_1006,"",1160003,21,"",vo_minigame_1006_top_701,0,""
0,16,0,1,0,1160004,11,0,"전국 대회를 목표로\n오늘도 연습 열심히 하자!",8,0
"",16,"",2.6,"",1160005,93,"","","",""
1,16,pkb_idle_doya_l,1,0.2,1160006,3,0.2,pkb_talk_doya_l,0,""
"",16,"",1160004,"",1160007,91,"","","",""
"",16,"",1,0.2,1160008,3,"",pkb_idle_normal_l,1,""
-155,17,64,1,57,1170001,5,1,1,100,pkb_idle_normal_l
1,17,pkb_idle_guts_l,1,0.2,1170002,3,"",pkb_talk_guts_l,0,""
"",17,0,vo_minigame_1006,"",1170003,21,"",vo_minigame_1006_top_702,0,""
0,17,0,1,0,1170004,11,0,"꿈을 이루기 위해서\n온 힘을 다해 연습에\n전념하자!",8,0
"",17,"",0,"",1170005,91,"","","",""
"",17,"",1,0.2,1170006,3,"",pkb_idle_normal_l,1,""
-155,18,64,1,57,1180001,5,1,1,100,pkb_idle_normal_l
1,18,pkb_idle_arm_crossed_l,1,0.2,1180002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",18,0,vo_minigame_1006,"",1180003,21,"",vo_minigame_1006_top_703,0,""
0,18,0,1,0,1180004,11,0,"부원들도 다들\n굉장히 실력이 늘었어…\n나도 질 수 없지!",8,0
"",18,"",2.9,"",1180005,93,"","","",""
1,18,pkb_idle_guts_l,1,0.2,1180006,3,"",pkb_talk_guts_l,0,""
"",18,"",1180004,"",1180007,91,"","","",""
"",18,"",1,0.2,1180008,3,"",pkb_idle_normal_l,1,""
-155,19,64,2,57,1190001,5,1,2,100,pkb_idle_normal_l
1,19,pkb_idle_arm_crossed_l,2,0.2,1190002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",19,0,vo_minigame_1006,"",1190003,21,"",vo_minigame_1006_top_801,0,""
0,19,0,2,0,1190004,11,0,"늘었다는 걸\n보여주겠어\n나 역시 선수야",8,0
"",19,"",3.8,"",1190005,93,"","","",""
1,19,pkb_idle_guts_l,2,0.2,1190006,3,"",pkb_talk_guts_l,0,""
"",19,"",1190004,"",1190007,91,"","","",""
"",19,"",2,0.2,1190008,3,"",pkb_idle_normal_l,1,""
-155,20,64,2,57,1200001,5,1,2,100,pkb_idle_normal_l
1,20,pkb_idle_guts_l,2,0.2,1200002,3,"",pkb_talk_guts_l,0,""
"",20,0,vo_minigame_1006,"",1200003,21,"",vo_minigame_1006_top_802,0,""
0,20,0,2,0,1200004,11,0,"오늘도 멀리 날리겠어\n사양 말고 온 힘을 다해\n덤벼라",8,0
"",20,"",3.2,"",1200005,93,"","","",""
1,20,pkb_idle_doya_l,2,0.2,1200006,3,"",pkb_talk_doya_l,0,""
"",20,"",1200004,"",1200007,91,"","","",""
"",20,"",2,0.2,1200008,3,"",pkb_idle_normal_l,1,""
-155,21,64,2,57,1210001,5,1,2,100,pkb_idle_normal_l
1,21,pkb_idle_arm_crossed_l,2,0.2,1210002,3,0.2,pkb_talk_arm_crossed_l,0,""
"",21,0,vo_minigame_1006,"",1210003,21,"",vo_minigame_1006_top_803,0,""
0,21,0,2,0,1210004,11,0,"전국 대회가 목표니까\n더욱 노력해야\n하겠지",8,0
"",21,"",0,"",1210005,91,"","","",""
"",21,"",2,0.2,1210006,3,"",pkb_idle_normal_l,1,""
-150,22,-20,1,1.6,1220001,1,0,113511,100,pkb_idle_normal
-150,22,170,1,1.6,1220002,1,1,113411,100,pkb_idle_normal
"",22,"",113511,0.2,1220003,3,"",pkb_talk_joy1,1,""
"",22,0,vo_minigame_1006,"",1220004,21,"",vo_minigame_1006_top_talk_1_101,0,""
0,22,0,113511,0,1220005,11,0,"후후, 다들 굉장히\n의욕이 넘치네\n하츠네의 응원\n덕분일까♪",6,-0.5
"",22,"",0,"",1220006,91,"","","",""
"",22,"",113511,0.2,1220007,3,"",pkb_idle_normal,1,""
"",22,"",113411,0.2,1220008,3,"",pkb_talk_joy1,1,""
"",22,0,vo_minigame_1006,"",1220009,21,"",vo_minigame_1006_top_talk_1_202,0,""
0,22,0,113411,0,1220010,11,0,"그런가~?\n그럼 더욱 응원\n열심히 할게~!",6,-0.5
"",22,"",4,"",1220011,93,"","","",""
1,22,pkb_idle_normal,113411,0.2,1220012,3,0,pkb_talk_handsup,0,""
"",22,"",1220010,"",1220013,91,"","","",""
"",22,"",113411,0.2,1220014,3,"",pkb_idle_normal,1,""
-150,23,170,1,1.6,1230001,1,1,113411,100,pkb_idle_normal
-150,23,-20,1,1.6,1230002,1,0,113511,100,pkb_idle_normal
"",23,"",113411,0.2,1230003,3,"",pkb_talk_normal,1,""
"",23,0,vo_minigame_1006,"",1230004,21,"",vo_minigame_1006_top_talk_2_201,0,""
0,23,0,113411,0,1230005,11,0,"미사토 선생님도 함께\n응원하자!",8,-1.5
"",23,"",0,"",1230006,91,"","","",""
"",23,"",113411,0.2,1230007,3,"",pkb_idle_normal,1,""
"",23,"",113511,0.2,1230008,3,"",pkb_talk_normal,1,""
"",23,0,vo_minigame_1006,"",1230009,21,"",vo_minigame_1006_top_talk_2_102,0,""
0,23,0,113511,0,1230010,11,0,"어머머\n재밌겠다~♪\n이겨라, 이겨라!",5,3
"",23,"",4,"",1230011,93,"","","",""
0,23,pkb_talk_fun,113511,0.2,1230012,3,0.2,pkb_talk_fun,0,""
"",23,"",2.7,"",1230013,93,"","","",""
1,23,pkb_talk_joy1,113511,0.2,1230014,3,0.2,pkb_idle_normal,0,""
"",23,"",1230010,"",1230015,91,"","","",""
"",23,"",113511,0.2,1230016,3,"",pkb_idle_normal,1,""
-150,24,170,1,1.6,1240001,1,1,113511,100,pkb_idle_normal
-130,24,-20,3,55,1240002,5,0,3,100,pkb_idle_normal
"",24,"",113511,0.2,1240003,3,"",pkb_talk_joy3,1,""
"",24,0,vo_minigame_1006,"",1240004,21,"",vo_minigame_1006_top_talk_3_101,0,""
0,24,0,113511,0,1240005,11,0,"다이치도 참\n대단한 기세네~!\n무리하면\n안 돼요~?",6,-1
"",24,"",4,"",1240006,93,"","","",""
"",24,"",113511,0.2,1240007,3,"",pkb_talk_wish,1,""
"",24,"",1240005,"",1240008,91,"","","",""
"",24,"",113511,0.2,1240009,3,"",pkb_idle_normal,1,""
"",24,"",3,0.2,1240010,3,"",pkb_talk_normal,1,""
"",24,0,vo_minigame_1006,"",1240011,21,"",vo_minigame_1006_top_talk_3_602,0,""
0,24,0,3,0,1240012,11,0,"안다니까\n하지만 비치 베이스볼이\n즐거워서\n어쩔 수가 없어!",6,-1
"",24,"",2,"",1240013,93,"","","",""
1,24,pkb_idle_doya,3,0.2,1240014,3,"",pkb_talk_doya,0,""
"",24,"",1240012,"",1240015,91,"","","",""
"",24,"",3,0.2,1240016,3,"",pkb_idle_normal,1,""
-130,25,-20,3,55,1250001,5,0,3,100,pkb_idle_normal
-150,25,170,1,1.6,1250002,1,1,113511,100,pkb_idle_normal
1,25,pkb_idle_arm_crossed,3,0.2,1250003,3,0.2,pkb_talk_arm_crossed,0,""
"",25,0,vo_minigame_1006,"",1250004,21,"",vo_minigame_1006_top_talk_4_601,0,""
0,25,0,3,0,1250005,11,0,"지금의 우리라면\n전국 대회에 나갈 수 있어!\n반드시 꿈을\n이루자고!",8,-0.5
"",25,"",3,"",1250006,93,"","","",""
1,25,pkb_idle_guts,3,0.2,1250007,3,"",pkb_talk_guts,0,""
"",25,"",1250005,"",1250008,91,"","","",""
"",25,"",3,0.2,1250009,3,"",pkb_idle_normal,1,""
"",25,"",113511,0.2,1250010,3,"",pkb_talk_wish,1,""
"",25,0,vo_minigame_1006,"",1250011,21,"",vo_minigame_1006_top_talk_4_102,0,""
0,25,0,113511,0,1250012,11,0,"응, 너희라면\n갈 수 있을 거라고 믿어\n힘내자~♪",6,1
"",25,"",5.6,"",1250013,93,"","","",""
1,25,pkb_idle_normal,113511,0.2,1250014,3,0.2,pkb_talk_handsup,0,""
"",25,"",0,"",1250015,91,"","","",""
"",25,"",113511,0.2,1250016,3,"",pkb_idle_normal,1,""
-150,26,170,1,1.6,1260001,1,1,113511,100,pkb_idle_normal
-130,26,-20,1,55,1260002,5,0,1,100,pkb_idle_normal
"",26,"",113511,0.2,1260003,3,"",pkb_talk_joy3,1,""
"",26,0,vo_minigame_1006,"",1260004,21,"",vo_minigame_1006_top_talk_5_101,0,""
0,26,0,113511,0,1260005,11,0,"후후, 선생님도\n연습을 도와줄\n테니까~",6,0
"",26,"",0,"",1260006,91,"","","",""
"",26,"",113511,0.2,1260007,3,"",pkb_idle_normal,1,""
1,26,pkb_idle_guts,1,0.2,1260008,3,0.2,pkb_talk_guts,0,""
"",26,0,vo_minigame_1006,"",1260009,21,"",vo_minigame_1006_top_talk_5_702,0,""
0,26,0,1,0,1260010,11,0,"선생님, 고맙습니다!\n저도 기합을 넣고\n노력할게요!",8,-1
"",26,"",0,"",1260011,91,"","","",""
"",26,"",1,0.2,1260012,3,"",pkb_idle_normal,1,""
-130,27,-20,1,55,1270001,5,0,1,100,pkb_idle_normal
-150,27,170,1,1.6,1270002,1,1,113511,100,pkb_idle_normal
1,27,pkb_idle_arm_crossed,1,0.2,1270003,3,0.2,pkb_talk_arm_crossed,0,""
"",27,0,vo_minigame_1006,"",1270004,21,"",vo_minigame_1006_top_talk_6_701,0,""
0,27,0,1,0,1270005,11,0,"오늘도 볼이\n반짝거려…\n분명 선생님이\n닦아준 거야…!",8,-0.5
"",27,"",2.6,"",1270006,93,"","","",""
1,27,pkb_idle_guts,1,0.2,1270007,3,0.2,pkb_talk_guts,0,""
"",27,"",1270005,"",1270008,91,"","","",""
"",27,"",1,0.2,1270009,3,"",pkb_idle_normal,1,""
"",27,"",113511,0.2,1270010,3,"",pkb_talk_joy3,1,""
"",27,0,vo_minigame_1006,"",1270011,21,"",vo_minigame_1006_top_talk_6_102,0,""
0,27,0,113511,0,1270012,11,0,"내가 할 수 있는 일을\n한 것뿐이란다~\n모두가 기분 좋게\n연습했으면 해서♪",6,0.5
"",27,"",4,"",1270013,93,"","","",""
"",27,"",113511,0.2,1270014,3,"",pkb_talk_wish,1,""
"",27,"",1270012,"",1270015,91,"","","",""
"",27,"",113511,0.2,1270016,3,"",pkb_idle_normal,1,""
-150,28,170,1,1.6,1280001,1,1,113411,100,pkb_idle_normal
-130,28,-20,3,55,1280002,5,0,3,100,pkb_idle_normal
1,28,pkb_talk_joy1,113411,0.2,1280003,3,0.2,pkb_talk_yell,0,""
"",28,0,vo_minigame_1006,"",1280004,21,"",vo_minigame_1006_top_talk_7_201,0,""
0,28,0,113411,0,1280005,11,0,"다들 힘내~♪\n멋진 모습을\n기대할게~!\n파이팅 파이팅~!",8,-0.5
"",28,"",4.6,"",1280006,93,"","","",""
1,28,pkb_idle_normal,113411,0.2,1280007,3,0.2,pkb_talk_fun,0,""
"",28,"",1280005,"",1280008,91,"","","",""
"",28,"",113411,0.2,1280009,3,"",pkb_idle_normal,1,""
1,28,pkb_idle_guts,3,0.2,1280010,3,"",pkb_talk_guts,0,""
"",28,0,vo_minigame_1006,"",1280011,21,"",vo_minigame_1006_top_talk_7_602,0,""
0,28,0,3,0,1280012,11,0,"응원이 마음 깊이 느껴져…\n하츠네한테\n멋진 모습을 보여주겠어!\n우오오오오!!",8,0
"",28,"",5,"",1280013,93,"","","",""
1,28,pkb_idle_normal,3,0.2,1280014,3,"",pkb_talk_handsup,0,""
"",28,"",1280012,"",1280015,91,"","","",""
"",28,"",3,0.2,1280016,3,"",pkb_idle_normal,1,""
-130,29,-20,3,55,1290001,5,0,3,100,pkb_idle_normal
-150,29,170,1,1.6,1290002,1,1,113411,100,pkb_idle_normal
1,29,pkb_idle_arm_crossed,3,0.2,1290003,3,0.2,pkb_talk_arm_crossed,0,""
"",29,0,vo_minigame_1006,"",1290004,21,"",vo_minigame_1006_top_talk_8_601,0,""
0,29,0,3,0,1290005,11,0,"응원이 마음 깊이 느껴져…\n하츠네한테\n멋진 모습을 보여주겠어!\n우오오오오!!",8,-1
"",29,"",2.8,"",1290006,93,"","","",""
1,29,pkb_idle_guts,3,0.2,1290007,3,"",pkb_talk_guts,0,""
"",29,"",1290005,"",1290008,91,"","","",""
"",29,"",3,0.2,1290009,3,"",pkb_idle_normal,1,""
"",29,"",113411,0.2,1290010,3,"",pkb_talk_joy1,1,""
"",29,0,vo_minigame_1006,"",1290011,21,"",vo_minigame_1006_top_talk_8_202,0,""
0,29,0,113411,0,1290012,11,0,"맡겨줘!\n평소보다 더 많이\n응원할게~!",8,-0.5
"",29,"",2.2,"",1290013,93,"","","",""
0,29,pkb_smile,113411,0.2,1290014,3,0.4,pkb_talk_fun,0,""
"",29,"",2.2,"",1290015,93,"","","",""
"",29,"",113411,0.2,1290016,3,"",pkb_idle_normal,1,""
"",29,"",1290012,"",1290017,91,"","","",""
"",29,"",113411,0.2,1290018,3,"",pkb_idle_normal,1,""
-150,30,170,1,1.6,1300001,1,1,113411,100,pkb_idle_normal
-130,30,-20,1,55,1300002,5,0,1,100,pkb_idle_normal
"",30,"",113411,0.2,1300003,3,"",pkb_talk_joy1,1,""
"",30,0,vo_minigame_1006,"",1300004,21,"",vo_minigame_1006_top_talk_9_201,0,""
0,30,0,113411,0,1300005,11,0,"많이 응원할 테니까\n오늘도 연습 힘내\n노려라, 전국 대회~!",8,1
"",30,"",5,"",1300006,93,"","","",""
1,30,pkb_idle_normal,113411,0.2,1300007,3,"",pkb_talk_handsup,0,""
"",30,"",1300005,"",1300008,91,"","","",""
"",30,"",113411,0.2,1300009,3,"",pkb_idle_normal,1,""
"",30,"",1,0.2,1300010,3,"",pkb_talk_normal,1,""
"",30,0,vo_minigame_1006,"",1300011,21,"",vo_minigame_1006_top_talk_9_702,0,""
0,30,0,1,0,1300012,11,0,"하츠네의 응원은\n우리에게 힘이 돼\n늘 고마워!",8,-1
"",30,"",3.3,"",1300013,93,"","","",""
1,30,pkb_idle_guts,1,0.2,1300014,3,"",pkb_talk_guts,0,""
"",30,"",1300012,"",1300015,91,"","","",""
"",30,"",1,0.2,1300016,3,"",pkb_idle_normal,1,""
-130,31,-20,1,55,1310001,5,0,1,100,pkb_idle_normal
-150,31,170,1,1.6,1310002,1,1,113411,100,pkb_idle_normal
1,31,pkb_idle_arm_crossed,1,0.2,1310003,3,0.2,pkb_talk_arm_crossed,0,""
"",31,0,vo_minigame_1006,"",1310004,21,"",vo_minigame_1006_top_talk_10_701,0,""
0,31,0,1,0,1310005,11,0,"캡틴으로서\n좀 더 능숙해져서\n모두를 끌어\n줘야 해!",8,-1.5
"",31,"",3.6,"",1310006,93,"","","",""
1,31,pkb_idle_doya,1,0.2,1310007,3,"",pkb_talk_doya,0,""
"",31,"",1310005,"",1310008,91,"","","",""
"",31,"",1,0.2,1310009,3,"",pkb_idle_normal,1,""
"",31,"",113411,0.2,1310010,3,"",pkb_talk_joy1,1,""
"",31,0,vo_minigame_1006,"",1310011,21,"",vo_minigame_1006_top_talk_10_202,0,""
0,31,0,113411,0,1310012,11,0,"오, 아사히!\n기합이 들어갔구나!\n그 마음가짐이야~!\n힘내라 힘내라~☆",8,-0.5
"",31,"",3.6,"",1310013,93,"","","",""
0,31,pkb_talk_fun,113411,0.2,1310014,3,"",pkb_talk_fun,0,""
"",31,"",3,"",1310015,93,"","","",""
"",31,"",113411,0.2,1310016,3,"",pkb_idle_normal,1,""
"",31,"",1310012,"",1310017,91,"","","",""
-130,32,-20,2,55,1320001,5,0,2,100,pkb_idle_normal
-150,32,170,1,1.6,1320002,1,1,113411,100,pkb_idle_normal
1,32,pkb_idle_guts,2,0.2,1320003,3,"",pkb_talk_guts,0,""
"",32,0,vo_minigame_1006,"",1320004,21,"",vo_minigame_1006_top_talk_11_801,0,""
0,32,0,2,0,1320005,11,0,"하츠네…\n홈런 날린다고\n약속할 테니까\n제대로 지켜봐 줘",8,0
"",32,"",5,"",1320006,93,"","","",""
1,32,pkb_idle_doya,2,0.2,1320007,3,"",pkb_talk_doya,0,""
"",32,"",1320005,"",1320008,91,"","","",""
"",32,"",2,0.2,1320009,3,"",pkb_idle_normal,1,""
"",32,"",113411,0.2,1320010,3,"",pkb_talk_joy2,1,""
"",32,0,vo_minigame_1006,"",1320011,21,"",vo_minigame_1006_top_talk_11_202,0,""
0,32,0,113411,0,1320012,11,0,"응, 알겠어!\n특대 홈런을\n부탁해~!\n기대할게~!",8,0
"",32,"",4.6,"",1320013,93,"","","",""
1,32,pkb_idle_normal,113411,0.2,1320014,3,0.2,pkb_hatsune_kiran,0,""
"",32,"",1320012,"",1320015,91,"","","",""
"",32,"",113411,0.2,1320016,3,"",pkb_idle_normal,1,""
-150,33,170,1,1.6,1330001,1,1,102311,100,pkb_idle_normal
-130,33,-20,2,55,1330002,5,0,2,100,pkb_idle_normal
"",33,"",102311,0.2,1330003,3,"",pkb_talk_normal,1,""
"",33,0,vo_minigame_1006,"",1330004,21,"",vo_minigame_1006_top_talk_12_401,0,""
0,33,0,102311,0,1330005,11,0,"소리내기 연습하자!\n「푸우키치\n풀 스윙」이라고\n큰 소리로 백 번~!",8,-0.5
"",33,"",1.6,"",1330006,93,"","","",""
1,33,pkb_talk_joy1,102311,0.2,1330007,3,0.2,pkb_talk_yell,0,""
"",33,"",1330005,"",1330008,91,"","","",""
"",33,"",102311,0.2,1330009,3,"",pkb_idle_normal,1,""
"",33,0,vo_minigame_1006,"",1330010,21,"",vo_minigame_1006_top_talk_12_802,0,""
0,33,0,2,0,1330011,11,0,"푸, 푸우키치\n풀 스윙!\n…이건 이거대로\n힘든 연습이군",8,0
"",33,"",0.5,"",1330012,93,"","","",""
"",33,"",2,0.2,1330013,3,"",pkb_talk_yell,0,""
"",33,"",3,"",1330014,93,"","","",""
1,33,pkb_idle_shock,2,0.2,1330015,3,"",pkb_shock,0,""
"",33,"",1330011,"",1330016,91,"","","",""
"",33,"",2,0.2,1330017,3,"",pkb_idle_normal,1,""
-150,34,170,1,1.6,1340001,1,1,106531,100,pkb_idle_normal
-150,34,-20,1,1.6,1340002,1,0,113411,100,pkb_idle_normal
1,34,pkb_idle_arm_crossed,106531,0.2,1340003,3,0.2,pkb_talk_arm_crossed,0,""
"",34,0,vo_minigame_1006,"",1340004,21,"",vo_minigame_1006_top_talk_13_301,0,""
0,34,0,106531,0,1340005,11,0,"너도 굉장한 볼을\n던지잖아\n어떻게\n던지는 거야?",8,-1
"",34,"",3.4,"",1340006,93,"","","",""
"",34,"",106531,0.2,1340007,3,"",pkb_talk_normal,1,""
"",34,"",1340005,"",1340008,91,"","","",""
"",34,"",106531,0.2,1340009,3,"",pkb_idle_normal,1,""
