que_id,start_time,maximum_chunk_size_1,event_id,sheet_id,introduction_number,maximum_chunk_size_2,maximum_chunk_size_loop_3,maximum_chunk_size_3,end_time,maximum_chunk_size_loop_2,id,maximum_chunk_size_loop_1
bgm_M273,"2020/11/30 15:00:00",380000,10027,bgm_M273,1,0,0,0,"2030/03/26 14:59:00",0,27,380000
bgm_M162,"2020/12/15 15:00:00",380000,10028,bgm_M162,1,0,0,0,"2030/03/26 14:59:00",0,28,380000
bgm_M281,"2020/12/29 15:00:00",380000,10029,bgm_M281,1,0,0,0,"2030/03/26 14:59:00",0,29,380000
bgm_M171,"2021/01/14 15:00:00",380000,10030,bgm_M171,1,0,0,0,"2030/03/26 14:59:00",0,30,380000
bgm_M294,"2021/01/28 15:00:00",380000,10031,bgm_M294,1,0,0,0,"2030/03/26 14:59:00",0,31,380000
bgm_M182,"2021/02/14 15:00:00",380000,10032,bgm_M182,1,0,0,0,"2030/03/26 14:59:00",0,32,380000
bgm_M316,"2021/03/02 15:00:00",380000,10033,bgm_M316,1,0,0,0,"2030/03/26 14:59:00",0,33,380000
bgm_M189,"2021/03/17 15:00:00",380000,10034,bgm_M189,1,0,0,0,"2030/03/26 14:59:00",0,34,380000
bgm_M330,"2021/03/30 15:00:00",380000,10035,bgm_M330,1,0,0,0,"2030/03/26 14:59:00",0,35,380000
bgm_M330,"2021/03/30 15:00:00",380000,10036,bgm_M330,1,0,0,0,"2030/03/26 14:59:00",0,36,380000
bgm_M206,"2021/04/15 15:00:00",380000,10037,bgm_M206,1,0,0,0,"2030/03/26 14:59:00",0,37,380000
bgm_M343,"2021/04/29 15:00:00",380000,10038,bgm_M343,1,0,0,0,"2030/03/26 14:59:00",0,38,380000
bgm_M215,"2021/05/16 15:00:00",380000,10039,bgm_M215,1,0,0,0,"2030/03/26 14:59:00",0,39,380000
bgm_M351,"2021/05/31 15:00:00",380000,10040,bgm_M351,1,0,0,0,"2030/03/26 14:59:00",0,40,380000
bgm_M223,"2021/06/17 15:00:00",380000,10041,bgm_M223,1,0,0,0,"2030/03/26 14:59:00",0,41,380000
bgm_M375,"2021/07/01 15:00:00",380000,10042,bgm_M375,1,0,0,0,"2030/03/26 14:59:00",0,42,380000
bgm_M237,"2021/07/16 15:00:00",380000,10043,bgm_M237,1,0,0,0,"2030/03/26 14:59:00",0,43,380000
bgm_M380A,"2021/08/02 15:00:00",380000,10044,bgm_M380A,1,0,0,0,"2030/03/26 14:59:00",0,44,380000
bgm_M393,"2021/09/01 15:00:00",380000,10046,bgm_M393,1,0,0,0,"2030/03/26 14:59:00",0,45,380000
bgm_M245,"2021/08/17 15:00:00",380000,10045,bgm_M245,1,0,0,0,"2030/03/26 14:59:00",0,46,380000
bgm_M254,"2021/09/17 15:00:00",380000,10047,bgm_M254,1,0,0,0,"2030/03/26 14:59:00",0,47,380000
bgm_M403,"2021/10/02 15:00:00",380000,10048,bgm_M403,1,0,0,0,"2030/03/26 14:59:00",0,48,380000
bgm_M265_Top,"2021/10/19 15:00:00",380000,10049,bgm_M265,1,0,0,0,"2030/03/26 14:59:00",0,49,380000
bgm_M413,"2021/11/01 15:00:00",380000,10050,bgm_M413,1,0,0,0,"2030/03/26 14:59:00",0,50,380000
bgm_M421,"2021/12/01 15:00:00",380000,10052,bgm_M421,1,0,0,0,"2030/03/26 14:59:00",0,52,380000
0,"2021/12/10 15:00:00",380000,10053,0,1,0,0,0,"2030/03/26 14:59:00",0,53,380000
bgm_M426,"2021/12/30 15:00:00",380000,10054,bgm_M426,1,0,0,0,"2030/03/26 14:59:00",0,54,380000
bgm_M435,"2022/01/28 15:00:00",380000,10056,bgm_M435,1,0,0,0,"2030/03/26 14:59:00",0,56,380000
bgm_M442A,"2022/02/28 15:00:00",380000,10058,bgm_M442A,1,0,0,0,"2030/03/26 14:59:00",0,58,380000
bgm_M442B,"2022/03/10 15:00:00",380000,10059,bgm_M442B,1,0,0,0,"2030/03/26 14:59:00",0,59,380000
bgm_M451,"2022/03/28 15:00:00",380000,10061,bgm_M451,1,0,0,0,"2030/03/26 14:59:00",0,61,380000
bgm_M457,"2022/04/28 15:00:00",380000,10064,bgm_M457,1,0,0,0,"2030/03/26 14:59:00",0,64,380000
bgm_M467,"2022/05/27 15:00:00",380000,10066,bgm_M467,1,0,0,0,"2030/03/26 14:59:00",0,66,380000
bgm_M478_Lofi,"2022/06/27 15:00:00",380000,10068,bgm_M478,1,0,0,0,"2030/03/26 14:59:00",0,68,380000
bgm_M486,"2022/07/26 15:00:00",380000,10070,bgm_M486,1,0,0,0,"2030/03/26 14:59:00",0,70,380000
bgm_M496,"2022/08/26 15:00:00",380000,10072,bgm_M496,1,0,0,0,"2030/03/26 14:59:00",0,72,380000
bgm_M508,"2022/09/26 15:00:00",380000,10074,bgm_M508,1,0,0,0,"2030/03/26 14:59:00",0,74,380000
bgm_M520,"2022/10/28 15:00:00",380000,10076,bgm_M520,1,0,0,0,"2030/03/26 14:59:00",0,76,380000
bgm_M527,"2022/11/28 15:00:00",380000,10078,bgm_M527,1,0,0,0,"2030/03/26 14:59:00",0,78,380000
bgm_M536,"2022/12/29 15:00:00",380000,10080,bgm_M536,1,0,0,0,"2030/03/26 14:59:00",0,80,380000
bgm_M543,"2023/01/27 15:00:00",380000,10082,bgm_M543,1,0,0,0,"2030/03/26 14:59:00",0,82,380000
bgm_M552,"2023/02/27 15:00:00",380000,10084,bgm_M552,1,0,0,0,"2030/03/26 14:59:00",0,84,380000
bgm_M553,"2023/02/27 15:00:00",380000,10085,bgm_M553,1,0,0,0,"2030/03/26 14:59:00",0,85,380000
bgm_M565,"2023/03/26 15:00:00",380000,10088,bgm_M565,1,0,0,0,"2030/03/26 14:59:00",0,88,380000
bgm_M574,"2023/04/29 15:00:00",380000,10090,bgm_M574,1,0,0,0,"2030/03/26 14:59:00",0,90,380000
bgm_M582,"2023/05/27 15:00:00",380000,10092,bgm_M582,1,0,0,0,"2030/03/26 14:59:00",0,92,380000
bgm_M595,"2023/06/26 15:00:00",380000,10094,bgm_M595,1,0,0,0,"2030/03/26 14:59:00",0,94,380000
bgm_M601,"2023/07/29 15:00:00",380000,10096,bgm_M601,1,0,0,0,"2030/03/26 14:59:00",0,96,380000
bgm_M608,"2023/08/27 15:00:00",380000,10098,bgm_M608,1,0,0,0,"2030/03/26 14:59:00",0,98,380000
bgm_M618,"2023/09/22 15:00:00",380000,10100,bgm_M618,1,0,0,0,"2030/03/26 14:59:00",0,100,380000
bgm_M623,"2023/10/30 15:00:00",380000,10102,bgm_M623,1,0,0,0,"2030/03/26 14:59:00",0,102,380000
bgm_M630,"2023/11/27 15:00:00",380000,10104,bgm_M630,1,0,0,0,"2030/03/26 14:59:00",0,104,380000
bgm_M638,"2023/12/25 15:00:00",380000,10106,bgm_M638,1,0,0,0,"2030/03/26 14:59:00",0,106,380000
bgm_M647,"2024/01/27 15:00:00",380000,10108,bgm_M647,1,0,0,0,"2030/03/26 14:59:00",0,108,380000
bgm_M659,"2024/02/26 15:00:00",380000,10110,bgm_M659,1,0,0,0,"2030/03/26 14:59:00",0,110,380000
bgm_M660,"2024/03/07 15:00:00",380000,10111,bgm_M660,1,0,0,0,"2030/03/26 14:59:00",0,111,380000
bgm_M668,"2024/03/28 15:00:00",380000,10114,bgm_M668,1,0,0,0,"2030/03/26 14:59:00",0,114,380000
bgm_MC017,"2024/04/28 15:00:00",380000,10116,bgm_MC017,1,0,0,0,"2030/03/26 14:59:00",0,116,380000
bgm_MC026,"2024/05/25 15:00:00",380000,10118,bgm_MC026,1,0,0,0,"2030/03/26 14:59:00",0,118,380000
bgm_MC036,"2024/06/29 15:00:00",380000,10120,bgm_MC036,1,0,0,0,"2030/03/26 14:59:00",0,120,380000
bgm_MC046,"2024/07/28 15:00:00",380000,10122,bgm_MC046,1,0,0,0,"2030/03/26 14:59:00",0,122,380000
bgm_MC056,"2024/08/24 15:00:00",380000,10124,bgm_MC056,1,0,0,0,"2030/03/26 14:59:00",0,124,380000
bgm_MC063,"2024/09/27 15:00:00",380000,10126,bgm_MC063,1,0,0,0,"2030/03/26 14:59:00",0,126,380000
bgm_MC075,"2024/10/27 15:00:00",380000,10128,bgm_MC075,1,0,0,0,"2030/03/26 14:59:00",0,128,380000
bgm_MC082,"2024/11/25 15:00:00",380000,10130,bgm_MC082,1,0,0,0,"2030/03/26 14:59:00",0,130,380000
bgm_MC091,"2024/12/24 15:00:00",380000,10132,bgm_MC091,1,0,0,0,"2030/03/26 14:59:00",0,132,380000
bgm_MC099,"2025/01/24 15:00:00",380000,10134,bgm_MC099,1,0,0,0,"2030/03/26 14:59:00",0,134,380000
bgm_MC110,"2025/02/24 15:00:00",380000,10136,bgm_MC110,1,0,0,0,"2030/03/26 14:59:00",0,136,380000
bgm_MC111,"2025/02/24 15:00:00",380000,10137,bgm_MC111,1,0,0,0,"2030/03/26 14:59:00",0,137,380000
bgm_MC124,"2025/03/28 15:00:00",380000,10140,bgm_MC124,1,0,0,0,"2030/03/26 14:59:00",0,140,380000
bgm_MC136,"2025/04/27 15:00:00",380000,10142,bgm_MC136,1,0,0,0,"2030/03/26 14:59:00",0,142,380000
bgm_MC143,"2025/05/26 15:00:00",380000,10144,bgm_MC143,1,0,0,0,"2030/03/26 14:59:00",0,144,380000
bgm_MC147,"2025/06/27 15:00:00",380000,10146,bgm_MC147,1,0,0,0,"2030/03/26 14:59:00",0,146,380000
bgm_MC156,"2025/07/26 15:00:00",380000,10148,bgm_MC156,1,0,0,0,"2030/03/26 14:59:00",0,148,380000
bgm_MC162,"2025/08/26 15:00:00",380000,10150,bgm_MC162,1,0,0,0,"2030/03/26 14:59:00",0,150,380000
bgm_MC186,"2025/10/28 15:00:00",380000,10154,bgm_MC186,1,0,0,0,"2030/03/26 14:59:00",0,154,380000
bgm_MC194,"2025/11/28 15:00:00",380000,10156,bgm_MC194,1,0,0,0,"2030/03/26 14:59:00",0,156,380000
bgm_MC213,"2025/12/28 15:00:00",380000,10158,bgm_MC213,1,0,0,0,"2030/03/26 14:59:00",0,158,380000
bgm_MC215B,"2026/01/27 15:00:00",380000,10160,bgm_MC215B,1,0,0,0,"2030/03/26 14:59:00",0,160,380000
