boss_ticket_id,unit_material_id_1,unit_material_id_6,gacha_ticket_id,event_id,unit_material_id_3,unit_material_id_4,unit_material_id_8,unit_material_id_9,unit_material_id_2,unit_material_id_5,unit_material_id_10,unit_material_id_7
61221,31224,0,61222,10123,0,0,0,0,31002,0,0,0
61231,31270,0,61232,10124,0,0,0,0,31031,0,0,0
61241,31228,0,61242,10125,0,0,0,0,31036,0,0,0
61251,31011,0,61252,10126,0,0,0,0,31060,0,0,0
61261,31010,0,61262,10127,0,0,0,0,31023,0,0,0
61271,31056,0,61272,10128,0,0,0,0,31042,0,0,0
61281,31235,0,61282,10129,0,0,0,0,31013,0,0,0
61291,31018,0,61292,10130,0,0,0,0,31054,0,0,0
61301,31037,0,61302,10131,0,0,0,0,31005,0,0,0
61311,31028,0,61312,10132,0,0,0,0,31058,0,0,0
61321,31241,0,61322,10133,0,0,0,0,31047,0,0,0
61331,31283,0,61332,10134,0,0,0,0,31014,0,0,0
61341,31247,0,61342,10135,0,0,0,0,31066,0,0,0
61351,31288,0,61352,10136,0,0,0,0,31002,0,0,0
61361,31288,0,61362,10137,0,0,0,0,31001,0,0,0
61371,31249,0,61372,10138,0,0,0,0,31029,0,0,0
61381,31249,0,61382,10139,0,0,0,0,31042,0,0,0
61391,31110,0,61392,10140,0,0,0,0,31034,0,0,0
61401,31053,0,61402,10141,0,0,0,0,31046,0,0,0
61411,31043,0,61412,10142,0,0,0,0,31027,0,0,0
61421,31012,0,61422,10143,0,0,0,0,31038,0,0,0
61431,31036,0,61432,10144,0,0,0,0,31025,0,0,0
61441,31257,0,61442,10145,0,0,0,0,31057,0,0,0
61451,31010,0,61452,10146,0,0,0,0,31021,0,0,0
61461,31044,0,61462,10147,0,0,0,0,31008,0,0,0
61471,31029,0,61472,10148,0,0,0,0,31042,0,0,0
61481,31267,0,61482,10149,0,0,0,0,31048,0,0,0
61491,31047,0,61492,10150,0,0,0,0,31058,0,0,0
61501,31270,0,61502,10151,0,0,0,0,31031,0,0,0
61531,31012,0,61532,10154,0,0,0,0,31007,0,0,0
61541,31011,0,61542,10155,0,0,0,0,31060,0,0,0
61551,31049,0,61552,10156,0,0,0,0,31038,0,0,0
61561,31056,0,61562,10157,0,0,0,0,31042,0,0,0
61571,31016,0,61572,10158,0,0,0,0,31050,0,0,0
61581,31018,0,61582,10159,0,0,0,0,31054,0,0,0
61591,31332,0,61592,10160,0,0,0,0,31028,0,0,0
61601,31028,0,61602,10161,0,0,0,0,31058,0,0,0
61621,31283,0,61622,10163,0,0,0,0,31014,0,0,0
61631,31288,0,61632,10164,0,0,0,0,31002,0,0,0
61641,31288,0,61642,10165,0,0,0,0,31001,0,0,0
