main_skill_lv_8,energy_recovery_rate,main_skill_lv_6,main_skill_lv_9,hp,physical_critical,ex_skill_lv_3,resist_status_id,ex_skill_lv_1,life_steal,main_skill_lv_2,energy_reduce_rate,atk,union_burst_level,main_skill_lv_7,main_skill_lv_1,physical_penetrate,rarity,level,accuracy,unit_id,main_skill_lv_10,hp_recovery_rate,main_skill_lv_4,dodge,magic_penetrate,main_skill_lv_5,main_skill_lv_3,ex_skill_lv_4,magic_def,enemy_id,wave_hp_recovery,def,ex_skill_lv_2,resist_variation_id,ex_skill_lv_5,wave_energy_recovery,promotion_level,magic_critical,magic_str
16,30,16,16,851,10,16,200000006,16,0,16,0,123,16,16,16,0,1,16,0,200100,16,0,16,1,0,16,16,16,12,670010016,0,15,16,0,16,0,1,10,0
17,30,17,17,919,10,17,200000006,17,0,17,0,136,17,17,17,0,1,17,0,200100,17,0,17,1,0,17,17,17,12,670010017,0,15,17,0,17,0,1,10,0
18,30,18,18,1296,10,18,200000006,18,0,18,0,164,18,18,18,0,1,18,0,200100,18,0,18,1,0,18,18,18,13,670010018,0,15,18,0,18,0,1,10,0
19,30,19,19,1482,10,19,200000006,19,0,19,0,177,19,19,19,0,1,19,0,200100,19,0,19,1,0,19,19,19,13,670010019,0,15,19,0,19,0,1,10,0
20,30,20,20,1563,10,20,200000006,20,0,20,0,186,20,20,20,0,1,20,0,200100,20,0,20,1,0,20,20,20,13,670010020,0,16,20,0,20,0,1,10,0
21,30,21,21,1784,10,21,200000006,21,0,21,0,206,21,21,21,0,1,21,0,200100,21,0,21,1,0,21,21,21,15,670010021,0,18,21,0,21,0,1,10,0
22,30,22,22,2005,10,22,200000006,22,0,22,0,225,22,22,22,0,1,22,0,200100,22,0,22,1,0,22,22,22,17,670010022,0,20,22,0,22,0,1,10,0
23,30,23,23,2225,10,23,200000006,23,0,23,0,245,23,23,23,0,1,23,0,200100,23,0,23,1,0,23,23,23,18,670010023,0,21,23,0,23,0,1,10,0
24,30,24,24,2446,10,24,200000006,24,0,24,0,264,24,24,24,0,1,24,0,200100,24,0,24,1,0,24,24,24,20,670010024,0,23,24,0,24,0,1,10,0
25,30,25,25,2701,10,25,200000006,25,0,25,0,267,25,25,25,0,1,25,0,200100,25,0,25,1,0,25,25,25,21,670010025,0,24,25,0,25,0,1,10,0
26,30,26,26,2956,10,26,200000006,26,0,26,0,269,26,26,26,0,1,26,0,200100,26,0,26,1,0,26,26,26,21,670010026,0,24,26,0,26,0,1,10,0
27,30,27,27,3211,10,27,200000006,27,0,27,0,289,27,27,27,0,1,27,0,200100,27,0,27,1,0,27,27,27,21,670010027,0,24,27,0,27,0,1,10,0
28,30,28,28,3466,10,28,200000006,28,0,28,0,309,28,28,28,0,1,28,0,200100,28,0,28,1,0,28,28,28,21,670010028,0,25,28,0,28,0,1,10,0
29,30,29,29,3721,10,29,200000006,29,0,29,0,330,29,29,29,0,1,29,0,200100,29,0,29,1,0,29,29,29,22,670010029,0,25,29,0,29,0,1,10,0
30,30,30,30,3976,10,30,200000006,30,0,30,0,350,30,30,30,0,1,30,0,200100,30,0,30,1,0,30,30,30,22,670010030,0,25,30,0,30,0,1,10,0
31,30,31,31,4232,10,31,200000006,31,0,31,0,370,31,31,31,0,1,31,0,200100,31,0,31,1,0,31,31,31,22,670010031,0,26,31,0,31,0,1,10,0
32,30,32,32,4487,10,32,200000006,32,0,32,0,390,32,32,32,0,1,32,0,200100,32,0,32,1,0,32,32,32,22,670010032,0,26,32,0,32,0,1,10,0
33,30,33,33,4742,10,33,200000006,33,0,33,0,410,33,33,33,0,1,33,0,200100,33,0,33,1,0,33,33,33,22,670010033,0,26,33,0,33,0,1,10,0
34,30,34,34,4997,10,34,200000006,34,0,34,0,431,34,34,34,0,1,34,0,200100,34,0,34,1,0,34,34,34,23,670010034,0,26,34,0,34,0,1,10,0
35,30,35,35,5252,10,35,200000006,35,0,35,0,451,35,35,35,0,1,35,0,200100,35,0,35,1,0,35,35,35,23,670010035,0,27,35,0,35,0,1,10,0
36,30,36,36,5507,10,36,200000006,36,0,36,0,471,36,36,36,0,1,36,0,200100,36,0,36,1,0,36,36,36,23,670010036,0,27,36,0,36,0,1,10,0
37,30,37,37,5667,10,37,200000006,37,0,37,0,516,37,37,37,0,1,37,0,200100,37,0,37,1,0,37,37,37,27,670010037,0,31,37,0,37,0,1,10,0
38,30,38,38,5826,10,38,200000006,38,0,38,0,562,38,38,38,0,1,38,0,200100,38,0,38,1,0,38,38,38,31,670010038,0,35,38,0,38,0,1,10,0
39,30,39,39,5986,10,39,200000006,39,0,39,0,607,39,39,39,0,1,39,0,200100,39,0,39,1,0,39,39,39,35,670010039,0,39,39,0,39,0,1,10,0
40,30,40,40,7437,10,40,200000006,40,0,40,0,712,40,40,40,0,1,40,0,200100,40,0,40,1,0,40,40,40,36,670010040,0,40,40,0,40,0,1,10,0
41,30,41,41,8888,10,41,200000006,41,0,41,0,816,41,41,41,0,1,41,0,200100,41,0,41,1,0,41,41,41,36,670010041,0,40,41,0,41,0,1,10,0
42,30,42,42,9321,10,42,200000006,42,0,42,0,913,42,42,42,0,1,42,0,200100,42,0,42,1,0,42,42,42,36,670010042,0,41,42,0,42,0,1,10,0
43,30,43,43,9754,10,43,200000006,43,0,43,0,1010,43,43,43,0,1,43,0,200100,43,0,43,1,0,43,43,43,36,670010043,0,41,43,0,43,0,1,10,0
44,30,44,44,10008,10,44,200000006,44,0,44,0,1079,44,44,44,0,1,44,0,200100,44,0,44,1,0,44,44,44,38,670010044,0,45,44,0,44,0,1,10,0
45,30,45,45,10263,10,45,200000006,45,0,45,0,1148,45,45,45,0,1,45,0,200100,45,0,45,1,0,45,45,45,41,670010045,0,49,45,0,45,0,1,10,0
46,30,46,46,10517,10,46,200000006,46,0,46,0,1217,46,46,46,0,1,46,0,200100,46,0,46,1,0,46,46,46,43,670010046,0,53,46,0,46,0,1,10,0
47,30,47,47,10771,10,47,200000006,47,0,47,0,1286,47,47,47,0,1,47,0,200100,47,0,47,1,0,47,47,47,45,670010047,0,57,47,0,47,0,1,10,0
48,30,48,48,11026,10,48,200000006,48,0,48,0,1355,48,48,48,0,1,48,0,200100,48,0,48,1,0,48,48,48,48,670010048,0,61,48,0,48,0,1,10,0
49,30,49,49,11280,10,49,200000006,49,0,49,0,1424,49,49,49,0,1,49,0,200100,49,0,49,1,0,49,49,49,50,670010049,0,65,49,0,49,0,1,10,0
50,30,50,50,11534,10,50,200000006,50,0,50,0,1493,50,50,50,0,1,50,0,200100,50,0,50,1,0,50,50,50,52,670010050,0,69,50,0,50,0,1,10,0
51,30,51,51,11789,10,51,200000006,51,0,51,0,1562,51,51,51,0,1,51,0,200100,51,0,51,1,0,51,51,51,55,670010051,0,73,51,0,51,0,1,10,0
52,30,52,52,12043,10,52,200000006,52,0,52,0,1632,52,52,52,0,1,52,0,200100,52,0,52,1,0,52,52,52,57,670010052,0,77,52,0,52,0,1,10,0
53,30,53,53,12297,10,53,200000006,53,0,53,0,1701,53,53,53,0,1,53,0,200100,53,0,53,1,0,53,53,53,59,670010053,0,81,53,0,53,0,1,10,0
54,30,54,54,12552,10,54,200000006,54,0,54,0,1770,54,54,54,0,1,54,0,200100,54,0,54,1,0,54,54,54,62,670010054,0,85,54,0,54,0,1,10,0
55,30,55,55,12806,10,55,200000006,55,0,55,0,1839,55,55,55,0,1,55,0,200100,55,0,55,1,0,55,55,55,64,670010055,0,89,55,0,55,0,1,10,0
56,30,56,56,13060,10,56,200000006,56,0,56,0,1908,56,56,56,0,1,56,0,200100,56,0,56,1,0,56,56,56,66,670010056,0,93,56,0,56,0,1,10,0
57,30,57,57,13315,10,57,200000006,57,0,57,0,1977,57,57,57,0,1,57,0,200100,57,0,57,1,0,57,57,57,69,670010057,0,97,57,0,57,0,1,10,0
58,30,58,58,13569,10,58,200000006,58,0,58,0,2046,58,58,58,0,1,58,0,200100,58,0,58,1,0,58,58,58,71,670010058,0,101,58,0,58,0,1,10,0
59,30,59,59,13823,10,59,200000006,59,0,59,0,2115,59,59,59,0,1,59,0,200100,59,0,59,1,0,59,59,59,73,670010059,0,105,59,0,59,0,1,10,0
60,30,60,60,14078,10,60,200000006,60,0,60,0,2184,60,60,60,0,1,60,0,200100,60,0,60,1,0,60,60,60,76,670010060,0,109,60,0,60,0,1,10,0
61,30,61,61,14332,10,61,200000006,61,0,61,0,2253,61,61,61,0,1,61,0,200100,61,0,61,1,0,61,61,61,78,670010061,0,113,61,0,61,0,1,10,0
62,30,62,62,15514,10,62,200000006,62,0,62,0,2280,62,62,62,0,1,62,0,200100,62,0,62,1,0,62,62,62,79,670010062,0,113,62,0,62,0,1,10,0
63,30,63,63,16696,10,63,200000006,63,0,63,0,2306,63,63,63,0,1,63,0,200100,63,0,63,1,0,63,63,63,79,670010063,0,114,63,0,63,0,1,10,0
64,30,64,64,17878,10,64,200000006,64,0,64,0,2333,64,64,64,0,1,64,0,200100,64,0,64,1,0,64,64,64,80,670010064,0,114,64,0,64,0,1,10,0
65,30,65,65,19060,10,65,200000006,65,0,65,0,2359,65,65,65,0,1,65,0,200100,65,0,65,1,0,65,65,65,81,670010065,0,114,65,0,65,0,1,10,0
66,30,66,66,20242,10,66,200000006,66,0,66,0,2386,66,66,66,0,1,66,0,200100,66,0,66,1,0,66,66,66,82,670010066,0,115,66,0,66,0,1,10,0
67,30,67,67,21425,10,67,200000006,67,0,67,0,2412,67,67,67,0,1,67,0,200100,67,0,67,1,0,67,67,67,82,670010067,0,115,67,0,67,0,1,10,0
68,30,68,68,22607,10,68,200000006,68,0,68,0,2439,68,68,68,0,1,68,0,200100,68,0,68,1,0,68,68,68,83,670010068,0,115,68,0,68,0,1,10,0
69,30,69,69,23789,10,69,200000006,69,0,69,0,2466,69,69,69,0,1,69,0,200100,69,0,69,1,0,69,69,69,84,670010069,0,116,69,0,69,0,1,10,0
70,30,70,70,24971,10,70,200000006,70,0,70,0,2492,70,70,70,0,1,70,0,200100,70,0,70,1,0,70,70,70,85,670010070,0,116,70,0,70,0,1,10,0
71,30,71,71,26153,10,71,200000006,71,0,71,0,2519,71,71,71,0,1,71,0,200100,71,0,71,1,0,71,71,71,85,670010071,0,116,71,0,71,0,1,10,0
1,30,1,1,924,10,1,200000001,1,0,1,0,108,1,1,1,0,1,1,0,200200,1,0,1,1,0,1,1,1,10,670020001,0,8,1,0,1,0,1,10,0
2,30,2,2,927,10,2,200000001,2,0,2,0,111,2,2,2,0,1,2,0,200200,2,0,2,1,0,2,2,2,10,670020002,0,8,2,0,2,0,1,10,0
3,30,3,3,930,10,3,200000001,3,0,3,0,114,3,3,3,0,1,3,0,200200,3,0,3,1,0,3,3,3,10,670020003,0,8,3,0,3,0,1,10,0
4,30,4,4,933,10,4,200000001,4,0,4,0,117,4,4,4,0,1,4,0,200200,4,0,4,1,0,4,4,4,11,670020004,0,9,4,0,4,0,1,10,0
5,30,5,5,936,10,5,200000001,5,0,5,0,120,5,5,5,0,1,5,0,200200,5,0,5,1,0,5,5,5,11,670020005,0,9,5,0,5,0,1,10,0
6,30,6,6,939,10,6,200000001,6,0,6,0,123,6,6,6,0,1,6,0,200200,6,0,6,1,0,6,6,6,11,670020006,0,9,6,0,6,0,1,10,0
7,30,7,7,942,10,7,200000001,7,0,7,0,126,7,7,7,0,1,7,0,200200,7,0,7,1,0,7,7,7,12,670020007,0,10,7,0,7,0,1,10,0
8,30,8,8,945,10,8,200000001,8,0,8,0,129,8,8,8,0,1,8,0,200200,8,0,8,1,0,8,8,8,12,670020008,0,10,8,0,8,0,1,10,0
9,30,9,9,948,10,9,200000001,9,0,9,0,132,9,9,9,0,1,9,0,200200,9,0,9,1,0,9,9,9,12,670020009,0,10,9,0,9,0,1,10,0
10,30,10,10,951,10,10,200000001,10,0,10,0,135,10,10,10,0,1,10,0,200200,10,0,10,1,0,10,10,10,13,670020010,0,11,10,0,10,0,1,10,0
11,30,11,11,954,10,11,200000001,11,0,11,0,138,11,11,11,0,1,11,0,200200,11,0,11,1,0,11,11,11,13,670020011,0,11,11,0,11,0,1,10,0
12,30,12,12,957,10,12,200000001,12,0,12,0,141,12,12,12,0,1,12,0,200200,12,0,12,1,0,12,12,12,13,670020012,0,11,12,0,12,0,1,10,0
13,30,13,13,960,10,13,200000001,13,0,13,0,144,13,13,13,0,1,13,0,200200,13,0,13,1,0,13,13,13,14,670020013,0,12,13,0,13,0,1,10,0
14,30,14,14,963,10,14,200000001,14,0,14,0,147,14,14,14,0,1,14,0,200200,14,0,14,1,0,14,14,14,14,670020014,0,12,14,0,14,0,1,10,0
15,30,15,15,966,10,15,200000001,15,0,15,0,151,15,15,15,0,1,15,0,200200,15,0,15,1,0,15,15,15,15,670020015,0,13,15,0,15,0,1,10,0
16,30,16,16,1322,10,16,200000001,16,0,16,0,175,16,16,16,0,1,16,0,200200,16,0,16,1,0,16,16,16,15,670020016,0,13,16,0,16,0,1,10,0
17,30,17,17,1678,10,17,200000001,17,0,17,0,199,17,17,17,0,1,17,0,200200,17,0,17,1,0,17,17,17,15,670020017,0,13,17,0,17,0,1,10,0
18,30,18,18,1884,10,18,200000001,18,0,18,0,207,18,18,18,0,1,18,0,200200,18,0,18,1,0,18,18,18,15,670020018,0,13,18,0,18,0,1,10,0
19,30,19,19,2090,10,19,200000001,19,0,19,0,215,19,19,19,0,1,19,0,200200,19,0,19,1,0,19,19,19,16,670020019,0,14,19,0,19,0,1,10,0
20,30,20,20,2296,10,20,200000001,20,0,20,0,223,20,20,20,0,1,20,0,200200,20,0,20,1,0,20,20,20,16,670020020,0,14,20,0,20,0,1,10,0
21,30,21,21,2377,10,21,200000001,21,0,21,0,237,21,21,21,0,1,21,0,200200,21,0,21,1,0,21,21,21,17,670020021,0,14,21,0,21,0,1,10,0
22,30,22,22,2458,10,22,200000001,22,0,22,0,251,22,22,22,0,1,22,0,200200,22,0,22,1,0,22,22,22,17,670020022,0,14,22,0,22,0,1,10,0
23,30,23,23,2658,10,23,200000001,23,0,23,0,251,23,23,23,0,1,23,0,200200,23,0,23,1,0,23,23,23,17,670020023,0,14,23,0,23,0,1,10,0
24,30,24,24,2829,10,24,200000001,24,0,24,0,268,24,24,24,0,1,24,0,200200,24,0,24,1,0,24,24,24,19,670020024,0,16,24,0,24,0,1,10,0
25,30,25,25,2999,10,25,200000001,25,0,25,0,285,25,25,25,0,1,25,0,200200,25,0,25,1,0,25,25,25,21,670020025,0,18,25,0,25,0,1,10,0
26,30,26,26,3170,10,26,200000001,26,0,26,0,302,26,26,26,0,1,26,0,200200,26,0,26,1,0,26,26,26,24,670020026,0,19,26,0,26,0,1,10,0
27,30,27,27,3340,10,27,200000001,27,0,27,0,319,27,27,27,0,1,27,0,200200,27,0,27,1,0,27,27,27,26,670020027,0,21,27,0,27,0,1,10,0
28,30,28,28,3511,10,28,200000001,28,0,28,0,336,28,28,28,0,1,28,0,200200,28,0,28,1,0,28,28,28,28,670020028,0,23,28,0,28,0,1,10,0
29,30,29,29,4632,10,29,200000001,29,0,29,0,380,29,29,29,0,1,29,0,200200,29,0,29,1,0,29,29,29,29,670020029,0,23,29,0,29,0,1,10,0
30,30,30,30,4717,10,30,200000001,30,0,30,0,412,30,30,30,0,1,30,0,200200,30,0,30,1,0,30,30,30,29,670020030,0,23,30,0,30,0,1,10,0
31,30,31,31,4802,10,31,200000001,31,0,31,0,443,31,31,31,0,1,31,0,200200,31,0,31,1,0,31,31,31,28,670020031,0,23,31,0,31,0,1,10,0
32,30,32,32,4887,10,32,200000001,32,0,32,0,432,32,32,32,0,1,32,0,200200,32,0,32,1,0,32,32,32,28,670020032,0,23,32,0,32,0,1,10,0
33,30,33,33,4972,10,33,200000001,33,0,33,0,420,33,33,33,0,1,33,0,200200,33,0,33,1,0,33,33,33,28,670020033,0,23,33,0,33,0,1,10,0
34,30,34,34,5985,10,34,200000001,34,0,34,0,499,34,34,34,0,1,34,0,200200,34,0,34,1,0,34,34,34,28,670020034,0,24,34,0,34,0,1,10,0
35,30,35,35,6241,10,35,200000001,35,0,35,0,525,35,35,35,0,1,35,0,200200,35,0,35,1,0,35,35,35,32,670020035,0,27,35,0,35,0,1,10,0
36,30,36,36,6497,10,36,200000001,36,0,36,0,550,36,36,36,0,1,36,0,200200,36,0,36,1,0,36,36,36,36,670020036,0,30,36,0,36,0,1,10,0
37,30,37,37,6752,10,37,200000001,37,0,37,0,576,37,37,37,0,1,37,0,200200,37,0,37,1,0,37,37,37,39,670020037,0,32,37,0,37,0,1,10,0
38,30,38,38,7008,10,38,200000001,38,0,38,0,601,38,38,38,0,1,38,0,200200,38,0,38,1,0,38,38,38,43,670020038,0,35,38,0,38,0,1,10,0
39,30,39,39,7387,10,39,200000001,39,0,39,0,671,39,39,39,0,1,39,0,200200,39,0,39,1,0,39,39,39,42,670020039,0,33,39,0,39,0,1,10,0
40,30,40,40,8119,10,40,200000001,40,0,40,0,679,40,40,40,0,1,40,0,200200,40,0,40,1,0,40,40,40,44,670020040,0,35,40,0,40,0,1,10,0
41,30,41,41,9635,10,41,200000001,41,0,41,0,729,41,41,41,0,1,41,0,200200,41,0,41,1,0,41,41,41,46,670020041,0,37,41,0,41,0,1,10,0
42,30,42,42,11151,10,42,200000001,42,0,42,0,778,42,42,42,0,1,42,0,200200,42,0,42,1,0,42,42,42,47,670020042,0,38,42,0,42,0,1,10,0
43,30,43,43,11476,10,43,200000001,43,0,43,0,790,43,43,43,0,1,43,0,200200,43,0,43,1,0,43,43,43,47,670020043,0,38,43,0,43,0,1,10,0
44,30,44,44,11802,10,44,200000001,44,0,44,0,802,44,44,44,0,1,44,0,200200,44,0,44,1,0,44,44,44,47,670020044,0,39,44,0,44,0,1,10,0
45,30,45,45,12127,10,45,200000001,45,0,45,0,814,45,45,45,0,1,45,0,200200,45,0,45,1,0,45,45,45,47,670020045,0,39,45,0,45,0,1,10,0
46,30,46,46,13833,10,46,200000001,46,0,46,0,971,46,46,46,0,1,46,0,200200,46,0,46,1,0,46,46,46,48,670020046,0,40,46,0,46,0,1,10,0
47,30,47,47,15539,10,47,200000001,47,0,47,0,1128,47,47,47,0,1,47,0,200200,47,0,47,1,0,47,47,47,49,670020047,0,40,47,0,47,0,1,10,0
48,30,48,48,17245,10,48,200000001,48,0,48,0,1284,48,48,48,0,1,48,0,200200,48,0,48,1,0,48,48,48,50,670020048,0,41,48,0,48,0,1,10,0
49,30,49,49,18951,10,49,200000001,49,0,49,0,1441,49,49,49,0,1,49,0,200200,49,0,49,1,0,49,49,49,51,670020049,0,41,49,0,49,0,1,10,0
50,30,50,50,20657,10,50,200000001,50,0,50,0,1531,50,50,50,0,1,50,0,200200,50,0,50,1,0,50,50,50,52,670020050,0,42,50,0,50,0,1,10,0
51,30,51,51,22363,10,51,200000001,51,0,51,0,1670,51,51,51,0,1,51,0,200200,51,0,51,1,0,51,51,51,53,670020051,0,42,51,0,51,0,1,10,0
52,30,52,52,24069,10,52,200000001,52,0,52,0,1710,52,52,52,0,1,52,0,200200,52,0,52,1,0,52,52,52,54,670020052,0,43,52,0,52,0,1,10,0
53,30,53,53,25775,10,53,200000001,53,0,53,0,1800,53,53,53,0,1,53,0,200200,53,0,53,1,0,53,53,53,55,670020053,0,43,53,0,53,0,1,10,0
54,30,54,54,27481,10,54,200000001,54,0,54,0,1890,54,54,54,0,1,54,0,200200,54,0,54,1,0,54,54,54,56,670020054,0,44,54,0,54,0,1,10,0
55,30,55,55,29187,10,55,200000001,55,0,55,0,1979,55,55,55,0,1,55,0,200200,55,0,55,1,0,55,55,55,57,670020055,0,44,55,0,55,0,1,10,0
56,30,56,56,30893,10,56,200000001,56,0,56,0,2069,56,56,56,0,1,56,0,200200,56,0,56,1,0,56,56,56,58,670020056,0,45,56,0,56,0,1,10,0
57,30,57,57,32599,10,57,200000001,57,0,57,0,2159,57,57,57,0,1,57,0,200200,57,0,57,1,0,57,57,57,59,670020057,0,45,57,0,57,0,1,10,0
58,30,58,58,34305,10,58,200000001,58,0,58,0,2248,58,58,58,0,1,58,0,200200,58,0,58,1,0,58,58,58,60,670020058,0,46,58,0,58,0,1,10,0
59,30,59,59,36011,10,59,200000001,59,0,59,0,2338,59,59,59,0,1,59,0,200200,59,0,59,1,0,59,59,59,61,670020059,0,46,59,0,59,0,1,10,0
60,30,60,60,37717,10,60,200000001,60,0,60,0,2428,60,60,60,0,1,60,0,200200,60,0,60,1,0,60,60,60,62,670020060,0,47,60,0,60,0,1,10,0
61,30,61,61,39423,10,61,200000001,61,0,61,0,2518,61,61,61,0,1,61,0,200200,61,0,61,1,0,61,61,61,63,670020061,0,47,61,0,61,0,1,10,0
62,30,62,62,41129,10,62,200000001,62,0,62,0,2561,62,62,62,0,1,62,0,200200,62,0,62,1,0,62,62,62,64,670020062,0,48,62,0,62,0,1,10,0
63,30,63,63,42835,10,63,200000001,63,0,63,0,2604,63,63,63,0,1,63,0,200200,63,0,63,1,0,63,63,63,66,670020063,0,49,63,0,63,0,1,10,0
64,30,64,64,44541,10,64,200000001,64,0,64,0,2647,64,64,64,0,1,64,0,200200,64,0,64,1,0,64,64,64,68,670020064,0,50,64,0,64,0,1,10,0
65,30,65,65,46247,10,65,200000001,65,0,65,0,2690,65,65,65,0,1,65,0,200200,65,0,65,1,0,65,65,65,70,670020065,0,51,65,0,65,0,1,10,0
66,30,66,66,47953,10,66,200000001,66,0,66,0,2735,66,66,66,0,1,66,0,200200,66,0,66,1,0,66,66,66,72,670020066,0,52,66,0,66,0,1,10,0
67,30,67,67,49659,10,67,200000001,67,0,67,0,2780,67,67,67,0,1,67,0,200200,67,0,67,1,0,67,67,67,74,670020067,0,53,67,0,67,0,1,10,0
68,30,68,68,51365,10,68,200000001,68,0,68,0,2825,68,68,68,0,1,68,0,200200,68,0,68,1,0,68,68,68,76,670020068,0,55,68,0,68,0,1,10,0
69,30,69,69,53071,10,69,200000001,69,0,69,0,2870,69,69,69,0,1,69,0,200200,69,0,69,1,0,69,69,69,78,670020069,0,57,69,0,69,0,1,10,0
70,30,70,70,54777,10,70,200000001,70,0,70,0,2915,70,70,70,0,1,70,0,200200,70,0,70,1,0,70,70,70,80,670020070,0,59,70,0,70,0,1,10,0
71,30,71,71,56483,10,71,200000001,71,0,71,0,2960,71,71,71,0,1,71,0,200200,71,0,71,1,0,71,71,71,82,670020071,0,61,71,0,71,0,1,10,0
1,30,1,1,382,10,1,200000008,1,0,1,0,0,1,1,1,0,1,1,0,200300,1,0,1,1,0,1,1,1,2,670030001,0,5,1,0,1,0,1,10,15
2,30,2,2,502,10,2,200000008,2,0,2,0,0,2,2,2,0,1,2,0,200300,2,0,2,1,0,2,2,2,4,670030002,0,8,2,0,2,0,1,10,20
3,30,3,3,623,10,3,200000008,3,0,3,0,0,3,3,3,0,1,3,0,200300,3,0,3,1,0,3,3,3,5,670030003,0,10,3,0,3,0,1,10,26
4,30,4,4,686,10,4,200000008,4,0,4,0,0,4,4,4,0,1,4,0,200300,4,0,4,1,0,4,4,4,7,670030004,0,16,4,0,4,0,1,10,61
5,30,5,5,686,10,5,200000008,5,0,5,0,0,5,5,5,0,1,5,0,200300,5,0,5,1,0,5,5,5,7,670030005,0,16,5,0,5,0,1,10,61
6,30,6,6,678,10,6,200000008,6,0,6,0,0,6,6,6,0,1,6,0,200300,6,0,6,1,0,6,6,6,8,670030006,0,16,6,0,6,0,1,10,63
7,30,7,7,835,10,7,200000008,7,0,7,0,0,7,7,7,0,1,7,0,200300,7,0,7,1,0,7,7,7,10,670030007,0,17,7,0,7,0,1,10,89
8,30,8,8,991,10,8,200000008,8,0,8,0,0,8,8,8,0,1,8,0,200300,8,0,8,1,0,8,8,8,11,670030008,0,20,8,0,8,0,1,10,114
9,30,9,9,1019,10,9,200000008,9,0,9,0,0,9,9,9,0,1,9,0,200300,9,0,9,1,0,9,9,9,11,670030009,0,20,9,0,9,0,1,10,117
10,30,10,10,1048,10,10,200000008,10,0,10,0,0,10,10,10,0,1,10,0,200300,10,0,10,1,0,10,10,10,13,670030010,0,22,10,0,10,0,1,10,120
11,30,11,11,1076,10,11,200000008,11,0,11,0,0,11,11,11,0,1,11,0,200300,11,0,11,1,0,11,11,11,13,670030011,0,22,11,0,11,0,1,10,123
12,30,12,12,1104,10,12,200000008,12,0,12,0,0,12,12,12,0,1,12,0,200300,12,0,12,1,0,12,12,12,13,670030012,0,22,12,0,12,0,1,10,126
13,30,13,13,1309,10,13,200000008,13,0,13,0,0,13,13,13,0,1,13,0,200300,13,0,13,1,0,13,13,13,14,670030013,0,24,13,0,13,0,1,10,133
