param_04,param_06,param_05,command_id,param_07,drama_id,param_01,command_type,param_03,param_08,param_02
"","","",4514049,"",4514,0.4,93,"","",""
"","","",4514050,"",4514,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",4514051,"",4514,700,32,"","",1
"","","",4514052,"",4514,se_common,23,0,"",se_sys_login_birthday_calendar_applause
wac_birthday_idle_doya,0.2,1,4514053,0.2,4514,106011,3,0,"",wac_birthday_clap
"","","",4514054,"",4514,0.1,93,"","",""
wac_birthday_idle_wish,0.2,1,4514055,0.2,4514,105911,3,0,"",wac_birthday_clap_to_wish
"","","",4514056,"",4514,0.1,93,"","",""
wac_birthday_idle_smile,0.2,1,4514057,0.2,4514,106431,3,0,"",wac_birthday_clap
"","","",4514058,"",4514,2,93,"","",""
"","","",4514059,"",4514,1,131,"","",""
0,"","",4514060,"",4514,vo_wac_04514,21,0,"",vo_wac_04514_000
1,0,1,4514061,0,4514,105811,11,10,0.5,"이건, 생일 케이크인가요!?\n고맙습니다♪\n너무 맛있겠다……\n당장 베어먹어 볼게요♪"
"","","",4514062,"",4514,0,91,"","",""
"",0.2,"",4514063,"",4514,105811,3,1,"",wac_birthday_idle_kyapi
"",0.2,"",4514064,"",4514,106011,3,1,"",wac_birthday_talk_normal
0,"","",4514065,"",4514,vo_wac_04514,21,0,"",vo_wac_04514_001
1,0,1,4514066,0,4514,106011,11,10,0.5,"잠깐, 스토~~~옵!!\n아직 초 안 뺐다고!?\n정말 여전하네, 너는……\n후훗, 축하해."
"","","",4514067,"",4514,0,91,"","",""
"",0.2,"",4514068,"",4514,106011,3,1,"",wac_birthday_idle_doya
"",0.2,"",4514069,"",4514,105811,3,1,"",wac_birthday_talk_kyapi
0,"","",4514070,"",4514,vo_wac_04514,21,0,"",vo_wac_04514_002
1,0,1,4514071,0,4514,105811,11,10,0.5,"에헤헤, 고맙습니다♪\n실컷 맛보고 먹을게요!\n모두에게 축하받아서\n오늘은 최고의 기념일이에요♪"
"","","",4514072,"",4514,0,91,"","",""
"",0.2,"",4514073,"",4514,105811,3,1,"",wac_birthday_talk_wish
0,"","",4514074,"",4514,vo_wac_04514,21,0,"",vo_wac_04514_003
1,0,1,4514075,0,4514,105811,11,10,0.5,"오늘도, 내일도, 앞으로의 미래도\n멋진 식탁에 둘러앉을 수 있기를♪\n물론 당신도 함께랍니다!\n앞으로도 잘 부탁할게요!"
"","","",4514076,"",4514,0,91,"","",""
"","","",4514077,"",4514,0,22,"","",""
"","","",4814001,"",4814,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,4814002,0,4814,1,1,250,wac_birthday_idle_normal,102011
230,2,-270,4814003,1,4814,1,1,256,wac_birthday_idle_doya,103611
410,2,-310,4814004,1,4814,1,1,257,wac_birthday_idle_kyapi,100411
"","","",4814005,"",4814,102011,13,"","",300
"","","",4814006,"",4814,103611,13,"","",300
0,1,1,4814007,"",4814,600,31,0,"",600
0,0,1,4814008,"",4814,602,31,0,"",602
0,0,1,4814009,"",4814,603,31,0,"",603
60,1,1,4814010,"",4814,604,31,30,"",604
0,1,1,4814011,"",4814,611,31,0,"",611
0,0,1,4814012,"",4814,700,31,0,"",700
0,0,1,4814013,"",4814,701,31,0,"",701
0,0,1,4814014,"",4814,702,31,0,"",702
0,0,1,4814015,"",4814,800,31,0,"",800
60,1,1,4814016,"",4814,901,31,30,"",901
"","","",4814017,"",4814,1,93,"","",""
wac_birthday_reaction_03,0.2,1,4814018,0.2,4814,100411,3,0,"",wac_birthday_reaction_02
"","","",4814019,"",4814,0.1,93,"","",""
wac_birthday_reaction_04,0.2,1,4814020,0.2,4814,103611,3,0,"",wac_birthday_reaction_01
"","","",4814021,"",4814,0.3,93,"","",""
"",0.2,"",4814022,"",4814,102011,3,1,"",wac_birthday_run_01
3,"","",4814023,"",4814,102011,2,-70,"",0
"","","",4814024,"",4814,2.5,93,"","",""
"","","",4814025,"",4814,602,32,"","",1
"","","",4814026,"",4814,0.6,93,"","",""
"","","",4814027,"",4814,600,32,"","",0
"","","",4814028,"",4814,611,32,"","",0
"","","",4814029,"",4814,604,32,"","",0
"","","",4814030,"",4814,701,32,"","",1
0.01,"","",4814031,"",4814,901,33,0,"",0
wac_birthday_wish_02,0.2,1,4814032,0.2,4814,102011,3,0,"",wac_birthday_blowout_02
0.01,"","",4814033,"",4814,102011,2,-330,"",-200
"",0.2,"",4814034,"",4814,103611,3,1,"",wac_birthday_idle_doya
0.01,"","",4814035,"",4814,103611,2,-320,"",180
"",0.2,"",4814036,"",4814,100411,3,1,"",wac_birthday_idle_kyapi
0.01,"","",4814037,"",4814,100411,2,-340,"",320
"","","",4814038,"",4814,0,93,"","",""
"","","",4814039,"",4814,800,32,"","",1
"","","",4814040,"",4814,0.7,93,"","",""
"","","",4814041,"",4814,702,32,"","",1
"","","",4814042,"",4814,0.5,93,"","",""
"","","",4814043,"",4814,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",4814044,"",4814,701,32,"","",0
"","","",4814045,"",4814,0.4,93,"","",""
"","","",4814046,"",4814,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",4814047,"",4814,700,32,"","",1
"","","",4814048,"",4814,se_common,23,0,"",se_sys_login_birthday_calendar_applause
wac_birthday_idle_doya,0.2,1,4814049,0.2,4814,103611,3,0,"",wac_birthday_clap
"","","",4814050,"",4814,0.1,93,"","",""
wac_birthday_idle_kyapi,0.2,1,4814051,0.2,4814,100411,3,0,"",wac_birthday_clap
"","","",4814052,"",4814,2,93,"","",""
"","","",4814053,"",4814,1,131,"","",""
0,"","",4814054,"",4814,vo_wac_04814,21,0,"",vo_wac_04814_000
1,0,1,4814055,0,4814,102011,11,10,0.5,"와아~ 케이크다~!\n가게에서 파는 것보다\n커……! 굉장해, 굉장해♪"
"","","",4814056,"",4814,0,91,"","",""
"",0.2,"",4814057,"",4814,102011,3,1,"",wac_birthday_idle_smile
"",0.2,"",4814058,"",4814,103611,3,1,"",wac_birthday_talk_doya
0,"","",4814059,"",4814,vo_wac_04814,21,0,"",vo_wac_04814_001
1,0,1,4814060,0,4814,103611,11,10,0.5,"몰래 만들어놨어!\n미소기가 장난쳐서\n힘들었지만……\n미미, 생일 축하해♪"
"","","",4814061,"",4814,0,91,"","",""
"",0.2,"",4814062,"",4814,103611,3,1,"",wac_birthday_idle_doya
"",0.2,"",4814063,"",4814,102011,3,1,"",wac_birthday_talk_smile
0,"","",4814064,"",4814,vo_wac_04814,21,0,"",vo_wac_04814_002
1,0,1,4814065,0,4814,102011,11,10,0.5,"에헤헤, 둘 다 고마워~\n아빠랑 엄마, 그리고 모두한테도\n케이크를 받다니 꿈만 같아……"
"","","",4814066,"",4814,0,91,"","",""
"",0.2,"",4814067,"",4814,102011,3,1,"",wac_birthday_talk_kyapi
0,"","",4814068,"",4814,vo_wac_04814,21,0,"",vo_wac_04814_003
1,0,1,4814069,0,4814,102011,11,10,0.5,"미미, 정말 행복해~♪\n오빠도 고마워!\n모두의 생일이 오면, 미미도\n꼬~옥 축하해 줄게♪"
"","","",4814070,"",4814,0,91,"","",""
"","","",4814071,"",4814,0,22,"","",""
"","","",5014001,"",5014,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,5014002,0,5014,1,1,250,wac_birthday_idle_normal,100211
230,2,-270,5014003,1,5014,1,1,256,wac_birthday_idle_normal,100311
410,2,-310,5014004,1,5014,1,1,257,wac_birthday_idle_smile,100111
"","","",5014005,"",5014,100211,13,"","",300
"","","",5014006,"",5014,100311,13,"","",300
0,1,1,5014007,"",5014,600,31,0,"",600
0,0,1,5014008,"",5014,602,31,0,"",602
0,0,1,5014009,"",5014,603,31,0,"",603
60,1,1,5014010,"",5014,604,31,30,"",604
0,1,1,5014011,"",5014,611,31,0,"",611
0,0,1,5014012,"",5014,700,31,0,"",700
0,0,1,5014013,"",5014,701,31,0,"",701
0,0,1,5014014,"",5014,702,31,0,"",702
0,0,1,5014015,"",5014,800,31,0,"",800
60,1,1,5014016,"",5014,902,31,30,"",902
"","","",5014017,"",5014,1,93,"","",""
wac_birthday_reaction_03,0.2,1,5014018,0.2,5014,100111,3,0,"",wac_birthday_reaction_02
"","","",5014019,"",5014,0.1,93,"","",""
wac_birthday_reaction_04,0.2,1,5014020,0.2,5014,100311,3,0,"",wac_birthday_reaction_01
"","","",5014021,"",5014,0.3,93,"","",""
"",0.2,"",5014022,"",5014,100211,3,1,"",wac_birthday_run_01
3,"","",5014023,"",5014,100211,2,-70,"",0
"","","",5014024,"",5014,2.5,93,"","",""
"","","",5014025,"",5014,602,32,"","",1
"","","",5014026,"",5014,0.6,93,"","",""
"","","",5014027,"",5014,600,32,"","",0
"","","",5014028,"",5014,611,32,"","",0
"","","",5014029,"",5014,604,32,"","",0
"","","",5014030,"",5014,701,32,"","",1
0.01,"","",5014031,"",5014,902,33,0,"",0
wac_birthday_wish_04,0.2,1,5014032,0.2,5014,100211,3,0,"",wac_birthday_blowout_01
0.01,"","",5014033,"",5014,100211,2,-330,"",-200
"",0.2,"",5014034,"",5014,100311,3,1,"",wac_birthday_idle_normal
0.01,"","",5014035,"",5014,100311,2,-320,"",180
"",0.2,"",5014036,"",5014,100111,3,1,"",wac_birthday_idle_smile
0.01,"","",5014037,"",5014,100111,2,-340,"",320
"","","",5014038,"",5014,0,93,"","",""
"","","",5014039,"",5014,800,32,"","",1
"","","",5014040,"",5014,0.7,93,"","",""
"","","",5014041,"",5014,702,32,"","",1
"","","",5014042,"",5014,0.5,93,"","",""
"","","",5014043,"",5014,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",5014044,"",5014,701,32,"","",0
"","","",5014045,"",5014,0.4,93,"","",""
"","","",5014046,"",5014,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",5014047,"",5014,700,32,"","",1
"","","",5014048,"",5014,se_common,23,0,"",se_sys_login_birthday_calendar_applause
wac_birthday_idle_normal,0.2,1,5014049,0.2,5014,100311,3,0,"",wac_birthday_clap
"","","",5014050,"",5014,0.1,93,"","",""
wac_birthday_idle_smile,0.2,1,5014051,0.2,5014,100111,3,0,"",wac_birthday_clap
"","","",5014052,"",5014,2,93,"","",""
"","","",5014053,"",5014,1,131,"","",""
0,"","",5014054,"",5014,vo_wac_05014,21,0,"",vo_wac_05014_000
1,0,1,5014055,0,5014,100211,11,10,0.5,"이 생일 케이크를 나에게!?\n앗, 고마워……!\n……혹시 이거,\n둘이서 직접 만든 거야?"
"","","",5014056,"",5014,0,91,"","",""
"",0.2,"",5014057,"",5014,100211,3,1,"",wac_birthday_idle_wish
"",0.2,"",5014058,"",5014,100311,3,1,"",wac_birthday_talk_normal
0,"","",5014059,"",5014,vo_wac_05014,21,0,"",vo_wac_05014_001
1,0,1,5014060,0,5014,100311,11,10,0.5,"응. 나랑 히요리가 만들었어.\n유이한테는 언제나 도움받고 있으니까\n최소한의 보답이야.\n……생일 축하해. 유이."
"","","",5014061,"",5014,0,91,"","",""
"",0.2,"",5014062,"",5014,100311,3,1,"",wac_birthday_idle_normal
"",0.2,"",5014063,"",5014,100211,3,1,"",wac_birthday_talk_sad
0,"","",5014064,"",5014,vo_wac_05014,21,0,"",vo_wac_05014_002
1,0,1,5014065,0,5014,100211,11,10,0.5,"그, 그럴 수가…… 나도 항상\n도움만 받고…… 미, 미안!\n모처럼 축하해 줬는데\n기뻐서 울어버릴 것 같아……!"
"","","",5014066,"",5014,0,91,"","",""
"",0.2,"",5014067,"",5014,100211,3,1,"",wac_birthday_talk_smile
0,"","",5014068,"",5014,vo_wac_05014,21,0,"",vo_wac_05014_003
1,0,1,5014069,0,5014,100211,11,10,0.5,"기사 군도, 정말 고마워.\n모두에게 축하받아서\n나, 최고로 행복해……!\n소중히 맛보고 먹을게!"
"","","",5014070,"",5014,0,91,"","",""
"","","",5014071,"",5014,0,22,"","",""
"","","",5214001,"",5214,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,5214002,0,5214,1,1,250,wac_birthday_idle_normal,105511
170,2,-260,5214003,1,5214,1,1,256,wac_birthday_idle_doya,105311
270,2,-310,5214004,1,5214,1,1,259,wac_birthday_idle_normal,104511
410,2,-270,5214005,1,5214,1,1,257,wac_birthday_idle_wish,100811
510,2,-310,5214006,1,5214,1,1,258,wac_birthday_idle_kyapi,103011
"","","",5214007,"",5214,105511,13,"","",300
"","","",5214008,"",5214,105311,13,"","",300
0,1,1,5214009,"",5214,600,31,0,"",600
0,0,1,5214010,"",5214,602,31,0,"",602
0,0,1,5214011,"",5214,603,31,0,"",603
60,1,1,5214012,"",5214,604,31,30,"",604
0,1,1,5214013,"",5214,611,31,0,"",611
0,0,1,5214014,"",5214,700,31,0,"",700
0,0,1,5214015,"",5214,701,31,0,"",701
0,0,1,5214016,"",5214,702,31,0,"",702
0,0,1,5214017,"",5214,800,31,0,"",800
60,1,1,5214018,"",5214,903,31,30,"",903
"","","",5214019,"",5214,1,93,"","",""
wac_birthday_reaction_03,0.2,1,5214020,0.2,5214,104511,3,0,"",wac_birthday_reaction_05
wac_birthday_reaction_03,0.2,1,5214021,0.2,5214,105311,3,0,"",wac_birthday_reaction_01
"","","",5214022,"",5214,0.1,93,"","",""
wac_birthday_reaction_04,0.2,1,5214023,0.2,5214,100811,3,0,"",wac_birthday_reaction_01
wac_birthday_reaction_03,0.2,1,5214024,0.2,5214,103011,3,0,"",wac_birthday_reaction_02
"","","",5214025,"",5214,0.3,93,"","",""
"",0.2,"",5214026,"",5214,105511,3,1,"",wac_birthday_run_01
3,"","",5214027,"",5214,105511,2,-70,"",0
"","","",5214028,"",5214,2.5,93,"","",""
"","","",5214029,"",5214,602,32,"","",1
"","","",5214030,"",5214,0.6,93,"","",""
"","","",5214031,"",5214,600,32,"","",0
"","","",5214032,"",5214,611,32,"","",0
"","","",5214033,"",5214,604,32,"","",0
"","","",5214034,"",5214,701,32,"","",1
0.01,"","",5214035,"",5214,903,33,0,"",0
wac_birthday_wish_04,0.2,1,5214036,0.2,5214,105511,3,0,"",wac_birthday_blowout_03
0.01,"","",5214037,"",5214,105511,2,-330,"",-200
"",0.2,"",5214038,"",5214,105311,3,1,"",wac_birthday_idle_doya
0.01,"","",5214039,"",5214,105311,2,-320,"",150
"",0.2,"",5214040,"",5214,104511,3,1,"",wac_birthday_idle_normal
0.01,"","",5214041,"",5214,104511,2,-360,"",260
"",0.2,"",5214042,"",5214,100811,3,1,"",wac_birthday_idle_wish
0.01,"","",5214043,"",5214,100811,2,-320,"",400
"",0.2,"",5214044,"",5214,103011,3,1,"",wac_birthday_idle_kyapi
0.01,"","",5214045,"",5214,103011,2,-340,"",500
"","","",5214046,"",5214,0,93,"","",""
"","","",5214047,"",5214,800,32,"","",1
"","","",5214048,"",5214,0.7,93,"","",""
"","","",5214049,"",5214,702,32,"","",1
"","","",5214050,"",5214,0.5,93,"","",""
"","","",5214051,"",5214,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",5214052,"",5214,701,32,"","",0
"","","",5214053,"",5214,0.4,93,"","",""
"","","",5214054,"",5214,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",5214055,"",5214,700,32,"","",1
"","","",5214056,"",5214,se_common,23,0,"",se_sys_login_birthday_calendar_applause
wac_birthday_idle_doya,0.2,1,5214057,0.2,5214,105311,3,0,"",wac_birthday_clap
wac_birthday_idle_wish,0.2,1,5214058,0.2,5214,100811,3,0,"",wac_birthday_clap_to_wish
"","","",5214059,"",5214,0.1,93,"","",""
wac_birthday_idle_normal,0.2,1,5214060,0.2,5214,104511,3,0,"",wac_birthday_clap
"","","",5214061,"",5214,0.1,93,"","",""
wac_birthday_idle_kyapi,0.2,1,5214062,0.2,5214,103011,3,0,"",wac_birthday_clap
"","","",5214063,"",5214,2,93,"","",""
"","","",5214064,"",5214,1,131,"","",""
0,"","",5214065,"",5214,vo_wac_05214,21,0,"",vo_wac_05214_000
1,0,1,5214066,0,5214,105511,11,10,0.5,"와아, 생일 케이크인가요?\n축하해요~\n대체 누구의…… 엇, 저, 저요!?\n생일, 기억해 주신 건가요……?"
"","","",5214067,"",5214,0,91,"","",""
"",0.2,"",5214068,"",5214,105511,3,1,"",wac_birthday_idle_wish
"",0.2,"",5214069,"",5214,105311,3,1,"",wac_birthday_talk_smile
0,"","",5214070,"",5214,vo_wac_05214,21,0,"",vo_wac_05214_001
1,0,1,5214071,0,5214,105311,11,10,0.5,"잊을 리가 없잖아!\n아유미는 우리 길드의 몇 안 되는 양심……\n아니, 중요한 존재니까!\n성대하게 축하하게 해줘! 축하한다!"
"","","",5214072,"",5214,0,91,"","",""
"",0.2,"",5214073,"",5214,105311,3,1,"",wac_birthday_idle_doya
"",0.2,"",5214074,"",5214,105511,3,1,"",wac_birthday_talk_wish
0,"","",5214075,"",5214,vo_wac_05214,21,0,"",vo_wac_05214_002
1,0,1,5214076,0,5214,105511,11,10,0.5,"그, 그러니까……\n이거, 꿈이 아니죠?\n볼을 꼬집어도…… 아퍄!\n역시 꿈이 아히에여!"
"","","",5214077,"",5214,0,91,"","",""
"",0.2,"",5214078,"",5214,105511,3,1,"",wac_birthday_talk_smile
0,"","",5214079,"",5214,vo_wac_05214,21,0,"",vo_wac_05214_003
1,0,1,5214080,0,5214,105511,11,10,0.5,"우읏…… 고, 고맙습니다!\n선배에게도 축하받아서\n매우 기뻐요!\n에헤헤, 소중히 받을게요……♪"
"","","",5214081,"",5214,0,91,"","",""
"","","",5214082,"",5214,0,22,"","",""
"","","",5514001,"",5514,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,5514002,0,5514,1,1,250,wac_birthday_idle_normal,101611
230,2,-270,5514003,1,5514,1,1,256,wac_birthday_idle_normal,105011
410,2,-310,5514004,1,5514,1,1,257,wac_birthday_idle_smile,101811
"","","",5514005,"",5514,101611,13,"","",300
"","","",5514006,"",5514,105011,13,"","",300
0,1,1,5514007,"",5514,600,31,0,"",600
0,0,1,5514008,"",5514,602,31,0,"",602
0,0,1,5514009,"",5514,603,31,0,"",603
60,1,1,5514010,"",5514,604,31,30,"",604
0,1,1,5514011,"",5514,611,31,0,"",611
0,0,1,5514012,"",5514,700,31,0,"",700
0,0,1,5514013,"",5514,701,31,0,"",701
0,0,1,5514014,"",5514,702,31,0,"",702
0,0,1,5514015,"",5514,800,31,0,"",800
60,1,1,5514016,"",5514,904,31,30,"",904
"","","",5514017,"",5514,1,93,"","",""
wac_birthday_reaction_04,0.2,1,5514018,0.2,5514,101811,3,0,"",wac_birthday_reaction_01
"","","",5514019,"",5514,0.1,93,"","",""
wac_birthday_reaction_03,0.2,1,5514020,0.2,5514,105011,3,0,"",wac_birthday_reaction_05
"","","",5514021,"",5514,0.3,93,"","",""
"",0.2,"",5514022,"",5514,101611,3,1,"",wac_birthday_run_01
3,"","",5514023,"",5514,101611,2,-70,"",0
"","","",5514024,"",5514,2.5,93,"","",""
"","","",5514025,"",5514,602,32,"","",1
"","","",5514026,"",5514,0.6,93,"","",""
"","","",5514027,"",5514,600,32,"","",0
"","","",5514028,"",5514,611,32,"","",0
"","","",5514029,"",5514,604,32,"","",0
"","","",5514030,"",5514,701,32,"","",1
0.01,"","",5514031,"",5514,904,33,0,"",0
wac_birthday_wish_03,0.2,1,5514032,0.2,5514,101611,3,0,"",wac_birthday_blowout_02
0.01,"","",5514033,"",5514,101611,2,-330,"",-200
"",0.2,"",5514034,"",5514,105011,3,1,"",wac_birthday_idle_smile
0.01,"","",5514035,"",5514,105011,2,-320,"",180
"",0.2,"",5514036,"",5514,101811,3,1,"",wac_birthday_idle_wish
0.01,"","",5514037,"",5514,101811,2,-340,"",320
"","","",5514038,"",5514,0,93,"","",""
"","","",5514039,"",5514,800,32,"","",1
"","","",5514040,"",5514,0.7,93,"","",""
"","","",5514041,"",5514,702,32,"","",1
"","","",5514042,"",5514,0.5,93,"","",""
"","","",5514043,"",5514,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",5514044,"",5514,701,32,"","",0
"","","",5514045,"",5514,0.4,93,"","",""
"","","",5514046,"",5514,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",5514047,"",5514,700,32,"","",1
"","","",5514048,"",5514,se_common,23,0,"",se_sys_login_birthday_calendar_applause
wac_birthday_idle_smile,0.2,1,5514049,0.2,5514,105011,3,0,"",wac_birthday_clap
"","","",5514050,"",5514,0.1,93,"","",""
wac_birthday_idle_wish,0.2,1,5514051,0.2,5514,101811,3,0,"",wac_birthday_clap_to_wish
"","","",5514052,"",5514,2,93,"","",""
"","","",5514053,"",5514,1,131,"","",""
0,"","",5514054,"",5514,vo_wac_05514,21,0,"",vo_wac_05514_000
1,0,1,5514055,0,5514,101611,11,10,0.5,"우와, 이거 내 생일 케이크야?\n이런 게 있다고는 못 들었는데~!\n대박 감격이잖아!?"
"","","",5514056,"",5514,0,91,"","",""
"",0.2,"",5514057,"",5514,101611,3,1,"",wac_birthday_idle_kyapi
"",0.2,"",5514058,"",5514,105011,3,1,"",wac_birthday_talk_smile
0,"","",5514059,"",5514,vo_wac_05514,21,0,"",vo_wac_05514_001
1,0,1,5514060,0,5514,105011,11,10,0.5,"후훙, 감사하라고~\n나랑 이오랑 밤새서 만…… 아니!\n그다지 고생하지는 않았지만!\n그러니까…… 생일 축하해, 스즈나."
"","","",5514061,"",5514,0,91,"","",""
"",0.2,"",5514062,"",5514,105011,3,1,"",wac_birthday_idle_smile
"",0.2,"",5514063,"",5514,101611,3,1,"",wac_birthday_talk_smile
0,"","",5514064,"",5514,vo_wac_05514,21,0,"",vo_wac_05514_002
1,0,1,5514065,0,5514,101611,11,10,0.5,"아하하, 응, 고마워!\n그래서 미사킷치랑 이오한테\n아침부터 달콤~한 냄새가 났구나~"
"","","",5514066,"",5514,0,91,"","",""
"",0.2,"",5514067,"",5514,101611,3,1,"",wac_birthday_talk_kyapi
0,"","",5514068,"",5514,vo_wac_05514,21,0,"",vo_wac_05514_003
1,0,1,5514069,0,5514,101611,11,10,0.5,"역시 가져야 할 것은\n우정이고……♪\n좋~았어, 다 함께 파티하자!\n당근 히데사이도 함께야!"
"","","",5514070,"",5514,0,91,"","",""
"","","",5514071,"",5514,0,22,"","",""
"","","",6214001,"",6214,bgm_M321,25,"","",bgm_M321_2C
-1000,2,-70,6214002,0,6214,1,1,250,wac_birthday_idle_normal,106731
230,2,-270,6214003,1,6214,1,1,256,wac_birthday_idle_doya,106611
410,2,-310,6214004,1,6214,1,1,257,wac_birthday_idle_normal,106511
"","","",6214005,"",6214,106731,13,"","",300
"","","",6214006,"",6214,106611,13,"","",300
0,1,1,6214007,"",6214,600,31,0,"",600
0,0,1,6214008,"",6214,602,31,0,"",602
0,0,1,6214009,"",6214,603,31,0,"",603
60,1,1,6214010,"",6214,604,31,30,"",604
0,1,1,6214011,"",6214,611,31,0,"",611
0,0,1,6214012,"",6214,700,31,0,"",700
0,0,1,6214013,"",6214,701,31,0,"",701
0,0,1,6214014,"",6214,702,31,0,"",702
0,0,1,6214015,"",6214,800,31,0,"",800
60,1,1,6214016,"",6214,905,31,30,"",905
"","","",6214017,"",6214,1,93,"","",""
wac_birthday_reaction_03,0.2,1,6214018,0.2,6214,106511,3,0,"",wac_birthday_reaction_02
"","","",6214019,"",6214,0.1,93,"","",""
wac_birthday_reaction_03,0.2,1,6214020,0.2,6214,106611,3,0,"",wac_birthday_reaction_01
"","","",6214021,"",6214,0.3,93,"","",""
"",0.2,"",6214022,"",6214,106731,3,1,"",wac_birthday_run_01
3,"","",6214023,"",6214,106731,2,-70,"",0
"","","",6214024,"",6214,2.5,93,"","",""
"","","",6214025,"",6214,602,32,"","",1
"","","",6214026,"",6214,0.6,93,"","",""
"","","",6214027,"",6214,600,32,"","",0
"","","",6214028,"",6214,611,32,"","",0
"","","",6214029,"",6214,604,32,"","",0
"","","",6214030,"",6214,701,32,"","",1
0.01,"","",6214031,"",6214,905,33,0,"",0
wac_birthday_wish_05,0.2,1,6214032,0.2,6214,106731,3,0,"",wac_birthday_blowout_01
0.01,"","",6214033,"",6214,106731,2,-330,"",-200
"",0.2,"",6214034,"",6214,106611,3,1,"",wac_birthday_idle_doya
0.01,"","",6214035,"",6214,106611,2,-320,"",180
"",0.2,"",6214036,"",6214,106511,3,1,"",wac_birthday_idle_normal
0.01,"","",6214037,"",6214,106511,2,-340,"",320
"","","",6214038,"",6214,0,93,"","",""
"","","",6214039,"",6214,800,32,"","",1
"","","",6214040,"",6214,0.7,93,"","",""
"","","",6214041,"",6214,702,32,"","",1
"","","",6214042,"",6214,0.5,93,"","",""
"","","",6214043,"",6214,se_common,23,0,"",se_sys_login_birthday_blow_candle
"","","",6214044,"",6214,701,32,"","",0
"","","",6214045,"",6214,0.4,93,"","",""
"","","",6214046,"",6214,se_common,23,0,"",se_sys_login_birthday_cracker
"","","",6214047,"",6214,700,32,"","",1
