reward_num,reward_id,reward_type,mission_reward_id,id
400,20004,2,100513,139
1500,90008,2,100514,140
1,41000,2,100515,141
1000000,94002,12,100516,142
500,20004,2,100516,143
40,91002,8,100517,144
1500,90008,2,100517,145
2000000,94002,12,100518,146
2000,90008,2,100518,147
3000000,94002,12,100601,148
300,20004,2,100601,149
1000,90008,2,100602,150
12,25001,2,100603,151
1000000,94002,12,100604,152
300,20004,2,100604,153
1000,90008,2,100605,154
10,25001,2,100606,155
40,91002,8,100607,156
1000000,94002,12,100607,157
300,20004,2,100607,158
1000,90008,2,100608,159
1,41000,2,100609,160
10,25001,2,100609,161
1000000,94002,12,100610,162
400,20004,2,100610,163
1500,90008,2,100611,164
40,91002,8,100612,165
9,25001,2,100612,166
1000000,94002,12,100613,167
400,20004,2,100613,168
1500,90008,2,100614,169
1,41000,2,100615,170
1000000,94002,12,100616,171
500,20004,2,100616,172
40,91002,8,100617,173
1500,90008,2,100617,174
2000000,94002,12,100618,175
2000,90008,2,100618,176
3000000,94002,12,100701,177
300,20004,2,100701,178
1000,90008,2,100702,179
12,25001,2,100703,180
1000000,94002,12,100704,181
300,20004,2,100704,182
1000,90008,2,100705,183
10,25001,2,100706,184
40,91002,8,100707,185
1000000,94002,12,100707,186
300,20004,2,100707,187
1000,90008,2,100708,188
1,41000,2,100709,189
10,25001,2,100709,190
1000000,94002,12,100710,191
400,20004,2,100710,192
1500,90008,2,100711,193
40,91002,8,100712,194
9,25001,2,100712,195
1000000,94002,12,100713,196
400,20004,2,100713,197
1500,90008,2,100714,198
1,41000,2,100715,199
1000000,94002,12,100716,200
500,20004,2,100716,201
40,91002,8,100717,202
1500,90008,2,100717,203
2000000,94002,12,100718,204
2000,90008,2,100718,205
3000000,94002,12,100801,206
300,20004,2,100801,207
1000,90008,2,100802,208
12,25001,2,100803,209
1000000,94002,12,100804,210
300,20004,2,100804,211
1000,90008,2,100805,212
10,25001,2,100806,213
40,91002,8,100807,214
1000000,94002,12,100807,215
300,20004,2,100807,216
1000,90008,2,100808,217
1,41000,2,100809,218
10,25001,2,100809,219
1000000,94002,12,100810,220
400,20004,2,100810,221
1500,90008,2,100811,222
40,91002,8,100812,223
9,25001,2,100812,224
1000000,94002,12,100813,225
400,20004,2,100813,226
1500,90008,2,100814,227
1,41000,2,100815,228
1000000,94002,12,100816,229
500,20004,2,100816,230
40,91002,8,100817,231
1500,90008,2,100817,232
2000000,94002,12,100818,233
2000,90008,2,100818,234
