position_x,cursor_position,quest_detail_bg_id,result_boss_position_y,battle_report_monster_size,background,map_position_y,quest_detail_monster_height,position_y,quest_detail_monster_size,clan_battle_id,tap_height_ratio,tap_width_ratio,boss_thumb_id,scale_ratio,battle_report_monster_height,quest_detail_bg_position,order_num,wave_bgm,difficulty,boss_id,map_position_x
-50,200,101161,100,2.2,101301,0,0,100,2.3,1009,1.0,1.0,3,1.55,-10,-30,3,bgm_M64,1,10090103,-15
180,200,101161,100,1.3,101301,0,15,-100,1.3,1009,1.0,1.0,4,1.0,0,-30,4,bgm_M64,1,10090104,0
470,270,101162,200,1.1,101302,10,-15,-55,1.2,1009,1.0,1.0,5,1.0,-30,-30,5,bgm_M55,1,10090105,-20
-450,210,101161,170,0.9,101441,10,-25,-130,1.0,1010,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10100101,0
-250,200,101161,120,1.0,101441,10,0,-120,1.2,1010,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10100102,0
-10,200,101161,100,1.0,101441,0,0,50,1.1,1010,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10100103,-15
180,200,101161,0,1.0,101441,0,-30,-100,1.3,1010,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10100104,0
470,270,101162,200,1.1,101442,10,-35,-70,1.2,1010,1.0,1.0,5,0.95,-30,-30,5,bgm_M55,1,10100105,-20
-450,210,101451,170,0.9,101451,10,-25,-130,1.0,1011,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10110101,0
-250,200,101451,120,1.0,101451,10,0,-120,1.2,1011,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10110102,0
-20,200,101451,100,1.0,101451,0,-30,50,1.4,1011,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10110103,-15
200,220,101451,100,0.8,101451,0,20,-100,0.9,1011,1.0,1.0,4,0.65,0,-30,4,bgm_M64,1,10110104,0
510,290,101452,200,1.4,101452,0,-35,-70,1.55,1011,1.0,1.0,5,1.25,-50,-30,5,bgm_M55,1,10110105,0
-450,210,101451,170,0.9,101561,10,-25,-130,1.0,1012,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10120101,0
-240,240,101451,120,1.0,101561,0,0,-120,1.2,1012,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10120102,0
-30,200,101451,100,0.8,101561,5,0,60,0.9,1012,1.0,1.0,3,0.6,-10,-30,3,bgm_M64,1,10120103,-5
180,200,101451,100,1.2,101561,0,-30,-100,1.5,1012,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10120104,0
460,290,101452,400,1.35,101562,0,-60,-70,1.55,1012,1.0,1.0,5,1.25,-50,-30,5,bgm_M55,1,10120105,0
-480,210,101001,250,0.7,101001,10,0,-120,0.8,1013,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10130101,0
-260,200,101001,0,1.0,101001,10,0,-120,1.2,1013,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10130102,0
-40,200,101001,100,1.0,101001,0,0,0,1.1,1013,1.0,1.0,3,0.7,-10,-30,3,bgm_M64,1,10130103,-13
240,200,101001,0,1.0,101001,0,0,-50,1.2,1013,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10130104,0
480,250,101011,200,1.0,101011,0,0,-40,1.3,1013,1.0,1.0,5,1.2,0,-30,5,bgm_M55,1,10130105,0
-450,210,101041,170,0.9,101041,10,-25,-130,1.0,1014,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10140101,0
-250,200,101041,120,1.0,101041,10,0,-120,1.2,1014,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10140102,0
-50,200,101041,100,2.2,101041,0,0,100,2.3,1014,1.0,1.0,3,1.55,-10,-30,3,bgm_M64,1,10140103,-15
190,200,101041,0,1.0,101041,0,0,-70,1.0,1014,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10140104,0
440,250,101042,200,1.6,101042,0,0,0,1.8,1014,1.0,1.0,5,1.4,0,-30,5,bgm_M55,1,10140105,0
-470,210,101161,250,0.7,101041,10,0,-125,0.8,1015,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10150101,0
-210,200,101161,120,1.0,101041,10,0,-95,1.2,1015,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10150102,0
50,200,101161,100,1.0,101041,0,-30,-120,1.4,1015,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10150103,-15
195,200,101162,150,1.0,101041,0,43,35,1.0,1015,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10150104,0
450,210,101161,150,1.35,101042,0,-50,-55,1.8,1015,1.0,1.0,5,1.1,0,-30,5,bgm_M55,1,10150105,0
-480,210,101451,250,0.85,101161,10,0,-120,0.8,1016,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10160101,0
-260,200,101451,0,1.1,101161,10,0,-100,1.2,1016,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10160102,0
-10,200,101451,100,1.0,101161,0,0,65,1.1,1016,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10160103,-15
190,200,101451,0,0.85,101161,0,0,-110,1.0,1016,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10160104,0
485,280,101452,270,1.0,101162,-10,-50,-70,1.15,1016,1.0,1.0,5,0.9,-45,-30,5,bgm_M55,1,10160105,0
-480,210,101171,250,0.7,101171,10,0,-120,0.8,1017,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10170101,0
-260,240,101171,0,0.7,101171,10,0,-120,1.0,1017,1.0,1.0,2,0.6,0,-30,2,bgm_M64,1,10170102,0
-10,200,101171,0,1.0,101171,0,-30,65,1.4,1017,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10170103,-15
190,200,101171,100,1.0,101171,0,-30,-110,1.3,1017,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10170104,0
475,250,101172,270,1.0,101172,10,-50,-30,1.45,1017,1.0,1.0,5,1.0,0,-30,5,bgm_M55,1,10170105,-20
-480,210,101171,100,0.7,101191,10,0,-120,0.8,1018,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10180101,0
-260,200,101171,100,1.0,101191,10,0,-100,1.2,1018,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10180102,0
-10,200,101171,100,0.8,101191,5,0,65,0.9,1018,1.0,1.0,3,0.6,-10,-30,3,bgm_M64,1,10180103,-5
190,200,101171,100,1.0,101191,0,0,-110,1.2,1018,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10180104,-30
485,280,101172,100,1.0,101192,-10,-50,-70,1.3,1018,1.0,1.0,5,1.1,-45,-30,5,bgm_M55,1,10180105,0
-480,210,101161,100,0.85,101201,10,0,-120,0.8,1019,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10190101,0
-260,240,101161,100,1.1,101201,10,0,-120,1.2,1019,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10190102,0
-10,200,101161,100,1.0,101201,0,0,65,1.1,1019,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10190103,-15
190,200,101161,100,1.0,101201,0,43,-110,1.0,1019,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10190104,0
475,250,101162,100,1.0,101202,10,-50,-30,1.45,1019,1.0,1.0,5,1.0,-45,-30,5,bgm_M55,1,10190105,-20
-480,210,101161,100,0.85,101291,10,0,-120,0.8,1020,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10200101,0
-260,240,101161,100,1.1,101291,10,0,-120,1.2,1020,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10200102,0
-40,200,101161,100,1.0,101291,0,0,65,1.1,1020,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10200103,-15
150,200,101161,100,1.0,101291,0,-30,-110,1.5,1020,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10200104,0
490,230,101162,100,1.0,101292,30,15,-15,1.45,1020,1.0,1.0,5,1.1,30,-30,5,bgm_M55,1,10200105,-20
-480,210,101161,100,0.7,101301,10,0,-120,0.8,1021,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10210101,0
-260,200,101161,100,1.0,101301,10,0,-120,1.2,1021,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10210102,0
-50,200,101161,100,1.0,101301,-10,-30,100,1.4,1021,1.0,1.0,3,0.93,-10,-30,3,bgm_M64,1,10210103,0
180,200,101161,100,1.3,101301,0,15,-100,1.3,1021,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10210104,0
470,270,101162,100,1.1,101302,10,-15,-55,1.2,1021,1.0,1.0,5,1.0,-30,-30,5,bgm_M55,1,10210105,-20
-450,210,101161,100,0.85,101441,10,0,-130,0.8,1022,1.0,1.0,1,0.575,0,-30,1,bgm_M64,1,10220101,0
-250,200,101161,100,1.1,101441,10,0,-120,1.2,1022,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10220102,0
-10,200,101161,100,1.1,101441,0,0,50,1.2,1022,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10220103,-15
180,200,101161,100,1.3,101441,0,15,-100,1.3,1022,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10220104,0
470,230,101162,100,1.1,101442,10,-35,-70,1.2,1022,1.0,1.0,5,0.95,-30,-30,5,bgm_M55,1,10220105,-20
-450,210,101451,100,0.7,101451,10,0,-130,0.8,1023,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10230101,0
-250,200,101451,100,1.0,101451,10,0,-120,1.2,1023,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10230102,0
-20,200,101451,100,1.0,101451,0,-30,50,1.4,1023,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10230103,-15
200,200,101451,100,0.85,101451,0,0,-100,1.0,1023,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10230104,0
510,290,101452,100,1.4,101452,0,-35,-70,1.55,1023,1.0,1.0,5,1.25,-50,-30,5,bgm_M55,1,10230105,0
-450,210,101451,100,0.7,101561,10,0,-130,0.8,1024,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10240101,0
-240,240,101451,100,1.1,101561,0,0,-120,1.2,1024,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10240102,0
-30,200,101451,100,1.0,101561,5,0,60,1.1,1024,1.0,1.0,3,0.65,-10,-30,3,bgm_M64,1,10240103,-5
180,200,101451,100,1.0,101561,0,0,-100,1.2,1024,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10240104,0
460,290,101452,400,1.35,101562,0,-60,-70,1.55,1024,1.0,1.0,5,1.25,-50,-30,5,bgm_M55,1,10240105,0
-480,210,101451,100,0.7,101001,10,0,-120,0.8,1025,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10250101,0
-260,200,101451,100,1.1,101001,10,0,-120,1.2,1025,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10250102,0
-40,200,101451,100,0.8,101001,0,0,0,0.9,1025,1.0,1.0,3,0.6,-10,-30,3,bgm_M64,1,10250103,-13
240,200,101451,100,1.0,101001,0,-30,-50,1.5,1025,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10250104,0
480,250,101452,100,1.0,101011,0,0,-40,1.3,1025,1.0,1.0,5,1.2,0,-30,5,bgm_M55,1,10250105,0
-450,210,101021,170,0.9,101021,10,-25,-130,1.0,1026,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10260101,0
-250,200,101021,120,1.0,101021,10,0,-120,1.2,1026,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10260102,0
-50,200,101021,100,2.2,101021,0,0,100,2.3,1026,1.0,1.0,3,1.55,-10,-30,3,bgm_M64,1,10260103,-15
190,200,101021,150,1.0,101021,0,43,-70,1.0,1026,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10260104,0
440,220,101031,200,1.6,101031,0,0,0,1.8,1026,1.0,1.0,5,1.4,0,-30,5,bgm_M55,1,10260105,0
-470,210,101161,250,0.7,101041,10,0,-125,0.8,1027,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10270101,0
-210,200,101161,120,1.0,101041,10,0,-95,1.2,1027,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10270102,0
50,200,101161,100,1.0,101041,10,-10,-120,1.2,1027,1.0,1.0,3,0.75,-10,-30,3,bgm_M64,1,10270103,-15
195,200,101162,100,1.0,101041,0,20,35,1.1,1027,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10270104,0
450,210,101161,150,1.35,101042,0,-50,-55,1.8,1027,1.0,1.3,5,1.1,0,-30,5,bgm_M55,1,10270105,0
-480,210,101161,250,0.85,101161,10,0,-120,0.8,1028,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10280101,0
-260,200,101161,0,1.1,101161,10,0,-100,1.2,1028,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10280102,0
-10,200,101161,100,1.0,101161,5,0,65,1.1,1028,1.0,1.0,3,0.65,-10,-30,3,bgm_M64,1,10280103,-5
190,200,101161,100,1.3,101161,0,0,-110,1.35,1028,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10280104,0
485,280,101162,270,1.0,101162,-10,-50,-70,1.15,1028,1.0,1.3,5,0.9,-45,-30,5,bgm_M55,1,10280105,-40
-480,210,101171,250,0.7,101171,10,0,-120,0.8,1029,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10290101,0
-260,240,101171,0,0.7,101171,10,0,-120,1.0,1029,1.0,1.0,2,0.6,0,-30,2,bgm_M64,1,10290102,0
-10,200,101171,0,1.0,101171,0,-30,65,1.4,1029,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10290103,-15
190,200,101171,100,1.0,101171,0,-30,-110,1.3,1029,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10290104,0
475,250,101172,270,1.0,101172,10,-50,-30,1.45,1029,1.0,1.0,5,1.0,0,-30,5,bgm_M55,1,10290105,-20
-480,210,101171,100,0.7,101191,10,0,-120,0.8,1030,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10300101,0
-260,200,101171,100,1.0,101191,10,0,-100,1.2,1030,1.0,1.0,2,0.8,0,-30,2,bgm_M64,1,10300102,0
-10,200,101171,100,0.8,101191,5,0,65,0.9,1030,1.0,1.0,3,0.6,-10,-30,3,bgm_M64,1,10300103,-5
190,200,101171,100,1.0,101191,0,0,-110,1.2,1030,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10300104,0
485,280,101172,200,1.0,101192,-10,-50,-70,1.3,1030,1.2,1.0,5,1.1,-45,-30,5,bgm_M55,1,10300105,0
-480,210,101161,100,0.85,101201,10,0,-120,0.8,1031,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10310101,0
-260,240,101161,100,1.1,101201,10,0,-120,1.2,1031,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10310102,0
-10,200,101161,100,1.0,101201,0,0,65,1.1,1031,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10310103,-15
190,200,101161,100,1.0,101201,0,43,-110,1.0,1031,1.0,1.0,4,0.7,0,-30,4,bgm_M64,1,10310104,0
475,250,101162,100,1.0,101202,10,-50,-30,1.45,1031,1.0,1.0,5,1.0,-45,-30,5,bgm_M55,1,10310105,-20
-480,210,101291,100,0.85,101291,10,0,-120,0.8,1032,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10320101,0
-260,240,101291,100,1.1,101291,10,0,-120,1.2,1032,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10320102,0
-40,200,101291,100,1.0,101291,0,0,65,1.3,1032,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10320103,-15
150,200,101291,100,1.0,101291,0,-30,-110,1.3,1032,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10320104,0
490,230,101292,100,1.0,101292,30,15,-15,1.45,1032,1.0,1.0,5,1.1,30,-30,5,bgm_M55,1,10320105,-20
-480,210,101301,100,0.7,101301,10,0,-120,0.8,1033,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10330101,0
-260,200,101301,100,1.0,101301,10,0,-120,1.2,1033,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10330102,0
-50,200,101301,200,1.0,101301,-10,-30,100,1.4,1033,1.0,1.0,3,0.93,-10,-30,3,bgm_M64,1,10330103,0
100,200,101301,100,1.0,101301,0,15,-100,1.3,1033,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10330104,0
470,270,101302,100,1.1,101302,10,-15,-55,1.2,1033,1.0,1.0,5,1.0,-30,-30,5,bgm_M55,1,10330105,-20
-450,210,101161,100,0.85,101441,10,0,-130,0.8,1034,1.0,1.0,1,0.575,0,-30,1,bgm_M64,1,10340101,0
-250,200,101161,200,0.7,101441,10,0,-120,1.0,1034,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10340102,0
-10,200,101161,100,1.1,101441,0,0,50,1.2,1034,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10340103,-15
180,200,101161,150,1.0,101441,0,43,-100,1.0,1034,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10340104,0
470,230,101162,100,1.1,101442,10,-35,-70,1.2,1034,1.0,1.0,5,0.95,-30,-30,5,bgm_M55,1,10340105,-20
-450,210,101451,100,0.7,101451,10,0,-130,0.8,1035,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10350101,0
-250,200,101451,100,1.0,101451,10,0,-120,1.2,1035,1.0,1.0,2,0.9,0,-30,2,bgm_M64,1,10350102,0
-20,200,101451,100,1.0,101451,0,-30,50,1.4,1035,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10350103,-15
200,200,101451,100,0.85,101451,0,0,-100,1.0,1035,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10350104,0
510,290,101452,100,1.4,101452,0,-35,-70,1.55,1035,1.2,1.0,5,1.25,-50,-30,5,bgm_M55,1,10350105,0
-450,210,101451,100,0.7,101561,10,0,-130,0.8,1036,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10360101,0
-240,240,101451,100,1.1,101561,0,0,-120,1.2,1036,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10360102,0
-30,200,101451,100,1.0,101561,5,0,60,1.1,1036,1.0,1.0,3,0.65,-10,-30,3,bgm_M64,1,10360103,-5
180,200,101451,100,1.0,101561,0,0,-100,1.2,1036,1.0,1.0,4,1.1,0,-30,4,bgm_M64,1,10360104,0
460,290,101452,400,1.35,101562,0,-60,-70,1.55,1036,1.4,1.0,5,1.25,-50,-30,5,bgm_M55,1,10360105,0
-480,210,101451,100,0.7,101001,10,0,-120,0.8,1037,1.0,1.0,1,0.58,-30,-30,1,bgm_M64,1,10370101,0
-260,200,101451,100,1.1,101001,10,0,-120,1.2,1037,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10370102,0
-40,200,101451,150,0.55,101001,0,-50,0,0.9,1037,1.4,1.0,3,0.6,-60,-30,3,bgm_M64,1,10370103,-13
240,200,101451,100,1.0,101001,0,-30,-50,1.3,1037,1.0,1.0,4,0.8,0,-30,4,bgm_M64,1,10370104,0
480,250,101452,100,1.0,101011,0,0,-40,1.3,1037,1.2,1.0,5,1.2,0,-30,5,bgm_M55,1,10370105,0
-450,210,101021,170,0.9,101021,10,-25,-110,1.0,1038,1.0,1.0,1,0.575,-30,-30,1,bgm_M64,1,10380101,0
-250,200,101021,120,1.0,101021,10,0,-120,1.2,1038,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10380102,0
-50,200,101021,100,1.1,101021,0,0,100,1.2,1038,1.0,1.0,3,0.8,-10,-30,3,bgm_M64,1,10380103,-15
190,200,101021,200,1.0,101021,0,-30,-70,1.3,1038,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10380104,0
440,220,101031,200,1.6,101031,0,0,0,1.8,1038,1.0,1.0,5,1.4,0,-30,5,bgm_M55,1,10380105,0
-470,210,101041,250,0.7,101041,10,0,-125,0.8,1039,1.0,1.0,1,0.6,-30,-30,1,bgm_M64,1,10390101,0
-210,200,101041,200,0.7,101041,10,0,-95,1.0,1039,1.0,1.0,2,0.65,0,-30,2,bgm_M64,1,10390102,0
50,200,101041,100,1.0,101041,0,0,-120,1.3,1039,1.0,1.0,3,0.9,-10,-30,3,bgm_M64,1,10390103,-15
195,200,101041,100,1.3,101041,0,0,35,1.35,1039,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10390104,0
450,210,101042,150,1.35,101042,0,-50,-55,1.8,1039,1.0,1.3,5,1.1,0,-30,5,bgm_M55,1,10390105,0
-480,210,101161,250,0.85,101161,10,0,-120,0.8,1040,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10400101,0
-260,240,101161,100,1.1,101161,0,0,-100,1.2,1040,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10400102,0
-10,200,101161,100,1.0,101161,5,0,65,1.1,1040,1.0,1.0,3,0.65,-10,-30,3,bgm_M64,1,10400103,-5
190,200,101161,150,1.0,101161,0,43,-110,1.0,1040,1.0,1.0,4,0.9,0,-30,4,bgm_M64,1,10400104,0
485,280,101162,270,1.0,101162,-10,-50,-70,1.15,1040,1.0,1.3,5,0.9,-45,-30,5,bgm_M55,1,10400105,-40
-480,210,101171,120,0.85,101171,10,0,-120,0.8,1041,1.0,1.0,1,0.6,0,-30,1,bgm_M64,1,10410101,0
-260,200,101171,120,1.0,101171,10,0,-120,1.2,1041,1.0,1.0,2,0.75,0,-30,2,bgm_M64,1,10410102,0
