9e4f04566860031865429ed5e1e86e9ecc25cda60c78b238dce0b6a88e4746fd,unit_enhance_id_1,battle_effect_id_2,challenge_id_3,challenge_id_2,unit_id_2,schedule_id,unit_id_3,unit_id_4,unit_enhance_id_4,unit_id_5,battle_effect_id_3,background,difficulty,battle_effect_id_4,round_id,unit_id_1,battle_effect_id_1,limit_time,quest_id,unit_enhance_id_3,bg_position,display_unit_id,battle_effect_id_5,unit_enhance_id_2,unit_enhance_id_5,start_time,challenge_id_1
100901,100901,14,100303,100302,119201,1003,103401,105501,100901,101601,20,100003,1,0,9,120001,13,90,1003009,100901,50,120001,0,100901,100901,"2025/09/09 12:00:00",100202
101001,101002,1,100102,100101,105301,1003,126101,105501,101002,123001,0,100003,2,0,10,103401,8,90,1003010,101006,50,126101,0,101002,101006,"2025/09/09 12:00:00",100302
101101,101102,2,100303,100302,105501,1003,129601,123001,101106,129001,0,100003,2,0,11,108901,9,90,1003011,101106,50,123001,0,101102,101106,"2025/09/09 12:00:00",100202
101201,101202,3,100101,100205,127901,1003,110301,131001,101206,108301,0,100003,2,0,12,100501,10,90,1003012,101204,50,108301,0,101206,101204,"2025/09/09 12:00:00",100202
101301,101305,5,100102,100101,103401,1003,129701,101101,101301,129001,6,100003,2,0,13,120001,4,90,1003013,101306,50,101101,0,101302,101306,"2025/09/10 12:00:00",100302
101401,101406,7,100303,100301,105401,1003,180301,110301,101404,106001,11,100003,2,0,14,128801,6,90,1003014,101405,50,128801,0,101402,101401,"2025/09/10 12:00:00",100203
101501,101502,12,100101,100205,106601,1003,130901,126101,101506,129001,4,100003,2,0,15,105601,11,90,1003015,101506,50,129001,0,101502,101506,"2025/09/10 12:00:00",100202
111601,111602,17,100101,100305,120001,1003,129601,110301,111604,129001,0,100003,3,0,16,108901,13,90,1003016,111606,50,129601,0,111605,111606,"2025/09/11 12:00:00",100302
111701,111706,18,100101,100303,120001,1003,103401,100901,111702,123001,0,100003,3,0,17,131101,14,90,1003017,111702,50,131101,0,111705,111706,"2025/09/11 12:00:00",100203
111801,111802,0,100101,100302,100501,1003,103401,105501,111802,129701,0,100003,3,0,18,108901,19,90,1003018,111802,50,129701,0,111802,111806,"2025/09/11 12:00:00",100203
100101,100101,0,100305,100303,181201,1004,180501,180601,100101,118601,0,100003,1,0,1,180401,13,90,1004001,100101,50,180401,0,100101,100101,"2025/10/08 12:00:00",100203
100201,100201,0,100101,100205,180301,1004,123001,180201,100201,129001,0,100003,1,0,2,180101,14,90,1004002,100201,50,180101,0,100201,100201,"2025/10/08 12:00:00",100203
100301,100301,0,100102,100101,180801,1004,181101,181001,100301,180701,0,100003,1,0,3,180901,13,90,1004003,100301,50,180901,0,100301,100301,"2025/10/08 12:00:00",100304
100401,100401,0,100304,100302,110301,1004,121101,101601,100401,112201,0,100003,1,0,4,103301,14,90,1004004,100401,50,110301,0,100401,100401,"2025/10/08 12:00:00",100202
100501,100501,0,100102,100101,117301,1004,110301,106901,100502,104001,0,100003,1,0,5,105401,13,90,1004005,100501,50,117301,0,100501,100501,"2025/10/08 12:00:00",100303
100601,100601,0,100304,100302,101801,1004,101401,123001,100602,129001,0,100003,1,0,6,103401,14,90,1004006,100601,50,101401,0,100601,100602,"2025/10/08 12:00:00",100202
100701,100701,14,100101,100205,103001,1004,102801,102601,100701,111001,0,100003,1,0,7,104901,13,90,1004007,100701,50,104901,0,100701,100701,"2025/10/08 12:00:00",100202
100801,100801,14,100102,100101,106601,1004,103401,102201,100801,112201,0,100003,1,0,8,105201,13,90,1004008,100801,50,105201,0,100801,100801,"2025/10/08 12:00:00",100303
100901,100901,14,100303,100302,115001,1004,112201,123001,100902,180601,20,100003,1,0,9,103401,13,90,1004009,100901,50,115001,0,100901,100901,"2025/10/08 12:00:00",100202
101001,101005,1,100102,100101,119201,1004,103401,105501,101002,101601,26,100003,2,0,10,120001,8,90,1004010,101002,50,103401,0,101005,101001,"2025/10/08 12:00:00",100302
101101,101102,2,100303,100302,106601,1004,130901,126101,101106,129001,27,100003,2,0,11,105601,9,90,1004011,101106,50,126101,0,101102,101106,"2025/10/08 12:00:00",100202
101201,101202,3,100101,100205,120001,1004,129601,110301,101204,129001,28,100003,2,0,12,108901,10,90,1004012,101206,50,129601,0,101205,101206,"2025/10/08 12:00:00",100202
101301,101306,29,100102,100101,120001,1004,103401,105501,101302,123001,0,100003,2,0,13,131101,11,90,1004013,101302,50,105501,0,101305,101306,"2025/10/09 12:00:00",100302
101401,101402,30,100303,100301,100501,1004,103401,105501,101402,129701,0,100003,2,0,14,108901,12,90,1004014,101402,50,108901,0,101402,101406,"2025/10/09 12:00:00",100203
101501,101505,22,100101,100205,103401,1004,105501,123001,101506,118601,0,100003,2,0,15,120001,4,90,1004015,101502,50,123001,0,101502,101506,"2025/10/09 12:00:00",100202
111601,111602,24,100101,100305,130901,1004,126101,129001,111606,100801,0,100003,3,0,16,100501,6,90,1004016,111606,50,129001,0,111606,111602,"2025/10/10 12:00:00",100302
111701,111702,25,100101,100303,104901,1004,131701,123001,111706,180601,0,100003,3,0,17,108901,7,90,1004017,111706,50,131701,0,111701,111705,"2025/10/10 12:00:00",100203
111801,111802,0,100101,100302,103401,1004,123001,129001,111806,118601,0,100003,3,0,18,100701,19,90,1004018,111806,50,118601,0,111802,111806,"2025/10/10 12:00:00",100203
100101,100101,0,100305,100303,102001,1005,118201,126501,100101,111401,0,100003,1,0,1,102101,13,90,1005001,100101,50,102101,0,100101,100101,"2025/11/09 12:00:00",100203
100201,100201,0,100101,100205,123301,1005,129601,107001,100201,118501,0,100003,1,0,2,102301,14,90,1005002,100201,50,102301,0,100201,100201,"2025/11/09 12:00:00",100203
100301,100301,0,100102,100101,103701,1005,105301,101401,100301,105001,0,100003,1,0,3,104301,13,90,1005003,100301,50,104301,0,100301,100301,"2025/11/09 12:00:00",100304
100401,100401,0,100304,100302,103001,1005,102801,102601,100401,111001,0,100003,1,0,4,104901,14,90,1005004,100401,50,104901,0,100401,100401,"2025/11/09 12:00:00",100202
100501,100501,0,100102,100101,106601,1005,103401,102201,100501,112201,0,100003,1,0,5,105201,13,90,1005005,100501,50,105201,0,100501,100501,"2025/11/09 12:00:00",100303
100601,100601,0,100304,100302,115001,1005,112201,123001,100602,180601,0,100003,1,0,6,103401,14,90,1005006,100601,50,115001,0,100601,100601,"2025/11/09 12:00:00",100202
100701,100701,14,100101,100205,119201,1005,103401,105501,100701,101601,0,100003,1,0,7,120001,13,90,1005007,100701,50,103401,0,100701,100701,"2025/11/09 12:00:00",100202
100801,100801,14,100102,100101,106601,1005,130901,126101,100802,129001,0,100003,1,0,8,105601,13,90,1005008,100802,50,126101,0,100801,100802,"2025/11/09 12:00:00",100303
100901,100901,14,100303,100302,120001,1005,129601,110301,100901,129001,20,100003,1,0,9,108901,13,90,1005009,100902,50,110301,0,100901,100902,"2025/11/09 12:00:00",100202
101001,101006,1,100102,100101,120001,1005,103401,105501,101002,123001,26,100003,2,0,10,131101,8,90,1005010,101002,50,105501,0,101005,101006,"2025/11/09 12:00:00",100302
101101,101102,2,100303,100302,100501,1005,103401,105501,101102,129701,27,100003,2,0,11,108901,9,90,1005011,101102,50,108901,0,101102,101106,"2025/11/09 12:00:00",100202
101201,101205,3,100101,100205,103401,1005,105501,123001,101206,118601,28,100003,2,0,12,120001,10,90,1005012,101202,50,123001,0,101202,101206,"2025/11/09 12:00:00",100202
101301,101302,29,100102,100101,130901,1005,126101,129001,101306,100801,0,100003,2,0,13,100501,11,90,1005013,101306,50,129001,0,101306,101302,"2025/11/10 12:00:00",100302
101401,101402,30,100303,100307,104901,1005,131701,123001,101406,180601,0,100003,2,0,14,108901,12,90,1005014,101406,50,131701,0,101401,101405,"2025/11/10 12:00:00",100203
101501,101502,22,100101,100205,103401,1005,123001,129001,101506,118601,0,100003,2,0,15,100701,4,90,1005015,101506,50,100701,0,101502,101506,"2025/11/10 12:00:00",100202
111601,111602,24,100101,100305,120001,1005,103401,104801,111602,129001,0,100003,3,0,16,100501,6,90,1005016,111602,50,100501,0,111605,111606,"2025/11/11 12:00:00",100302
111701,111702,25,100101,100303,104901,1005,105501,129601,111706,129001,0,100003,3,0,17,108901,7,90,1005017,111702,50,129601,0,111701,111706,"2025/11/11 12:00:00",100203
111801,111802,0,100101,100302,130901,1005,105501,123001,111806,118601,0,100003,3,0,18,100701,19,90,1005018,111802,50,118601,0,111806,111806,"2025/11/11 12:00:00",100203
100101,100101,0,100305,100303,105901,1006,127701,104001,100101,100801,0,100003,1,0,1,180801,13,90,1006001,100101,50,180801,0,100101,100101,"2025/12/08 12:00:00",100203
100201,100201,0,100101,100205,102501,1006,101001,100201,100201,111001,0,100003,1,0,2,105401,14,90,1006002,100201,50,105401,0,100201,100201,"2025/12/08 12:00:00",100203
100301,100301,0,100102,100101,103401,1006,106801,105101,100301,106901,0,100003,1,0,3,103301,13,90,1006003,100301,50,103301,0,100301,100301,"2025/12/08 12:00:00",100304
100401,100401,0,100304,100302,119201,1006,103401,105501,100401,101601,0,100003,1,0,4,120001,14,90,1006004,100401,50,103401,0,100401,100401,"2025/12/08 12:00:00",100202
100501,100501,0,100102,100101,106601,1006,130901,126101,100502,129001,0,100003,1,0,5,105601,13,90,1006005,100502,50,130901,0,100501,100502,"2025/12/08 12:00:00",100303
100601,100601,0,100304,100302,120001,1006,129601,110301,100601,129001,0,100003,1,0,6,108901,14,90,1006006,100602,50,110301,0,100601,100602,"2025/12/08 12:00:00",100202
100701,100702,14,100101,100205,120001,1006,103401,105501,100701,123001,0,100003,1,0,7,131101,13,90,1006007,100701,50,131101,0,100701,100702,"2025/12/08 12:00:00",100202
100801,100801,14,100102,100101,100501,1006,103401,105501,100801,129701,0,100003,1,0,8,108901,13,90,1006008,100801,50,108901,0,100801,100802,"2025/12/08 12:00:00",100303
100901,100901,14,100303,100302,103401,1006,105501,123001,100902,118601,20,100003,1,0,9,120001,13,90,1006009,100901,50,105501,0,100901,100902,"2025/12/08 12:00:00",100202
101001,101002,1,100102,100101,130901,1006,126101,129001,101006,100801,26,100003,2,0,10,100501,8,90,1006010,101006,50,126101,0,101006,101002,"2025/12/08 12:00:00",100302
101101,101102,2,100303,100302,104901,1006,131701,123001,101106,180601,27,100003,2,0,11,108901,9,90,1006011,101106,50,131701,0,101101,101105,"2025/12/08 12:00:00",100202
101201,101202,3,100101,100205,103401,1006,123001,129001,101206,118601,28,100003,2,0,12,100701,10,90,1006012,101206,50,100701,0,101202,101206,"2025/12/08 12:00:00",100202
101301,101302,29,100102,100101,120001,1006,103401,104801,101302,129001,0,100003,2,0,13,100501,11,90,1006013,101302,50,129001,0,101305,101306,"2025/12/09 12:00:00",100302
101401,101402,30,100303,100307,104901,1006,105501,129601,101406,129001,0,100003,2,0,14,108901,12,90,1006014,101402,50,129601,0,101401,101406,"2025/12/09 12:00:00",100203
101501,101502,22,100101,100205,130901,1006,105501,123001,101506,118601,0,100003,2,0,15,100701,4,90,1006015,101502,50,123001,0,101506,101506,"2025/12/09 12:00:00",100202
111601,111602,24,100101,100305,106601,1006,103401,102201,111602,112201,0,100003,3,0,16,105201,6,90,1006016,111602,50,105201,0,111602,111605,"2025/12/10 12:00:00",100302
111701,111702,25,100101,100303,123001,1006,106001,118501,111706,129001,0,100003,3,0,17,101401,7,90,1006017,111701,50,118501,0,111706,111706,"2025/12/10 12:00:00",100203
111801,111805,0,100101,100302,103401,1006,105501,129001,111806,118601,0,100003,3,0,18,120001,19,90,1006018,111802,50,118601,0,111802,111806,"2025/12/10 12:00:00",100203
100101,100101,0,100305,100303,108901,1007,108701,115001,100101,108801,0,100003,1,0,1,114701,13,90,1007001,100101,50,114701,0,100101,100101,"2026/02/09 12:00:00",100203
100201,100201,0,100101,100205,111801,1007,120701,112001,100201,112101,0,100003,1,0,2,111901,14,90,1007002,100201,50,111901,0,100201,100201,"2026/02/09 12:00:00",100203
100301,100301,0,100102,100101,120901,1007,124701,124601,100301,124501,0,100003,1,0,3,120801,13,90,1007003,100301,50,120801,0,100301,100301,"2026/02/09 12:00:00",100304
100401,100401,0,100304,100302,106601,1007,103401,102201,100401,112201,0,100003,1,0,4,105201,14,90,1007004,100401,50,105201,0,100401,100401,"2026/02/09 12:00:00",100202
100501,100501,0,100102,100101,124501,1007,101801,123701,100501,106001,0,100003,1,0,5,110301,13,90,1007005,100501,50,123701,0,100501,100501,"2026/02/09 12:00:00",100303
100601,100601,0,100304,100302,100501,1007,103401,105501,100601,129701,0,100003,1,0,6,108901,14,90,1007006,100601,50,100501,0,100601,100602,"2026/02/09 12:00:00",100202
100701,100701,14,100101,100205,103401,1007,110301,101201,100701,111401,0,100003,1,0,7,104601,13,90,1007007,100701,50,111401,0,100701,100701,"2026/02/09 12:00:00",100202
100801,100802,14,100102,100101,105401,1007,180301,110301,100801,106001,0,100003,1,0,8,128801,13,90,1007008,100801,50,180301,0,100801,100801,"2026/02/09 12:00:00",100303
100901,100901,14,100303,100302,104901,1007,131701,123001,100902,180601,20,100003,1,0,9,108901,13,90,1007009,100902,50,131701,0,100901,100901,"2026/02/09 12:00:00",100202
101001,101002,1,100102,100101,130901,1007,126101,129001,101006,100801,26,100003,2,0,10,100501,8,90,1007010,101005,50,126101,0,101006,101002,"2026/02/09 12:00:00",100302
101101,101102,2,100303,100302,117301,1007,110301,106901,101106,104001,27,100003,2,0,11,105401,9,90,1007011,101104,50,104001,0,101105,101102,"2026/02/09 12:00:00",100202
101201,101205,3,100101,100205,119201,1007,103401,105501,101202,101601,28,100003,2,0,12,120001,10,90,1007012,101202,50,103401,0,101205,101201,"2026/02/09 12:00:00",100202
101301,101302,29,100102,100101,120001,1007,103401,104801,101302,129001,0,100003,2,0,13,100501,11,90,1007013,101302,50,129001,0,101305,101306,"2026/02/10 12:00:00",100302
101401,101402,30,100303,100307,104901,1007,105501,129601,101406,129001,0,100003,2,0,14,108901,12,90,1007014,101402,50,129601,0,101401,101406,"2026/02/10 12:00:00",100203
101501,101502,22,100101,100205,103401,1007,123001,129001,101506,118601,0,100003,2,0,15,100701,4,90,1007015,101506,50,100701,0,101502,101506,"2026/02/10 12:00:00",100202
121601,111602,24,100101,100305,120001,1007,126101,110301,111604,123001,0,100003,3,0,16,108901,6,90,1007016,111605,50,108901,0,111605,111606,"2026/02/11 12:00:00",100302
121701,111702,25,100101,100303,100501,1007,126101,101101,111701,100801,0,100003,3,0,17,100701,7,90,1007017,111705,50,101101,0,111702,111702,"2026/02/11 12:00:00",100203
121801,111802,0,100101,100302,120001,1007,110301,101101,111801,118601,0,100003,3,0,18,108901,19,90,1007018,111804,50,118601,0,111805,111806,"2026/02/11 12:00:00",100203
100101,100101,0,100305,100303,100301,1008,104401,101301,100101,118001,0,100003,1,0,1,105801,13,90,1008001,100101,50,105801,0,100101,100101,"2026/03/10 12:00:00",100203
100201,100201,0,100101,100205,106401,1008,102801,130901,100201,106901,0,100003,1,0,2,102701,14,90,1008002,100201,50,102701,0,100201,100201,"2026/03/10 12:00:00",100203
100301,100301,0,100102,100101,123301,1008,117001,104201,100301,125101,0,100003,1,0,3,109601,13,90,1008003,100301,50,109601,0,100301,100301,"2026/03/10 12:00:00",100304
100401,100401,0,100304,100302,101401,1008,118501,101001,100401,108301,0,100003,1,0,4,126101,14,90,1008004,100402,50,101001,0,100401,100401,"2026/03/10 12:00:00",100202
100501,100501,0,100102,100101,127901,1008,101101,101201,100501,100201,0,100003,1,0,5,108901,13,90,1008005,100501,50,101201,0,100501,100501,"2026/03/10 12:00:00",100303
100601,100601,0,100304,100302,128501,1008,123701,127201,100601,100801,0,100003,1,0,6,101401,14,90,1008006,100601,50,127201,0,100601,100601,"2026/03/10 12:00:00",100202
100701,100701,14,100101,100205,101801,1008,106001,118501,100702,103601,0,100003,1,0,7,106601,13,90,1008007,100701,50,106601,0,100701,100701,"2026/03/10 12:00:00",100202
100801,100801,14,100102,100101,104601,1008,123501,129001,100802,100801,0,100003,1,0,8,100501,13,90,1008008,100801,50,104601,0,100801,100801,"2026/03/10 12:00:00",100303
100901,100901,14,100303,100302,103401,1008,126101,123001,100902,129001,20,100003,1,0,9,103301,13,90,1008009,100901,50,126101,0,100901,100902,"2026/03/10 12:00:00",100202
101001,101005,1,100102,100101,111201,1008,112101,108801,101002,123001,26,100003,2,0,10,127001,8,90,1008010,101005,50,127001,0,101004,101006,"2026/03/10 12:00:00",100302
101101,101102,2,100303,100302,108901,1008,105501,112201,101105,118601,27,100003,2,0,11,100701,9,90,1008011,101102,50,105501,0,101102,101106,"2026/03/10 12:00:00",100202
101201,101202,3,100101,100205,110301,1008,101301,180601,101205,129001,28,100003,2,0,12,100501,10,90,1008012,101202,50,180601,0,101204,101206,"2026/03/10 12:00:00",100202
101301,101305,29,100102,100101,117301,1008,110301,123001,101306,129001,0,100003,2,0,13,120001,11,90,1008013,101304,50,110301,0,101305,101306,"2026/03/11 12:00:00",100302
101401,101402,30,100303,100307,120001,1008,126101,110301,101404,123001,0,100003,2,0,14,108901,12,90,1008014,101405,50,123001,0,101405,101406,"2026/03/11 12:00:00",100203
101501,101502,22,100101,100205,108901,1008,100501,104901,101501,101101,0,100003,2,0,15,100701,4,90,1008015,101502,50,100501,0,101502,101501,"2026/03/11 12:00:00",100202
121601,111602,24,100101,100305,105401,1008,123001,129001,111606,100801,0,100003,3,0,16,100701,6,90,1008016,111606,50,100701,0,111602,111602,"2026/03/12 12:00:00",100302
121701,111702,25,100101,100303,100501,1008,123301,101801,111702,129001,0,100003,3,0,17,108901,7,90,1008017,111705,50,129001,0,111702,111706,"2026/03/12 12:00:00",100203
121801,111802,0,100101,100302,120001,1008,101101,100801,111802,118601,0,100003,3,0,18,100701,19,90,1008018,111801,50,118601,0,111805,111806,"2026/03/12 12:00:00",100203
