catch_copy,age,voice_id,birth_day,favorite,blood_type,guild,birth_month,self_text,voice,unit_id,race,height,guild_id,weight,unit_name
"푸우키치와 항상 함께!",14,0,10,"실내에서 할 수 있는 놀이",B,"사렌디아 구호원",5,"이 아이는 말이지 푸우키치라고 해\n무기지만 말할 수 있어♪\n무지 소중한 내 친구야~!","세리자와 유우",102301,"휴먼족",148,9,38,"아야네"
"아가씨를 위해 노력하는 덜렁이 메이드",15,0,12,"봉사활동",O,"사렌디아 구호원",12,"으으… 죄송해요~\n또 부엌을 폭발시켜 버렸어요~\n이건 메이드 실격이에요…","유우키 아오이",102501,"휴먼족",154,9,43,"스즈메"
"놀이와 수면이 무엇보다도 소중한 게으른 소녀",17,0,1,"단팥빵",B,"목장(엘리자베스 파크)",1,test,"코이와이 코토리",102601,"수인족",144,11,42,"린"
"운명의 상대에게 일편단심인 소녀",16,0,30,"실험, 재봉, 요리",B,"트와일라이트 캐러밴",7,"전 『파괴사』라는 다른 이름을 가지고 있지만…\n겁먹을 필요는 없답니다\n당신은 소중한 운명의 상대니까요…","하시모토 치나미",102701,"마족",154,13,43,"에리코"
"구호원을 경영하는 상냥한 서민파 아가씨",17,0,4,"경영, 다도회",A,"사렌디아 구호원",10,"궁상맞다고?\n아니, 「아깝다」는 마음으로\n하루하루를 살고 있을 뿐이야! ","호리에 유이",102801,"엘프족",156,9,43,"사렌"
"가창력과 안무를 겸비한 대인기 아이돌",17,0,24,"무대 감상, 댄스",B,"카르미나",1,"언젠가 전 세계 사람들을 팬으로 만들 거야!\n최고의 아이돌이 되는 그날까지\n응원 부탁해♪","히카사 요코",102901,"휴먼족",157,4,40,"노조미"
"동국의 신비, 가르쳐주세요입니다!",16,0,31,"인법 개발",O,"바이스플뤼겔 랜드솔 지부",8,"스시, 게이샤, 텐푸라…\n하으~! 동쪽 나라의 문화는 멋지다입니다~!","사토 사토미",103001,"휴먼족",163,15,51,"니논"
"점치기가 특기인 영능력자 소녀",18,0,22,"점치기",AB,"악마왕국군(디아볼로스)",12,"저 어렸을 때부터 사람에겐\n보이지 않는 것이 보였어요\n지금도 당신 뒤에 하나, 둘, 셋… 떠들썩하네요","오오츠보 유카",103101,"마족",157,7,42,"시노부"
"어엿한 상인이 되려 노력하는 파워풀한 아가씨",18,0,12,"자선사업",AB,"메르쿠리우스 재단",3,"저와 함께 있는 한\n금전적인 어려움은 없어요!","마츠자키 레이",103201,"휴먼족",157,12,45,"아키노"
"모두를 웃음 짓게 만드는 예능인 목장 주인",20,0,3,"만담",B,"목장(엘리자베스 파크)",3,"난 어떤 때도 모두에게 미소를 전하는\n최고의 예능인이 목표야!\n같이 힘내자!","닛타 에미",103301,"휴먼족",142,11,35,"마히루"
"보호 본능을 자극하는 순정적인 여성",22,0,16,"윈도쇼핑",A,"메르쿠리우스 재단",3,"네겐 한심한 꼴만 보였지만\n그런 모습, 다른 사람 말고 너한테만 보여주는 거니까","이마이 아사미",103401,"엘프족",164,12,55,"유카리"
"예의 바르고 착실한 꼬마 우등생",8,0,2,"공부",A,"리틀 리리컬",2,test,"오구라 유이",103601,"엘프족",118,5,21,"쿄우카"
"의리가 있고 농담을 좋아하는 검술 소녀",13,0,11,"검술, 연장자 놀리기",A,"왕궁기사단(NIGHTMARE)",8,test,"치하라 미노리",103701,"휴먼족",149,8,43,"토모"
"독서가 취미인 연약한 소녀",14,0,3,"독서, 산책",A,"목장(엘리자베스 파크)",11,"콜록, 콜록… 모, 몸은 약하지만\n적어도 마음만큼은 긍정적으로…!\n앗, 하지만 안 되겠어… 빈혈이…","코시미즈 아미",103801,"수인족",153,11,40,"시오리"
"「친구」를 사귀고 싶어 하는 엘프 숲의 소녀",13,0,6,"친구를 만드는 이미지 트레이닝",AB,"포레스티에",6,"친구를 사귀는 그 날까지…\nBB단에서 트레이닝할 거예요!","하나자와 카나",104001,"엘프족",158,6,44,"아오이"
"사람들을 지키기 위해 노래하는 창환사 소녀",17,0,3,"각종 악기",O,"카르미나",6,"저는 사람들의 평화를 지키기 위해서\n소환술을 구사해 싸우겠어요\n최근에는 아, 아이돌로 활동하고 있지만\n그쪽은 아직 익숙하지 않아서…","후쿠하라 아야카",104201,"휴먼족",163,4,46,"치카"
"늠름하고 정이 많은 와일드한 소녀",17,0,9,"과자 만들기",O,"자경단(카온)",8,"배고프면 말해\n간단한 거라도 좋다면\n엄청 맛있는 거 먹게 해줄게!","코마츠 미카코",104301,"수인족",168,10,54,"마코토"
"한때 밤을 지배했던 최강의 뱀파이어",??,0,5,"세계 정복",A,"악마왕국군(디아볼로스)",5,test,"탄게 사쿠라",104401,"마족",172,7,50,"이리야"
"망상을 좋아하는 부끄럼쟁이 소녀",18,0,19,"소설 읽기",AB,"바이스플뤼겔 랜드솔 지부",11,"당신을 생각하고 있었어요\n…반항할 수 없는 쿠우카를 저렇게, 이렇게\n그흐, 그흐흐흐…","나가츠마 쥬리",104501,"휴먼족",157,15,49,"쿠우카"
"약자를 돕고 악당을 벌하는 고양이 소녀",18,0,1,"고양이와 놀기",AB,"메르쿠리우스 재단",3,"돈벌이가 되는 이야기라면 꼭 나한테\n가져와라냥! 벌 수 있다면 1루피라도\n놓치지 않는 것이 내 신조다냥~♪","누마쿠라 마나미",104601,"수인족",158,12,48,"타마키"
"얼굴을 보이지 않는 냉정하고 침착한 여기사",25,0,25,"격투기, 목욕",A,"왕궁기사단(NIGHTMARE)",10,???,"카와스미 아야코",104701,"휴먼족",171,8,50,"쥰"
"공과 사, 어느 쪽이든 효율을 중시하는 용병 소녀",20,0,11,"용병 등의 아르바이트",O,"메르쿠리우스 재단",11,"내가 네 스승이 되어줄게!\n물론 공짜로는 안 되지만\n시급은 확실히 받을 거야","타도코로 아즈사",104801,"휴먼족",163,12,49,"미후유"
"누나가 돌봐줄 테니까!",18,0,24,"집안일 전반",O,"라비린스",10,"동생을 돌보는 일은 누나가 해줄게!\n요리도 빨래도 청소도\n목욕할 때 등도 밀어줄 거야!","나바타메 히토미",104901,"휴먼족",168,3,54,"시즈루"
"약간은 조숙한 연애를 동경하는 소녀",11,0,3,"패션 잡지 보기, 화장품 수집",A,"루센트 학원",1,"나 불렀어?\n숙녀의 매력으로 흠뻑\n빠지게 만들어줄게!","쿠노 미사키",105001,"마족",120,14,22,"미사키"
"실험이 취미인 위험한 과학자",27,0,7,"연구, 실험",A,"트와일라이트 캐러밴",3,"나는 과학자이지만,\n의사 흉내도 내고 있어\n병에 걸리면 진찰해줄게","미츠이시 코토노",105101,"휴먼족",166,13,53,"미츠키"
"소녀다운 폭신폭신한 애니멀",18,0,14,"털 다듬기, 수다떨기",A,"목장(엘리자베스 파크)",3,"난 어디에나 있는 무척 평범한 소녀야!\n외, 외모 이외에는 말이지…","토쿠이 소라",105201,"수인족",150,11,100,"리마"
"외면도 내면도 꼬마인 이국의 군인",18,0,28,"과자가게 드나들기",A,"바이스플뤼겔 랜드솔 지부",7,"「흰 날개」를 뜻하는 바이스플뤼겔…\n그 이름에 부끄럽지 않도록\n하늘 높이 날아 화려하게 적을 쓰러트리겠다!","츠지 아유미",105301,"휴먼족",140,15,33,"모니카"
"패션을 좋아하는 큐트 걸",14,0,7,"재봉",AB,"카르미나",9,test,"키도 이부키",105401,"휴먼족",153,4,45,"츠무기"
"항상 일편단심인 순정 소녀",16,0,7,"관찰",O,"바이스플뤼겔 랜드솔 지부",4,test,"오오제키 에리",105501,"엘프족",155,15,43,"아유미"
"인정미 넘치는 멋진 「누님」",25,0,11,"낚시",B,"트와일라이트 캐러밴",7,test,"사토 리나",105601,"휴먼족",167,13,54,"루카"
"하늘을 향한 모험을 꿈꾸는 기공사 소녀",17,0,10,"모험, 수다떨기",O,???,3,"난 말야, 어엿한 기공사가 되고 싶어\n언젠가 아버지 같은 기공사가 되어\n하늘 끝까지 여행할 거야 그게 내 꿈이야!","카네모토 히사코",105701,"휴먼족",156,"",45,"지타"
"언제나 명랑한 먹보 소녀",17,0,31,"맛집 탐방, 요리",O,"미식전",3,"저, 저기… 뭔가 먹을 거 없나요?\n벌써 배가 꼬르륵거려요…","MㆍAㆍO",105801,"휴먼족",156,1,46,"페코린느"
"주인님을 모시는 꼬마 가이드",11,0,11,"명상, 동식물 기르기",B,"미식전",5,"주인님의 가이드 역할을 맡게 되었습니다\n저는 주인님이 만족하실 수 있도록\n성심성의를 다하겠습니다","이토 미쿠",105901,"엘프족",140,1,35,"콧코로"
"길가에 쓰러진 의문의 고양이 귀를 가진 마법사",14,0,2,"고양이와 놀기",A,"미식전",9,"뭘 꾸물거리고 있는 거야\n어쩔 수 없으니까, 내가 도와줄게\n알았어? 감사하라고!","타치바나 리카",106001,"수인족",152,1,39,"캬루"
"방황하는 수수께끼의 소녀",16,0,11,"모험, 추억 이야기",O,???,8,"괜찮아, 나는… 혼자라도. 괜찮다니까 이미 익숙해졌어","한 메구미",106101,"휴먼족",148,"",40,"무이미"
"숲지기를 목표로 하는 엘프 소녀",15,0,17,"예쁜 잎사귀 수집하기",O,???,6,"","유우키 카나",106301,"엘프족",155,"",42,"아리사"
"기억상실 드래곤 소녀",14,0,14,"독서, 스트레칭",B,"미식전",12,"","콘도 레이나",106401,"드래곤족",147,1,???,"셰피"
"주먹으로 이야기하는 싸움꾼 드래곤 소녀",16,0,25,"격투기",B,"드래곤즈 네스트",6,"","코이치 마코토",106501,"드래곤족",156,17,???,"카야"
"말주변이 좋은 겁쟁이 드래곤",13,0,29,"게임",AB,"드래곤즈 네스트",9,"","후지타 아카네",106601,"드래곤족",145,17,???,"이노리"
"요염한 미소로 모든 걸 꿰뚫어 보는 와룡 우두머리",25,0,17,"그림 그리기, 독서",O,"드래곤즈 네스트",4,"","오오니시 사오리",106701,"드래곤족",168,17,???,"호마레"
"비밀결사 라비린스의 『미궁여왕』",25,0,25,"인간 관찰",AB,"라비린스",7,"","사와시로 미유키",106801,"휴먼족",160,3,??,"라비리스타"
"수수께끼에 싸인 랜드솔의 주인",29,0,1,"점, 지배",AB,???,7,"","아오이 쇼타",106901,"수인족",166,"",??,"카이저 인사이트"
"연구소에서 숨어사는 조용한 언니",24,0,24,"흉내내기, 예술 감상",O,???,3,"","이구치 유카",107001,"엘프족",149,"",??,"네네카"
"방약무인한 왕궁기사단 부단장",27,0,7,"강적과의 투쟁",O,"왕궁기사단(NIGHTMARE)",2,"","타카하시 치아키",107101,"휴먼족",165,8,??,"크리스티나"
"언제나 명랑한 먹보 소녀",17,0,31,"맛집 탐방, 요리",O,"미식전",3,"저, 저기… 뭔가 먹을 거 없나요?\n벌써 배가 꼬르륵거려요…","MㆍAㆍO",107501,"휴먼족",156,1,46,"페코린느(여름)"
"주인님을 모시는 꼬마 가이드",11,0,11,"명상, 동식물 기르기",B,"미식전",5,"주인님의 가이드 역할을 맡게 되었습니다\n저는 주인님이 만족하실 수 있도록\n성심성의를 다하겠습니다","이토 미쿠",107601,"엘프족",140,1,35,"콧코로(여름)"
"아가씨를 위해 노력하는 덜렁이 메이드",15,0,12,"봉사활동",O,"사렌디아 구호원",12,"으으… 죄송해요~\n또 부엌을 폭발시켜 버렸어요~\n이건 메이드 실격이에요…","유우키 아오이",107701,"휴먼족",154,9,43,"스즈메(여름)"
"길가에 쓰러진 의문의 고양이 귀를 가진 마법사",14,0,2,"고양이와 놀기",A,"미식전",9,"뭘 꾸물거리고 있는 거야\n어쩔 수 없으니까, 내가 도와줄게\n알았어? 감사하라고!","타치바나 리카",107801,"수인족",152,1,39,"캬루(여름)"
"약자를 돕고 악당을 벌하는 고양이 소녀",18,0,1,"고양이와 놀기",AB,"메르쿠리우스 재단",3,"돈벌이가 되는 이야기라면 꼭 나한테\n가져와라냥! 벌 수 있다면 1루피라도\n놓치지 않는 것이 내 신조다냥~♪","누마쿠라 마나미",107901,"수인족",158,12,48,"타마키(여름)"
"공과 사, 어느 쪽이든 효율을 중시하는 용병 소녀",20,0,11,"용병 등의 아르바이트",O,"메르쿠리우스 재단",11,"내가 네 스승이 되어줄게!\n물론 공짜로는 안 되지만\n시급은 확실히 받을 거야","타도코로 아즈사",108001,"휴먼족",163,12,49,"미후유(여름)"
"점치기가 특기인 영능력자 소녀",18,0,22,"점치기",AB,"악마왕국군(디아볼로스)",12,"저 어렸을 때부터 사람에겐\n보이지 않는 것이 보였어요\n지금도 당신 뒤에 하나, 둘, 셋… 떠들썩하네요","오오츠보 유카",108101,"마족",157,7,42,"시노부(할로윈)"
"푸딩을 좋아하는 유령 소녀",14,0,23,"푸딩 먹기",B,"악마왕국군(디아볼로스)",1,"어려운 건 모르는 거야~\n그냥 매일 푸딩을 먹을 수 있다면\n유령이어도 좋은 거야~","아마미야 소라",108201,"마족",130,7,32,"미야코(할로윈)"
"약간은 조숙한 연애를 동경하는 소녀",11,0,3,"패션 잡지 보기, 화장품 수집",A,"루센트 학원",1,"나 불렀어?\n숙녀의 매력으로 흠뻑\n빠지게 만들어줄게!","쿠노 미사키",108301,"마족",120,14,22,"미사키(할로윈)"
"사람들을 지키기 위해 노래하는 창환사 소녀",17,0,3,"각종 악기",O,"카르미나",6,"저는 사람들의 평화를 지키기 위해서\n창환술을 구사해 싸우겠어요\n최근에는 아, 아이돌로 활동하고 있지만\n그쪽은 아직 익숙하지 않아서…","후쿠하라 아야카",108401,"휴먼족",163,4,46,"치카(크리스마스)"
"울보, 겁쟁이에 보살펴 주고 싶은 소녀",12,0,9,"연극 감상, 소꿉놀이",B,"사렌디아 구호원",6,"저기, 그게… 저, 쿠, 쿠루미예요오…\n자기소개하면 되는 건가…\n부, 부끄러워서… 죄, 죄송해요오오!","우에다 카나",108501,"휴먼족",150,9,40,"쿠루미(크리스마스)"
"푸우키치와 항상 함께!",14,0,10,"실내에서 할 수 있는 놀이",B,"사렌디아 구호원",5,"이 아이는 말이지 푸우키치라고 해\n무기지만 말할 수 있어♪\n무지 소중한 내 친구야~!","세리자와 유우",108601,"휴먼족",148,9,38,"아야네(크리스마스)"
"다른 사람을 돕기 좋아하는 낙천적인 격투 소녀",16,0,27,"다른 사람 돕기, 응원",A,"트윙클 위시",8,"안녕! 히요리야!\n곤란한 사람이 있으면 도와줄게!\n괜찮으면 같이 갈래?","토야마 나오",108701,"수인족",155,2,44,"히요리(새해)"
"전투 지원이 특기인 마음씨 고운 소녀",17,0,5,"요리, 인간 관찰",O,"트윙클 위시",4,"도움이 될 수 있을지는 잘 모르겠지만…\n나도 열심히 모두를 서포트할게!","타네다 리사",108801,"휴먼족",158,2,47,"유이(새해)"
"쿨하고 올곧은 검술사",18,0,12,"독서, 승마, 차 마시기",B,"트윙클 위시",1,"너랑 만난 것도 분명 인연일 거야\n함께 탑의 정상을 목표로 하는\n동료로서 힘내자 잘 부탁해","하야미 사오리",108901,"마족",163,2,46,"레이(새해)"
"운명의 상대에게 일편단심인 소녀",16,0,30,"실험, 재봉, 요리",B,"트와일라이트 캐러밴",7,"전 『파괴사』라는 다른 이름을 가지고 있지만…\n겁먹을 필요는 없답니다\n당신은 소중한 운명의 상대니까요…","하시모토 치나미",109001,"마족",154,13,43,"에리코(발렌타인)"
"누나가 돌봐줄 테니까!",18,0,24,"집안일 전반",O,"라비린스",10,"동생을 돌보는 일은 누나가 해줄게!\n요리도 빨래도 청소도\n목욕할 때 등도 밀어줄 거야!","나바타메 히토미",109101,"휴먼족",168,3,54,"시즈루(발렌타인)"
"영령과 계약을 맺은 마나리아의 천재 공주",17,0,1,"독서",AB,???,12,"나는 앤! 어쨌든 마나리아 왕국\n제1 왕녀이지만… 너무 딱딱하게 대하지 말고 \n마음 편히 친하게 대해주면 기쁠 거야!","히카사 요코",109201,"휴먼족",156,"",55,"앤"
"마나리아 마법학원의 신입생",15,0,4,"먹는 것, 자는 것",O,???,2,"루는 루예요~! 마나리아 마법 학원에\n다니고 있어요~ 당신도 루의\n친구가 되어 주시겠어요~?","코야마 키미코",109301,"휴먼족",144,"",45,"루"
"인간을 초월한 힘을 가진 마음씨 착한 용족의 공주",17,0,3,"피아노",B,???,11,"나는 글레어. 용과 인간, 양쪽의 피를 이어 받았어…\n저기… 자, 잘 부탁해","후쿠하라 아야카",109401,"인간과 드래곤의 하프",167,"",67,"글레어"
"망상을 좋아하는 부끄럼쟁이 소녀",18,0,19,"소설 읽기",AB,"바이스플뤼겔 랜드솔 지부",11,"당신을 생각하고 있었어요\n…반항할 수 없는 쿠우카를 저렇게, 이렇게\n그흐, 그흐흐흐…","나가츠마 쥬리",109501,"휴먼족",157,15,49,"쿠우카(오에도)"
"동국의 신비, 가르쳐주세요입니다!",16,0,31,"인법 개발",O,"바이스플뤼겔 랜드솔 지부",8,"스시, 게이샤, 텐푸라…\n하으~! 동쪽 나라의 문화는 멋지다입니다~!","사토 사토미",109601,"휴먼족",163,15,51,"니논(오에도)"
"도깨비족 만능 여동생 메이드",17,0,2,"연극 관람, 시문학",?,???,2,"","미나세 이노리",109701,"도깨비족",154,"",??,"렘"
"독설을 내뱉는 도깨비족 언니 메이드",17,0,2,"독서",?,???,2,"","무라카와 리에",109801,"도깨비족",154,"",??,"람"
"은발의 느긋한 하프엘프",114,0,23,"팩의 털 고르기, 공부",?,???,9,"","타카하시 리에",109901,"하프엘프",164,"",??,"에밀리아"
"천진난만한 인기 카리스마 모델",18,0,10,"패션",O,"루센트 학원",4,"히데사이, 하이욤~!\n난 한자랑 계산은 쫌… 이랄까 겁나 답없어~\n그치만 패션은 맡겨달라고~!","우에사카 스미레",110001,"마족",167,14,48,"스즈나(여름)"
"남자를 매료시키는 순수한 여교사",23,0,14,"연애 소설, 연애극, 연애 만화 감상",B,"루센트 학원",8,"항상 구해줘서 고마워\n내가 연상인데 항상 의지만 해서 미안해~","이토 시즈카",110101,"마족",162,14,52,"이오(여름)"
"약간은 조숙한 연애를 동경하는 소녀",11,0,3,"패션 잡지 보기, 화장품 수집",A,"루센트 학원",1,"","쿠노 미사키",110201,"마족",120,14,22,"미사키(여름)"
"구호원을 경영하는 상냥한 서민파 아가씨",17,0,4,"경영, 다도회",A,"사렌디아 구호원",10,"궁상맞다고?\n아니, 「아깝다」는 마음으로\n하루하루를 살고 있을 뿐이야! ","호리에 유이",110301,"엘프족",156,9,43,"사렌(여름)"
"늠름하고 정이 많은 와일드한 소녀",17,0,9,"과자 만들기",O,"자경단(카온)",8,"배고프면 말해\n간단한 거라도 좋다면\n엄청 맛있는 거 먹게 해줄게!","코마츠 미카코",110401,"수인족",168,10,54,"마코토(여름)"
"항상 「어떻게든 될 거야~」라는 천진난만한 소녀",19,0,7,"댄스, 공수도",A,"자경단(카온)",7,"안녀~엉! 노래하고 춤추고\n최고로 신난다~! 자자, 너도 같이 춤추자~!","타카모리 나츠미",110501,"수인족",158,10,53,"카오리(여름)"
"마호마호 왕국의 공주",16,0,22,"공상에 잠기기, 인형 수집",O,"자경단(카온)",9,"마호마호 왕국의 공주인 마호 공주이옵니다!\n왜 이상한 표정을 짓고 계시옵니까?\n마호마호 왕국은 저 먼 곳에 있는 나라이옵니다","우치다 마아야",110601,"수인족",155,10,42,"마호(여름)"
"「친구」를 사귀고 싶어 하는 엘프 숲의 소녀",13,0,6,"친구를 만드는 이미지 트레이닝",AB,"포레스티에",6,"","하나자와 카나",110701,"엘프족",158,6,44,"아오이(편입생)"
"다운타운에서 자란 어두운 분위기의 엘프",17,0,7,"다트",O,"성 테레사 여학원(단짝부)",8,"","타네자키 아츠미",110801,"엘프족",154,16,42,"클로에"
"자유분방, 내추럴하고, 무례한 요즘 아이",16,0,15,"댄스, 노래방",O,"성 테레사 여학원(단짝부)",9,"","사쿠라 아야네",110901,"휴먼족",156,16,46,"치에루"
"서고에 잠든 작은 현자",18,0,28,"독서",O,"성 테레사 여학원(단짝부)",2,"","코하라 코노미",111001,"휴먼족",142,16,36,"유니"
"예의 바르고 착실한 꼬마 우등생",8,0,2,"공부",A,"리틀 리리컬",2,"","오구라 유이",111101,"엘프족",118,5,21,"쿄우카(할로윈)"
"탐험을 좋아하는 장난꾸러기",9,0,10,"장난, 탐험",O,"리틀 리리컬",8,"함정이라면 맡겨줘!\n오빠, 빠지지 않도록 조심해~♪","모로호시 스미레",111201,"휴먼족",128,5,27,"미소기(할로윈)"
"노래도 당근도 토끼도 너무 좋아♪",10,0,3,"귀여운 것 수집하기",O,"리틀 리리컬",4,"깡총깡총, 토끼가 되고 싶어~♪\n미미, 토끼가 되면\n맨 처음으로 오빠한테 보여줄게!","히다카 리나",111301,"수인족",117,5,21,"미미(할로윈)"
"친구를 찾는 사령술사 소녀",??,0,8,"「친구」 찾기",?,???,1,"","오구라 유이",111401,"휴먼족",142,"",28,"루나"
"방약무인한 왕궁기사단 부단장",27,0,7,"강적과의 투쟁",O,"왕궁기사단(NIGHTMARE)",2,"","타카하시 치아키",111501,"휴먼족",165,8,??,"크리스티나(크리스마스)"
"가창력과 안무를 겸비한 대인기 아이돌",17,0,24,"무대 감상, 댄스",B,"카르미나",1,"","히카사 요코",111601,"휴먼족",157,4,40,"노조미(크리스마스)"
"한때 밤을 지배했던 최강의 뱀파이어",??,0,5,"세계 정복",A,"악마왕국군(디아볼로스)",5,"","탄게 사쿠라",111701,"마족",172,7,50,"이리야(크리스마스)"
"언제나 명랑한 먹보 소녀",17,0,31,"맛집 탐방, 요리",O,"미식전",3,"저, 저기… 뭔가 먹을 거 없나요?\n벌써 배가 꼬르륵거려요…","MㆍAㆍO",111801,"휴먼족",156,1,46,"페코린느(새해)"
"주인님을 모시는 꼬마 가이드",11,0,11,"명상, 동식물 기르기",B,"미식전",5,"주인님의 가이드 역을 맡게 되었습니다\n주인님이 만족하실 수 있도록\n성심성의를 다해 모시도록 하겠습니다","이토 미쿠",111901,"엘프족",140,1,35,"콧코로(새해)"
"길가에 쓰러진 의문의 고양이 귀를 가진 마법사",14,0,2,"고양이와 놀기",A,"미식전",9,"뭘 꾸물거리고 있는 거야\n할 수 없으니, 내가 도와줄게\n알겠어? 고마워하라구!","타치바나 리카",112001,"수인족",152,1,39,"캬루(새해)"
