order,name,active_trigger_id_2,is_leader,passive_support_id_3,passive_support_id_1,active_trigger_id_1,skin_id,effect_title,effect_description,passive_support_id_2,bsm_chara_id,unlock_solo_mode_id
1,"와카나",0,1,0,0,3110201,130111,"스파이크・브라더스가 적을 튕겨 낸다","남은 HP가 70％ 이하가 됐을 때 발동한다.\n스파이크・브라더스가 출현하고, 적에게 충돌\n하면 (소) 데미지를 입히고 날려 버린다.",0,101002,0
1,"후부키",0,1,0,0,2110301,130211,"적의 이동과 공격을 1초간 막는다","전투 시작 3초 후에 발동한다.\n적의 이동과 공격을 1초간 막는다.",0,101003,0
2,"페코린느",0,1,0,20101001,0,105811,"최대 HP 증가","최대 HP를 15％ 증가시킨다.",0,201010,0
2,"캬루",0,1,0,0,2220201,106011,"적의 이동 속도 감소","전투 시작부터 3초간 적의 이동 속도를 15％\n감소시킨다.",0,201020,0
2,"콧코로",0,1,0,20103001,0,105911,"비용 상한 증가","비용 상한을 50％ 증가시킨다.",0,201030,0
3,"셰피",0,1,0,0,2220401,106411,"이동 속도 증가","이동 속도를 15％ 증가시킨다.",0,201040,0
2,"리리",0,1,0,20105001,2220501,131311,"공격력과 이동 속도 증가","공격력을 25％ 증가시키고 이동 속도를 10％\n증가시킨다.",0,201050,0
2,"크리아",0,1,0,20106001,2220601,131411,"최대 HP와 이동 속도 증가","최대 HP를 25％ 증가시키고 이동 속도를 10％\n증가시킨다.",0,201060,0
2,"프레시아",0,1,0,20107001,2220701,131511,"비용 상한과 이동 속도 증가","비용 상한을 25％ 증가시키고 이동 속도를 \n10％ 증가시킨다.",0,201070,0
2,"클로체",0,1,0,20108001,2220801,126411,"공격력과 공격 속도 증가","공격력을 25％ 증가시키고 전투 시작부터 \n3초간 공격 속도를 15％ 증가시킨다.",0,201080,0
3,"라이라엘",0,1,0,0,2220901,126511,"공격력 증가","전투 시작부터 3초간 공격력을 25％ 증가\n시킨다.",0,201090,0
2,"린드",0,1,0,0,2221001,127711,"공격 속도와 공격력 증가","전투 시작부터 3초간 공격 속도를 10％ 증가\n시키고 그 후 공격력을 15％ 증가시킨다.",0,201100,0
2,"블룸",0,1,0,0,2221101,127811,"자신의 공격 속도와 적의 공격력 감소","전투 시작부터 3초간 자신의 공격 속도를 10\n％ 감소시키고 그 후 적의 공격력을 15％ 감\n소시킨다.",0,201110,0
3,"쿠루루",0,1,0,20112001,0,130911,"비용 상한과 HP 증가","비용 상한을 25％ 증가시키고 HP를 50％\n증가시킨다.",20112002,201120,0
2,"아네모네",0,1,0,0,2221301,129611,"상대의 공격력과 공격 속도 감소","적의 공격력과 공격 속도를 10％ 감소시킨다.",0,201130,0
3,"네피＝네라",0,1,0,0,2221401,129711,"상대의 이동 속도 감소","전투 시작부터 1.5초간 적의 이동 속도를 \n25％ 감소시킨다.",0,201140,0
2,"페코린느",0,1,0,20115001,0,105811,"최대 HP 증가","최대 HP를 30％ 증가시킨다.",0,201150,0
2,"캬루",0,1,0,0,2221601,106011,"적의 이동 속도 감소","전투 시작부터 3초간 적의 이동 속도를 20％\n감소시킨다.",0,201160,0
2,"콧코로",0,1,0,20117001,0,105911,"비용 상한 증가","비용 상한을 75％ 증가시킨다.",0,201170,0
3,"셰피",0,1,0,0,2221801,106411,"이동 속도 증가","이동 속도를 20％ 증가시킨다.",0,201180,0
2,"리리",0,1,0,20119001,2221901,131311,"공격력과 이동 속도 증가","공격력을 50％ 증가시키고 이동 속도를 15％\n증가시킨다.",0,201190,0
2,"크리아",0,1,0,20120001,2222001,131411,"최대 HP와 이동 속도 증가","최대 HP를 50％ 증가시키고 이동 속도를 15％\n증가시킨다.",0,201200,0
2,"프레시아",0,1,0,20121001,2222101,131511,"비용 상한과 이동 속도 증가","비용 상한을 30％ 증가시키고 이동 속도를 \n15％ 증가시킨다.",0,201210,0
2,"클로체",0,1,0,20122001,2222201,126411,"공격력과 공격 속도 증가","공격력을 50％ 증가시키고 전투 시작부터 \n3초간 공격 속도를 20％ 증가시킨다.",0,201220,0
3,"라이라엘",0,1,0,0,2222301,126511,"공격력 증가","전투 시작부터 3초간 공격력을 30％ 증가\n시킨다.",0,201230,0
2,"린드",0,1,0,0,2222401,127711,"공격 속도와 공격력 증가","전투 시작부터 3초간 공격 속도를 15％ 증가\n시키고 그 후 공격력을 20％ 증가시킨다.",0,201240,0
2,"블룸",0,1,0,0,2222501,127811,"자신의 공격 속도와 적의 공격력 감소","전투 시작부터 3초간 자신의 공격 속도를 10\n％ 감소시키고 그 후 적의 공격력을 20％ 감\n소시킨다.",0,201250,0
3,"쿠루루",0,1,0,20126001,0,130911,"비용 상한과 HP 증가","비용 상한을 30％ 증가시키고 HP를 50％\n증가시킨다.",20126002,201260,0
2,"아네모네",0,1,0,0,2222701,129611,"상대의 공격력과 공격 속도 감소","적의 공격력과 공격 속도를 15％ 감소시킨다.",0,201270,0
3,"네피＝네라",0,1,0,0,2222801,129711,"상대의 이동 속도 감소","전투 시작부터 1.5초간 적의 이동 속도를 \n35％ 감소시킨다.",0,201280,0
2,"리리",0,1,0,20129001,2222901,131311,"공격력과 이동 속도 증가","공격력을 50％ 증가시키고 이동 속도를 20％\n증가시킨다.",0,201290,0
2,"린드",0,1,0,0,2223001,127711,"공격 속도와 공격력 증가","전투 시작부터 3초간 공격 속도를 20％ 증가\n시키고 그 후 공격력을 50％ 증가시킨다.",0,201300,0
2,"페코린느",0,1,0,20131001,0,105811,"최대 HP 증가","최대 HP를 50％ 증가시킨다.",0,201310,0
2,"캬루",0,1,0,0,2223201,106011,"적의 이동 속도 감소","전투 시작부터 3초간 적의 이동 속도를 25％\n감소시킨다.",0,201320,0
2,"콧코로",0,1,0,20133001,0,105911,"비용 상한 증가","비용 상한을 100％ 증가시킨다.",0,201330,0
3,"셰피",0,1,0,0,2223401,106411,"이동 속도 증가","이동 속도를 25％ 증가시킨다.",0,201340,0
2,"리리",0,1,0,20135001,2223501,131311,"공격력과 이동 속도 증가","공격력을 50％ 증가시키고 이동 속도를 20％\n증가시킨다.",0,201350,0
2,"크리아",0,1,0,20136001,2223601,131411,"최대 HP와 이동 속도 증가","최대 HP를 50％ 증가시키고 이동 속도를 20％\n증가시킨다.",0,201360,0
2,"프레시아",0,1,0,20137001,2223701,131511,"비용 상한과 이동 속도 증가","비용 상한을 50％ 증가시키고 이동 속도를 \n20％ 증가시킨다.",0,201370,0
2,"클로체",0,1,0,20138001,2223801,126411,"공격력과 공격 속도 증가","공격력을 50％ 증가시키고 전투 시작부터 \n3초간 공격 속도를 25％ 증가시킨다.",0,201380,0
3,"라이라엘",0,1,0,0,2223901,126511,"공격력 증가","전투 시작부터 3초간 공격력을 35％ 증가\n시킨다.",0,201390,0
2,"린드",0,1,0,0,2224001,127711,"공격 속도와 공격력 증가","전투 시작부터 3초간 공격 속도를 20％ 증가\n시키고 그 후 공격력을 25％ 증가시킨다.",0,201400,0
2,"블룸",0,1,0,0,2224101,127811,"자신의 공격 속도와 적의 공격력 감소","전투 시작부터 3초간 자신의 공격 속도를 10\n％ 감소시키고 그 후 적의 공격력을 25％ 감\n소시킨다.",0,201410,0
3,"쿠루루",0,1,0,20142001,0,130911,"비용 상한과 HP 증가","비용 상한을 50％ 증가시키고 HP를 50％\n증가시킨다.",20142002,201420,0
2,"아네모네",0,1,0,0,2224301,129611,"상대의 공격력과 공격 속도 감소","적의 공격력과 공격 속도를 20％ 감소시킨다.",0,201430,0
3,"네피＝네라",0,1,0,0,2224401,129711,"상대의 이동 속도 감소","전투 시작부터 1.5초간 적의 이동 속도를 \n75％ 감소시킨다.",0,201440,0
2,"페코린느",0,1,0,20145001,0,105811,"최대 HP 증가","최대 HP를 100％ 증가시킨다.",0,201450,0
2,"콧코로",0,1,0,20146001,0,105911,"비용 상한 증가","비용 상한을 100％ 증가시킨다.",0,201460,0
2,"리리",0,1,0,20147001,2224701,131311,"공격력과 이동 속도 증가","공격력을 75％ 증가시키고 이동 속도를 30％\n증가시킨다.",0,201470,0
3,"라이라엘",0,1,0,0,2224801,126511,"공격력 증가","전투 시작부터 3초간 공격력을 75％ 증가\n시킨다.",0,201480,0
3,"네피＝네라",0,1,0,0,2224901,129711,"상대의 이동 속도 감소","전투 시작부터 1.5초간 적의 이동 속도를 \n90％ 감소시킨다.",0,201490,0
2,"페코린느",0,1,0,20150001,0,105811,"최대 HP 증가","최대 HP를 200％ 증가시킨다.",0,201500,0
