command_id,param_01,param_02,param_05,drama_id,command_type,param_03,param_08,param_06,param_04,param_07
121010015,1,0,"",2101,93,"","","","",""
122010001,11,998,1,2201,31,0,"",0,0,""
122010002,13,997,1,2201,31,0,"",0,0,""
122010003,15,996,1,2201,31,0,"",0,0,""
122010004,31000001,0,"",2201,32,"","","","",""
122010005,31000002,0,"",2201,32,"","","","",""
122010006,1,1,"",2201,35,"","","","",""
122010007,3,1,"",2201,35,"","","","",""
122010008,1000001,pointing,"",2201,3,0,"",0,"",""
122010009,1,0,"",2201,93,"","","","",""
122010010,-505,100,2,2201,121,1.47,"",0,1.47,""
122010011,1000001,run_talk1,"",2201,3,1,"",0.2,"",""
122010012,1000001,100,0,2201,2,-240,"","",1,""
122010013,se_travel,se_travel_treasure_cha_run,"",2201,23,0,"","","",""
122010014,1,0,"",2201,93,"","","","",""
130000001,300000,300000,1,3000,31,345.4,"",0,0,""
130000002,0,"","",3000,91,"","","","",""
130000003,1.05,1.05,7.4,3000,123,1.05,"",0,1.05,""
130000004,1000001,wait,"",3000,3,0,"",0.2,"",""
130000005,2,1,"",3000,35,"","","","",""
130000006,4.9,0,"",3000,93,"","","","",""
130000007,0.95,0.95,0.4,3000,123,0.95,"",0,0.95,""
130000008,300000,1,"",3000,32,"","","","",""
130000009,0.1,0,"",3000,93,"","","","",""
130000010,2,0,"",3000,32,"","","","",""
130000011,0.1,0,"",3000,93,"","","","",""
130000012,996,1,"",3000,32,"","","","",""
130000013,1000001,joy_from_wait,"",3000,3,0,"",0,"",""
130000014,1.9,0,"",3000,93,"","","","",""
130000015,1000001,glad_from_joy,"",3000,3,0,"",0,"",""
130000016,1.5,0,"",3000,93,"","","","",""
130000017,1000001,run_gatein,"",3000,3,1,"",0.2,"",""
130000018,se_travel,se_travel_treasure_cha_run,"",3000,23,"","","","",""
130000019,1000001,450,0,3000,2,-195,"","",1,""
130000020,0.5,1,"",3000,93,"","","","",""
130000021,1000001,1,0,3000,6,1,"",0.4,1,0
130000022,0.4,0,"",3000,93,"","","","",""
130000023,1,"","",3000,113,"","","","",""
130010001,300100,300100,1,3001,31,345.4,"",0,0,""
130010002,990001,990001,1,3001,31,345.4,"",1,0,""
130010003,0,"","",3001,91,"","","","",""
130010004,1.05,1.05,7.4,3001,123,1.05,"",0,1.05,""
130010005,1000001,wait,"",3001,3,0,"",0.2,"",""
130010006,2,1,"",3001,35,"","","","",""
130010007,5.4,0,"",3001,93,"","","","",""
130010008,0.95,0.95,0.4,3001,123,0.95,"",0,0.95,""
130010009,1000001,glad,"",3001,3,0,"",0.2,"",""
130010010,300100,1,"",3001,32,"","","","",""
130010011,996,1,"",3001,32,"","","","",""
130010012,0.1,0,"",3001,93,"","","","",""
130010013,2,0,"",3001,32,"","","","",""
130010014,3,0,"",3001,32,"","","","",""
130010015,1.5,0,"",3001,93,"","","","",""
130010016,1000001,joy,"",3001,3,0,"",0.2,"",""
130010017,1.7,0,"",3001,93,"","","","",""
130010018,1000001,run_gatein,"",3001,3,1,"",0,"",""
130010019,1000001,450,0,3001,2,-195,"","",1,""
130010020,0.5,1,"",3001,93,"","","","",""
130010021,1000001,1,0,3001,6,1,"",0.4,1,0
130010022,0.4,0,"",3001,93,"","","","",""
130010023,1,"","",3001,113,"","","","",""
130020001,300100,300100,1,3002,31,345.4,"",0,0,""
130020002,990002,990002,1,3002,31,345.4,"",1,0,""
130020003,0,"","",3002,91,"","","","",""
130020004,1.05,1.05,7.4,3002,123,1.05,"",0,1.05,""
130020005,1000001,wait,"",3002,3,0,"",0.2,"",""
130020006,2,1,"",3002,35,"","","","",""
130020007,5.4,0,"",3002,93,"","","","",""
130020008,0.95,0.95,0.4,3002,123,0.95,"",0,0.95,""
130020009,1000001,glad,"",3002,3,0,"",0.2,"",""
130020010,300100,1,"",3002,32,"","","","",""
130020011,996,1,"",3002,32,"","","","",""
130020012,0.1,0,"",3002,93,"","","","",""
130020013,2,0,"",3002,32,"","","","",""
130020014,3,0,"",3002,32,"","","","",""
130020015,1.5,0,"",3002,93,"","","","",""
130020016,1000001,joy,"",3002,3,0,"",0.2,"",""
130020017,1.7,0,"",3002,93,"","","","",""
130020018,1000001,run_gatein,"",3002,3,1,"",0,"",""
130020019,1000001,450,0,3002,2,-195,"","",1,""
130020020,0.5,1,"",3002,93,"","","","",""
130020021,1000001,1,0,3002,6,1,"",0.4,1,0
130020022,0.4,0,"",3002,93,"","","","",""
130020023,1,"","",3002,113,"","","","",""
130110001,6,6,1,3011,31,345.4,"",0,0,""
130110002,8,8,1,3011,31,345.4,"",0,0,""
130110003,301100,301100,1,3011,31,345.4,"",0,0,""
130110004,0,"","",3011,91,"","","","",""
130110005,1.05,1.05,7.4,3011,123,1.05,"",0,1.05,""
130110006,1000001,wait,"",3011,3,0,"",0.2,"",""
130110007,2,1,"",3011,35,"","","","",""
130110008,4.9,0,"",3011,93,"","","","",""
130110009,0.95,0.95,0.3,3011,123,0.95,"",0,0.95,""
130110010,se_travel,se_travel_treasure_ghost_success,"",3011,23,0,"","","",""
130110011,8,1,"",3011,32,"","","","",""
130110012,8,0,"",3011,35,"","","","",""
130110013,6,1,"",3011,32,"","","","",""
130110014,0.1,0,"",3011,93,"","","","",""
130110015,2,0,"",3011,32,"","","","",""
130110016,3,0,"",3011,32,"","","","",""
130110017,1000001,dotEyes,"",3011,3,0,"","","",""
130110018,0.87,0,"",3011,93,"","","","",""
130110019,1000001,glad,"",3011,3,0,"",0.2,"",""
130110020,301100,1,"",3011,32,"","","","",""
130110021,8,1,"",3011,35,"","","","",""
130110022,0.6,0,"",3011,93,"","","","",""
130110023,996,1,"",3011,32,"","","","",""
130110024,0.5,0,"",3011,93,"","","","",""
130110025,1000001,joy,"",3011,3,0,"","","",""
130110026,1.67,0,"",3011,93,"","","","",""
130110027,1000001,run_gatein,"",3011,3,1,"",0,"",""
130110028,1000001,450,0,3011,2,-195,"","",1,""
130110029,0.5,1,"",3011,93,"","","","",""
130110030,1000001,1,0,3011,6,1,"",0.4,1,0
130110031,0.4,0,"",3011,93,"","","","",""
130110032,1,"","",3011,113,"","","","",""
130120001,1000001,idle,"",3012,3,1,"",0.2,"",""
130120002,301200,13,1,3012,31,0,"",0,0,""
130120003,101,14,1,3012,31,0,"",0,0,""
130120004,301204,16,1,3012,31,260,"",0,-150,""
130120005,301205,17,1,3012,31,0,"",0,0,""
130120006,6,18,1,3012,31,345.4,"",0,0,""
130120007,301201,20,1,3012,31,345.4,"",0,0,""
130120008,301202,21,1,3012,31,345.4,"",0,0,""
130120009,1,3,-234,3012,5,55,round_monster_walk,1,9340,0
130120010,0,"","",3012,91,"","","","",""
130120011,3,1,0,3012,6,1,"",0,1,0
130120012,3,345,0,3012,2,-234,"",0,0,0
130120013,1.05,1.05,7.4,3012,123,1.05,"",0,1.05,0
130120014,1000001,wait,"",3012,3,0,"",0.2,"",""
130120015,2,1,"",3012,35,"","","","",""
130120016,301203,15,1,3012,31,0,"",0,0,""
130120017,2,1000002,-250,3012,1,57,<weapon>_run,0.89,9340,0
130120018,4.3,0,"",3012,93,"","","","",""
130120019,0.95,0.95,0.4,3012,123,0.95,"",0,0.95,""
130120020,21,1,"",3012,32,"","","","",""
130120021,21,0,"",3012,35,"","","","",""
130120022,se_travel,se_travel_treasure_success_monster_helper_1,"",3012,23,"","","","",""
130120023,18,1,"",3012,32,"","","","",""
130120024,0.1,0,"",3012,93,"","","","",""
130120025,2,0,"",3012,32,"","","","",""
130120026,3,1,1,3012,6,1,"",0.3,1,0
130120027,13,1,"",3012,32,"","","","",""
130120028,3,round_monster_appear,"",3012,3,0,"","","",""
130120029,1000001,back,"",3012,3,0,"","","",""
130120030,0.67,0,"",3012,93,"","","","",""
130120031,3,round_monster_walk,"",3012,3,0,"",0.2,"",""
130120032,3,220,0,3012,2,-234,"","",1.4,""
130120033,20,1,"",3012,32,"","","","",""
130120034,0.1,0,"",3012,93,"","","","",""
130120035,18,0,"",3012,32,"","","","",""
130120036,0.5,0,"",3012,93,"","","","",""
130120037,1000002,1,"",3012,4,"","","","",""
130120038,1000002,1445,0,3012,2,-240,"","",0,""
130120039,0.5,0,"",3012,93,"","","","",""
130120040,3,round_monster_attack,"",3012,3,0,"",0.3,"",""
130120041,0.5,0,"",3012,93,"","","","",""
130120042,17,1,"",3012,32,"","","","",""
130120043,1000001,back_loop,"",3012,3,0,"",0.1,"",""
130120044,0.5,0,"",3012,93,"","","","",""
130120045,1000002,950,0,3012,2,-240,"","",0,""
130120046,1000002,650,0,3012,2,-240,"","",0.16,""
130120047,1000002,<weapon>_run,"",3012,3,0,"",0.2,"",""
130120048,0.16,0,"",3012,93,"","","","",""
130120049,1000002,<weapon>_attack_skipQuest,"",3012,3,0,"",0.2,"",""
130120050,0.1,0,"",3012,93,"","","","",""
130120051,3,280,0,3012,2,-234,"","",0,""
130120052,3,1,"",3012,4,"","","","",""
130120053,3,round_monster_die,"",3012,3,0,"",0.2,"",""
130120054,16,1,"",3012,32,"","","","",""
130120055,0.5,0,"",3012,93,"","","","",""
130120056,1000001,20,0,3012,2,-240,"","",0,""
130120057,1000001,back_origin,"",3012,3,0,"",0,"",""
130120058,1000001,surprise,"",3012,3,0,"",0.2,"",""
130120059,1000002,<weapon>_idle,"",3012,3,1,"",0.2,"",""
130120060,0.66,0,"",3012,93,"","","","",""
130120061,15,1,"",3012,32,"","","","",""
130120062,996,1,"",3012,32,"","","","",""
130120063,3,1,0,3012,6,1,"",0.6,1,""
130120064,1000001,joy_short,"",3012,3,0,"",0.2,"",""
130120065,18,1,"",3012,32,"","","","",""
130120066,0.02,0,"",3012,93,"","","","",""
130120067,20,0,"",3012,32,"","","","",""
130120068,21,0,"",3012,32,"","","","",""
130120069,1.5,0,"",3012,93,"","","","",""
130120070,1000001,smile,"",3012,3,0,"",0.2,"",""
130120071,1000002,<weapon>_run,"",3012,3,1,"",0,"",""
130120072,1000002,0,"",3012,4,"","","","",""
130120073,1000002,1500,0,3012,2,-250,"","",2,""
130120074,1,0,"",3012,93,"","","","",""
130120075,1000002,1,0,3012,6,1,"",0.2,1,""
130120076,1000001,run_gatein,"",3012,3,1,"",0.2,"",""
130120077,1000001,360,0,3012,2,-200,"","",1,""
130120078,0.5,0,"",3012,93,"","","","",""
130120079,1000001,1,0,3012,6,1,"",0.4,1,""
130120080,0.4,0,"",3012,93,"","","","",""
130120081,1,0,"",3012,113,"","","","",""
130130001,301300,301300,1,3013,31,345.4,"",0,0,""
130130002,0,"","",3013,91,"","","","",""
130130003,1000001,wait_gradeUp,"",3013,3,0,"",0.2,"",""
130130004,301300,1,"",3013,32,"","","","",""
130130005,0.1,0,"",3013,93,"","","","",""
130130006,2,0,"",3013,32,"","","","",""
130130007,0.8,0,"",3013,93,"","","","",""
130130008,1.05,1.05,0,3013,123,1.05,"",0,1.05,""
130130009,5,5,"",3013,122,0.5,"","","",""
130130010,1.1,0,"",3013,93,"","","","",""
130130011,1.05,1.05,0,3013,123,1.05,"",0,1.05,""
130130012,10,10,"",3013,122,0.5,"","","",""
130130013,0.8,0,"",3013,93,"","","","",""
130130014,1000001,glad,"",3013,3,0,"",0.2,"",""
130130015,0.1,0,"",3013,93,"","","","",""
130130016,0.907,0.907,2,3013,123,0.907,"",2,0.907,""
130130017,0.3,0,"",3013,93,"","","","",""
130130018,996,1,"",3013,32,"","","","",""
130130019,0.5,0,"",3013,93,"","","","",""
130130020,1000001,joy,"",3013,3,0,"",0.2,"",""
130130021,1.7,0,"",3013,93,"","","","",""
130130022,1000001,run_gatein,"",3013,3,1,"",0,"",""
130130023,1000001,450,0,3013,2,-195,"","",1,""
130130024,0.5,1,"",3013,93,"","","","",""
130130025,1000001,1,0,3013,6,1,"",0.4,1,0
130130026,0.4,0,"",3013,93,"","","","",""
130130027,1,"","",3013,113,"","","","",""
130140001,301400,301400,1,3014,31,345.4,"",0,0,""
130140002,0,"","",3014,91,"","","","",""
130140003,1.05,1.05,7.4,3014,123,1.05,"",0,1.05,""
130140004,1000001,wait,"",3014,3,0,"",0.2,"",""
130140005,301400,1,"",3014,32,"","","","",""
130140006,0.1,0,"",3014,93,"","","","",""
130140007,2,0,"",3014,32,"","","","",""
130140008,3.4,0,"",3014,93,"","","","",""
130140009,0.95,0.95,3.2,3014,123,0.95,"",5,0.95,""
130140010,1.6,0,"",3014,93,"","","","",""
130140011,1000001,relief,"",3014,3,0,"",0.2,"",""
130140012,996,1,"",3014,32,"","","","",""
130140013,1.7,0,"",3014,93,"","","","",""
130140014,1000001,run_gatein,"",3014,3,1,"",0,"",""
130140015,1000001,450,0,3014,2,-195,"","",1,""
130140016,0.5,1,"",3014,93,"","","","",""
130140017,1000001,1,0,3014,6,1,"",0.4,1,0
130140018,0.4,0,"",3014,93,"","","","",""
130140019,1,"","",3014,113,"","","","",""
130150001,301501,301501,1,3015,31,345.4,"",0,0,""
130150002,301500,301500,1,3015,31,345.4,"",1,0,""
130150003,0,"","",3015,91,"","","","",""
130150004,1.05,1.05,7.4,3015,123,1.05,"",0,1.05,""
130150005,1000001,wait_wakuwaku,"",3015,3,0,"",0.2,"",""
130150006,2,1,"",3015,35,"","","","",""
130150007,5.4,0,"",3015,93,"","","","",""
130150008,0.95,0.95,0.4,3015,123,0.95,"",0,0.95,""
130150009,1000001,glad,"",3015,3,0,"",0.2,"",""
130150010,301501,1,"",3015,32,"","","","",""
130150011,996,1,"",3015,32,"","","","",""
130150012,0.1,0,"",3015,93,"","","","",""
130150013,2,0,"",3015,32,"","","","",""
130150014,3,0,"",3015,32,"","","","",""
130150015,1.5,0,"",3015,93,"","","","",""
130150016,1000001,joy,"",3015,3,0,"",0.2,"",""
130150017,1.7,0,"",3015,93,"","","","",""
130150018,1000001,run_gatein,"",3015,3,1,"",0,"",""
130150019,1000001,450,0,3015,2,-195,"","",1,""
130150020,0.5,1,"",3015,93,"","","","",""
130150021,1000001,1,0,3015,6,1,"",0.4,1,0
130150022,0.4,0,"",3015,93,"","","","",""
130150023,1,"","",3015,113,"","","","",""
130160001,6,6,1,3016,31,345.4,"",0,0,""
130160002,8,8,1,3016,31,345.4,"",0,0,""
130160003,301600,301600,1,3016,31,345.4,"",0,-80,""
130160004,301601,301601,1,3016,31,345.4,"",0,0,""
130160005,990002,990002,1,3016,31,345.4,"",1,0,""
130160006,0,"","",3016,91,"","","","",""
130160007,1.05,1.05,7.4,3016,123,1.05,"",0,1.05,""
130160008,1000001,wait,"",3016,3,0,"",0.2,"",""
130160009,2,1,"",3016,35,"","","","",""
130160010,5.4,0,"",3016,93,"","","","",""
130160011,0.95,0.95,0.4,3016,123,0.95,"",0,0.95,""
130160012,8,1,"",3016,32,"","","","",""
130160013,8,0,"",3016,35,"","","","",""
130160014,301600,1,"",3016,32,"","","","",""
130160015,6,1,"",3016,32,"","","","",""
130160016,0.1,0,"",3016,93,"","","","",""
130160017,2,0,"",3016,32,"","","","",""
130160018,3,0,"",3016,32,"","","","",""
130160019,1000001,glad,"",3016,3,0,"",0.1,"",""
130160020,se_travel,se_travel_treasure_success_butterfly,"",3016,23,0,"","","",""
130160021,0.5,0,"",3016,93,"","","","",""
130160022,8,1,"",3016,35,"","","","",""
130160023,1.1,0,"",3016,93,"","","","",""
130160024,301601,1,"",3016,32,"","","","",""
130160025,996,1,"",3016,32,"","","","",""
130160026,1000001,joy,"",3016,3,0,"",0.2,"",""
130160027,1.67,0,"",3016,93,"","","","",""
130160028,1000001,run_gatein,"",3016,3,1,"",0,"",""
130160029,se_travel,se_travel_treasure_cha_run,"",3016,23,0,"","","",""
130160030,1000001,450,0,3016,2,-195,"","",1,""
130160031,0.5,1,"",3016,93,"","","","",""
130160032,1000001,1,0,3016,6,1,"",0.4,1,0
130160033,0.4,0,"",3016,93,"","","","",""
130160034,1,"","",3016,113,"","","","",""
130170001,310000,310000,1,3017,31,345.4,"",0,0,""
130170002,310001,310001,1,3017,31,0,"",0,0,""
130170003,301700,301700,1,3017,31,345.4,"",0,0,""
130170004,301701,301701,1,3017,31,740,"",0,-115,""
130170005,301702,301702,1,3017,31,345.4,"",0,0,""
130170006,301703,301703,1,3017,31,345.4,"",0,0,""
130170007,5,15,-235,3017,5,100,empty,0.44,610,0
130170008,5,16,-235,3017,5,55,empty,0.44,610,0
130170009,0,"","",3017,91,"","","","",""
130170010,1.05,1.05,7.4,3017,123,1.05,"",0,1.05,""
130170011,1000001,wait,"",3017,3,0,"",0.2,"",""
130170012,2,1,"",3017,35,"","","","",""
130170013,5.4,0,"",3017,93,"","","","",""
130170014,0.95,0.95,0.3,3017,123,0.95,"",0,0.95,""
130170015,310000,1,"",3017,32,"","","","",""
130170016,310001,1,"",3017,32,"","","","",""
130170017,0.2,0,"",3017,93,"","","","",""
130170018,50,50,"",3017,122,0.6,"","","",""
130170019,1000001,shock,"",3017,3,0,"",0.2,"",""
130170020,1.6,0,"",3017,93,"","","","",""
130170021,301700,1,"",3017,32,"","","","",""
130170022,1.2,0,"",3017,93,"","","","",""
130170023,se_travel,se_travel_treasure_croce_ui,"",3017,23,0,"","","",""
130170024,15,punch,"",3017,3,0,"","","",""
130170025,16,punch_B,"",3017,3,0,"","","",""
130170026,0.2,0,"",3017,93,"","","","",""
130170027,1.05,1.05,0.1,3017,123,1.05,"",11,1.05,""
130170028,0.1,0,"",3017,93,"","","","",""
130170029,0.95,0.95,0.3,3017,123,0.95,"",0,0.95,""
130170030,1,0,"",3017,93,"","","","",""
130170031,se_travel,se_travel_treasure_croce_door,"",3017,23,0,"","","",""
130170032,0.4,0,"",3017,93,"","","","",""
130170033,301701,1,"",3017,32,"","","","",""
130170034,0.9,0,"",3017,93,"","","","",""
130170035,1.05,1.05,0,3017,123,1.05,"",0,1.05,""
130170036,75,75,"",3017,122,0.6,"","","",""
130170037,301702,1,"",3017,32,"","","","",""
130170038,0.4,0,"",3017,93,"","","","",""
130170039,2,0,"",3017,32,"","","","",""
130170040,310000,0,"",3017,32,"","","","",""
130170041,0.4,0,"",3017,93,"","","","",""
130170042,0.95,0.95,2,3017,123,0.95,"",11,0.95,""
130170043,0.2,0,"",3017,93,"","","","",""
130170044,1000001,glad,"",3017,3,0,"",0.2,"",""
130170045,301703,1,"",3017,32,"","","","",""
130170046,0.1,0,"",3017,93,"","","","",""
130170047,996,1,"",3017,32,"","","","",""
130170048,0.9,0,"",3017,93,"","","","",""
130170049,1000001,joy,"",3017,3,0,"",0.2,"",""
130170050,1.7,0,"",3017,93,"","","","",""
130170051,1000001,run_gatein,"",3017,3,1,"",0,"",""
130170052,se_travel,se_travel_treasure_cha_run,"",3017,23,"","","","",""
130170053,1000001,450,0,3017,2,-195,"","",1,""
130170054,0.5,1,"",3017,93,"","","","",""
130170055,1000001,1,0,3017,6,1,"",0.4,1,0
130170056,0.4,0,"",3017,93,"","","","",""
130170057,1,"","",3017,113,"","","","",""
131000001,310000,310000,1,3100,31,345.4,"",0,0,""
131000002,310001,310001,1,3100,31,0,"",0,0,""
131000003,0,"","",3100,91,"","","","",""
131000004,1.05,1.05,7.4,3100,123,1.05,"",0,1.05,""
131000005,1000001,wait,"",3100,3,0,"",0.2,"",""
131000006,2,1,"",3100,35,"","","","",""
131000007,5.4,0,"",3100,93,"","","","",""
131000008,0.95,0.95,0.3,3100,123,0.95,"",0,0.95,""
131000009,310000,1,"",3100,32,"","","","",""
131000010,310001,1,"",3100,32,"","","","",""
131000011,0.2,0,"",3100,93,"","","","",""
131000012,50,50,"",3100,122,0.6,"","","",""
131000013,1000001,shock,"",3100,3,0,"",0.2,"",""
131000014,1.6,0,"",3100,93,"","","","",""
131000015,2,"","",3100,113,"","","","",""
131110001,6,6,1,3111,31,345.4,"",0,0,""
131110002,7,7,1,3111,31,345.4,"",0,0,""
131110003,8,8,1,3111,31,345.4,"",0,0,""
131110004,3,13,0,3111,5,55,appear,1.3,8000,0
131110005,0,"","",3111,91,"","","","",""
131110006,13,1,0,3111,6,1,"",0,1,0
131110007,13,95,0,3111,2,-250,"","",0,""
131110008,1.05,1.05,7.4,3111,123,1.05,"",0,1.05,""
131110009,1000001,wait,"",3111,3,0,"",0.2,"",""
131110010,2,1,"",3111,35,"","","","",""
131110011,4.9,0,"",3111,93,"","","","",""
131110012,0.95,0.95,0.3,3111,123,0.95,"",0,0.95,""
131110013,se_travel,se_travel_treasure_ghost_fail,"",3111,23,0,"","","",""
131110014,8,1,"",3111,32,"","","","",""
131110015,8,0,"",3111,35,"","","","",""
131110016,6,1,"",3111,32,"","","","",""
131110017,0.1,0,"",3111,93,"","","","",""
131110018,2,0,"",3111,32,"","","","",""
131110019,3,0,"",3111,32,"","","","",""
131110020,1000001,dotEyes,"",3111,3,0,"","","",""
131110021,0.3,0,"",3111,93,"","","","",""
131110022,13,appear,"",3111,3,0,"","","",""
131110023,13,1,1,3111,6,1,"",0,1,0
131110024,0.67,0,"",3111,93,"","","","",""
131110025,1000001,shock_jump,"",3111,3,0,"","","",""
131110026,1000001,70,0,3111,2,-250,"","",1,""
131110027,1.1,0,"",3111,93,"","","","",""
131110028,1000001,escape,"",3111,3,1,"","","",""
131110029,1000001,-350,0,3111,2,-250,"","",1.2,""
131110030,13,march,"",3111,3,0,"","","",""
131110031,0.2,0,"",3111,93,"","","","",""
131110032,7,1,"",3111,32,"","","","",""
131110033,0.1,0,"",3111,93,"","","","",""
131110034,6,0,"",3111,32,"","","","",""
131110035,1.6,0,"",3111,93,"","","","",""
131110036,2,"","",3111,113,"","","","",""
131120001,1000001,idle,"",3112,3,1,"",0.2,"",""
131120002,301200,13,1,3112,31,0,"",0,0,""
131120003,101,14,1,3112,31,0,"",0,0,""
131120004,301205,15,1,3112,31,0,"",0,0,""
131120005,301206,16,1,3112,31,130,"",0,-170,""
131120006,6,18,1,3112,31,345.4,"",0,0,""
131120007,301201,20,1,3112,31,345.4,"",0,0,""
131120008,301202,21,1,3112,31,345.4,"",0,0,""
131120009,1,3,-234,3112,5,55,round_monster_walk,1,9340,0
131120010,0,"","",3112,91,"","","","",""
131120011,3,1,0,3112,6,1,"",0,1,0
131120012,3,345,0,3112,2,-234,"",0,0,0
131120013,1.05,1.05,7.4,3112,123,1.05,"",0,1.05,0
131120014,1000001,wait,"",3112,3,0,"",0.2,"",""
131120015,2,1,"",3112,35,"","","","",""
131120016,4.3,0,"",3112,93,"","","","",""
131120017,0.95,0.95,0.4,3112,123,0.95,"",0,0.95,""
131120018,21,1,"",3112,32,"","","","",""
131120019,21,0,"",3112,35,"","","","",""
131120020,se_travel,se_travel_treasure_monster_failure,"",3112,23,"","","","",""
131120021,18,1,"",3112,32,"","","","",""
131120022,0.1,0,"",3112,93,"","","","",""
131120023,2,0,"",3112,32,"","","","",""
131120024,3,1,1,3112,6,1,"",0.3,1,0
131120025,13,1,"",3112,32,"","","","",""
131120026,3,round_monster_appear,"",3112,3,0,"","","",""
131120027,1000001,back,"",3112,3,0,"","","",""
131120028,0.67,0,"",3112,93,"","","","",""
131120029,3,round_monster_walk,"",3112,3,0,"",0.2,"",""
131120030,3,220,0,3112,2,-234,"",0,1.4,0
131120031,20,1,"",3112,32,"","","","",""
131120032,0.1,0,"",3112,93,"","","","",""
131120033,18,0,"",3112,32,"","","","",""
131120034,1,0,"",3112,93,"","","","",""
131120035,3,round_monster_attack,"",3112,3,0,"",0.3,"",""
131120036,0.5,0,"",3112,93,"","","","",""
131120037,15,1,"",3112,32,"","","","",""
131120038,1000001,back_loop,"",3112,3,1,"",0.2,"",""
131120039,1,0,"",3112,93,"","","","",""
131120040,16,1,"",3112,32,"","","","",""
131120041,0,50,"",3112,122,0.5,"","","",""
131120042,1000001,40,0,3112,2,-250,"","",0,""
131120043,1000001,shock_jump,"",3112,3,0,"",0,"",""
131120044,0.6,0,"",3112,93,"","","","",""
131120045,3,round_monster_idle,"",3112,3,1,"",0.2,"",""
131120046,0.4,0,"",3112,93,"","","","",""
131120047,1000001,0,0,3112,2,-250,"","",0,""
131120048,1000001,escape,"",3112,3,1,"","","",""
131120049,1000001,-600,0,3112,2,-250,"","",1,""
131120050,1,0,"",3112,93,"","","","",""
131120051,1000001,1,0,3112,6,1,"",0.2,1,""
131120052,0.4,0,"",3112,93,"","","","",""
131120053,2,0,"",3112,113,"","","","",""
131130001,311300,311300,1,3113,31,345.4,"",0,0,""
131130002,0,"","",3113,91,"","","","",""
131130003,1000001,wait_gradeUp,"",3113,3,0,"",0.2,"",""
131130004,311300,1,"",3113,32,"","","","",""
131130005,0.1,0,"",3113,93,"","","","",""
131130006,3,0,"",3113,32,"","","","",""
131130007,0.8,0,"",3113,93,"","","","",""
131130008,1.05,1.05,0,3113,123,1.05,"",0,1.05,""
