tower_schedule_id,end_time,recovery_disable_time,max_tower_area_id,count_start_time,start_time,opening_story_id
1016,"2021/01/20 14:59:59","2021/01/20 14:59:59",16,"2021/01/19 14:59:59","2021/01/15 15:00:00",7009003
1017,"2021/02/18 14:59:59","2021/02/18 14:59:59",17,"2021/02/17 14:59:59","2021/02/11 15:00:00",7010000
1018,"2021/03/23 14:59:59","2021/03/23 14:59:59",18,"2021/03/22 14:59:59","2021/03/16 15:00:00",7010003
1019,"2021/04/18 14:59:59","2021/04/18 14:59:59",19,"2021/04/17 14:59:59","2021/04/11 15:00:00",7011000
1020,"2021/05/18 14:59:59","2021/05/18 14:59:59",20,"2021/05/17 14:59:59","2021/05/13 15:00:00",7011003
1021,"2021/06/19 14:59:59","2021/06/19 14:59:59",21,"2021/06/18 14:59:59","2021/06/14 15:00:00",7012000
1022,"2021/07/20 14:59:59","2021/07/20 14:59:59",22,"2021/07/19 14:59:59","2021/07/15 15:00:00",7012003
1023,"2021/08/21 14:59:59","2021/08/21 14:59:59",23,"2021/08/20 14:59:59","2021/08/16 15:00:00",7013000
1024,"2021/09/20 14:59:59","2021/09/20 14:59:59",24,"2021/09/19 14:59:59","2021/09/15 15:00:00",7013003
1025,"2021/10/22 14:59:59","2021/10/22 14:59:59",25,"2021/10/21 14:59:59","2021/10/17 15:00:00",7014000
1026,"2021/11/20 14:59:59","2021/11/20 14:59:59",26,"2021/11/19 14:59:59","2021/11/15 15:00:00",7014003
1027,"2021/12/24 14:59:59","2021/12/24 14:59:59",27,"2021/12/23 14:59:59","2021/12/18 15:00:00",7015000
1028,"2022/01/22 14:59:59","2022/01/22 14:59:59",28,"2022/01/21 14:59:59","2022/01/17 15:00:00",7015003
1029,"2022/02/22 14:59:59","2022/02/22 14:59:59",29,"2022/02/21 14:59:59","2022/02/17 15:00:00",7016000
1030,"2022/03/23 14:59:59","2022/03/23 14:59:59",30,"2022/03/22 14:59:59","2022/03/18 15:00:00",7016003
1031,"2022/04/22 14:59:59","2022/04/22 14:59:59",31,"2022/04/21 14:59:59","2022/04/17 15:00:00",7017000
1032,"2022/05/21 14:59:59","2022/05/21 14:59:59",32,"2022/05/20 14:59:59","2022/05/16 15:00:00",7017003
1033,"2022/06/21 14:59:59","2022/06/21 14:59:59",33,"2022/06/20 14:59:59","2022/06/16 15:00:00",7018000
1034,"2022/07/22 14:59:59","2022/07/22 14:59:59",34,"2022/07/21 14:59:59","2022/07/17 15:00:00",7018003
1035,"2022/08/20 14:59:59","2022/08/20 14:59:59",35,"2022/08/19 14:59:59","2022/08/15 15:00:00",7019000
1036,"2022/09/20 14:59:59","2022/09/20 14:59:59",36,"2022/09/19 14:59:59","2022/09/15 15:00:00",7019003
1037,"2022/10/21 14:59:59","2022/10/21 14:59:59",37,"2022/10/20 14:59:59","2022/10/16 15:00:00",7020000
1038,"2022/11/21 14:59:59","2022/11/21 14:59:59",38,"2022/11/20 14:59:59","2022/11/16 15:00:00",7020003
1039,"2022/12/22 14:59:59","2022/12/22 14:59:59",39,"2022/12/21 14:59:59","2022/12/17 15:00:00",7021000
1040,"2023/01/19 14:59:59","2023/01/19 14:59:59",40,"2023/01/18 14:59:59","2023/01/14 15:00:00",7021003
1041,"2023/02/20 14:59:59","2023/02/20 14:59:59",41,"2023/02/19 14:59:59","2023/02/15 15:00:00",7022000
1042,"2023/03/23 14:59:59","2023/03/23 14:59:59",42,"2023/03/22 14:59:59","2023/03/18 15:00:00",7022003
1043,"2023/04/20 14:59:59","2023/04/20 14:59:59",43,"2023/04/19 14:59:59","2023/04/15 15:00:00",7023000
1044,"2023/06/21 14:59:59","2023/06/21 14:59:59",44,"2023/06/20 14:59:59","2023/06/16 15:00:00",7023003
1045,"2023/08/23 14:59:59","2023/08/23 14:59:59",45,"2023/08/22 14:59:59","2023/08/18 15:00:00",7024000
1046,"2023/10/23 14:59:59","2023/10/23 14:59:59",46,"2023/10/22 14:59:59","2023/10/18 15:00:00",7024003
1047,"2023/12/18 14:59:59","2023/12/18 14:59:59",47,"2023/12/17 14:59:59","2023/12/13 15:00:00",7025000
1048,"2024/03/20 14:59:59","2024/03/20 14:59:59",48,"2024/03/19 14:59:59","2024/03/15 15:00:00",7025003
1049,"2024/06/19 14:59:59","2024/06/19 14:59:59",49,"2024/06/18 14:59:59","2024/06/14 15:00:00",7026000
1050,"2024/09/19 14:59:59","2024/09/19 14:59:59",50,"2024/09/18 14:59:59","2024/09/14 15:00:00",7026003
1051,"2024/12/19 14:59:59","2024/12/19 14:59:59",51,"2024/12/18 14:59:59","2024/12/14 15:00:00",7027000
1052,"2025/04/21 14:59:59","2025/04/21 14:59:59",52,"2025/04/20 14:59:59","2025/04/16 15:00:00",7027003
1053,"2025/08/19 14:59:59","2025/08/19 14:59:59",53,"2025/08/18 14:59:59","2025/08/14 15:00:00",7028000
1054,"2026/02/21 14:59:59","2026/02/21 14:59:59",54,"2026/02/20 14:59:59","2026/02/16 15:00:00",7028003
