effect_name,icon_name,id,quest_id,description
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500001003,75000010,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500001004,75000010,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500001005,75000010,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500001006,75000010,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,500001101,75000011,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500001102,75000011,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500001103,75000011,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500001104,75000011,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500001105,75000011,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500001106,75000011,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
"데미지 감쇠",18,500001201,75000012,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,500001202,75000012,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,500001203,75000012,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,500001204,75000012,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,500001205,75000012,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,500001206,75000012,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,601000101,76010001,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,601000102,76010001,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,601000103,76010001,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,601000104,76010001,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,601000105,76010001,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,601000106,76010001,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,601000201,76010002,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,601000202,76010002,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,601000203,76010002,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,601000204,76010002,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,601000205,76010002,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,601000206,76010002,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,601000301,76010003,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,601000302,76010003,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,601000303,76010003,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,601000304,76010003,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,601000305,76010003,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,601000306,76010003,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,601000401,76010004,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,601000402,76010004,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,601000403,76010004,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,601000404,76010004,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,601000405,76010004,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,601000406,76010004,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,601000501,76010005,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,601000502,76010005,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,601000503,76010005,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,601000504,76010005,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,601000505,76010005,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,601000506,76010005,"전투 시작 시, 모든 몬스터가 TP 감소\n100％ 컷 상태가 된다."
"데미지 감쇠",18,602000101,76020001,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,602000102,76020001,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,602000103,76020001,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,602000104,76020001,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,602000105,76020001,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,602000106,76020001,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
"데미지 감쇠",18,602000201,76020002,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,602000202,76020002,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,602000203,76020002,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,602000204,76020002,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,602000205,76020002,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,602000206,76020002,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
"데미지 감쇠",18,602000301,76020003,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,602000302,76020003,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,602000303,76020003,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,602000304,76020003,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,602000305,76020003,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,602000306,76020003,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
"데미지 감쇠",18,602000401,76020004,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,602000402,76020004,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,602000403,76020004,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,602000404,76020004,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,602000405,76020004,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,602000406,76020004,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
"데미지 감쇠",18,602000501,76020005,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠시킨다. 데미지값이 상승할수록 감쇠율도 상승한다."
"TP 상승 상한 부여",17,602000502,76020005,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다."
"물리 방어력(감소 불가) 증가",boss_def_lower_limit,602000503,76020005,"전투 시작 시, 모든 몬스터의 물리 방어력을 (중) 증가시킨다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다. "
"마법 방어력(감소 불가) 증가",boss_magic_def_lower_limit,602000504,76020005,"전투 시작 시, 모든 몬스터의 마법 방어력을 (중) 증가시킨다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"HP 흡수 감소",9,602000505,76020005,"전투 시작 시, 모든 캐릭터의 HP 흡수를 (특대) 감소시킨다. "
"TP 감소 컷",boss_tp_down_cut,602000506,76020005,"전투 시작 시, 모든 몬스터가 TP 감소\n50％ 컷 상태가 된다."
