condition_value_1,condition_type_2,id,condition_value_2,condition_type_3,name,condition_type_1,condition_value_3,constrain_group
2,2,81,0,3,"근육",1,0,0
2,2,82,0,3,"금물결 은물결",1,0,0
2,2,83,0,3,"태생적인",1,0,2
2,2,84,0,3,"시끄러운",1,0,0
2,2,85,0,3,"미지수인",1,0,0
2,2,86,0,3,"완전 대박",1,0,0
2,2,87,0,3,"지지 마",1,0,0
3,2,88,1,3,"라스트 스피드",1,1,2
3,2,89,1,3,"프로페셔널",1,1,1
3,2,90,1,3,"톱 오브",1,1,0
3,2,91,1,3,"골드 메달",1,1,2
3,2,92,1,3,"얼티메이트",1,1,2
3,2,93,1,3,"더 베스트",1,1,0
3,2,94,1,3,"퍼펙트",1,1,2
3,2,95,1,3,"100년에 1명 있는",1,1,1
3,2,96,1,3,"레전더리",1,1,2
3,2,97,1,3,"초일류의",1,1,0
3,2,98,1,3,"세계의",1,1,0
3,2,99,1,3,"선택된",1,1,0
3,2,100,1,3,"애슬레틱",1,0,2
3,2,101,1,3,"위대한",1,0,0
3,2,102,1,3,"슈퍼 소닉",1,0,1
3,2,103,1,3,"울트라",1,0,0
3,2,104,1,3,MVP,1,0,0
3,2,105,1,3,"제너럴",1,0,0
3,2,106,1,3,"올라운드",1,0,2
3,2,107,1,3,"실버 메달",1,0,2
3,2,108,1,3,"성스러운",1,0,0
3,2,109,1,3,"엑설런트",1,0,2
3,2,110,1,3,"일류",1,0,0
3,2,111,1,3,"마블러스",1,0,0
3,2,112,0,3,"슈퍼",1,1,0
3,2,113,0,3,"플라잉",1,1,0
3,2,114,0,3,"그레이트",1,1,0
3,2,115,0,3,"언스토퍼블",1,1,1
3,2,116,0,3,"카리스마",1,1,0
3,2,117,0,3,"만능",1,1,0
3,2,118,0,3,"신세대",1,1,0
3,2,119,0,3,"명예로운",1,1,0
3,2,120,0,3,"이채를 띠는",1,1,0
3,2,121,0,3,"숨은 실력의",1,1,0
3,2,122,0,3,"천하의",1,1,0
3,2,123,0,3,"렛츠 고",1,0,0
3,2,124,0,3,"굿",1,0,0
3,2,125,0,3,"홉 스텝",1,0,1
3,2,126,0,3,"가능성 있는",1,0,2
3,2,127,0,3,"브론즈 메달",1,0,2
3,2,128,0,3,"기대되는",1,0,0
3,2,129,0,3,"점핑",1,0,2
3,2,130,0,3,"새 시대의",1,0,0
3,2,131,0,3,"아는 사람은 아는",1,0,2
