target_shape,bonus_id,description,target_category,effect_value,effect_target
3,10301039,"타코야키에<1>HP+39%",1,39,1
3,10301040,"타코야키에<1>HP+40%",1,40,1
3,10301041,"타코야키에<1>HP+41%",1,41,1
3,10301042,"타코야키에<1>HP+42%",1,42,1
3,10301043,"타코야키에<1>HP+43%",1,43,1
3,10301044,"타코야키에<1>HP+44%",1,44,1
3,10301045,"타코야키에<1>HP+45%",1,45,1
3,10301046,"타코야키에<1>HP+46%",1,46,1
3,10301047,"타코야키에<1>HP+47%",1,47,1
3,10301048,"타코야키에<1>HP+48%",1,48,1
3,10301049,"타코야키에<1>HP+49%",1,49,1
3,10301050,"타코야키에<1>HP+50%",1,50,1
3,10301051,"타코야키에<1>HP+51%",1,51,1
3,10301052,"타코야키에<1>HP+52%",1,52,1
3,10301053,"타코야키에<1>HP+53%",1,53,1
3,10301054,"타코야키에<1>HP+54%",1,54,1
3,10301055,"타코야키에<1>HP+55%",1,55,1
3,10301056,"타코야키에<1>HP+56%",1,56,1
3,10301057,"타코야키에<1>HP+57%",1,57,1
3,10301058,"타코야키에<1>HP+58%",1,58,1
3,10301059,"타코야키에<1>HP+59%",1,59,1
3,10301060,"타코야키에<1>HP+60%",1,60,1
3,10301061,"타코야키에<1>HP+61%",1,61,1
3,10301062,"타코야키에<1>HP+62%",1,62,1
3,10301063,"타코야키에<1>HP+63%",1,63,1
3,10301064,"타코야키에<1>HP+64%",1,64,1
3,10301065,"타코야키에<1>HP+65%",1,65,1
3,10301066,"타코야키에<1>HP+66%",1,66,1
3,10301067,"타코야키에<1>HP+67%",1,67,1
3,10301068,"타코야키에<1>HP+68%",1,68,1
3,10301069,"타코야키에<1>HP+69%",1,69,1
3,10301070,"타코야키에<1>HP+70%",1,70,1
3,10301071,"타코야키에<1>HP+71%",1,71,1
3,10301072,"타코야키에<1>HP+72%",1,72,1
3,10301073,"타코야키에<1>HP+73%",1,73,1
3,10301074,"타코야키에<1>HP+74%",1,74,1
3,10301075,"타코야키에<1>HP+75%",1,75,1
3,10301076,"타코야키에<1>HP+76%",1,76,1
3,10301077,"타코야키에<1>HP+77%",1,77,1
3,10301078,"타코야키에<1>HP+78%",1,78,1
3,10301079,"타코야키에<1>HP+79%",1,79,1
3,10301080,"타코야키에<1>HP+80%",1,80,1
3,10301081,"타코야키에<1>HP+81%",1,81,1
3,10301082,"타코야키에<1>HP+82%",1,82,1
3,10301083,"타코야키에<1>HP+83%",1,83,1
3,10301084,"타코야키에<1>HP+84%",1,84,1
3,10301085,"타코야키에<1>HP+85%",1,85,1
3,10301086,"타코야키에<1>HP+86%",1,86,1
3,10301087,"타코야키에<1>HP+87%",1,87,1
3,10301088,"타코야키에<1>HP+88%",1,88,1
3,10301089,"타코야키에<1>HP+89%",1,89,1
3,10301090,"타코야키에<1>HP+90%",1,90,1
3,10301091,"타코야키에<1>HP+91%",1,91,1
3,10301092,"타코야키에<1>HP+92%",1,92,1
3,10301093,"타코야키에<1>HP+93%",1,93,1
3,10301094,"타코야키에<1>HP+94%",1,94,1
3,10301095,"타코야키에<1>HP+95%",1,95,1
3,10301096,"타코야키에<1>HP+96%",1,96,1
3,10301097,"타코야키에<1>HP+97%",1,97,1
3,10301098,"타코야키에<1>HP+98%",1,98,1
3,10301099,"타코야키에<1>HP+99%",1,99,1
3,10301100,"타코야키에<1>HP+100%",1,100,1
4,10401010,"주먹밥에<1>HP+10%",1,10,1
4,10401011,"주먹밥에<1>HP+11%",1,11,1
4,10401012,"주먹밥에<1>HP+12%",1,12,1
4,10401013,"주먹밥에<1>HP+13%",1,13,1
4,10401014,"주먹밥에<1>HP+14%",1,14,1
4,10401015,"주먹밥에<1>HP+15%",1,15,1
4,10401016,"주먹밥에<1>HP+16%",1,16,1
4,10401017,"주먹밥에<1>HP+17%",1,17,1
4,10401018,"주먹밥에<1>HP+18%",1,18,1
4,10401019,"주먹밥에<1>HP+19%",1,19,1
4,10401020,"주먹밥에<1>HP+20%",1,20,1
4,10401021,"주먹밥에<1>HP+21%",1,21,1
4,10401022,"주먹밥에<1>HP+22%",1,22,1
4,10401023,"주먹밥에<1>HP+23%",1,23,1
4,10401024,"주먹밥에<1>HP+24%",1,24,1
4,10401025,"주먹밥에<1>HP+25%",1,25,1
4,10401026,"주먹밥에<1>HP+26%",1,26,1
4,10401027,"주먹밥에<1>HP+27%",1,27,1
4,10401028,"주먹밥에<1>HP+28%",1,28,1
4,10401029,"주먹밥에<1>HP+29%",1,29,1
4,10401030,"주먹밥에<1>HP+30%",1,30,1
4,10401031,"주먹밥에<1>HP+31%",1,31,1
4,10401032,"주먹밥에<1>HP+32%",1,32,1
4,10401033,"주먹밥에<1>HP+33%",1,33,1
4,10401034,"주먹밥에<1>HP+34%",1,34,1
4,10401035,"주먹밥에<1>HP+35%",1,35,1
4,10401036,"주먹밥에<1>HP+36%",1,36,1
4,10401037,"주먹밥에<1>HP+37%",1,37,1
4,10401038,"주먹밥에<1>HP+38%",1,38,1
4,10401039,"주먹밥에<1>HP+39%",1,39,1
4,10401040,"주먹밥에<1>HP+40%",1,40,1
4,10401041,"주먹밥에<1>HP+41%",1,41,1
4,10401042,"주먹밥에<1>HP+42%",1,42,1
4,10401043,"주먹밥에<1>HP+43%",1,43,1
4,10401044,"주먹밥에<1>HP+44%",1,44,1
4,10401045,"주먹밥에<1>HP+45%",1,45,1
4,10401046,"주먹밥에<1>HP+46%",1,46,1
4,10401047,"주먹밥에<1>HP+47%",1,47,1
4,10401048,"주먹밥에<1>HP+48%",1,48,1
4,10401049,"주먹밥에<1>HP+49%",1,49,1
4,10401050,"주먹밥에<1>HP+50%",1,50,1
4,10401051,"주먹밥에<1>HP+51%",1,51,1
4,10401052,"주먹밥에<1>HP+52%",1,52,1
4,10401053,"주먹밥에<1>HP+53%",1,53,1
4,10401054,"주먹밥에<1>HP+54%",1,54,1
4,10401055,"주먹밥에<1>HP+55%",1,55,1
4,10401056,"주먹밥에<1>HP+56%",1,56,1
4,10401057,"주먹밥에<1>HP+57%",1,57,1
4,10401058,"주먹밥에<1>HP+58%",1,58,1
4,10401059,"주먹밥에<1>HP+59%",1,59,1
4,10401060,"주먹밥에<1>HP+60%",1,60,1
4,10401061,"주먹밥에<1>HP+61%",1,61,1
4,10401062,"주먹밥에<1>HP+62%",1,62,1
4,10401063,"주먹밥에<1>HP+63%",1,63,1
4,10401064,"주먹밥에<1>HP+64%",1,64,1
4,10401065,"주먹밥에<1>HP+65%",1,65,1
4,10401066,"주먹밥에<1>HP+66%",1,66,1
4,10401067,"주먹밥에<1>HP+67%",1,67,1
4,10401068,"주먹밥에<1>HP+68%",1,68,1
4,10401069,"주먹밥에<1>HP+69%",1,69,1
4,10401070,"주먹밥에<1>HP+70%",1,70,1
4,10401071,"주먹밥에<1>HP+71%",1,71,1
4,10401072,"주먹밥에<1>HP+72%",1,72,1
4,10401073,"주먹밥에<1>HP+73%",1,73,1
4,10401074,"주먹밥에<1>HP+74%",1,74,1
4,10401075,"주먹밥에<1>HP+75%",1,75,1
4,10401076,"주먹밥에<1>HP+76%",1,76,1
4,10401077,"주먹밥에<1>HP+77%",1,77,1
4,10401078,"주먹밥에<1>HP+78%",1,78,1
4,10401079,"주먹밥에<1>HP+79%",1,79,1
4,10401080,"주먹밥에<1>HP+80%",1,80,1
4,10401081,"주먹밥에<1>HP+81%",1,81,1
4,10401082,"주먹밥에<1>HP+82%",1,82,1
4,10401083,"주먹밥에<1>HP+83%",1,83,1
4,10401084,"주먹밥에<1>HP+84%",1,84,1
4,10401085,"주먹밥에<1>HP+85%",1,85,1
4,10401086,"주먹밥에<1>HP+86%",1,86,1
4,10401087,"주먹밥에<1>HP+87%",1,87,1
4,10401088,"주먹밥에<1>HP+88%",1,88,1
4,10401089,"주먹밥에<1>HP+89%",1,89,1
4,10401090,"주먹밥에<1>HP+90%",1,90,1
4,10401091,"주먹밥에<1>HP+91%",1,91,1
4,10401092,"주먹밥에<1>HP+92%",1,92,1
4,10401093,"주먹밥에<1>HP+93%",1,93,1
4,10401094,"주먹밥에<1>HP+94%",1,94,1
4,10401095,"주먹밥에<1>HP+95%",1,95,1
4,10401096,"주먹밥에<1>HP+96%",1,96,1
4,10401097,"주먹밥에<1>HP+97%",1,97,1
4,10401098,"주먹밥에<1>HP+98%",1,98,1
4,10401099,"주먹밥에<1>HP+99%",1,99,1
4,10401100,"주먹밥에<1>HP+100%",1,100,1
5,10501010,"케밥에<1>HP+10%",1,10,1
5,10501011,"케밥에<1>HP+11%",1,11,1
5,10501012,"케밥에<1>HP+12%",1,12,1
5,10501013,"케밥에<1>HP+13%",1,13,1
5,10501014,"케밥에<1>HP+14%",1,14,1
5,10501015,"케밥에<1>HP+15%",1,15,1
5,10501016,"케밥에<1>HP+16%",1,16,1
5,10501017,"케밥에<1>HP+17%",1,17,1
5,10501018,"케밥에<1>HP+18%",1,18,1
5,10501019,"케밥에<1>HP+19%",1,19,1
5,10501020,"케밥에<1>HP+20%",1,20,1
5,10501021,"케밥에<1>HP+21%",1,21,1
5,10501022,"케밥에<1>HP+22%",1,22,1
5,10501023,"케밥에<1>HP+23%",1,23,1
5,10501024,"케밥에<1>HP+24%",1,24,1
5,10501025,"케밥에<1>HP+25%",1,25,1
5,10501026,"케밥에<1>HP+26%",1,26,1
5,10501027,"케밥에<1>HP+27%",1,27,1
5,10501028,"케밥에<1>HP+28%",1,28,1
5,10501029,"케밥에<1>HP+29%",1,29,1
5,10501030,"케밥에<1>HP+30%",1,30,1
5,10501031,"케밥에<1>HP+31%",1,31,1
5,10501032,"케밥에<1>HP+32%",1,32,1
5,10501033,"케밥에<1>HP+33%",1,33,1
5,10501034,"케밥에<1>HP+34%",1,34,1
5,10501035,"케밥에<1>HP+35%",1,35,1
5,10501036,"케밥에<1>HP+36%",1,36,1
5,10501037,"케밥에<1>HP+37%",1,37,1
5,10501038,"케밥에<1>HP+38%",1,38,1
5,10501039,"케밥에<1>HP+39%",1,39,1
5,10501040,"케밥에<1>HP+40%",1,40,1
5,10501041,"케밥에<1>HP+41%",1,41,1
5,10501042,"케밥에<1>HP+42%",1,42,1
5,10501043,"케밥에<1>HP+43%",1,43,1
5,10501044,"케밥에<1>HP+44%",1,44,1
5,10501045,"케밥에<1>HP+45%",1,45,1
5,10501046,"케밥에<1>HP+46%",1,46,1
5,10501047,"케밥에<1>HP+47%",1,47,1
5,10501048,"케밥에<1>HP+48%",1,48,1
5,10501049,"케밥에<1>HP+49%",1,49,1
5,10501050,"케밥에<1>HP+50%",1,50,1
5,10501051,"케밥에<1>HP+51%",1,51,1
5,10501052,"케밥에<1>HP+52%",1,52,1
5,10501053,"케밥에<1>HP+53%",1,53,1
5,10501054,"케밥에<1>HP+54%",1,54,1
5,10501055,"케밥에<1>HP+55%",1,55,1
5,10501056,"케밥에<1>HP+56%",1,56,1
5,10501057,"케밥에<1>HP+57%",1,57,1
5,10501058,"케밥에<1>HP+58%",1,58,1
5,10501059,"케밥에<1>HP+59%",1,59,1
5,10501060,"케밥에<1>HP+60%",1,60,1
5,10501061,"케밥에<1>HP+61%",1,61,1
5,10501062,"케밥에<1>HP+62%",1,62,1
5,10501063,"케밥에<1>HP+63%",1,63,1
5,10501064,"케밥에<1>HP+64%",1,64,1
5,10501065,"케밥에<1>HP+65%",1,65,1
5,10501066,"케밥에<1>HP+66%",1,66,1
5,10501067,"케밥에<1>HP+67%",1,67,1
5,10501068,"케밥에<1>HP+68%",1,68,1
5,10501069,"케밥에<1>HP+69%",1,69,1
5,10501070,"케밥에<1>HP+70%",1,70,1
5,10501071,"케밥에<1>HP+71%",1,71,1
5,10501072,"케밥에<1>HP+72%",1,72,1
5,10501073,"케밥에<1>HP+73%",1,73,1
5,10501074,"케밥에<1>HP+74%",1,74,1
5,10501075,"케밥에<1>HP+75%",1,75,1
5,10501076,"케밥에<1>HP+76%",1,76,1
5,10501077,"케밥에<1>HP+77%",1,77,1
5,10501078,"케밥에<1>HP+78%",1,78,1
5,10501079,"케밥에<1>HP+79%",1,79,1
5,10501080,"케밥에<1>HP+80%",1,80,1
5,10501081,"케밥에<1>HP+81%",1,81,1
5,10501082,"케밥에<1>HP+82%",1,82,1
5,10501083,"케밥에<1>HP+83%",1,83,1
5,10501084,"케밥에<1>HP+84%",1,84,1
5,10501085,"케밥에<1>HP+85%",1,85,1
5,10501086,"케밥에<1>HP+86%",1,86,1
5,10501087,"케밥에<1>HP+87%",1,87,1
5,10501088,"케밥에<1>HP+88%",1,88,1
5,10501089,"케밥에<1>HP+89%",1,89,1
5,10501090,"케밥에<1>HP+90%",1,90,1
5,10501091,"케밥에<1>HP+91%",1,91,1
5,10501092,"케밥에<1>HP+92%",1,92,1
5,10501093,"케밥에<1>HP+93%",1,93,1
5,10501094,"케밥에<1>HP+94%",1,94,1
5,10501095,"케밥에<1>HP+95%",1,95,1
5,10501096,"케밥에<1>HP+96%",1,96,1
5,10501097,"케밥에<1>HP+97%",1,97,1
5,10501098,"케밥에<1>HP+98%",1,98,1
5,10501099,"케밥에<1>HP+99%",1,99,1
5,10501100,"케밥에<1>HP+100%",1,100,1
1,20101010,"타이어(특대)에<1>HP+10%",2,10,1
1,20101011,"타이어(특대)에<1>HP+11%",2,11,1
1,20101012,"타이어(특대)에<1>HP+12%",2,12,1
1,20101013,"타이어(특대)에<1>HP+13%",2,13,1
1,20101014,"타이어(특대)에<1>HP+14%",2,14,1
1,20101015,"타이어(특대)에<1>HP+15%",2,15,1
1,20101016,"타이어(특대)에<1>HP+16%",2,16,1
1,20101017,"타이어(특대)에<1>HP+17%",2,17,1
1,20101018,"타이어(특대)에<1>HP+18%",2,18,1
1,20101019,"타이어(특대)에<1>HP+19%",2,19,1
1,20101020,"타이어(특대)에<1>HP+20%",2,20,1
1,20101021,"타이어(특대)에<1>HP+21%",2,21,1
1,20101022,"타이어(특대)에<1>HP+22%",2,22,1
1,20101023,"타이어(특대)에<1>HP+23%",2,23,1
1,20101024,"타이어(특대)에<1>HP+24%",2,24,1
1,20101025,"타이어(특대)에<1>HP+25%",2,25,1
1,20101026,"타이어(특대)에<1>HP+26%",2,26,1
1,20101027,"타이어(특대)에<1>HP+27%",2,27,1
1,20101028,"타이어(특대)에<1>HP+28%",2,28,1
1,20101029,"타이어(특대)에<1>HP+29%",2,29,1
1,20101030,"타이어(특대)에<1>HP+30%",2,30,1
1,20101031,"타이어(특대)에<1>HP+31%",2,31,1
1,20101032,"타이어(특대)에<1>HP+32%",2,32,1
1,20101033,"타이어(특대)에<1>HP+33%",2,33,1
1,20101034,"타이어(특대)에<1>HP+34%",2,34,1
1,20101035,"타이어(특대)에<1>HP+35%",2,35,1
1,20101036,"타이어(특대)에<1>HP+36%",2,36,1
1,20101037,"타이어(특대)에<1>HP+37%",2,37,1
1,20101038,"타이어(특대)에<1>HP+38%",2,38,1
1,20101039,"타이어(특대)에<1>HP+39%",2,39,1
1,20101040,"타이어(특대)에<1>HP+40%",2,40,1
1,20101041,"타이어(특대)에<1>HP+41%",2,41,1
1,20101042,"타이어(특대)에<1>HP+42%",2,42,1
1,20101043,"타이어(특대)에<1>HP+43%",2,43,1
1,20101044,"타이어(특대)에<1>HP+44%",2,44,1
1,20101045,"타이어(특대)에<1>HP+45%",2,45,1
1,20101046,"타이어(특대)에<1>HP+46%",2,46,1
1,20101047,"타이어(특대)에<1>HP+47%",2,47,1
1,20101048,"타이어(특대)에<1>HP+48%",2,48,1
1,20101049,"타이어(특대)에<1>HP+49%",2,49,1
1,20101050,"타이어(특대)에<1>HP+50%",2,50,1
1,20101051,"타이어(특대)에<1>HP+51%",2,51,1
1,20101052,"타이어(특대)에<1>HP+52%",2,52,1
1,20101053,"타이어(특대)에<1>HP+53%",2,53,1
1,20101054,"타이어(특대)에<1>HP+54%",2,54,1
1,20101055,"타이어(특대)에<1>HP+55%",2,55,1
1,20101056,"타이어(특대)에<1>HP+56%",2,56,1
1,20101057,"타이어(특대)에<1>HP+57%",2,57,1
1,20101058,"타이어(특대)에<1>HP+58%",2,58,1
1,20101059,"타이어(특대)에<1>HP+59%",2,59,1
1,20101060,"타이어(특대)에<1>HP+60%",2,60,1
1,20101061,"타이어(특대)에<1>HP+61%",2,61,1
1,20101062,"타이어(특대)에<1>HP+62%",2,62,1
1,20101063,"타이어(특대)에<1>HP+63%",2,63,1
1,20101064,"타이어(특대)에<1>HP+64%",2,64,1
1,20101065,"타이어(특대)에<1>HP+65%",2,65,1
1,20101066,"타이어(특대)에<1>HP+66%",2,66,1
1,20101067,"타이어(특대)에<1>HP+67%",2,67,1
