reward_type_3,icon_type,reward_num_1,clear_effect_flag,reward_num_2,reward_id_3,reward_id_1,clear_count,reward_num_4,reward_type_1,reward_id_2,reward_id_4,reward_type_5,dungeon_area_id,reward_num_3,reward_id_5,reward_type_2,reward_type_4,reward_num_5
2,4,4500,1,15,90005,90008,45,2000000,2,140001,94002,0,32007,5,0,4,12,0
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32007,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32008,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32008,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32008,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32008,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32008,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32008,5,94002,2,2,750000
2,3,3500,1,15,90005,90008,35,1000000,2,140001,94002,0,32008,5,0,4,12,0
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32008,1,0,4,12,0
2,4,4500,1,15,90005,90008,45,2000000,2,140001,94002,0,32008,5,0,4,12,0
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32008,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32009,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32009,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32009,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32009,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32009,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32009,5,94002,2,2,750000
2,3,3500,1,15,90005,90008,35,1000000,2,140001,94002,0,32009,5,0,4,12,0
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32009,1,0,4,12,0
2,4,4500,1,15,90005,90008,45,2000000,2,140001,94002,0,32009,5,0,4,12,0
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32009,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32010,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32010,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32010,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32010,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32010,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32010,5,94002,2,2,750000
4,3,1,1,3500,140001,4101401,35,5,18,90008,90005,12,32010,15,94002,2,2,1000000
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32010,1,0,4,12,0
4,4,1,1,4500,140001,4109401,45,5,18,90008,90005,12,32010,15,94002,2,2,2000000
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32010,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32011,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32011,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32011,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32011,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32011,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32011,5,94002,2,2,750000
4,3,1,1,3500,140001,4301401,35,5,18,90008,90005,12,32011,15,94002,2,2,1000000
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32011,1,0,4,12,0
4,4,1,1,4500,140001,4303401,45,5,18,90008,90005,12,32011,15,94002,2,2,2000000
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32011,1,0,4,12,0
2,1,500,1,15,90005,90008,5,500000,2,140001,94002,0,32012,10,0,4,12,0
4,1,100,1,1,140001,91002,10,1,8,21951,25001,12,32012,5,94002,2,2,500000
2,2,1000,1,15,90005,90008,15,750000,2,140001,94002,0,32012,5,0,4,12,0
2,2,150,1,5,25001,91002,20,750000,8,140001,94002,0,32012,1,0,4,12,0
2,2,1500,1,15,90005,90008,25,750000,2,140001,94002,0,32012,5,0,4,12,0
4,3,250,1,3000,140001,91002,30,1,8,90008,25001,12,32012,5,94002,2,2,750000
4,3,1,1,3500,140001,4201401,35,5,18,90008,90005,12,32012,15,94002,2,2,1000000
2,4,4000,1,5,25001,90008,40,1000000,2,140001,94002,0,32012,1,0,4,12,0
4,4,1,1,4500,140001,4204401,45,5,18,90008,90005,12,32012,15,94002,2,2,2000000
2,4,5000,1,5,25001,90008,50,2000000,2,140001,94002,0,32012,1,0,4,12,0
