scroll_width,event_id,tutorial_param_2,area_disp,area_id,tutorial_param_1,area_name,sheet_id,map_type,scroll_height,que_id,additional_effect,map_id,open_tutorial_id
0,20027,0,1,20027201,0,"비치 볼 파크",bgm_M393,201,0,bgm_M393,0,0,0
80,20028,0,1,20028101,0,"왕도 랜드솔",bgm_M403,201,0,bgm_M403,0,1,0
0,20028,0,1,20028201,0,"왕도 랜드솔",bgm_M403,201,0,bgm_M403,0,1,0
128,20029,0,1,20029101,0,"할로윈 파크",bgm_M413,201,0,bgm_M413,0,0,0
0,20029,0,1,20029201,0,"할로윈 파크",bgm_M413,201,0,bgm_M413,0,0,0
80,20030,0,1,20030101,0,"왕도 랜드솔",bgm_M421,201,0,bgm_M421,0,1,0
0,20030,0,1,20030201,0,"왕도 랜드솔",bgm_M421,201,0,bgm_M421,0,1,0
60,20031,0,1,20031101,0,"데뷔탕트 샹그릴라 파티장",bgm_M426,201,0,bgm_M426,0,1,0
0,20031,0,1,20031201,0,"데뷔탕트 샹그릴라 파티장",bgm_M426,201,0,bgm_M426,0,1,0
100,20032,0,1,20032101,0,"항구 도시 오마",bgm_M435,201,0,bgm_M435,0,1,0
0,20032,0,1,20032201,0,"항구 도시 오마",bgm_M435,201,0,bgm_M435,0,1,0
70,20033,0,1,20033101,0,"랜드솔 근교",bgm_M442A,201,0,bgm_M442A,0,1,0
0,20033,0,1,20033201,0,"랜드솔 근교",bgm_M442A,201,0,bgm_M442A,0,0,0
25,20034,0,1,20034101,0,"엘프 마을 청아한 숲",bgm_M442B,201,0,bgm_M442B,0,0,0
0,20034,0,1,20034201,0,"엘프 마을 청아한 숲",bgm_M442B,201,0,bgm_M442B,0,0,0
0,20035,0,1,20035101,0,"랜드솔 근교",bgm_M451,201,0,bgm_M451,0,1,0
0,20035,0,1,20035102,0,"변경 지역",bgm_M451,201,0,bgm_M451,0,2,0
0,20035,0,1,20035201,0,"변경 지역",bgm_M451,201,0,bgm_M451,0,0,0
91,20036,0,1,20036101,0,"성 테레사 여학원 성학제 현장",bgm_M457,201,0,bgm_M457,0,1,0
0,20036,0,1,20036201,0,"성 테레사 여학원 성학제 현장",bgm_M457,201,0,bgm_M457,0,0,0
90,20037,0,1,20037101,0,"다른 시간 축의 랜드솔",bgm_M467,201,0,bgm_M467,0,1,0
0,20037,0,1,20037102,0,"타임 터널",bgm_M467,201,0,bgm_M467,0,2,0
0,20037,0,1,20037201,0,"타임 터널",bgm_M467,201,0,bgm_M467,0,0,0
0,20038,0,1,20038101,0,"장난감 공장",bgm_M478,201,40,bgm_M478_Lofi,0,1,0
0,20038,0,1,20038102,0,"왕도 랜드솔",bgm_M478,201,0,bgm_M478_Lofi,0,2,0
0,20038,0,1,20038201,0,"왕도 랜드솔",bgm_M478,201,0,bgm_M478_Lofi,0,0,0
0,20039,0,1,20039101,0,"왕도 랜드솔",bgm_M486,201,0,bgm_M486,0,1,0
58,20039,0,1,20039102,0,"어떤 무인도",bgm_M486,201,0,bgm_M486,0,2,0
0,20039,0,1,20039103,0,"왕도 랜드솔",bgm_M486,201,0,bgm_M486,0,3,0
0,20039,0,1,20039201,0,"왕도 랜드솔",bgm_M486,201,0,bgm_M486,0,0,0
100,20040,0,1,20040101,0,"카르미나 서머 라이브 공연장",bgm_M496,201,0,bgm_M496,0,1,0
0,20040,0,1,20040201,0,"카르미나 서머 라이브 공연장",bgm_M496,201,0,bgm_M496,0,0,0
0,20041,0,1,20041101,0,"왕도 랜드솔",bgm_M508,201,0,bgm_M508,0,1,0
45,20041,0,1,20041102,0,"오에도 마을",bgm_M508,201,0,bgm_M508,0,2,0
0,20041,0,1,20041201,0,"오에도 마을",bgm_M508,201,0,bgm_M508,0,0,0
128,20042,0,1,20042101,0,"왕도 랜드솔",bgm_M520,201,0,bgm_M520,0,1,0
0,20042,0,1,20042102,0,"왕도 랜드솔",bgm_M520,201,0,bgm_M520,0,2,0
0,20042,0,1,20042201,0,"왕도 랜드솔",bgm_M520,201,0,bgm_M520,31,1,0
40,20043,0,1,20043101,0,"왕도 랜드솔",bgm_M527,201,0,bgm_M527,0,1,0
0,20043,0,1,20043102,0,"랜드솔 근교",bgm_M527,201,0,bgm_M527,0,2,0
0,20043,0,1,20043201,0,"랜드솔 근교",bgm_M527,201,0,bgm_M527,0,0,0
70,20044,0,1,20044101,0,"디저트 콘테스트 대회장",bgm_M536,201,0,bgm_M536,0,1,0
0,20044,0,1,20044201,0,"디저트 콘테스트 대회장",bgm_M536,201,0,bgm_M536,0,0,0
0,20045,0,1,20045101,0,"랜드솔 근교",bgm_M543,201,0,bgm_M543,0,1,0
0,20045,0,1,20045102,0,"항구 도시 오마",bgm_M543,201,0,bgm_M543,0,2,0
0,20045,0,1,20045103,0,"타파스 해안 주변",bgm_M543,201,0,bgm_M543,0,3,0
0,20045,0,1,20045104,0,"가스트로스 산",bgm_M543,201,0,bgm_M543,0,4,0
0,20045,0,1,20045201,0,"가스트로스 산",bgm_M543,201,0,bgm_M543,0,0,0
0,20046,0,1,20046101,0,"왕도 랜드솔",bgm_M552,201,0,bgm_M552_03,0,1,0
0,20046,0,1,20046102,0,"랜드솔 근교",bgm_M552,201,0,bgm_M552_03,0,2,0
0,20046,0,1,20046103,0,"이리스 밀림",bgm_M552,201,0,bgm_M552_03,0,3,0
0,20046,0,1,20046104,0,"플로라 호수",bgm_M552,201,0,bgm_M552_03,0,4,0
0,20046,0,1,20046201,0,"플로라 호수",bgm_M552,201,0,bgm_M552_03,0,0,0
40,20047,0,1,20047101,0,"왕도 랜드솔",bgm_M553,201,0,bgm_M553,0,1,0
0,20047,0,1,20047102,0,"세계와 세계의 틈새",bgm_M553,201,0,bgm_M553,0,2,0
0,20047,0,1,20047201,0,"세계와 세계의 틈새",bgm_M553,201,0,bgm_M553,0,0,0
0,20048,0,1,20048101,0,"사렌디아 구호원 내부",bgm_M565,201,0,bgm_M565,0,1,0
0,20048,0,1,20048102,0,"엘리자베스 파크 목장 온천",bgm_M565,201,0,bgm_M565,0,2,0
0,20048,0,1,20048201,0,"엘리자베스 파크 목장 온천",bgm_M565,201,0,bgm_M565,0,0,0
0,20049,0,1,20049101,0,"랜드솔 교외",bgm_M574,201,0,bgm_M574,0,1,0
0,20049,0,1,20049102,0,"카지노 홀",bgm_M574,201,0,bgm_M574,0,2,0
0,20049,0,1,20049201,0,"카지노 홀",bgm_M574,201,0,bgm_M574,0,0,0
0,20050,0,1,20050101,0,"저주받은 해적섬",bgm_M582,201,0,bgm_M582,0,1,0
0,20050,0,1,20050201,0,"저주받은 해적섬",bgm_M582,201,0,bgm_M582,0,0,0
128,20051,0,1,20051101,0,"캠핑 필드",bgm_M595,201,0,bgm_M595,0,1,0
0,20051,0,1,20051201,0,"캠핑 필드",bgm_M595,201,0,bgm_M595,0,0,0
0,20052,0,1,20052101,0,"왕도 랜드솔",bgm_M601,201,0,bgm_M601,0,1,0
80,20052,0,1,20052102,0,"서머 게임 리조트",bgm_M601,201,0,bgm_M601,0,2,0
0,20052,0,1,20052201,0,"서머 게임 리조트",bgm_M601,201,0,bgm_M601,0,0,0
0,20053,0,1,20053101,0,"작은 만남의 해안",bgm_M608,201,0,bgm_M608,0,1,0
0,20053,0,1,20053102,0,"리틀 리리컬 비밀 기지 근처",bgm_M608,201,0,bgm_M608,0,2,0
0,20053,0,1,20053103,0,"작은 만남의 해안",bgm_M608,201,0,bgm_M608,0,3,0
0,20053,0,1,20053201,0,"작은 만남의 해안",bgm_M608,201,0,bgm_M608,0,0,0
0,20054,0,1,20054101,0,"땅끝으로 향하는 여행길",bgm_M618,201,0,bgm_M618,0,1,0
30,20054,0,1,20054102,0,"세계끝의 숲",bgm_M618,201,0,bgm_M618,0,2,0
0,20054,0,1,20054201,0,"세계끝의 숲",bgm_M618,201,0,bgm_M618,0,0,0
115,20055,0,1,20055101,0,"랜드솔 페스티벌 현장",bgm_M623,201,0,bgm_M623,0,1,0
0,20055,0,1,20055201,0,"랜드솔 페스티벌 현장",bgm_M623,201,0,bgm_M623,0,1,0
0,20056,0,1,20056101,0,"왕도 랜드솔",bgm_M630,201,0,bgm_M630,0,1,0
30,20056,0,1,20056102,0,"평화 교섭 활동의 길",bgm_M630,201,0,bgm_M630,0,2,0
0,20056,0,1,20056201,0,"평화 교섭 활동의 길",bgm_M630,201,0,bgm_M630,0,0,0
110,20057,0,1,20057101,0,"랜드솔 번화가",bgm_M638,201,0,bgm_M638,11,1,0
0,20057,0,1,20057201,0,"랜드솔 번화가",bgm_M638,201,0,bgm_M638,0,0,0
45,20058,0,1,20058101,0,"오에도 마을",bgm_M647,201,0,bgm_M647,0,1,0
0,20058,0,1,20058201,0,"오에도 마을",bgm_M647,201,0,bgm_M647,0,0,0
85,20059,0,1,20059101,0,"왕도 랜드솔 여신의 제전",bgm_M659,201,0,bgm_M659,0,1,0
0,20059,0,1,20059201,0,"왕도 랜드솔 여신의 제전",bgm_M659,201,0,bgm_M659,0,1,0
0,20060,0,1,20060101,0,"왕도 랜드솔 여신의 제전",bgm_M660,201,0,bgm_M660,0,1,0
0,20060,0,1,20060102,0,"추억의 낙원",bgm_M660,201,0,bgm_M660,0,2,0
0,20060,0,1,20060201,0,"추억의 낙원",bgm_M660,201,0,bgm_M660,0,0,0
