top_description,event_id,description_1,unit_id,description_2,id,condition_mission_id
"보스 NORMAL 토벌로 오픈!",10035,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112601,"[3C404E]보스 NORMAL 토벌로 오픈!",21,71035031
"보스 NORMAL 토벌로 오픈!",10034,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109001,"[3C404E]보스 NORMAL 토벌로 오픈!",22,71034031
"보스 NORMAL 토벌로 오픈!",10039,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109301,"[3C404E]보스 NORMAL 토벌로 오픈!",24,71039031
"보스 NORMAL 토벌로 오픈!",10042,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113001,"[3C404E]보스 NORMAL 토벌로 오픈!",25,71042031
"보스 NORMAL 토벌로 오픈!",10043,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",110101,"[3C404E]보스 NORMAL 토벌로 오픈!",26,71043031
"보스 NORMAL 토벌로 오픈!",10044,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113201,"[3C404E]보스 NORMAL 토벌로 오픈!",27,71044031
"보스 NORMAL 토벌로 오픈!",10046,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113501,"[3C404E]보스 NORMAL 토벌로 오픈!",28,71046031
"보스 NORMAL 토벌로 오픈!",10045,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",110501,"[3C404E]보스 NORMAL 토벌로 오픈!",29,71045035
"보스 NORMAL 토벌로 오픈!",10049,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",111201,"[3C404E]보스 NORMAL 토벌로 오픈!",30,71049031
"보스 NORMAL 토벌로 오픈!",10050,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114101,"[3C404E]보스 NORMAL 토벌로 오픈!",31,71050031
"보스 NORMAL 토벌로 오픈!",10053,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",109801,"[3C404E]보스 NORMAL 토벌로 오픈!",32,71053031
"보스 NORMAL 토벌로 오픈!",10054,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114601,"[3C404E]보스 NORMAL 토벌로 오픈!",33,71054033
"보스 NORMAL 토벌로 오픈!",10055,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",111601,"[3C404E]보스 NORMAL 토벌로 오픈!",34,71055031
"보스 NORMAL 토벌로 오픈!",10056,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114701,"[3C404E]보스 NORMAL 토벌로 오픈!",35,71056032
"보스 NORMAL 토벌로 오픈!",10057,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112101,"[3C404E]보스 NORMAL 토벌로 오픈!",36,71057031
"보스 NORMAL 토벌로 오픈!",10058,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",115601,"[3C404E]보스 NORMAL 토벌로 오픈!",37,71058032
"보스 NORMAL 토벌로 오픈!",10060,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112301,"[3C404E]보스 NORMAL 토벌로 오픈!",38,71060031
"보스 NORMAL 토벌로 오픈!",10061,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",115801,"[3C404E]보스 NORMAL 토벌로 오픈!",39,71061032
"보스 NORMAL 토벌로 오픈!",10062,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",112601,"[3C404E]보스 NORMAL 토벌로 오픈!",40,71062031
"보스 NORMAL 토벌로 오픈!",10068,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",116801,"[3C404E]보스 NORMAL 토벌로 오픈!",41,71068032
"보스 NORMAL 토벌로 오픈!",10069,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113001,"[3C404E]보스 NORMAL 토벌로 오픈!",42,71069031
"보스 NORMAL 토벌로 오픈!",10071,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113201,"[3C404E]보스 NORMAL 토벌로 오픈!",43,71071031
"보스 NORMAL 토벌로 오픈!",10072,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",117401,"[3C404E]보스 NORMAL 토벌로 오픈!",44,71072032
"보스 NORMAL 토벌로 오픈!",10073,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",113501,"[3C404E]보스 NORMAL 토벌로 오픈!",45,71073031
"보스 NORMAL 토벌로 오픈!",10076,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",117801,"[3C404E]보스 NORMAL 토벌로 오픈!",46,71076032
"보스 NORMAL 토벌로 오픈!",10077,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114101,"[3C404E]보스 NORMAL 토벌로 오픈!",47,71077031
"보스 NORMAL 토벌로 오픈!",10080,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",119201,"[3C404E]보스 NORMAL 토벌로 오픈!",48,71080032
"보스 NORMAL 토벌로 오픈!",10081,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114601,"[3C404E]보스 NORMAL 토벌로 오픈!",49,71081033
"보스 NORMAL 토벌로 오픈!",10082,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",120801,"[3C404E]보스 NORMAL 토벌로 오픈!",50,71082032
"보스 NORMAL 토벌로 오픈!",10083,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",114701,"[3C404E]보스 NORMAL 토벌로 오픈!",51,71083032
"보스 NORMAL 토벌로 오픈!",10085,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",121201,"[3C404E]보스 NORMAL 토벌로 오픈!",52,71085032
"보스 NORMAL 토벌로 오픈!",10086,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",115601,"[3C404E]보스 NORMAL 토벌로 오픈!",53,71086032
"보스 NORMAL 토벌로 오픈!",10089,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",115801,"[3C404E]보스 NORMAL 토벌로 오픈!",54,71089032
"보스 NORMAL 토벌로 오픈!",10094,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122101,"[3C404E]보스 NORMAL 토벌로 오픈!",55,71094032
"보스 NORMAL 토벌로 오픈!",10095,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",116801,"[3C404E]보스 NORMAL 토벌로 오픈!",56,71095032
"보스 NORMAL 토벌로 오픈!",10096,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122401,"[3C404E]보스 NORMAL 토벌로 오픈!",57,71096032
"보스 NORMAL 토벌로 오픈!",10098,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122801,"[3C404E]보스 NORMAL 토벌로 오픈!",58,71098032
"보스 NORMAL 토벌로 오픈!",10099,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",117401,"[3C404E]보스 NORMAL 토벌로 오픈!",59,71099032
"보스 NORMAL 토벌로 오픈!",10102,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",123501,"[3C404E]보스 NORMAL 토벌로 오픈!",60,71102032
"보스 NORMAL 토벌로 오픈!",10103,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",117801,"[3C404E]보스 NORMAL 토벌로 오픈!",61,71103032
"보스 NORMAL 토벌로 오픈!",10106,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124101,"[3C404E]보스 NORMAL 토벌로 오픈!",62,71106032
"보스 NORMAL 토벌로 오픈!",10107,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",119201,"[3C404E]보스 NORMAL 토벌로 오픈!",63,71107032
"보스 NORMAL 토벌로 오픈!",10108,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124701,"[3C404E]보스 NORMAL 토벌로 오픈!",64,71108032
"보스 NORMAL 토벌로 오픈!",10109,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",120801,"[3C404E]보스 NORMAL 토벌로 오픈!",65,71109032
"보스 NORMAL 토벌로 오픈!",10110,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124901,"[3C404E]보스 NORMAL 토벌로 오픈!",66,71110032
"보스 NORMAL 토벌로 오픈!",10113,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",121201,"[3C404E]보스 NORMAL 토벌로 오픈!",67,71113032
"보스 NORMAL 토벌로 오픈!",10118,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",125701,"[3C404E]보스 NORMAL 토벌로 오픈!",68,71118032
"보스 NORMAL 토벌로 오픈!",10121,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122101,"[3C404E]보스 NORMAL 토벌로 오픈!",69,71121032
"보스 NORMAL 토벌로 오픈!",10122,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",126701,"[3C404E]보스 NORMAL 토벌로 오픈!",70,71122032
"보스 NORMAL 토벌로 오픈!",10123,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122401,"[3C404E]보스 NORMAL 토벌로 오픈!",71,71123032
"보스 NORMAL 토벌로 오픈!",10124,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",127001,"[3C404E]보스 NORMAL 토벌로 오픈!",72,71124032
"보스 NORMAL 토벌로 오픈!",10125,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",122801,"[3C404E]보스 NORMAL 토벌로 오픈!",73,71125032
"보스 NORMAL 토벌로 오픈!",10129,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",123501,"[3C404E]보스 NORMAL 토벌로 오픈!",74,71129032
"보스 NORMAL 토벌로 오픈!",10134,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",128301,"[3C404E]보스 NORMAL 토벌로 오픈!",75,71134032
"보스 NORMAL 토벌로 오픈!",10133,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124101,"[3C404E]보스 NORMAL 토벌로 오픈!",76,71133032
"보스 NORMAL 토벌로 오픈!",10135,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124701,"[3C404E]보스 NORMAL 토벌로 오픈!",77,71135032
"보스 NORMAL 토벌로 오픈!",10136,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",128801,"[3C404E]보스 NORMAL 토벌로 오픈!",78,71136032
"보스 NORMAL 토벌로 오픈!",10138,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",124901,"[3C404E]보스 NORMAL 토벌로 오픈!",79,71138032
"보스 NORMAL 토벌로 오픈!",10145,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",125701,"[3C404E]보스 NORMAL 토벌로 오픈!",80,71145032
"보스 NORMAL 토벌로 오픈!",10149,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",126701,"[3C404E]보스 NORMAL 토벌로 오픈!",83,71149032
"보스 NORMAL 토벌로 오픈!",10151,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",127001,"[3C404E]보스 NORMAL 토벌로 오픈!",84,71151032
"보스 NORMAL 토벌로 오픈!",10160,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",133201,"[3C404E]보스 NORMAL 토벌로 오픈!",86,71160032
"보스 NORMAL 토벌로 오픈!",10163,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",128301,"[3C404E]보스 NORMAL 토벌로 오픈!",87,71163032
"보스 NORMAL 토벌로 오픈!",10164,"[3C404E]이벤트를 진행하여 보스에 도전! \n보스 NORMAL을 토벌하면 한정 캐릭터 획득![-]",128801,"[3C404E]보스 NORMAL 토벌로 오픈!",88,71164032
