param_03,command_type,param_01,param_04,param_02,param_08,drama_id,param_06,param_05,param_07,command_id
10,11,2,1,"아아아, 아니 아무 말도 안했어입니다~?\n그런 것보다 온천입니다!\n이 뜨거움은 보통 일이 아니에요……\n분명 위험한 것이 들어있어입니다!",0.2,1010801,0,1,0,1010801043
"",91,0,"","","",1010801,"","","",1010801044
1,3,2,"",dsb_idle_surprise1_normal,"",1010801,0.5,"","",1010801045
1,3,1,"",dsb_talk_bitter,"",1010801,0.5,"","",1010801046
0,21,vo_dsb_1010801,0,vo_dsb_1006,"",1010801,"","","",1010801047
10,11,1,1,"남 듣기 나쁘게~\n위험한 것은 안 들어있어~\n……오히려 이노리도\n잘 아는 거고?",0.2,1010801,0,1,0,1010801048
"",91,0,"","","",1010801,"","","",1010801049
1,3,1,"",dsb_idle_normal,"",1010801,0.5,"","",1010801050
1,3,2,"",dsb_sniff,"",1010801,0.5,"","",1010801051
0,21,vo_dsb_1010801,0,vo_dsb_1007,"",1010801,"","","",1010801052
10,11,2,1,"듣고 보니…… 킁킁.\n이 탕의 냄새,\n어딘가에서 맡은 적 있는 느낌이 들어입니다.",0.2,1010801,0,1,0,1010801053
"",91,0,"","","",1010801,"","","",1010801054
1,3,2,"",dsb_idle_normal,"",1010801,0.5,"","",1010801055
1,3,1,"",dsb_talk_joy3,"",1010801,0.5,"","",1010801056
0,21,vo_dsb_1010801,0,vo_dsb_1008,"",1010801,"","","",1010801057
10,11,1,1,"그렇지~?\n정답은~……\n모조 드래곤에게서 받은,\n먹으면 불을 내뿜을 수 있는 나무 열매였습니다~☆",0.2,1010801,0,1,0,1010801058
"",91,0,"","","",1010801,"","","",1010801059
1,3,1,"",dsb_idle_normal,"",1010801,0.5,"","",1010801060
0,3,2,dsb_talk_guts2_loop,dsb_talk_guts2,"",1010801,0.5,1,0.5,1010801061
0,21,vo_dsb_1010801,0,vo_dsb_1009,"",1010801,"","","",1010801062
10,11,2,1,"아앗!?\n그 불의 열매인가요!\n그렇다면 이 뜨거움도 납득입니다!\n그 녀석, 건강했어입니까?",0.2,1010801,0,1,0,1010801063
"",91,0,"","","",1010801,"","","",1010801064
1,3,2,"",dsb_idle_guts2,"",1010801,0.5,"","",1010801065
1,3,1,"",dsb_talk_normal,"",1010801,0.5,"","",1010801066
0,21,vo_dsb_1010801,0,vo_dsb_1010,"",1010801,"","","",1010801067
10,11,1,1,"응☆\n나를 기억해 준 모양이라서?\n바로 열매를 나눠줬어~♪\n흔쾌히~ 말이지?",0.2,1010801,0,1,0,1010801068
"",91,0,"","","",1010801,"","","",1010801069
1,3,1,"",dsb_hot,"",1010801,0.5,"","",1010801070
0,21,vo_dsb_1010801,0,vo_dsb_1011,"",1010801,"","","",1010801071
10,11,1,1,"그나저나……\n후우.\n열매를 너무 많이 넣은 걸까~?\n조금 화끈해졌어~",0.2,1010801,0,1,0,1010801072
"",91,0,"","","",1010801,"","","",1010801073
1,3,1,"",dsb_hot_loop,"",1010801,0.5,"","",1010801074
1,3,2,"",dsb_talk_thinking_Ex9,"",1010801,0.3,"","",1010801075
0,21,vo_dsb_1010801,0,vo_dsb_1012,"",1010801,"","","",1010801076
10,11,2,1,"(이, 이건…… 찬스예요!\n나보다도 먼저 보스가 현기증이 나면\n그 시점에서 보스는 나보다 풋내기!\n즉, 내 승리! THE 하극상!)",0.2,1010801,0,1,0,1010801077
"",91,0,"","","",1010801,"","","",1010801078
0,3,2,dsb_talk_arm_crossed_Ex10_loop,dsb_talk_arm_crossed_Ex10,"",1010801,0.5,1,0.5,1010801079
0,21,vo_dsb_1010801,0,vo_dsb_1013,"",1010801,"","","",1010801080
10,11,2,1,"큭큭크……\n이 승부, 받아주겠어입니다~!\n앗~핫핫핫하!",0.2,1010801,0,1,0,1010801081
"",93,5.6,"",1,"",1010801,"","","",1010801082
0,3,2,dsb_ahaha_loop,dsb_ahaha_in,"",1010801,0.5,1,0,1010801083
"",91,1010801081,"","","",1010801,"","","",1010801084
"",32,40,"",1,"",1010801,"","","",1010801085
"",93,1.5,"",0,"",1010801,"","","",1010801086
1,3,2,"",dsb_inori_dizzy,"",1010801,0,"","",1010801087
1,3,1,"",dsb_idle_normal,"",1010801,0,"","",1010801088
"",93,0.5,"",0,"",1010801,"","","",1010801089
"",22,0,"",0,"",1010801,"","","",1010801090
"",93,1,"",0,"",1010801,"","","",1010801091
0,3,1,dsb_talk_joy3,dsb_smile4,"",1010801,0.5,1,0.2,1010801092
0,21,vo_dsb_1010801,0,vo_dsb_1014,"",1010801,"","","",1010801093
10,11,1,1,"으~음♪\n드디어 따뜻해졌다~\n그렇지, 이노리?",0.2,1010801,0,1,0,1010801094
"",91,0,"","","",1010801,"","","",1010801095
1,3,1,"",dsb_idle_normal,"",1010801,0.5,"","",1010801096
0,21,vo_dsb_1010801,0,vo_dsb_1015,"",1010801,"","","",1010801097
10,11,2,1,"삐……\n삐이이이이……\n삶은 드래곤족이 되고 말겠어입니다~!",0.2,1010801,0,1,0,1010801098
"",91,0,"","","",1010801,"","","",1010801099
"",22,0,"",0,"",1010801,"","","",1010801100
0,23,se_10044200,"",se_10044200_get_out_water,"",1010801,"","","",1010801101
0,3,2,dsb_inori_stand_up_loop,dsb_inori_stand_up_in,"",1010801,0.2,1,0.2,1010801102
0,3,1,dsb_idle_normal,dsb_smile2,"",1010801,0.3,1,0.2,1010801103
"",93,0.3,"",0,"",1010801,"","","",1010801104
0,23,se_adv_emote_sweat_02,"",se_adv_emote_sweat_02,"",1010801,"","","",1010801105
1.4,12,2,0,2,0,1010801,0,0,0,1010801106
1.4,12,1,0,10,0,1010801,0,0,0,1010801107
"",93,2.5,"",0,"",1010801,"","","",1010801108
70,5,12,-165,1,dsb_idle_normal,1010802,2,-345,0,1010802001
70,5,6,165,2,dsb_idle_normal,1010802,2,-345,1,1010802002
0,31,1,0,1,"",1010802,1,1,"",1010802003
0,31,3,0,3,"",1010802,1,1,"",1010802004
0,31,4,0,4,"",1010802,1,1,"",1010802005
0,31,16,0,10,"",1010802,1,1,"",1010802006
0,31,26,0,20,"",1010802,1,1,"",1010802007
155,31,36,-168,30,"",1010802,1,1,"",1010802008
-155,31,36,-168,31,"",1010802,1,1,"",1010802009
"",13,1,"",170,"",1010802,"","","",1010802010
"",13,2,"",170,"",1010802,"","","",1010802011
"",91,0,"","","",1010802,"","","",1010802012
1,23,se_10044200,"",se_10044200_cmn_amb,"",1010802,"","","",1010802013
0,23,se_10044200,"",se_10044200_cmn_steam,"",1010802,"","","",1010802014
"",93,6,"",0,"",1010802,"","","",1010802015
1,23,se_10044200,"",se_10044200_hotspring_06,"",1010802,"","","",1010802016
"",93,1.5,"",0,"",1010802,"","","",1010802017
0,3,2,dsb_talk_joy1,dsb_smile3_joy,"",1010802,0.5,1,0.5,1010802018
0,21,vo_dsb_1010802,0,vo_dsb_2001,"",1010802,"","","",1010802019
10,11,2,1,"대박~! 목욕탕, 넓~다☆\n온천 왔다는 느낌 진심 대박!\n게다가 미사톳치랑도 만난다든가\n완~전 웃기고! 신난다~♪",0.2,1010802,0,1,0,1010802020
"",91,0,"","","",1010802,"","","",1010802021
1,3,2,"",dsb_idle_joy1,"",1010802,0.5,"","",1010802022
1,3,1,"",dsb_talk_normal_joy,"",1010802,0.5,"","",1010802023
0,21,vo_dsb_1010802,0,vo_dsb_2002,"",1010802,"","","",1010802024
10,11,1,1,"오랜만이네~ 스즈나♪\n오늘의 온천은 말이야\n꽃의 아로마 온천으로 해봤어.\n향기도 좋고, 피부에도 좋단다~",0.2,1010802,0,1,0,1010802025
"",91,0,"","","",1010802,"","","",1010802026
1,3,1,"",dsb_idle_normal,"",1010802,0.5,"","",1010802027
0,3,2,dsb_talk_surprise1_2,dsb_surprise2,"",1010802,0.5,1,0.5,1010802028
0,21,vo_dsb_1010802,0,vo_dsb_2003,"",1010802,"","","",1010802029
10,11,2,1,"대바박, 온천 천재잖아!\n미용에도 좋다니 쩔어!\n여기 가르쳐 준\n이오에게 감사해야지♪",0.2,1010802,0,1,0,1010802030
"",93,6.5,"",1,"",1010802,"","","",1010802031
1,3,2,"",dsb_talk_joy3,"",1010802,0.5,"","",1010802032
"",91,1010802030,"","","",1010802,"","","",1010802033
0,3,2,dsb_talk_guts2_doya_loop,dsb_talk_guts2_doya,"",1010802,0.3,1,0.5,1010802034
0,21,vo_dsb_1010802,0,vo_dsb_2004,"",1010802,"","","",1010802035
10,11,2,1,"좋~았어!\n그럼 푸~욱 담가서~\n피부 반들반들하게 만들어서~\n히데사이를 깜짝 놀라게 해줘야지~☆",0.2,1010802,0,1,0,1010802036
"",91,0,"","","",1010802,"","","",1010802037
1,3,2,"",dsb_talk_worry_normal2,"",1010802,0.5,"","",1010802038
0,21,vo_dsb_1010802,0,vo_dsb_2005,"",1010802,"","","",1010802039
10,11,2,1,"아, 글치~!\n깜짝이라고 하니까 말이지~?\n여기도 더 쩐다는 느낌\n내도 좋지 않아?",0.2,1010802,0,1,0,1010802040
"",91,0,"","","",1010802,"","","",1010802041
1,3,2,"",dsb_idle_normal,"",1010802,0.5,"","",1010802042
1,3,1,"",dsb_talk_surprise1,"",1010802,0.5,"","",1010802043
0,21,vo_dsb_1010802,0,vo_dsb_2006,"",1010802,"","","",1010802044
10,11,1,1,"쩐다는 느낌?",0.2,1010802,0,1,0,1010802045
"",91,0,"","","",1010802,"","","",1010802046
1,3,1,"",dsb_idle_wish_normal,"",1010802,0.2,"","",1010802047
1,3,2,"",dsb_talk_surprise1_normal2,"",1010802,0.5,"","",1010802048
0,21,vo_dsb_1010802,0,vo_dsb_2007,"",1010802,"","","",1010802049
10,11,2,1,"마자마자!\n다들 한 방에 대바박!\n이라고 알 수 있게 하는 거야!",0.2,1010802,0,1,0,1010802050
"",91,0,"","","",1010802,"","","",1010802051
1,3,2,"",dsb_talk_surprise1_talkjoy2,"",1010802,0.5,"","",1010802052
0,21,vo_dsb_1010802,0,vo_dsb_2008,"",1010802,"","","",1010802053
10,11,2,1,"분위기 바뀌면 인기를 끌 수도 있고!\n무지 귀여운 목욕탕이면\n손님도 마구마구 올 거야!",0.2,1010802,0,1,0,1010802054
"",91,0,"","","",1010802,"","","",1010802055
1,3,2,"",dsb_idle_joy1,"",1010802,0.5,"","",1010802056
1,3,1,"",dsb_talk_joy3,"",1010802,0.5,"","",1010802057
0,21,vo_dsb_1010802,0,vo_dsb_2009,"",1010802,"","","",1010802058
10,11,1,1,"귀여운 목욕탕……\n궁금하네~♪\n어떤 느낌이 되려나?",0.2,1010802,0,1,0,1010802059
"",91,0,"","","",1010802,"","","",1010802060
1,3,1,"",dsb_idle_sad_talkjoy2,"",1010802,0.5,"","",1010802061
1,3,2,"",dsb_talk_worry_normal2,"",1010802,0.5,"","",1010802062
0,21,vo_dsb_1010802,0,vo_dsb_2010,"",1010802,"","","",1010802063
10,11,2,1,"음~\n역시 꽃은 더 띄워야지!\n물론 여러 종류로!\n컬러풀하면 파바박 느낌 오니까♪",0.2,1010802,0,1,0,1010802064
"",91,0,"","","",1010802,"","","",1010802065
1,3,2,"",dsb_idle_normal,"",1010802,0.5,"","",1010802066
1,3,1,"",dsb_talk_memory,"",1010802,0.5,"","",1010802067
0,21,vo_dsb_1010802,0,vo_dsb_2011,"",1010802,"","","",1010802068
10,11,1,1,"마치 온천 꽃밭이네~♪\n형형색색의 꽃에 둘러싸여서\n목욕할 수 있다니…… 우후후♪\n상상하는 것만으로 기분이 좋아져~",0.2,1010802,0,1,0,1010802069
"",91,0,"","","",1010802,"","","",1010802070
1,3,1,"",dsb_talk_normal,"",1010802,0.5,"","",1010802071
0,21,vo_dsb_1010802,0,vo_dsb_2012,"",1010802,"","","",1010802072
10,11,1,1,"그러네, 그거라면……\n꽃향기끼리의 궁합도 신경 쓰고 싶네.\n또 꽃말의 의미도.",0.2,1010802,0,1,0,1010802073
"",91,0,"","","",1010802,"","","",1010802074
1,3,1,"",dsb_idle_normal,"",1010802,0.5,"","",1010802075
0,3,2,dsb_talk_surprise1,dsb_surprise,"",1010802,0.5,1,0.5,1010802076
0,21,vo_dsb_1010802,0,vo_dsb_2013,"",1010802,"","","",1010802077
10,11,2,1,"어?\n꽃말?",0.2,1010802,0,1,0,1010802078
"",91,0,"","","",1010802,"","","",1010802079
1,3,2,"",dsb_idle_surprise1,"",1010802,0.5,"","",1010802080
1,3,1,"",dsb_talk_worry_normal2,"",1010802,0.5,"","",1010802081
0,21,vo_dsb_1010802,0,vo_dsb_2014,"",1010802,"","","",1010802082
10,11,1,1,"꽃에는 말이야, 그 하나하나에\n의미가 있어.\n누군가에게 선물할 때는\n상대에게 보내는 메시지도 된단다~",0.2,1010802,0,1,0,1010802083
"",91,0,"","","",1010802,"","","",1010802084
1,3,1,"",dsb_talk_wish_dere,"",1010802,0.3,"","",1010802085
0,21,vo_dsb_1010802,0,vo_dsb_2015,"",1010802,"","","",1010802086
10,11,1,1,"참고로 오늘의 꽃의 의미는……\n『사랑하는 당신을 위해서』\n우후후, 멋지지♪",0.2,1010802,0,1,0,1010802087
"",91,0,"","","",1010802,"","","",1010802088
1,3,1,"",dsb_idle_wish_normal,"",1010802,0.5,"","",1010802089
1,3,2,"",dsb_talk_anger_shy2,"",1010802,0.5,"","",1010802090
0,21,vo_dsb_1010802,0,vo_dsb_2016,"",1010802,"","","",1010802091
10,11,2,1,"사, 사랑하는……!\n잠깐, 그거 진심……?\n그런 거, 직접적으로……\n뭔가………… 치사하잖아.",0.2,1010802,0,1,0,1010802092
"",91,0,"","","",1010802,"","","",1010802093
1,3,2,"",dsb_talk_sad2_dead,"",1010802,0.5,"","",1010802094
0,21,vo_dsb_1010802,0,vo_dsb_2017,"",1010802,"","","",1010802095
10,11,2,1,"으음……\n핫해지는 계획, 취소.\n……아~ 뜨거.",0.2,1010802,0,1,0,1010802096
"",91,0,"","","",1010802,"","","",1010802097
1,3,2,"",dsb_hot_dead_loop,"",1010802,0.2,"","",1010802098
0,3,1,dsb_talk_normal_dere2,dsb_smile2_dere2,"",1010802,0.5,1,0.5,1010802099
0,21,vo_dsb_1010802,0,vo_dsb_2018,"",1010802,"","","",1010802100
10,11,1,1,"우후후♪\n현기증 나지 않게 조심하렴.",0.2,1010802,0,1,0,1010802101
"",91,0,"","","",1010802,"","","",1010802102
"",93,0.3,"",0,"",1010802,"","","",1010802103
70,5,11,-165,1,dsb_idle_normal,1010803,2,-345,0,1010803001
70,5,2,165,2,dsb_idle_normal,1010803,2,-345,1,1010803002
0,31,1,0,1,"",1010803,1,1,"",1010803003
0,31,3,0,3,"",1010803,1,1,"",1010803004
0,31,4,0,4,"",1010803,1,1,"",1010803005
0,31,12,0,10,"",1010803,1,1,"",1010803006
0,31,22,0,20,"",1010803,1,1,"",1010803007
155,31,32,-168,30,"",1010803,1,1,"",1010803008
-155,31,32,-168,31,"",1010803,1,1,"",1010803009
"",13,1,"",170,"",1010803,"","","",1010803010
"",13,2,"",170,"",1010803,"","","",1010803011
"",91,0,"","","",1010803,"","","",1010803012
1,23,se_10044200,"",se_10044200_cmn_amb,"",1010803,"","","",1010803013
0,23,se_10044200,"",se_10044200_cmn_steam,"",1010803,"","","",1010803014
"",93,6.2,"",0,"",1010803,"","","",1010803015
1,23,se_10044200,"",se_10044200_hotspring_02,"",1010803,"","","",1010803016
"",93,1.3,"",0,"",1010803,"","","",1010803017
0,3,2,dsb_talk_anger_dere2,dsb_smile3_kyouka,"",1010803,0.5,1,0.5,1010803018
0,21,vo_dsb_1010803,0,vo_dsb_3001,"",1010803,"","","",1010803019
10,11,2,1,"와앗……\n엄청나, 보글보글하네……!\n정말로 메론 소다 탕에\n들어와 있는 것 같아……♪",0.2,1010803,0,1,0,1010803020
"",91,0,"","","",1010803,"","","",1010803021
1,3,2,"",dsb_idle_joy1_Ex2,"",1010803,0.5,"","",1010803022
1,3,1,"",dsb_talk_normal_dere,"",1010803,0.5,"","",1010803023
0,21,vo_dsb_1010803,0,vo_dsb_3002,"",1010803,"","","",1010803024
10,11,1,1,"후후후, 근사하지?\n아이들이 기뻐해 줄 만한\n온천으로 만들고 싶다는 생각에 만들었어.",0.2,1010803,0,1,0,1010803025
"",91,0,"","","",1010803,"","","",1010803026
1,3,1,"",dsb_idle_normal,"",1010803,0.5,"","",1010803027
1,3,2,"",dsb_talk_surprise1,"",1010803,0.5,"","",1010803028
0,21,vo_dsb_1010803,0,vo_dsb_3003,"",1010803,"","","",1010803029
10,11,2,1,"그랬군요……",0.2,1010803,0,1,0,1010803030
"",91,0,"","","",1010803,"","","",1010803031
1,3,2,"",dsb_idle_surprise1_look,"",1010803,0.5,"","",1010803032
0,21,vo_dsb_1010803,0,vo_dsb_3004,"",1010803,"","","",1010803033
10,11,2,1,"(어쩐지 수상한 사람인가 싶었는데\n사실은 좋은 사람인 걸까……)",0.2,1010803,0,1,0,1010803034
"",91,0,"","","",1010803,"","","",1010803035
1,3,2,"",dsb_talk_thinking,"",1010803,0.3,"","",1010803036
0,21,vo_dsb_1010803,0,vo_dsb_3005,"",1010803,"","","",1010803037
10,11,2,1,"확실히 아이들은 기뻐하겠네요.\n……저, 저도 무심코\n동심으로 돌아가 버렸으니까요.",0.2,1010803,0,1,0,1010803038
"",91,0,"","","",1010803,"","","",1010803039
1,3,2,"",dsb_idle_arm_crossed,"",1010803,0.5,"","",1010803040
1,3,1,"",dsb_talk_thinking_normal2,"",1010803,0.5,"","",1010803041
0,21,vo_dsb_1010803,0,vo_dsb_3006,"",1010803,"","","",1010803042
10,11,1,1,"동심……?\n아아, 그렇구나.\n그건 다행이야♪",0.2,1010803,0,1,0,1010803043
"",91,0,"","","",1010803,"","","",1010803044
1,3,1,"",dsb_idle_arm_crossed,"",1010803,0.5,"","",1010803045
1,3,2,"",dsb_talk_sad2_Ex5,"",1010803,0.5,"","",1010803046
"",22,0,"",0,"",1010803,"","","",1010803047
0,21,vo_dsb_1010803,0.9,vo_dsb_3007,"",1010803,"","","",1010803048
10,11,2,1,"……뭔가 걸리는 거라도?",0.2,1010803,0,1,0,1010803049
"",91,0,"","","",1010803,"","","",1010803050
1,3,2,"",dsb_idle_sad_blink,"",1010803,0.5,"","",1010803051
1,3,1,"",dsb_talk_sad_dere,"",1010803,0.5,"","",1010803052
0,21,vo_dsb_1010803,0,vo_dsb_3008,"",1010803,"","","",1010803053
10,11,1,1,"아니, 아무것도♪",0.2,1010803,0,1,0,1010803054
"",91,0,"","","",1010803,"","","",1010803055
1,3,2,"",dsb_idle_normal,"",1010803,0.5,"","",1010803056
1,3,1,"",dsb_talk_normal_joy,"",1010803,0.5,"","",1010803057
0,21,vo_dsb_1010803,0,vo_dsb_3009,"",1010803,"","","",1010803058
10,11,1,1,"그런데……\n동심으로 돌아가면 큰 욕탕에서\n헤엄치고 싶어지거나 하지?\n쿄우카는 어때?",0.2,1010803,0,1,0,1010803059
"",91,0,"","","",1010803,"","","",1010803060
1,3,1,"",dsb_idle_normal,"",1010803,0.5,"","",1010803061
1,3,2,"",dsb_talk_tsun_shy,"",1010803,0.5,"","",1010803062
0,21,vo_dsb_1010803,0,vo_dsb_3010,"",1010803,"","","",1010803063
10,11,2,1,"헤엄이라니……!\n안 해요, 그런 행동!\n경박하고요……",0.2,1010803,0,1,0,1010803064
"",91,0,"","","",1010803,"","","",1010803065
1,3,2,"",dsb_idle_anger,"",1010803,0.5,"","",1010803066
1,3,1,"",dsb_talk_normal,"",1010803,0.5,"","",1010803067
0,21,vo_dsb_1010803,0,vo_dsb_3011,"",1010803,"","","",1010803068
10,11,1,1,"경박하다니……\n지금은 우리 둘뿐이야.\n메론 소다 안에서 헤엄치면\n분명 즐거울 거라고 생각하는데……?",0.2,1010803,0,1,0,1010803069
"",91,0,"","","",1010803,"","","",1010803070
1,3,1,"",dsb_idle_normal,"",1010803,0.5,"","",1010803071
1,3,2,"",dsb_talk_surprise1_shy,"",1010803,0.5,"","",1010803072
0,21,vo_dsb_1010803,0,vo_dsb_3012,"",1010803,"","","",1010803073
10,11,2,1,"그, 그건……\n즐거울 것 같지만……\n저도 조금 헤엄칠 수 있게 됐고……\n하지만, 매너상…… 으~음……",0.2,1010803,0,1,0,1010803074
"",91,0,"","","",1010803,"","","",1010803075
1,3,2,"",dsb_idle_surprise1_normal,"",1010803,0.5,"","",1010803076
1,3,1,"",dsb_talk_thinking_joy,"",1010803,0.5,"","",1010803077
"",22,0,"",0,"",1010803,"","","",1010803078
0,21,vo_dsb_1010803,0.9,vo_dsb_3013,"",1010803,"","","",1010803079
10,11,1,1,"……후후후.\n그럼, 나는 헤엄쳐 볼까나~?",0.2,1010803,0,1,0,1010803080
"",91,0,"","","",1010803,"","","",1010803081
1,3,1,"",dsb_idle_joy1,"",1010803,0.5,"","",1010803082
0,3,2,dsb_talk_surprise1_2,dsb_surprise2,"",1010803,0.5,1,0.5,1010803083
0,21,vo_dsb_1010803,0,vo_dsb_3014,"",1010803,"","","",1010803084
10,11,2,1,"네에!?\n그럴 수가, 치사해요.\n그러면…… 저, 저도!",0.2,1010803,0,1,0,1010803085
"",93,3.5,"",1,"",1010803,"","","",1010803086
1,3,2,"",dsb_talk_anger_shy2,"",1010803,0.5,"","",1010803087
"",91,1010803085,"","","",1010803,"","","",1010803088
"",22,0,"",0,"",1010803,"","","",1010803089
1,3,2,"",dsb_surprise_kyouka,"",1010803,0.2,"","",1010803090
1,3,1,"",dsb_surprise_mitsuki,"",1010803,0.2,"","",1010803091
"",93,0.7,"",0,"",1010803,"","","",1010803092
0,3,2,dsb_idle_normal_Ex1,dsb_smile2_kyouka,"",1010803,0.3,1,0.2,1010803093
0,3,1,dsb_idle_normal,dsb_smile2_mitsuki2,"",1010803,0.3,1,0.2,1010803094
"",93,0.3,"",0,"",1010803,"","","",1010803095
0,23,se_adv_emote_common_01,"",se_adv_emote_common_01,"",1010803,"","","",1010803096
1.4,12,2,0,10,0,1010803,0,0,0,1010803097
1.4,12,1,0,10,0,1010803,0,0,0,1010803098
"",93,2,"",0,"",1010803,"","","",1010803099
70,1,1,-475,124531,dsb_idle_normal,1010804,2,-219,0,1010804001
70,5,7,0,2,dsb_idle_relax_Ex2,1010804,2,-360,1,1010804002
71,5,10,-345,99,dsb_empty,1010804,2,-219,0,1010804003
0,31,1,0,1,"",1010804,1,1,"",1010804004
0,31,3,0,3,"",1010804,1,1,"",1010804005
0,31,4,0,4,"",1010804,1,1,"",1010804006
0,31,17,0,10,"",1010804,1,1,"",1010804007
0,31,27,0,20,"",1010804,1,1,"",1010804008
-10,31,37,-183,30,"",1010804,1,1,"",1010804009
0,31,43,0,43,"",1010804,1,1,"",1010804010
130,31,44,0,44,"",1010804,0,1,"",1010804011
133,31,45,-141,45,"",1010804,0,1,"",1010804012
130,31,46,0,46,"",1010804,0,1,"",1010804013
142,31,47,-212,47,"",1010804,0,1,"",1010804014
142,31,48,-212,48,"",1010804,0,1,"",1010804015
"",13,124531,"",170,"",1010804,"","","",1010804016
"",13,2,"",170,"",1010804,"","","",1010804017
"",91,0,"","","",1010804,"","","",1010804018
1,23,se_10044200,"",se_10044200_cmn_amb,"",1010804,"","","",1010804019
0,23,se_10044200,"",se_10044200_cmn_steam,"",1010804,"","","",1010804020
"",93,6,"",0,"",1010804,"","","",1010804021
1,23,se_10044200,"",se_10044200_hotspring_07,"",1010804,"","","",1010804022
"",93,1.5,"",0,"",1010804,"","","",1010804023
1,3,2,"",dsb_idle_relax_blink,"",1010804,0.5,"","",1010804024
0,21,vo_dsb_1010804,0,vo_dsb_4001,"",1010804,"","","",1010804025
10,11,2,1,"…………",0.2,1010804,0,1,0,1010804026
"",91,0,"","","",1010804,"","","",1010804027
1,3,2,"",dsb_idle_relax_Ex2,"",1010804,0.5,"","",1010804028
0,33,3,2,130,"",1010804,"",12,"",1010804029
0,33,4,2,130,"",1010804,"",12,"",1010804030
0,33,20,2,130,"",1010804,"",12,"",1010804031
-183,33,30,2,120,"",1010804,"",12,"",1010804032
0,33,43,2,130,"",1010804,"",12,"",1010804033
-219,2,124531,2,-345,"",1010804,"",12,"",1010804034
-360,2,2,2,130,"",1010804,"",12,"",1010804035
"",93,2.5,"",0,"",1010804,"","","",1010804036
1,3,124531,"",dsb_idle_surprise1,"",1010804,0.3,"","",1010804037
0,21,vo_dsb_1010804,0,vo_dsb_4002,"",1010804,"","","",1010804038
10,11,124531,1,"(저 애……\n어쩐지 계속 조용하네~\n전격이 너무 강했나?)",0.2,1010804,0,1,0,1010804039
"",91,0,"","","",1010804,"","","",1010804040
1,3,124531,"",dsb_talk_wish,"",1010804,0.2,"","",1010804041
