param_04,param_01,param_03,command_id,param_05,param_07,param_02,command_type,param_08,drama_id,param_06
"",110831,1,11020010,"","",nyx_102_chloe_02,3,"",102,0.2
"",110831,10,11020011,"","","다음은 내 차례인가…\n어, 치에루 다음은\n은근히 불리하지 않아?",11,"",102,""
"",0,"",11020012,"","",1,91,"",102,""
"",110831,1,11020013,"","",nyx_idle_sad,3,"",102,0.2
"",110831,10,11020014,"","","저 녀석은 반드시 처음 만나면\n치에루 치에루 하고\n현장을 썰렁하게 하니까…",11,"",102,""
"",0,"",11020015,"","",1,91,"",102,""
nyx_102_chloe_02,110831,0,11020016,1,0.2,cmn_pose02_def_N,3,"",102,0.2
"",110831,10,11020017,"","","뭐, 상관없지만 뭐든…\n그보다 안에 있는 사람들\n괜찮은 거야?",11,"",102,""
"",3,"",11020018,"","","",93,"",102,""
"",103231,1,11020019,"","",nyx_idle_normal,3,"",102,0.2
"",104631,1,11020020,"","",nyx_talk_sad,3,"",102,0.2
"",110831,"",11020021,"","",0,4,"",102,""
"",11020016,"",11020022,"","","",91,"",102,""
"",1,"",11020023,"","","",93,"",102,""
"",110831,1,11020024,"","",nyx_102_chloe_01,3,"",102,0.2
"",110831,10,11020025,"","","치에루스러운 거에 당해서\n이상하게 된다든지\n…아냐, 설마",11,"",102,""
"",2.5,"",11020026,"","","",93,"",102,""
nyx_102_chloe_03_loop,110831,0,11020027,1,"",nyx_102_chloe_03,3,"",102,0.2
nyx_102_chloe_03_loop,2,0,11020028,1,"",nyx_102_chloe_03,3,"",102,0.2
"",11020025,"",11020029,"","","",91,"",102,""
"",1,"",11020030,"","","",93,"",102,""
"",104831,10,11020031,"","","치에루… 치에루…",11,"",102,""
"",1.5,"",11020032,"","","",93,"",102,""
"",104631,0,11020033,"","",1,4,"",102,""
nyx_idle_surprise2,104631,0,11020034,1,0.2,cmn_shock_def_N,3,"",102,0.2
nyx_idle_surprise2,103431,0,11020035,1,0.2,cmn_shock_def_N,3,"",102,0.2
nyx_idle_surprise1,103231,0,11020036,1,0.2,nyx_surprise,3,"",102,0.2
"",1.5,"",11020037,"","","",93,"",102,""
"",104631,1,11020038,1,0.2,nyx_talk_surprise2,3,"",102,0.2
"",103431,1,11020039,"","",nyx_102_yukari_01,3,"",102,0.2
"",103431,10,11020040,"","","미후유 씨!\n정신 차려치에루!\n상처는 깊지 않아치에루!",11,"",102,""
"",0,"",11020041,"","",1,91,"",102,""
nyx_102_tamaki_01_loop,103431,0,11020042,1,0.2,cmn_shock_def_N,3,"",102,0.2
"",103231,0,11020043,"","",0,4,"",102,""
"",104631,0,11020044,"","",0,4,"",102,""
"",0,"",11020045,"","","",91,"",102,""
"",104631,10,11020046,"","","틀렸다냥…\n미후유도 유카리도\n이미 늦었다치에…냥!",11,"",102,""
"",2.6,"",11020047,"","","",93,"",102,""
nyx_102_tamaki_01_loop,104631,0,11020048,1,0.2,nyx_102_tamaki_01,3,"",102,0.2
"",0.1,"",11020049,"","","",93,"",102,""
"",103231,0,11020050,"","",1,4,"",102,""
"",1.5,"",11020051,"","","",93,"",102,""
"",103231,10,11020052,"","","피해가 막대하네요…\n다음 분이 평범하기를\n기도할게요…",11,"",102,""
"",0,"",11020053,"","","",91,"",102,""
"",1,"",11020054,"","","",93,"",102,""
nyx_102_chloe_03_loop,110831,0,11020055,1,"",nyx_102_chloe_04,3,"",102,0.2
nyx_102_chloe_03_loop,2,0,11020056,1,"",nyx_102_chloe_04,3,"",102,0.2
"",1.5,"",11020057,"","","",93,"",102,""
"",110831,1,11020058,"","",12,12,"",102,""
"",1,"",11020059,"","","",93,"",102,""
"",103431,1,11020060,"","",1,12,"",102,""
nyx_cmn_03,103431,0,11020061,1,0.2,nyx_cmn_01,3,"",102,0.2
"",104631,1,11020062,1,0.2,nyx_idle_worry,3,"",102,0.2
"",2,"",11020063,"","","",93,"",102,""
"",104831,1,11020064,"","",12,12,"",102,""
"",2,"",11020065,"","","",93,"",102,""
"",103231,1,11020066,"","",10,12,"",102,""
nyx_idle_normal,103231,0,11020067,1,0.2,nyx_talk_normal,3,"",102,0.2
"",2,"",11020068,"","","",93,"",102,""
"",104631,1,11020069,"","",2,12,"",102,""
nyx_idle_worry,104631,0,11020070,1,0.2,nyx_talk_sad,3,"",102,0.2
"",4,"",11020071,"","","",93,"",102,""
"",11020055,"",11020072,"","",1,101,"",102,""
-421,1,110,11030001,-209.3,0,111031,1,nyx_103_yuni_01,103,1.35
121.8,1,110,11030002,-182.5,0,104831,1,nyx_idle_normal,103,1.35
121.8,2,120,11030003,-182.5,0,2,5,NoItem,103,1.35
227.7,1,110,11030004,-182.5,0,104631,1,nyx_idle_normal,103,1.35
227.7,2,120,11030005,-182.5,0,2,5,NoItem,103,1.35
340.3,1,110,11030006,-182.5,1,103231,1,nyx_idle_normal,103,1.35
449.6,1,110,11030007,-182.5,1,103431,1,nyx_cmn_03,103,1.35
449.6,2,120,11030008,-182.5,1,2,5,NoItem,103,1.35
0,1,0,11030009,1,"",1,31,"",103,1
"",bgm_M347,"",11030010,"","",bgm_M347,25,"",103,""
"",2,"",11030011,"","","",93,"",103,""
"",103431,1,11030012,"","",nyx_talk_sad,3,"",103,0.2
"",103431,10,11030013,"","","프레젠테이션이란 게\n이렇게\n지치는 거야…?",11,"",103,""
"",0,"",11030014,"","","",91,"",103,""
"",103431,1,11030015,"","",nyx_cmn_03,3,"",103,0.2
"",104831,1,11030016,"","",nyx_cmn_05,3,"",103,0.2
"",104831,10,11030017,"","","분명 다음은 문제없어\n제대로 된 학생일 거야\n…그렇지?",11,"",103,""
"",0,"",11030018,"","","",91,"",103,""
"",104831,1,11030019,"","",nyx_cmn_04,3,"",103,0.2
"",103231,1,11030020,"","",nyx_talk_normal,3,"",103,0.2
"",103231,10,11030021,"","","어?\n다음 순서도 단짝부\n분인 것 같은데요?",11,"",103,""
"",0,"",11030022,"","","",91,"",103,""
"",103231,1,11030023,"","",nyx_idle_normal,3,"",103,0.2
"",104631,1,11030024,"","",nyx_talk_sad,3,"",103,0.2
"",104631,10,11030025,"","","…방심하면\n당할 거다냥\n각오하는 거다냥",11,"",103,""
"",2.6,"",11030026,"","","",93,"",103,""
"",111031,1,11030027,"","",nyx_102_chloe_01,3,"",103,0.2
"",11030025,"",11030028,"","","",91,"",103,""
nyx_idle_sad,104631,0,11030029,1,0.3,nyx_cmn_02,3,"",103,0.2
"",2,0,11030030,"","",nyx_cmn_02,3,"",103,0.2
nyx_cmn_03,103431,0,11030031,1,0.3,nyx_cmn_02,3,"",103,0.2
"",2,0,11030032,"","",nyx_cmn_02,3,"",103,0.2
nyx_idle_normal,104831,0,11030033,1,0.2,nyx_cmn_02,3,"",103,0.2
"",2,0,11030034,"","",nyx_cmn_02,3,"",103,0.2
"",1.5,"",11030035,"","","",93,"",103,""
"",111031,1,11030036,"","",nyx_303_yuni_01,3,"",103,0.2
"",111031,10,11030037,"","","음, 다음은 나군\n그야말로 주인공의 등장이라고나\n할까",11,"",103,""
"",2.8,"",11030038,"","","",93,"",103,""
"",104831,1,11030039,"","",13,12,"",103,""
"",104831,1,11030040,"","",nyx_talk_normal,3,"",103,0.2
"",11030037,"",11030041,"","","",91,"",103,""
"",111031,10,11030042,"","","치에루, 클로에\n자네들의 원통함은 내가\n풀어주도록 하지",11,"",103,""
"",0,"",11030043,"","","",91,"",103,""
"",111031,1,11030044,"","",nyx_103_yuni_02,3,"",103,0.2
"",111031,10,11030045,"","","자, 상급생으로서\n책무를 다할 때다",11,"",103,""
"",1.5,"",11030046,"","","",93,"",103,""
"",103231,1,11030047,"","",17,12,"",103,""
"",104831,1,11030048,"","",nyx_idle_normal,3,"",103,0.2
"",103231,1,11030049,"","",nyx_cmn_05,3,"",103,0.2
"",11030045,"",11030050,"","","",91,"",103,""
nyx_103_yuni_04,111031,0,11030051,0,0.6,nyx_103_yuni_03,3,"",103,0.3
"",111031,10,11030052,"","","유니짱즈의\n이름을 걸고…!",11,"",103,""
"",0,"",11030053,"","","",91,"",103,""
"",103231,1,11030054,"","",nyx_idle_normal,3,"",103,0.2
"",0.6,"",11030055,"","","",93,"",103,""
"",111031,1,11030056,"","",12,12,"",103,0.2
nyx_idle_normal,111031,0,11030057,1,0.2,cmn_pose02_def_N,3,"",103,0.2
"",1.5,"",11030058,"","","",93,"",103,""
"",104631,1,11030059,"","",15,12,"",103,""
nyx_idle_worry,104631,0,11030060,1,0.2,nyx_talk_sad,3,"",103,0.2
"",2,"",11030061,"","","",93,"",103,""
"",103231,1,11030062,"","",10,12,"",103,""
nyx_idle_normal,103231,0,11030063,1,0.2,nyx_talk_joy1,3,"",103,0.2
nyx_idle_normal,111031,0,11030064,1,0.2,nyx_103_yuni_01,3,"",103,0.2
"",2.5,"",11030065,"","","",93,"",103,""
"",103431,1,11030066,"","",1,12,"",103,""
nyx_cmn_03,103431,0,11030067,1,0.3,nyx_cmn_01,3,"",103,0.2
"",2,"",11030068,"","","",93,"",103,""
"",104831,1,11030069,"","",12,12,"",103,""
"",104831,1,11030070,"","",nyx_talk_bitter,3,"",103,0.2
"",2,"",11030071,"","","",93,"",103,""
"",104831,1,11030072,"","",nyx_idle_bitter,3,"",103,0.2
"",1,"",11030073,"","","",93,"",103,""
"",11030056,"",11030074,"","","",101,"",103,""
-235.4,1,110,12010001,-294.7,1,103231,1,nyx_201_akino_01,201,1.2
-235.4,2,120,12010002,-294.7,1,2,5,nyx_201_akino_01,201,1.2
-357,1,110,12010003,-281.6,0,104631,1,nyx_idle_normal,201,1.2
310.5,1,110,12010004,-281.6,1,103431,1,nyx_idle_normal,201,1.2
-453.3,1,110,12010005,-281.6,0,104831,1,nyx_idle_normal,201,1.2
0,2,0,12010006,1,"",1,31,"",201,1
0,11,0,12010007,1,"",2,31,"",201,1
"",bgm_M347,"",12010008,"","",bgm_M347,25,"",201,""
"",2,"",12010009,"","","",93,"",201,""
"",103231,10,12010010,"","","타마키 씨, 이\n부품의 조립을\n부탁해요!",11,"",201,""
"",0,"",12010011,"","","",91,"",201,""
nyx_idle_surprise1,104631,0,12010012,1,0.3,nyx_surprise,3,"",201,0.3
"",104631,10,12010013,"","","아, 알겠다냥!\n…이런 게 설계도에\n있었냥…?",11,"",201,""
"",0,"",12010014,"","","",91,"",201,""
"",103231,0,12010015,"","",0,4,"",201,""
"",2,"",12010016,"","",0,4,"",201,""
"",104631,1,12010017,"",0.3,nyx_idle_bitter2,3,"",201,0.3
"",103231,1,12010018,"",0.3,nyx_201_akino_02,3,"",201,0.3
"",2,1,12010019,"",0.3,nyx_201_akino_02,3,"",201,0.3
2.2,103231,-294.7,12010020,"","",199,2,"",201,""
2.2,2,-294.7,12010021,"","",199,2,"",201,""
"",2.2,"",12010022,"","","",93,"",201,""
"",103231,1,12010023,"",0.3,nyx_201_akino_01,3,"",201,0.3
"",2,1,12010024,"",0.3,nyx_201_akino_01,3,"",201,0.3
"",103231,10,12010025,"","","유카리 씨!\n이 회로의 발주를\n아주 빠르게 부탁해요!",11,"",201,""
"",0,"",12010026,"","","",91,"",201,""
"",103431,1,12010027,"",0.3,nyx_cmn_01,3,"",201,0.3
"",103431,10,12010028,"","","엇? 엇?\n잠깐, 아키노 씨\n이거 어디에 쓰는 거야!?",11,"",201,""
"",0,"",12010029,"","","",91,"",201,""
"",103431,1,12010030,"",0.3,nyx_idle_bitter2,3,"",201,0.3
"",103231,"",12010031,"","",1,4,"",201,""
"",2,"",12010032,"","",1,4,"",201,""
"",103231,1,12010033,"",0.3,nyx_201_akino_02,3,"",201,0.3
"",2,1,12010034,"",0.3,nyx_201_akino_02,3,"",201,0.3
2.2,103231,-294.7,12010035,"","",-235.4,2,"",201,""
2.2,2,-294.7,12010036,"","",-235.4,2,"",201,""
"",2.2,"",12010037,"","","",93,"",201,""
"",103231,1,12010038,"",0.3,nyx_201_akino_01,3,"",201,0.3
"",2,1,12010039,"",0.3,nyx_201_akino_01,3,"",201,0.3
"",103231,10,12010040,"","","미후유 씨는 동작\n체크를 꼼꼼하게 부탁해요!",11,"",201,""
"",0,"",12010041,"","","",91,"",201,""
nyx_idle_surprise1,104831,0,12010042,1,0.3,nyx_surprise,3,"",201,0.3
"",104831,10,12010043,"","","아, 응!\n…아키노 씨가\n불타오르고 있어…",11,"",201,0
"",0,"",12010044,"","","",91,"",201,""
"",104831,1,12010045,"",0.3,nyx_talk_sad,3,"",201,0.3
"",104831,10,12010046,"","","하지만 어째서인지\n불안해…\n불안하기만 해…",11,"",201,0
"",0,"",12010047,"","","",91,"",201,""
"",104831,1,12010048,"",0.3,nyx_idle_bitter2,3,"",201,0.3
"",0,"",12010049,"","","",91,"",201,""
"",0.4,"",12010050,"","","",93,"",201,""
"",103231,0,12010051,"","",0,4,"",201,""
"",2,"",12010052,"","",0,4,"",201,""
"",103231,1,12010053,"",0.2,nyx_201_akino_02,3,"",201,0.2
"",2,1,12010054,"",0.2,nyx_201_akino_02,3,"",201,0.2
2.2,103231,-294.7,12010055,"","",199,2,"",201,""
2.2,2,-294.7,12010056,"","",199,2,"",201,""
"",103431,1,12010057,"",0.2,nyx_cmn_03,3,"",201,0.2
"",2.2,"",12010058,"","","",93,"",201,""
"",103231,1,12010059,"","",10,12,"",201,""
"",103231,1,12010060,"",0.2,nyx_201_akino_01,3,"",201,0.2
"",2,1,12010061,"",0.2,nyx_201_akino_01,3,"",201,0.2
"",0,"",12010062,"","","",91,"",201,""
"",103431,1,12010063,"",0.2,nyx_idle_surprise1,3,"",201,0.2
"",0,"",12010064,"","","",91,"",201,""
"",103431,1,12010065,"",0.2,nyx_102_chloe_02,3,"",201,0.2
"",103231,"",12010066,"","",1,4,"",201,""
"",2,"",12010067,"","",1,4,"",201,""
"",103231,1,12010068,"",0.2,nyx_201_akino_02,3,"",201,0.2
"",2,1,12010069,"",0.2,nyx_201_akino_02,3,"",201,0.2
2.2,103231,-294.7,12010070,"","",-235.4,2,"",201,""
2.2,2,-294.7,12010071,"","",-235.4,2,"",201,""
"",2.2,"",12010072,"","","",93,"",201,""
"",103231,1,12010073,"","",10,12,"",201,""
"",103231,1,12010074,"",0.2,nyx_201_akino_01,3,"",201,0.2
"",2,1,12010075,"",0.2,nyx_201_akino_01,3,"",201,""
"",3,"",12010076,"","","",93,"",201,""
nyx_idle_normal,104631,0,12010077,1,0.2,cmn_nod_def_N,3,"",201,0.2
"",0.8,"",12010078,"","","",93,"",201,""
"",104831,1,12010079,"","",3,12,"",201,""
nyx_idle_sad,104831,0,12010080,1,0.2,nyx_talk_worry,3,"",201,0.2
"",1,"",12010081,"","","",93,"",201,""
"",12010051,"",12010082,"","","",101,"",201,""
-136,1,100,12020001,-255,0,3,5,nyx_202_tamaki_03_loop,202,1.2
183.7,1,110,12020002,-286.1,1,103231,1,nyx_idle_joy1,202,1.2
312.6,2,120,12020003,-286.1,1,5,5,nyx_202_yukari_01,202,1.2
312.6,1,110,12020004,-286.1,1,103431,1,nyx_202_yukari_01,202,1.2
-269.8,1,120,12020005,-286.1,0,104831,1,nyx_idle_normal,202,1.2
0,2,0,12020006,1,"",1,31,"",202,1
34,12,0,12020007,1,"",2,31,"",202,1
130,16,-74,12020008,1,"",7,31,"",202,0
-208,3,110,12020009,-255,0,4,5,nyx_yagura_idle,202,1
-269.8,2,120,12020010,-286.1,0,6,5,NoItem,202,1.2
"",bgm_M347,"",12020011,"","",bgm_M347,25,"",202,""
"",2,"",12020012,"","","",93,"",202,""
"",3,10,12020013,"","","개발도 어쩐지\n즐거워졌다\n냥~!",11,"",202,""
"",0,"",12020014,"","","",91,"",202,""
"",3,10,12020015,"","","기왕 여기까지 한 거\n세계 제일의 붕어빵\n기계로 만들겠다냥!",11,"",202,""
"",0,"",12020016,"","","",91,"",202,""
"",3,10,12020017,"","","내 모든 것을\n쏟아 넣겠다\n냥~~!",11,"",202,""
"",0.4,"",12020018,"","","",93,"",202,""
nyx_202_tamaki_loop,3,0,12020019,1,"",nyx_202_tamaki_03_puton,3,"",202,0.2
"",12020017,"",12020020,"","","",91,"",202,""
nyx_202_tamaki_01,3,0,12020021,1,"",nyx_202_tamaki_up,3,"",202,0.2
nyx_yagura_up_idle,4,0,12020022,1,"",nyx_yagura_up,3,"",202,""
"",2.4,"",12020023,"","","",93,"",202,""
"",7,"",12020024,"","",1,32,"",202,""
"",103231,1,12020025,"","",nyx_202_akino_01_loop,3,"",202,0.2
"",103231,10,12020026,"","","오~호호호!\n굉장한 기세\n예요, 타마키 씨",11,"",202,""
"",0,"",12020027,"","","",91,"",202,""
"",104831,1,12020028,"","",nyx_talk_anger2,3,"",202,0.2
"",104831,10,12020029,"","","설계도 어디에도\n붕어빵 같은 건\n적혀있지 않다고!?",11,"",202,""
"",0,"",12020030,"","","",91,"",202,""
"",103431,1,12020031,"","",nyx_idle_anger2,3,"",202,0.2
"",103431,1,12020032,"","",nyx_202_yukari_01,3,"",202,0.2
"",103431,10,12020033,"","","미후유 씨…\n타마키 씨라면\n괜찮을 거야… 히끅",11,"",202,""
"",0,"",12020034,"","","",91,"",202,""
nyx_cmn_04,104831,0,12020035,"",0.2,nyx_cmn_05,3,"",202,0.2
"",104831,10,12020036,"","","유카리 씨?\n뭘 마시는 거야?\n…매수된 거지?",11,"",202,0
"",0,"",12020037,"","","",91,"",202,""
"",103431,1,12020038,"","",nyx_202_yukari_01,3,"",202,0.2
"",103431,10,12020039,"","","뭐~?\n무슨 말이냥~?\n…우후후~♪",11,"",202,""
"",0,"",12020040,"","","",91,"",202,""
"",2,"",12020041,"","","",93,"",202,""
"",103231,1,12020042,"","",13,12,"",202,""
nyx_202_akino_01_loop,103231,0,12020043,1,0.2,nyx_talk_joy2,3,"",202,0.2
"",2.5,"",12020044,"","","",93,"",202,""
"",104831,1,12020045,"","",3,12,"",202,""
"",104831,1,12020046,"","",nyx_talk_anger2,3,"",202,0.2
"",2,"",12020047,"","","",93,"",202,""
"",104831,0,12020048,"","",nyx_cmn_02,3,"",202,0.2
NoItem,6,0,12020049,1,"",nyx_cmn_02,3,"",202,0.2
"",1,"",12020050,"","","",93,"",202,""
nyx_cmn_04,104831,0,12020051,1,0.2,nyx_cmn_05,3,"",202,0.2
"",2,"",12020052,"","","",93,"",202,""
"",103431,1,12020053,"","",5,12,"",202,""
nyx_202_yukari_01,5,0,12020054,1,0.2,nyx_203_yukari_01,3,"",202,0.2
nyx_202_yukari_01,103431,0,12020055,1,0.2,nyx_203_yukari_01,3,"",202,0.2
"",1.2,"",12020056,"","","",93,"",202,""
"",3,1,12020057,"","",11,12,"",202,""
"",0.8,"",12020058,"","","",93,"",202,""
"",12020041,"",12020059,"","","",101,"",202,""
-300,1,130,12030001,-286,0,104831,1,nyx_idle_normal,203,1.2
316,1,100,12030002,-286,1,104631,1,nyx_idle_normal,203,1.2
110,1,100,12030003,-286,1,103231,1,nyx_idle_normal,203,1.2
-200,1,100,12030004,-10,0,103431,1,nyx_203_yukari_01,203,1.2
0,2,0,12030005,1,"",1,31,"",203,1
34,13,-80,12030006,1,"",2,31,"",203,1
-200,2,110,12030007,-10,0,3,5,nyx_203_yukari_01,203,1.2
-250,3,120,12030008,-255,0,4,5,nyx_yagura_up_harf,203,1
"",bgm_M347,"",12030009,"","",bgm_M347,25,"",203,""
"",2,"",12030010,"","","",93,"",203,""
"",103431,10,12030011,"","","어어~?\n여긴 어디~?\n난 누구~?",11,"",203,""
"",0.6,"",12030012,"","","",93,"",203,""
nyx_lookup_loop2,103231,0,12030013,1,0.2,nyx_lookup,3,"",203,0.2
"",12030011,"",12030014,"","","",91,"",203,""
"",103431,10,12030015,"","","응~?\n뭐~야 이\n커다란 거~",11,"",203,""
"",0.6,"",12030016,"","","",93,"",203,""
nyx_lookup_loop2,104631,0,12030017,1,0.2,nyx_lookup,3,"",203,0.2
"",12030015,"",12030018,"","","",91,"",203,""
nyx_203_yukari_05,3,0,12030019,1,"",nyx_203_yukari_02,3,"",203,0.2
nyx_203_yukari_05,103431,0,12030020,1,"",nyx_203_yukari_02,3,"",203,0.2
"",103431,10,12030021,"","","너도 한잔\n할래~?\n맛~있다구~?",11,"",203,""
"",0.4,"",12030022,"","","",93,"",203,""
nyx_lookup_loop2,104831,0,12030023,1,0.2,nyx_lookup,3,"",203,0.2
"",12030021,"",12030024,"","","",91,"",203,""
"",0.2,"",12030025,"","","",93,"",203,""
nyx_idle_sad,104831,0,12030026,1,0.2,nyx_cmn_02,3,"",203,0.2
"",104831,10,12030027,"","","뭐 하는 거야\n유카리 씨…",11,"",203,0
"",0.1,"",12030028,"","","",93,"",203,""
nyx_cmn_04,103231,0,12030029,1,0.2,nyx_cmn_02,3,"",203,0.2
"",103231,10,12030030,"","","뭐 하는 거죠…\n유카리 씨…",11,"",203,""
"",0.1,"",12030031,"","","",93,"",203,""
nyx_idle_sad,104631,0,12030032,1,0.2,nyx_cmn_02,3,"",203,0.2
"",104631,10,12030033,"","","뭐 하는 거냥\n유카리…",11,"",203,""
"",0,"",12030034,"","","",91,"",203,""
"",3,1,12030035,"","",nyx_203_yukari_03,3,"",203,0.5
"",103431,1,12030036,"","",nyx_203_yukari_03,3,"",203,0.5
"",103431,10,12030037,"","","그거~ 더 마셔~\n우후후~ 한잔하면\n불가능은 없어~♪",11,"",203,""
"",0,"",12030038,"","","",91,"",203,""
"",0.1,"",12030039,"","","",93,"",203,""
nyx_203_yukari_05,3,0,12030040,1,"",nyx_203_yukari_06,3,"",203,0.2
nyx_203_yukari_05,103431,0,12030041,1,"",nyx_203_yukari_06,3,"",203,0.2
